Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,29683,17610,59.33
20,2,21STCENMGM,EQ,170,160,94.12
20,3,3IINFOTECH,EQ,1195369,728832,60.97
20,4,3MINDIA,EQ,2761,1794,64.98
20,5,3PLAND,EQ,102,102,100.00
20,6,5PAISA,EQ,47155,30565,64.82
20,7,63MOONS,EQ,92460,35673,38.58
20,8,727GS2026,GS,3900,3900,100.00
20,9,75GS2034,GS,90,90,100.00
20,10,A2ZINFRA,EQ,127071,76156,59.93
20,11,AARON,SM,3300,3300,100.00
20,12,AARTIDRUGS,EQ,6592,4408,66.87
20,13,AARTIIND,EQ,217141,153305,70.60
20,14,AARVEEDEN,EQ,7606,4124,54.22
20,15,AARVI,SM,2000,2000,100.00
20,16,AAVAS,EQ,6107,2407,39.41
20,17,ABB,EQ,135969,68157,50.13
20,18,ABBOTINDIA,EQ,8170,6272,76.77
20,19,ABCAPITAL,EQ,3405311,1806006,53.03
20,20,ABFRL,EQ,289021,148860,51.50
20,21,ABSLNN50ET,EQ,7,6,85.71
20,22,ABSLRIF6RG,MF,8700,8700,100.00
20,23,ACC,EQ,460449,49503,10.75
20,24,ACCELYA,EQ,2017,1416,70.20
20,25,ACE,EQ,254132,135914,53.48
20,26,ADANIENT,EQ,3732047,430594,11.54
20,27,ADANIGAS,EQ,971007,238318,24.54
20,28,ADANIGREEN,EQ,1433723,570169,39.77
20,29,ADANIPORTS,EQ,2532760,1094425,43.21
20,30,ADANIPOWER,EQ,9945041,1944015,19.55
20,31,ADANITRANS,EQ,63095,33950,53.81
20,32,ADFFOODS,EQ,26806,10669,39.80
20,33,ADHUNIKIND,EQ,52313,33076,63.23
20,34,ADLABS,EQ,58718,37040,63.08
20,35,ADORWELD,EQ,2134,1637,76.71
20,36,ADSL,EQ,75634,47856,63.27
20,37,ADVANIHOTR,EQ,11146,8015,71.91
20,38,ADVENZYMES,EQ,104067,90347,86.82
20,39,AEGISCHEM,EQ,105471,58215,55.20
20,40,AFFLE,EQ,80067,22682,28.33
20,41,AGARIND,EQ,2006,1657,82.60
20,42,AGLSL,EQ,1124,779,69.31
20,43,AGRITECH,EQ,9432,5866,62.19
20,44,AGROPHOS,EQ,352523,100968,28.64
20,45,AHLADA,SM,3000,3000,100.00
20,46,AHLEAST,EQ,996,890,89.36
20,47,AHLUCONT,EQ,1870,1186,63.42
20,48,AHLWEST,EQ,1408,1139,80.89
20,49,AIAENG,EQ,15769,7971,50.55
20,50,AIONJSW,EQ,75426,59498,78.88
20,51,AIRAN,EQ,12721,11030,86.71
20,52,AIROLAM,SM,9000,0,0.00
20,53,AISL,SM,1200,1200,100.00
20,54,AJANTPHARM,EQ,57424,12203,21.25
20,55,AJMERA,EQ,32218,18156,56.35
20,56,AJOONI,SM,4000,4000,100.00
20,57,AKSHARCHEM,EQ,2733,2033,74.39
20,58,AKSHOPTFBR,EQ,85354,62978,73.78
20,59,AKZOINDIA,EQ,10456,6145,58.77
20,60,ALANKIT,EQ,439302,110268,25.10
20,61,ALBERTDAVD,EQ,3284,1968,59.93
20,62,ALBK,EQ,1075168,347682,32.34
20,63,ALEMBICLTD,EQ,114444,79579,69.54
20,64,ALICON,EQ,10169,7450,73.26
20,65,ALKALI,EQ,6655,3576,53.73
20,66,ALKEM,EQ,56258,41858,74.40
20,67,ALKYLAMINE,EQ,2766,2222,80.33
20,68,ALLCARGO,EQ,270857,113175,41.78
20,69,ALLSEC,EQ,1317,696,52.85
20,70,ALMONDZ,EQ,812,503,61.95
20,71,ALOKTEXT,EQ,549175,549175,100.00
20,72,ALPA,EQ,7287,5015,68.82
20,73,ALPHAGEO,EQ,7468,6624,88.70
20,74,AMARAJABAT,EQ,386292,88121,22.81
20,75,AMBER,EQ,102959,83572,81.17
20,76,AMBIKCO,EQ,2306,1440,62.45
20,77,AMBUJACEM,EQ,3940452,1476830,37.48
20,78,AMDIND,EQ,2918,2064,70.73
20,79,AMJLAND,EQ,2403,996,41.45
20,80,AMRUTANJAN,EQ,52794,18314,34.69
20,81,ANANTRAJ,EQ,352949,297761,84.36
20,82,ANDHRABANK,EQ,842045,383284,45.52
20,83,ANDHRSUGAR,EQ,27728,17417,62.81
20,84,ANIKINDS,EQ,3983,2693,67.61
20,85,ANSALAPI,EQ,10127,10127,100.00
20,86,ANSALHSG,EQ,37000,27249,73.65
20,87,ANUP,EQ,10857,7895,72.72
20,88,APARINDS,EQ,1193,898,75.27
20,89,APCL,EQ,5262,3256,61.88
20,90,APCOTEXIND,EQ,27298,14808,54.25
20,91,APEX,EQ,60768,24708,40.66
20,92,APLAPOLLO,EQ,16996,10651,62.67
20,93,APLLTD,EQ,39092,24728,63.26
20,94,APOLLO,EQ,14804,7631,51.55
20,95,APOLLOHOSP,EQ,356435,139497,39.14
20,96,APOLLOTYRE,EQ,5019342,1233418,24.57
20,97,APOLSINHOT,EQ,173,123,71.10
20,98,APTECHT,EQ,268339,69250,25.81
20,99,ARCHIDPLY,EQ,13037,10009,76.77
20,100,ARIES,EQ,27739,17865,64.40
20,101,ARIHANT,EQ,1181,944,79.93
20,102,ARMANFIN,EQ,6179,4892,79.17
20,103,AROGRANITE,EQ,45901,15714,34.23
20,104,ARROWGREEN,EQ,1212,1160,95.71
20,105,ARROWTEX,EQ,1330,1137,85.49
20,106,ARSHIYA,EQ,16361,12683,77.52
20,107,ARSSINFRA,EQ,15356,13848,90.18
20,108,ARTEDZ,SM,3000,3000,100.00
20,109,ARVIND,EQ,1854663,325295,17.54
20,110,ARVINDFASN,EQ,27137,19205,70.77
20,111,ARVSMART,EQ,13212,9471,71.68
20,112,ASAHIINDIA,EQ,25459,15635,61.41
20,113,ASAHISONG,EQ,6735,5614,83.36
20,114,ASAL,EQ,982,791,80.55
20,115,ASHAPURMIN,EQ,50626,45575,90.02
20,116,ASHIANA,EQ,18839,11726,62.24
20,117,ASHIMASYN,EQ,13178,9791,74.30
20,118,ASHOKA,EQ,330501,251597,76.13
20,119,ASHOKLEY,EQ,40792618,5203042,12.75
20,120,ASIANHOTNR,EQ,5626,2107,37.45
20,121,ASIANPAINT,EQ,1317945,242587,18.41
20,122,ASIANTILES,EQ,84202,23439,27.84
20,123,ASPINWALL,EQ,930,900,96.77
20,124,ASTEC,EQ,2290,976,42.62
20,125,ASTERDM,EQ,32362,18371,56.77
20,126,ASTRAL,EQ,202752,157957,77.91
20,127,ASTRAMICRO,EQ,110033,82943,75.38
20,128,ASTRAZEN,EQ,16044,6561,40.89
20,129,ASTRON,EQ,553466,295732,53.43
20,130,ATFL,EQ,16378,11044,67.43
20,131,ATUL,EQ,9532,2484,26.06
20,132,ATULAUTO,EQ,98437,24722,25.11
20,133,AUBANK,EQ,236795,149424,63.10
20,134,AURIONPRO,EQ,30058,18992,63.18
20,135,AUROPHARMA,EQ,1631987,433110,26.54
20,136,AUSOMENT,EQ,426,194,45.54
20,137,AUTOAXLES,EQ,11240,6420,57.12
20,138,AUTOIND,EQ,2736,1611,58.88
20,139,AUTOLITIND,EQ,1446,1118,77.32
20,140,AVADHSUGAR,EQ,92238,36090,39.13
20,141,AVANTIFEED,EQ,208438,75139,36.05
20,142,AVONMPL,SM,2000,2000,100.00
20,143,AVTNPL,EQ,48562,40675,83.76
20,144,AXISBANK,EQ,49442205,27080443,54.77
20,145,AXISCADES,EQ,169199,125710,74.30
20,146,AXISGOLD,EQ,1357,895,65.95
20,147,AXISNIFTY,EQ,270,220,81.48
20,148,AYMSYNTEX,EQ,23445,17554,74.87
20,149,BAGFILMS,EQ,233893,185866,79.47
20,150,BAJAJ-AUTO,EQ,546876,87206,15.95
20,151,BAJAJCON,EQ,181143,147845,81.62
20,152,BAJAJELEC,EQ,59929,16115,26.89
20,153,BAJAJFINSV,EQ,352809,66460,18.84
20,154,BAJAJHIND,EQ,1153650,524057,45.43
20,155,BAJAJHLDNG,EQ,16393,8862,54.06
20,156,BAJFINANCE,EQ,1615506,459038,28.41
20,157,BALAJITELE,EQ,33975,25308,74.49
20,158,BALAMINES,EQ,26986,13499,50.02
20,159,BALAXI,EQ,965,965,100.00
20,160,BALKRISIND,EQ,416059,91475,21.99
20,161,BALLARPUR,EQ,1735920,1320706,76.08
20,162,BALMLAWRIE,EQ,76751,49367,64.32
20,163,BALPHARMA,EQ,4102,3351,81.69
20,164,BALRAMCHIN,EQ,2097866,1191202,56.78
20,165,BANARBEADS,EQ,520,520,100.00
20,166,BANARISUG,EQ,668,604,90.42
20,167,BANCOINDIA,EQ,55354,29377,53.07
20,168,BANDHANBNK,EQ,728512,335479,46.05
20,169,BANG,EQ,17818,14724,82.64
20,170,BANKBARODA,EQ,37248976,4197989,11.27
20,171,BANKBEES,EQ,33364,19530,58.54
20,172,BANKINDIA,EQ,11637480,838818,7.21
20,173,BANSAL,SM,2000,2000,100.00
20,174,BANSWRAS,EQ,8546,7168,83.88
20,175,BASF,EQ,13402,9589,71.55
20,176,BASML,EQ,3655,2385,65.25
20,177,BATAINDIA,EQ,665366,155231,23.33
20,178,BAYERCROP,EQ,7447,5984,80.35
20,179,BBL,EQ,8033,4974,61.92
20,180,BBTC,EQ,174230,29753,17.08
20,181,BBTCL,SM,6000,6000,100.00
20,182,BCG,EQ,230365,162760,70.65
20,183,BCP,EQ,221630,215020,97.02
20,184,BDL,EQ,83601,25691,30.73
20,185,BEARDSELL,EQ,7762,5925,76.33
20,186,BEDMUTHA,EQ,2174,1655,76.13
20,187,BEL,EQ,10149956,2270940,22.37
20,188,BEML,EQ,967011,148932,15.40
20,189,BEPL,EQ,777809,216619,27.85
20,190,BERGEPAINT,EQ,2319020,1154860,49.80
20,191,BETA,SM,11200,10400,92.86
20,192,BFINVEST,EQ,35584,18412,51.74
20,193,BFUTILITIE,EQ,330699,76293,23.07
20,194,BGRENERGY,EQ,54848,33673,61.39
20,195,BHAGERIA,EQ,27364,23269,85.04
20,196,BHAGYANGR,EQ,14623,7318,50.04
20,197,BHAGYAPROP,EQ,7227,5336,73.83
20,198,BHANDARI,EQ,115985,104032,89.69
20,199,BHARATFORG,EQ,1637370,531143,32.44
20,200,BHARATGEAR,EQ,8512,4537,53.30
20,201,BHARATRAS,EQ,1720,928,53.95
20,202,BHARATWIRE,EQ,1785,1465,82.07
20,203,BHARTIARTL,EQ,7208995,1897301,26.32
20,204,BHEL,EQ,15210748,3542355,23.29
20,205,BIGBLOC,EQ,1265,1113,87.98
20,206,BIL,EQ,864,773,89.47
20,207,BINDALAGRO,EQ,27685,19439,70.21
20,208,BIOCON,EQ,5199099,1978951,38.06
20,209,BIRLACABLE,EQ,43109,29802,69.13
20,210,BIRLACORPN,EQ,59599,40169,67.40
20,211,BIRLAMONEY,EQ,89120,36512,40.97
20,212,BKMINDST,EQ,17695,15145,85.59
20,213,BLBLIMITED,EQ,4714,4013,85.13
20,214,BLISSGVS,EQ,205520,67045,32.62
20,215,BLKASHYAP,EQ,37318,21242,56.92
20,216,BLS,EQ,36712,29189,79.51
