Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,170693,124264,72.80
20,2,21STCENMGM,EQ,783,783,100.00
20,3,3IINFOTECH,EQ,5482468,3057160,55.76
20,4,3MINDIA,EQ,1649,755,45.79
20,5,3PLAND,EQ,12,12,100.00
20,6,5PAISA,EQ,2268,1630,71.87
20,7,63MOONS,EQ,283876,73970,26.06
20,8,8KMILES,EQ,133497,69620,52.15
20,9,AARON,SM,9000,6000,66.67
20,10,AARTIDRUGS,EQ,67211,45010,66.97
20,11,AARTIIND,EQ,104792,60866,58.08
20,12,AARVEEDEN,EQ,3367,2164,64.27
20,13,AAVAS,EQ,56598,34675,61.27
20,14,ABB,EQ,73669,19769,26.83
20,15,ABBOTINDIA,EQ,16273,13662,83.96
20,16,ABCAPITAL,EQ,5071721,2143761,42.27
20,17,ABFRL,EQ,367984,120470,32.74
20,18,ABMINTLTD,EQ,1,1,100.00
20,19,ABSLRIF6RG,MF,7000,7000,100.00
20,20,ACC,EQ,655422,158869,24.24
20,21,ACCELYA,EQ,3433,2089,60.85
20,22,ACCORD,SM,2000,2000,100.00
20,23,ACE,EQ,170583,69585,40.79
20,24,ADANIENT,EQ,4934286,500726,10.15
20,25,ADANIGAS,EQ,244883,108674,44.38
20,26,ADANIGREEN,EQ,591667,222383,37.59
20,27,ADANIPORTS,EQ,3037029,560660,18.46
20,28,ADANIPOWER,EQ,10581699,1940592,18.34
20,29,ADANITRANS,EQ,426335,150980,35.41
20,30,ADFFOODS,EQ,24083,11357,47.16
20,31,ADHUNIKIND,EQ,26921,7612,28.28
20,32,ADLABS,EQ,74576,63872,85.65
20,33,ADORWELD,EQ,7176,3875,54.00
20,34,ADSL,EQ,31383,18106,57.69
20,35,ADVANIHOTR,EQ,18477,5723,30.97
20,36,ADVENZYMES,EQ,207718,90502,43.57
20,37,AEGISCHEM,EQ,157118,92216,58.69
20,38,AGARIND,EQ,50310,20814,41.37
20,39,AGCNET,EQ,8022,6001,74.81
20,40,AGLSL,EQ,87055,83232,95.61
20,41,AGRITECH,EQ,15882,10792,67.95
20,42,AGROPHOS,EQ,418257,330188,78.94
20,43,AHLADA,SM,22000,22000,100.00
20,44,AHLEAST,EQ,1785,1477,82.75
20,45,AHLUCONT,EQ,19600,14097,71.92
20,46,AHLWEST,EQ,313,238,76.04
20,47,AIAENG,EQ,17673,10637,60.19
20,48,AIONJSW,EQ,53898,45658,84.71
20,49,AIRAN,SM,47500,47500,100.00
20,50,AIROLAM,SM,3000,3000,100.00
20,51,AISL,SM,3600,3600,100.00
20,52,AJANTPHARM,EQ,371535,59598,16.04
20,53,AJMERA,EQ,329353,83750,25.43
20,54,AJOONI,SM,20000,16000,80.00
20,55,AKSHARCHEM,EQ,3156,1911,60.55
20,56,AKSHOPTFBR,EQ,1042970,620178,59.46
20,57,AKZOINDIA,EQ,9152,4819,52.66
20,58,ALANKIT,EQ,855186,232430,27.18
20,59,ALBERTDAVD,EQ,5480,3528,64.38
20,60,ALBK,EQ,6390505,707571,11.07
20,61,ALEMBICLTD,EQ,115533,93290,80.75
20,62,ALICON,EQ,1499,1183,78.92
20,63,ALKALI,EQ,52902,34688,65.57
20,64,ALKEM,EQ,35640,17764,49.84
20,65,ALKYLAMINE,EQ,4720,3425,72.56
20,66,ALLCARGO,EQ,165531,79160,47.82
