Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,8160,4640,56.86
20,2,3IINFOTECH,EQ,4406193,1892873,42.96
20,3,3MINDIA,EQ,2164,1216,56.19
20,4,3PLAND,EQ,1974,1074,54.41
20,5,5PAISA,EQ,9079,6154,67.78
20,6,63MOONS,EQ,397226,127124,32.00
20,7,8KMILES,EQ,268670,77112,28.70
20,8,A2ZINFRA,EQ,102888,84678,82.30
20,9,AARON,SM,6000,3000,50.00
20,10,AARTIDRUGS,EQ,10646,6358,59.72
20,11,AARTIIND,EQ,53630,32453,60.51
20,12,AARVEEDEN,EQ,34985,13776,39.38
20,13,AAVAS,EQ,18326,8179,44.63
20,14,ABAN,EQ,884427,119058,13.46
20,15,ABB,EQ,72902,22599,31.00
20,16,ABBOTINDIA,EQ,1743,1108,63.57
20,17,ABCAPITAL,EQ,868657,543562,62.57
20,18,ABFRL,EQ,1652016,712547,43.13
20,19,ABSLNN50ET,EQ,89,35,39.33
20,20,ACC,EQ,554317,86677,15.64
20,21,ACCELYA,EQ,2100,1518,72.29
20,22,ACCURACY,SM,16000,16000,100.00
20,23,ACE,EQ,123885,62102,50.13
20,24,ADANIENT,EQ,10882426,2362131,21.71
20,25,ADANIGAS,EQ,455898,164212,36.02
20,26,ADANIGREEN,EQ,212220,122426,57.69
20,27,ADANIPORTS,EQ,5043675,1001727,19.86
20,28,ADANIPOWER,EQ,10525643,2079567,19.76
20,29,ADANITRANS,EQ,223691,129718,57.99
20,30,ADFFOODS,EQ,17641,6785,38.46
20,31,ADHUNIK,EQ,10065,9065,90.06
20,32,ADHUNIKIND,EQ,6251,4834,77.33
20,33,ADLABS,EQ,86983,71993,82.77
20,34,ADORWELD,EQ,4464,1986,44.49
20,35,ADROITINFO,EQ,2480,2185,88.10
20,36,ADSL,EQ,12488,6132,49.10
20,37,ADVANIHOTR,EQ,3891,2915,74.92
20,38,ADVENZYMES,EQ,59733,11624,19.46
20,39,AEGISCHEM,EQ,165997,112986,68.07
20,40,AGARIND,EQ,1008,840,83.33
20,41,AGCNET,EQ,1550,1329,85.74
20,42,AGLSL,EQ,99167,47871,48.27
20,43,AGROPHOS,SM,198000,168000,84.85
20,44,AHLADA,SM,1000,1000,100.00
20,45,AHLEAST,EQ,1264,305,24.13
20,46,AHLUCONT,EQ,2891,1309,45.28
20,47,AHLWEST,EQ,74,50,67.57
20,48,AIAENG,EQ,32339,17647,54.57
20,49,AIFL,EQ,32821,32821,100.00
20,50,AIONJSW,EQ,64447,57328,88.95
20,51,AIRAN,SM,5000,5000,100.00
20,52,AJANTPHARM,EQ,517054,67251,13.01
20,53,AJMERA,EQ,49138,16647,33.88
20,54,AJOONI,SM,52000,48000,92.31
20,55,AKASH,SM,129000,89000,68.99
20,56,AKG,SM,12000,12000,100.00
20,57,AKSHARCHEM,EQ,955,570,59.69
20,58,AKSHOPTFBR,EQ,386052,213763,55.37
20,59,AKZOINDIA,EQ,203293,75743,37.26
20,60,ALANKIT,EQ,260133,47484,18.25
20,61,ALBERTDAVD,EQ,2241,1567,69.92
20,62,ALBK,EQ,4358492,654307,15.01
20,63,ALEMBICLTD,EQ,383473,149793,39.06
20,64,ALICON,EQ,50996,26552,52.07
20,65,ALKALI,EQ,3687,3341,90.62
20,66,ALKEM,EQ,21154,5106,24.14
