Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,22136,13827,62.46
20,2,21STCENMGM,EQ,1678,1678,100.00
20,3,3IINFOTECH,EQ,1057581,405618,38.35
20,4,3MINDIA,EQ,4210,2767,65.72
20,5,3PLAND,EQ,665,552,83.01
20,6,5PAISA,EQ,13310,6210,46.66
20,7,63MOONS,EQ,103280,37297,36.11
20,8,8KMILES,EQ,188739,62208,32.96
20,9,A2ZINFRA,EQ,128949,77590,60.17
20,10,AARON,SM,3000,3000,100.00
20,11,AARTIDRUGS,EQ,6449,3568,55.33
20,12,AARTIIND,EQ,80498,37702,46.84
20,13,AARVEEDEN,EQ,11653,10840,93.02
20,14,AARVI,SM,26000,26000,100.00
20,15,AAVAS,EQ,9497,6618,69.69
20,16,ABB,EQ,68864,17798,25.85
20,17,ABBOTINDIA,EQ,959,580,60.48
20,18,ABCAPITAL,EQ,1407939,660472,46.91
20,19,ABFRL,EQ,728505,241393,33.14
20,20,ABSLRIF6RG,MF,3002,3000,99.93
20,21,ACC,EQ,559285,259503,46.40
20,22,ACCELYA,EQ,1721,1171,68.04
20,23,ACCORD,SM,14000,12000,85.71
20,24,ACCURACY,SM,14400,14400,100.00
20,25,ACE,EQ,238946,136642,57.19
20,26,ADANIENT,EQ,4356153,1231911,28.28
20,27,ADANIGAS,EQ,338994,144671,42.68
20,28,ADANIGREEN,EQ,446323,217003,48.62
20,29,ADANIPORTS,EQ,2067637,795622,38.48
20,30,ADANIPOWER,EQ,8075543,1251419,15.50
20,31,ADANITRANS,EQ,65891,36414,55.26
20,32,ADFFOODS,EQ,28955,23597,81.50
20,33,ADHUNIKIND,EQ,9189,6151,66.94
20,34,ADLABS,EQ,437122,281390,64.37
20,35,ADORWELD,EQ,9143,4117,45.03
20,36,ADSL,EQ,18121,13445,74.20
20,37,ADVANIHOTR,EQ,12006,8289,69.04
20,38,ADVENZYMES,EQ,166718,105573,63.32
20,39,AEGISCHEM,EQ,113808,73043,64.18
20,40,AGARIND,EQ,1193,1136,95.22
20,41,AGCNET,EQ,2256,2096,92.91
20,42,AGLSL,EQ,1229,550,44.75
20,43,AGRITECH,EQ,25902,11998,46.32
20,44,AHIMSA,SM,6000,6000,100.00
20,45,AHLADA,SM,3000,3000,100.00
20,46,AHLEAST,EQ,2507,951,37.93
20,47,AHLUCONT,EQ,2593,1984,76.51
20,48,AHLWEST,EQ,130,119,91.54
20,49,AIAENG,EQ,72676,54446,74.92
20,50,AIONJSW,EQ,92155,85969,93.29
20,51,AIRAN,SM,2500,2500,100.00
20,52,AIROLAM,SM,6000,3000,50.00
20,53,AJANTPHARM,EQ,212712,66261,31.15
20,54,AJMERA,EQ,65704,22459,34.18
20,55,AKASH,SM,2000,2000,100.00
20,56,AKSHARCHEM,EQ,2758,1013,36.73
20,57,AKSHOPTFBR,EQ,307533,194511,63.25
20,58,AKZOINDIA,EQ,1134,695,61.29
20,59,ALANKIT,EQ,554977,138893,25.03
20,60,ALBERTDAVD,EQ,2825,1786,63.22
20,61,ALBK,EQ,5051753,454355,8.99
20,62,ALEMBICLTD,EQ,62913,30459,48.41
20,63,ALICON,EQ,852,623,73.12
20,64,ALKALI,EQ,4968,2640,53.14
20,65,ALKEM,EQ,47515,26498,55.77
20,66,ALKYLAMINE,EQ,1307,1087,83.17
20,67,ALLCARGO,EQ,257130,119361,46.42
20,68,ALMONDZ,EQ,230,129,56.09
20,69,ALPA,EQ,5065,3428,67.68
20,70,ALPHAGEO,EQ,3848,2252,58.52
20,71,AMARAJABAT,EQ,866695,191851,22.14
20,72,AMBER,EQ,108037,103275,95.59
20,73,AMBIKCO,EQ,761,567,74.51
20,74,AMBUJACEM,EQ,1489964,660262,44.31
20,75,AMDIND,EQ,7670,5535,72.16
20,76,AMJLAND,EQ,3206,1864,58.14
20,77,AMRUTANJAN,EQ,24485,8054,32.89
20,78,ANANTRAJ,EQ,581210,277413,47.73
20,79,ANDHRABANK,EQ,929497,346023,37.23
20,80,ANDHRSUGAR,EQ,4354,2205,50.64
20,81,ANIKINDS,EQ,1835,1680,91.55
20,82,ANSALAPI,EQ,82757,45748,55.28
20,83,ANSALHSG,EQ,82025,44272,53.97
20,84,ANUP,EQ,15428,11594,75.15
20,85,APARINDS,EQ,3389,3060,90.29
20,86,APCL,EQ,472,318,67.37
20,87,APCOTEXIND,EQ,3022,2422,80.15
20,88,APEX,EQ,38302,14351,37.47
20,89,APLAPOLLO,EQ,40842,32881,80.51
20,90,APLLTD,EQ,5999,3527,58.79
20,91,APOLLO,EQ,400703,73289,18.29
20,92,APOLLOHOSP,EQ,251194,42204,16.80
20,93,APOLLOTYRE,EQ,1582070,447247,28.27
20,94,APOLSINHOT,EQ,257,204,79.38
20,95,APTECHT,EQ,113617,32566,28.66
20,96,ARCHIDPLY,EQ,18665,15718,84.21
20,97,ARCHIES,EQ,22167,14055,63.41
20,98,ARIES,EQ,14604,8763,60.00
20,99,ARIHANT,EQ,1501,300,19.99
20,100,ARMANFIN,EQ,2277,1578,69.30
20,101,AROGRANITE,EQ,4280,1864,43.55
20,102,ARROWGREEN,EQ,7872,5658,71.88
20,103,ARROWTEX,EQ,806,806,100.00
20,104,ARSHIYA,EQ,90604,61016,67.34
20,105,ARSSINFRA,EQ,49057,26385,53.78
20,106,ARVIND,EQ,2182593,256567,11.76
20,107,ARVINDFASN,EQ,57945,42532,73.40
20,108,ARVSMART,EQ,8245,5209,63.18
20,109,ASAHIINDIA,EQ,16247,14283,87.91
20,110,ASAHISONG,EQ,652,524,80.37
20,111,ASAL,EQ,4259,3392,79.64
20,112,ASHIANA,EQ,17597,13322,75.71
20,113,ASHIMASYN,EQ,22433,19898,88.70
20,114,ASHOKA,EQ,92150,56080,60.86
20,115,ASHOKLEY,EQ,28021324,3932966,14.04
20,116,ASIANHOTNR,EQ,523,266,50.86
20,117,ASIANPAINT,EQ,2608319,1449231,55.56
20,118,ASIANTILES,EQ,47026,31176,66.30
20,119,ASLIND,SM,4000,4000,100.00
20,120,ASPINWALL,EQ,5733,4198,73.23
20,121,ASTEC,EQ,21481,14733,68.59
20,122,ASTERDM,EQ,28126,17716,62.99
20,123,ASTRAL,EQ,11788,5745,48.74
20,124,ASTRAMICRO,EQ,365683,152984,41.84
20,125,ASTRAZEN,EQ,10683,5367,50.24
20,126,ASTRON,EQ,259160,64067,24.72
20,127,ATFL,EQ,3353,3012,89.83
20,128,ATLANTA,EQ,12536,5850,46.67
20,129,ATUL,EQ,7087,4815,67.94
20,130,ATULAUTO,EQ,7103,4936,69.49
20,131,AUBANK,EQ,215777,165654,76.77
20,132,AURDIS,SM,2000,2000,100.00
20,133,AURIONPRO,EQ,27863,18129,65.06
20,134,AUROPHARMA,EQ,2341755,634642,27.10
20,135,AUSOMENT,EQ,1336,1323,99.03
