Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,14544,11236,77.26
20,2,21STCENMGM,EQ,1633,1287,78.81
20,3,3IINFOTECH,EQ,2440448,1006568,41.25
20,4,3MINDIA,EQ,6115,4203,68.73
20,5,3PLAND,EQ,560,545,97.32
20,6,5PAISA,EQ,4804,2352,48.96
20,7,63MOONS,EQ,183097,53521,29.23
20,8,8KMILES,EQ,170736,66383,38.88
20,9,AAKASH,SM,4000,4000,100.00
20,10,AARON,SM,3000,3000,100.00
20,11,AARTIDRUGS,EQ,162086,57218,35.30
20,12,AARTIIND,EQ,147391,89832,60.95
20,13,AARVEEDEN,EQ,12037,5364,44.56
20,14,AAVAS,EQ,66318,21239,32.03
20,15,ABAN,EQ,599146,156080,26.05
20,16,ABB,EQ,39949,21675,54.26
20,17,ABBOTINDIA,EQ,2650,1693,63.89
20,18,ABCAPITAL,EQ,2961720,2011903,67.93
20,19,ABFRL,EQ,641221,416541,64.96
20,20,ABSLNN50ET,EQ,52,52,100.00
20,21,ACC,EQ,1018321,407933,40.06
20,22,ACCELYA,EQ,3131,2146,68.54
20,23,ACE,EQ,293623,106115,36.14
20,24,ADANIENT,EQ,2550759,454103,17.80
20,25,ADANIGAS,EQ,669356,285968,42.72
20,26,ADANIGREEN,EQ,515567,327967,63.61
20,27,ADANIPORTS,EQ,2918059,1526981,52.33
20,28,ADANIPOWER,EQ,23678985,3060077,12.92
20,29,ADANITRANS,EQ,158339,102538,64.76
20,30,ADFFOODS,EQ,12673,5201,41.04
20,31,ADHUNIK,EQ,10753,10753,100.00
20,32,ADHUNIKIND,EQ,12392,6246,50.40
20,33,ADLABS,EQ,146779,120202,81.89
20,34,ADORWELD,EQ,6123,3517,57.44
20,35,ADROITINFO,EQ,3578,2501,69.90
20,36,ADSL,EQ,55655,20883,37.52
20,37,ADVANIHOTR,EQ,12009,8222,68.47
20,38,ADVENZYMES,EQ,1434333,312905,21.82
20,39,AEGISCHEM,EQ,202011,173710,85.99
20,40,AGARIND,EQ,7405,5623,75.94
20,41,AGCNET,EQ,2389,2030,84.97
20,42,AGLSL,EQ,131904,126303,95.75
20,43,AGRITECH,EQ,3811,2678,70.27
20,44,AGROPHOS,EQ,7481,6460,86.35
20,45,AHIMSA,SM,18000,0,0.00
20,46,AHLADA,SM,1000,1000,100.00
20,47,AHLEAST,EQ,376,331,88.03
20,48,AHLUCONT,EQ,20210,16608,82.18
20,49,AHLWEST,EQ,2,2,100.00
20,50,AIAENG,EQ,34263,23150,67.57
20,51,AIONJSW,EQ,71081,67032,94.30
20,52,AIRAN,SM,10000,10000,100.00
20,53,AIROLAM,SM,3000,3000,100.00
20,54,AISL,SM,6000,4800,80.00
20,55,AJANTPHARM,EQ,443013,70055,15.81
20,56,AJMERA,EQ,54590,22793,41.75
20,57,AJOONI,SM,16000,0,0.00
20,58,AKSHARCHEM,EQ,2603,1587,60.97
20,59,AKSHOPTFBR,EQ,648018,249256,38.46
20,60,AKZOINDIA,EQ,4826,2978,61.71
20,61,ALANKIT,EQ,524694,139820,26.65
20,62,ALBERTDAVD,EQ,7066,4485,63.47
20,63,ALBK,EQ,12345532,1215489,9.85
20,64,ALEMBICLTD,EQ,110710,83851,75.74
20,65,ALICON,EQ,1801,913,50.69
20,66,ALKALI,EQ,8064,4502,55.83
20,67,ALKEM,EQ,107320,88221,82.20
20,68,ALKYLAMINE,EQ,12852,8744,68.04
20,69,ALLCARGO,EQ,151156,88401,58.48
20,70,ALLSEC,EQ,8251,7273,88.15
20,71,ALMONDZ,EQ,3983,1440,36.15
20,72,ALOKTEXT,EQ,2720364,2720363,100.00
20,73,ALPA,EQ,8568,6624,77.31
20,74,ALPHAGEO,EQ,4717,2672,56.65
20,75,AMARAJABAT,EQ,201174,98441,48.93
20,76,AMBER,EQ,22668,14715,64.92
20,77,AMBIKCO,EQ,2984,2472,82.84
20,78,AMBUJACEM,EQ,4030315,2199322,54.57
20,79,AMDIND,EQ,945,261,27.62
20,80,AMJLAND,EQ,5242,2694,51.39
20,81,AMJUMBO,SM,16000,8000,50.00
20,82,AMRUTANJAN,EQ,12166,7705,63.33
20,83,ANANTRAJ,EQ,449598,260551,57.95
20,84,ANDHRABANK,EQ,1260676,507417,40.25
20,85,ANDHRACEMT,EQ,208665,118100,56.60
20,86,ANDHRSUGAR,EQ,57212,19528,34.13
20,87,ANIKINDS,EQ,9585,6178,64.45
20,88,ANSALAPI,EQ,159589,108193,67.79
20,89,APARINDS,EQ,9852,8100,82.22
20,90,APCL,EQ,4422,2374,53.69
20,91,APCOTEXIND,EQ,4630,2458,53.09
20,92,APEX,EQ,506081,91556,18.09
20,93,APLAPOLLO,EQ,51460,44428,86.34
20,94,APLLTD,EQ,117457,102005,86.84
20,95,APOLLO,EQ,24094,13375,55.51
20,96,APOLLOHOSP,EQ,938550,470732,50.16
20,97,APOLLOTYRE,EQ,4214398,2376996,56.40
20,98,APTECHT,EQ,257728,81760,31.72
20,99,ARCHIDPLY,EQ,20649,14441,69.94
20,100,ARCHIES,EQ,24230,12526,51.70
20,101,ARCOTECH,EQ,26579,26569,99.96
20,102,ARENTERP,EQ,1000,1000,100.00
20,103,ARIES,EQ,40662,29789,73.26
20,104,ARIHANT,EQ,5014,330,6.58
20,105,ARIHANTSUP,EQ,26703,10370,38.83
20,106,ARMANFIN,EQ,6465,5321,82.30
20,107,AROGRANITE,EQ,14507,8768,60.44
20,108,ARROWTEX,EQ,7968,3574,44.85
20,109,ARSHIYA,EQ,20182,14164,70.18
20,110,ARSSINFRA,EQ,7356,6675,90.74
20,111,ARVIND,EQ,6052283,1614535,26.68
20,112,ARVSMART,EQ,15989,11468,71.72
20,113,ASAHIINDIA,EQ,12082,9040,74.82
20,114,ASAHISONG,EQ,1903,1570,82.50
20,115,ASAL,EQ,1077,794,73.72
20,116,ASHAPURMIN,EQ,676556,408535,60.38
20,117,ASHIANA,EQ,61105,46775,76.55
20,118,ASHOKA,EQ,792797,514761,64.93
20,119,ASHOKLEY,EQ,22713360,5842925,25.72
20,120,ASIANHOTNR,EQ,841,369,43.88
20,121,ASIANPAINT,EQ,1342007,720196,53.67
20,122,ASIANTILES,EQ,353798,159090,44.97
20,123,ASPINWALL,EQ,8352,4223,50.56
20,124,ASTEC,EQ,6774,4368,64.48
20,125,ASTERDM,EQ,19492,12775,65.54
20,126,ASTRAL,EQ,101600,59958,59.01
20,127,ASTRAMICRO,EQ,508150,433762,85.36
20,128,ASTRAZEN,EQ,5675,3372,59.42
20,129,ASTRON,EQ,224232,87556,39.05
20,130,ATFL,EQ,6396,5424,84.80
20,131,ATLANTA,EQ,34973,31928,91.29
20,132,ATUL,EQ,5704,3211,56.29
20,133,ATULAUTO,EQ,10667,6120,57.37
20,134,AUBANK,EQ,436703,229774,52.62
20,135,AURIONPRO,EQ,33908,21697,63.99
20,136,AUROPHARMA,EQ,1866365,849299,45.51
20,137,AUSOMENT,EQ,1007,1007,100.00
20,138,AUTOAXLES,EQ,25287,20664,81.72
20,139,AUTOIND,EQ,10297,7445,72.30
20,140,AUTOLITIND,EQ,22963,11013,47.96
20,141,AVADHSUGAR,EQ,95967,49348,51.42
