Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,9555,4633,48.49
20,2,21STCENMGM,EQ,34,34,100.00
20,3,3IINFOTECH,EQ,577118,348350,60.36
20,4,3MINDIA,EQ,1405,932,66.33
20,5,3PLAND,EQ,7,7,100.00
20,6,5PAISA,EQ,6365,4217,66.25
20,7,63MOONS,EQ,108671,50584,46.55
20,8,772GS2049,GS,100,100,100.00
20,9,772GS2055,GS,100,100,100.00
20,10,817GS2044,GS,1000,1000,100.00
20,11,824GS2033,GS,1000,1000,100.00
20,12,A2ZINFRA,EQ,385728,256984,66.62
20,13,AAKASH,SM,2000,2000,100.00
20,14,AARON,SM,3300,3300,100.00
20,15,AARTIDRUGS,EQ,3273,2460,75.16
20,16,AARTIIND,EQ,159481,106840,66.99
20,17,AARVEEDEN,EQ,17814,9719,54.56
20,18,AAVAS,EQ,27085,13102,48.37
20,19,ABB,EQ,36744,23158,63.03
20,20,ABBOTINDIA,EQ,11885,10094,84.93
20,21,ABCAPITAL,EQ,3943628,1929330,48.92
20,22,ABFRL,EQ,311779,154344,49.50
20,23,ABSLRIF6RG,MF,769,769,100.00
20,24,ACC,EQ,289713,39048,13.48
20,25,ACCELYA,EQ,21106,18517,87.73
20,26,ACE,EQ,71804,22301,31.06
20,27,ADANIENT,EQ,2550809,217276,8.52
20,28,ADANIGAS,EQ,891402,315453,35.39
20,29,ADANIGREEN,EQ,981394,340681,34.71
20,30,ADANIPORTS,EQ,4988293,1605688,32.19
20,31,ADANIPOWER,EQ,6557887,1218252,18.58
20,32,ADANITRANS,EQ,1342315,260824,19.43
20,33,ADFFOODS,EQ,22880,11954,52.25
20,34,ADHUNIKIND,EQ,95879,56659,59.09
20,35,ADORWELD,EQ,2571,1359,52.86
20,36,ADSL,EQ,121870,72610,59.58
20,37,ADVANIHOTR,EQ,1406,1261,89.69
20,38,ADVENZYMES,EQ,53683,20557,38.29
20,39,AEGISCHEM,EQ,551604,480409,87.09
20,40,AFFLE,EQ,74592,34893,46.78
20,41,AGARIND,EQ,7999,7099,88.75
20,42,AGRITECH,EQ,14378,5950,41.38
20,43,AGROPHOS,EQ,1971913,922057,46.76
20,44,AHIMSA,SM,6000,6000,100.00
20,45,AHLADA,SM,8000,5000,62.50
20,46,AHLEAST,EQ,447,350,78.30
20,47,AHLUCONT,EQ,2118,1730,81.68
20,48,AHLWEST,EQ,1654,760,45.95
20,49,AIAENG,EQ,6703,3177,47.40
20,50,AIONJSW,EQ,63784,48078,75.38
20,51,AIRAN,EQ,23752,9567,40.28
20,52,AJANTPHARM,EQ,47331,26253,55.47
20,53,AJMERA,EQ,16585,8643,52.11
20,54,AJOONI,SM,4000,4000,100.00
20,55,AKASH,EQ,1200,1001,83.42
20,56,AKG,SM,12000,12000,100.00
20,57,AKSHARCHEM,EQ,872,483,55.39
20,58,AKSHOPTFBR,EQ,207116,128865,62.22
20,59,AKZOINDIA,EQ,11536,7605,65.92
20,60,ALANKIT,EQ,34142,24867,72.83
20,61,ALBERTDAVD,EQ,4352,2848,65.44
20,62,ALBK,EQ,1995603,828608,41.52
20,63,ALEMBICLTD,EQ,105698,74439,70.43
20,64,ALICON,EQ,712,548,76.97
20,65,ALKALI,EQ,3494,2230,63.82
20,66,ALKEM,EQ,38483,18206,47.31
20,67,ALKYLAMINE,EQ,13117,10699,81.57
20,68,ALLCARGO,EQ,198487,90102,45.39
20,69,ALLSEC,EQ,6340,5925,93.45
20,70,ALMONDZ,EQ,103,103,100.00
20,71,ALOKTEXT,EQ,8151861,5687565,69.77
20,72,ALPA,EQ,9135,6633,72.61
20,73,ALPHAGEO,EQ,9698,7784,80.26
20,74,AMARAJABAT,EQ,289587,91231,31.50
20,75,AMBER,EQ,12025,7924,65.90
20,76,AMBIKCO,EQ,3361,2816,83.78
20,77,AMBUJACEM,EQ,1881525,1002785,53.30
20,78,AMDIND,EQ,3353,1868,55.71
20,79,AMJLAND,EQ,6212,4711,75.84
20,80,AMJUMBO,SM,40000,24000,60.00
20,81,AMRUTANJAN,EQ,46396,25011,53.91
20,82,ANANTRAJ,EQ,292735,116501,39.80
20,83,ANDHRABANK,EQ,465851,202112,43.39
20,84,ANDHRSUGAR,EQ,54264,31410,57.88
20,85,ANSALAPI,EQ,102613,48249,47.02
20,86,ANUP,EQ,6029,5430,90.06
20,87,APARINDS,EQ,9783,4547,46.48
20,88,APCL,EQ,3053,1944,63.68
20,89,APCOTEXIND,EQ,18794,11056,58.83
20,90,APEX,EQ,76562,22973,30.01
20,91,APLAPOLLO,EQ,12754,7457,58.47
20,92,APLLTD,EQ,52512,34568,65.83
20,93,APOLLO,EQ,16397,9590,58.49
20,94,APOLLOHOSP,EQ,878632,273464,31.12
20,95,APOLLOPIPE,EQ,7201,5224,72.55
20,96,APOLLOTYRE,EQ,2912380,1021290,35.07
20,97,APOLSINHOT,EQ,1553,1091,70.25
20,98,APTECHT,EQ,85635,21410,25.00
20,99,ARCHIDPLY,EQ,12945,9265,71.57
20,100,ARIES,EQ,10848,5755,53.05
20,101,ARIHANT,EQ,2381,2226,93.49
20,102,ARMANFIN,EQ,4380,2130,48.63
20,103,AROGRANITE,EQ,6108,3085,50.51
20,104,ARROWGREEN,EQ,2070,1646,79.52
20,105,ARROWTEX,EQ,7903,4080,51.63
20,106,ARSHIYA,EQ,25302,9858,38.96
20,107,ARSSINFRA,EQ,8981,6995,77.89
20,108,ARTEDZ,SM,6000,3000,50.00
20,109,ARVIND,EQ,1340950,700234,52.22
20,110,ARVINDFASN,EQ,24843,15015,60.44
20,111,ARVSMART,EQ,11398,9836,86.30
20,112,ASAHIINDIA,EQ,10775,7983,74.09
20,113,ASAHISONG,EQ,1979,1205,60.89
20,114,ASAL,EQ,1788,1585,88.65
20,115,ASCOM,ST,56000,56000,100.00
20,116,ASHIANA,EQ,169028,120943,71.55
20,117,ASHIMASYN,EQ,46014,35056,76.19
20,118,ASHOKA,EQ,235846,135029,57.25
20,119,ASHOKLEY,EQ,14167910,2912816,20.56
20,120,ASIANHOTNR,EQ,981,692,70.54
20,121,ASIANPAINT,EQ,751290,279275,37.17
20,122,ASIANTILES,EQ,28177,9436,33.49
20,123,ASPINWALL,EQ,330,220,66.67
20,124,ASTEC,EQ,1612,780,48.39
20,125,ASTERDM,EQ,49501,32392,65.44
20,126,ASTRAL,EQ,50655,32056,63.28
20,127,ASTRAMICRO,EQ,150185,87699,58.39
20,128,ASTRAZEN,EQ,35237,14454,41.02
20,129,ASTRON,EQ,384244,134642,35.04
20,130,ATFL,EQ,4360,3301,75.71
20,131,ATUL,EQ,18583,14709,79.15
20,132,ATULAUTO,EQ,14522,8648,59.55
20,133,AUBANK,EQ,198131,128344,64.78
20,134,AURIONPRO,EQ,2629,2106,80.11
20,135,AUROPHARMA,EQ,1291486,345405,26.74
20,136,AUSOMENT,EQ,5088,4227,83.08
20,137,AUTOAXLES,EQ,6995,3260,46.60
20,138,AUTOIND,EQ,5873,4285,72.96
20,139,AUTOLITIND,EQ,4154,3005,72.34
20,140,AVADHSUGAR,EQ,161460,43395,26.88
20,141,AVANTIFEED,EQ,240588,77028,32.02
20,142,AVROIND,SM,14000,14000,100.00
20,143,AVTNPL,EQ,64445,50209,77.91
20,144,AXISBANK,EQ,8977174,2993470,33.35
20,145,AXISCADES,EQ,68111,49583,72.80
20,146,AXISGOLD,EQ,488,309,63.32
20,147,AXISNIFTY,EQ,102,66,64.71
20,148,AYMSYNTEX,EQ,3350,2707,80.81
20,149,BAJAJ-AUTO,EQ,217098,66866,30.80
20,150,BAJAJCON,EQ,222756,183972,82.59
20,151,BAJAJELEC,EQ,72040,32301,44.84
20,152,BAJAJFINSV,EQ,149833,33190,22.15
20,153,BAJAJHIND,EQ,1963820,971072,49.45
20,154,BAJAJHLDNG,EQ,13740,9958,72.47
20,155,BAJFINANCE,EQ,1268942,445735,35.13
20,156,BALAJITELE,EQ,57671,33676,58.39
20,157,BALAMINES,EQ,17826,8769,49.19
20,158,BALAXI,EQ,1,1,100.00
20,159,BALKRISIND,EQ,793677,214667,27.05
20,160,BALLARPUR,EQ,3435758,3378005,98.32
20,161,BALMLAWRIE,EQ,121227,74980,61.85
20,162,BALPHARMA,EQ,1738,938,53.97
20,163,BALRAMCHIN,EQ,2269157,1007129,44.38
20,164,BANARBEADS,EQ,99,99,100.00
20,165,BANARISUG,EQ,235,122,51.91
20,166,BANCOINDIA,EQ,66554,35187,52.87
20,167,BANDHANBNK,EQ,1111829,596507,53.65
20,168,BANG,EQ,10230,8757,85.60
20,169,BANKBARODA,EQ,32714343,2477539,7.57
20,170,BANKBEES,EQ,1936,903,46.64
20,171,BANKINDIA,EQ,2964339,381356,12.86
20,172,BANSAL,SM,1000,1000,100.00
20,173,BANSWRAS,EQ,1545,1374,88.93
20,174,BASF,EQ,4425,1915,43.28
20,175,BASML,EQ,654,291,44.50
20,176,BATAINDIA,EQ,356524,76079,21.34
20,177,BAYERCROP,EQ,2541,1426,56.12
20,178,BBL,EQ,6503,2783,42.80
20,179,BBTC,EQ,45450,11096,24.41
20,180,BCG,EQ,935254,900232,96.26
20,181,BCP,EQ,74526,56604,75.95
20,182,BDL,EQ,41692,21347,51.20
20,183,BEARDSELL,EQ,3549,3539,99.72
20,184,BEDMUTHA,EQ,2862,2812,98.25
20,185,BEL,EQ,6051685,2431310,40.18
20,186,BEML,EQ,1544660,241408,15.63
20,187,BEPL,EQ,183027,81481,44.52
20,188,BERGEPAINT,EQ,2805576,871127,31.05
20,189,BFINVEST,EQ,628390,92443,14.71
20,190,BFUTILITIE,EQ,934204,336620,36.03
20,191,BGRENERGY,EQ,162017,94489,58.32
20,192,BHAGERIA,EQ,16209,10655,65.74
20,193,BHAGYANGR,EQ,1212,912,75.25
20,194,BHAGYAPROP,EQ,10084,10071,99.87
20,195,BHANDARI,EQ,44374,31415,70.80
20,196,BHARATFORG,EQ,1039163,271705,26.15
20,197,BHARATGEAR,EQ,5690,2845,50.00
20,198,BHARATRAS,EQ,866,382,44.11
20,199,BHARATWIRE,EQ,5801,5371,92.59
20,200,BHARTIARTL,EQ,7865300,2186480,27.80
20,201,BHEL,EQ,14269784,5032124,35.26
20,202,BIGBLOC,EQ,1115,938,84.13
20,203,BIL,EQ,2100,1403,66.81
20,204,BILENERGY,EQ,17940,17940,100.00
20,205,BINDALAGRO,EQ,16276,11481,70.54
20,206,BIOCON,EQ,2425661,561564,23.15
20,207,BIOFILCHEM,EQ,11850,11850,100.00
20,208,BIRLACABLE,EQ,40588,25237,62.18
20,209,BIRLACORPN,EQ,31928,18369,57.53
20,210,BIRLAMONEY,EQ,73068,38178,52.25
20,211,BKMINDST,EQ,90533,77516,85.62
20,212,BLBLIMITED,EQ,8496,7375,86.81
20,213,BLISSGVS,EQ,610573,249977,40.94
20,214,BLKASHYAP,EQ,37863,29747,78.56
20,215,BLS,EQ,8227,5418,65.86
20,216,BLUEDART,EQ,7701,2960,38.44
20,217,BLUESTARCO,EQ,21949,11072,50.44
20,218,BODALCHEM,EQ,48068,35916,74.72
20,219,BOMDYEING,EQ,936392,292591,31.25
20,220,BOROSIL,EQ,99528,36333,36.51
20,221,BOSCHLTD,EQ,21027,7690,36.57
20,222,BPCL,EQ,5474113,904523,16.52
20,223,BPL,EQ,41607,26434,63.53
20,224,BRIGADE,EQ,29132,17861,61.31
20,225,BRITANNIA,EQ,206624,95175,46.06
20,226,BRITANNIA,N2,27498,23967,87.16
20,227,BRNL,EQ,3402,1129,33.19
20,228,BROOKS,EQ,8941,6858,76.70
20,229,BSE,EQ,56870,28493,50.10
20,230,BSHSL,SM,2400,2400,100.00
20,231,BSL,EQ,6091,3937,64.64
20,232,BSLGOLDETF,EQ,30,25,83.33
20,233,BSLNIFTY,EQ,326,314,96.32
20,234,BSOFT,EQ,82304,53513,65.02
20,235,BUTTERFLY,EQ,21755,7831,36.00
20,236,BYKE,EQ,18504,11625,62.82
20,237,CADILAHC,EQ,892750,228573,25.60
20,238,CAMLINFINE,EQ,165717,89953,54.28
20,239,CANBK,EQ,12158261,850881,7.00
20,240,CANFINHOME,EQ,252612,113699,45.01
20,241,CANTABIL,EQ,22258,4143,18.61
20,242,CAPACITE,EQ,15582,7821,50.19
20,243,CAPLIPOINT,EQ,77371,55924,72.28
20,244,CARBORUNIV,EQ,49261,40030,81.26
20,245,CAREERP,EQ,5515,4483,81.29
20,246,CARERATING,EQ,25543,18368,71.91
20,247,CASTROLIND,EQ,833658,227445,27.28
20,248,CCL,EQ,24114,14198,58.88
20,249,CDSL,EQ,178295,95319,53.46
20,250,CEATLTD,EQ,235098,41200,17.52
20,251,CEBBCO,EQ,32343,21060,65.11
20,252,CELEBRITY,EQ,1602,1602,100.00
20,253,CENTENKA,EQ,8132,6498,79.91
20,254,CENTEXT,EQ,14684,14444,98.37
20,255,CENTRALBK,EQ,673476,449458,66.74
20,256,CENTRUM,EQ,62794,31541,50.23
20,257,CENTUM,EQ,1334,733,54.95
20,258,CENTURYPLY,EQ,581944,510112,87.66
20,259,CENTURYTEX,EQ,6211145,705335,11.36
20,260,CERA,EQ,1518,928,61.13
20,261,CEREBRAINT,EQ,86491,61539,71.15
20,262,CESC,EQ,621862,111782,17.98
20,263,CESCVENT,EQ,23841,11491,48.20
20,264,CGCL,EQ,379063,40612,10.71
20,265,CGPOWER,EQ,584286,383716,65.67
20,266,CHALET,EQ,2406,1223,50.83
20,267,CHAMBLFERT,EQ,366479,288055,78.60
20,268,CHEMBOND,EQ,2430,1971,81.11
20,269,CHEMFAB,EQ,897,846,94.31
20,270,CHENNPETRO,EQ,189484,99496,52.51
20,271,CHOLAFIN,EQ,1860736,672386,36.14
20,272,CHOLAHLDNG,EQ,162526,150254,92.45
20,273,CHROMATIC,EQ,3144,3144,100.00
20,274,CIGNITITEC,EQ,59132,50145,84.80
20,275,CIMMCO,EQ,11615,4365,37.58
20,276,CINELINE,EQ,9781,7509,76.77
20,277,CIPLA,EQ,3761784,1678267,44.61
20,278,CKPLEISURE,SM,32000,16000,50.00
20,279,CLEDUCATE,EQ,1314,955,72.68
20,280,CLNINDIA,EQ,13261,8775,66.17
20,281,CMICABLES,EQ,11610,10190,87.77
20,282,CNOVAPETRO,EQ,815,775,95.09
20,283,COALINDIA,EQ,3992473,2140061,53.60
20,284,COCHINSHIP,EQ,99652,64210,64.43
20,285,COFFEEDAY,EQ,1525155,685149,44.92
20,286,COLPAL,EQ,471960,166826,35.35
20,287,COMPINFO,EQ,81688,29187,35.73
20,288,COMPUSOFT,EQ,21722,12957,59.65
20,289,CONCOR,EQ,1183697,567792,47.97
20,290,CONFIPET,EQ,134955,103982,77.05
20,291,CONSOFINVT,EQ,557,556,99.82
20,292,CONTI,SM,36000,16000,44.44
20,293,CONTROLPR,EQ,1568,1041,66.39
20,294,CORALFINAC,EQ,7019,6750,96.17
20,295,CORDSCABLE,EQ,3081,2543,82.54
20,296,COROMANDEL,EQ,511159,217382,42.53
20,297,CORPBANK,EQ,926143,292837,31.62
20,298,COSMOFILMS,EQ,5300,2594,48.94
20,299,COUNCODOS,EQ,4622,4622,100.00
20,300,COX&KINGS,EQ,5410018,3887764,71.86
20,301,CPSEETF,EQ,1366054,957235,70.07
20,302,CREATIVE,EQ,17339,9595,55.34
20,303,CREDITACC,EQ,141673,67007,47.30
20,304,CREST,EQ,1705,1010,59.24
20,305,CRISIL,EQ,7493,5009,66.85
20,306,CROMPTON,EQ,295504,211652,71.62
20,307,CSBBANK,EQ,2573011,499671,19.42
20,308,CTE,EQ,5255,2627,49.99
20,309,CUB,EQ,2015519,1810900,89.85
20,310,CUMMINSIND,EQ,342495,46916,13.70
20,311,CUPID,EQ,32360,23841,73.67
20,312,CYBERTECH,EQ,23257,17662,75.94
20,313,CYIENT,EQ,109373,63682,58.22
20,314,DAAWAT,EQ,229889,123269,53.62
20,315,DABUR,EQ,1721369,1079738,62.73
20,316,DALBHARAT,EQ,39922,31109,77.92
20,317,DALMIASUG,EQ,145275,39503,27.19
20,318,DAMODARIND,EQ,8943,6230,69.66
20,319,DATAMATICS,EQ,13583,9383,69.08
20,320,DBCORP,EQ,16904,11405,67.47
20,321,DBL,EQ,109604,36691,33.48
20,322,DBREALTY,EQ,179010,132557,74.05
20,323,DBSTOCKBRO,EQ,440,440,100.00
20,324,DCAL,EQ,90898,61796,67.98
20,325,DCBBANK,EQ,412673,216594,52.49
20,326,DCMNVL,EQ,8587,8397,97.79
20,327,DCMSHRIRAM,EQ,239563,87162,36.38
20,328,DCW,EQ,486391,434998,89.43
20,329,DECCANCE,EQ,2160,1893,87.64
20,330,DEEPAKFERT,EQ,201988,99770,49.39
20,331,DEEPAKNTR,EQ,283618,109045,38.45
20,332,DEEPIND,EQ,15826,8406,53.12
20,333,DELTACORP,EQ,687292,239670,34.87
20,334,DELTAMAGNT,EQ,312,250,80.13
20,335,DENORA,EQ,2482,2041,82.23
20,336,DEVIT,SM,16500,15000,90.91
20,337,DFMFOODS,EQ,32166,20660,64.23
20,338,DGCONTENT,EQ,1949,1949,100.00
20,339,DHAMPURSUG,EQ,1026829,269774,26.27
20,340,DHANBANK,EQ,183319,113521,61.93
20,341,DHANUKA,EQ,31709,17649,55.66
20,342,DHFL,EQ,1374371,667234,48.55
20,343,DHFL,N4,2,2,100.00
20,344,DHFL,NA,28,28,100.00
20,345,DHFL,NC,1166,848,72.73
20,346,DHFL,NP,1198,1182,98.66
20,347,DHFL,NQ,30,20,66.67
20,348,DHFL,NS,350,350,100.00
20,349,DHFL,NX,2,0,0.00
20,350,DHFL,Y1,100,100,100.00
20,351,DHUNINV,EQ,66110,10879,16.46
20,352,DIAMONDYD,EQ,1058,580,54.82
20,353,DICIND,EQ,1526,767,50.26
20,354,DIGISPICE,EQ,61574,50835,82.56
20,355,DISHTV,EQ,121502432,26210481,21.57
20,356,DIVISLAB,EQ,574599,258784,45.04
20,357,DIXON,EQ,24221,7252,29.94
20,358,DLF,EQ,8352510,1195232,14.31
20,359,DLINKINDIA,EQ,185885,113201,60.90
20,360,DMART,EQ,370776,203805,54.97
20,361,DOLAT,EQ,28454,20240,71.13
20,362,DOLLAR,EQ,23587,14725,62.43
20,363,DONEAR,EQ,7749,5980,77.17
20,364,DPABHUSHAN,SM,84000,60000,71.43
20,365,DPSCLTD,EQ,3750,1050,28.00
20,366,DREDGECORP,EQ,100853,28957,28.71
20,367,DRREDDY,EQ,529357,193023,36.46
20,368,DSSL,EQ,2516,2427,96.46
20,369,DTIL,EQ,4573,2052,44.87
20,370,DUCON,EQ,69309,49295,71.12
20,371,DVL,EQ,14942,11391,76.23
20,372,DWARKESH,EQ,1072227,487773,45.49
20,373,DYNAMATECH,EQ,1538,972,63.20
20,374,DYNPRO,EQ,8352,6368,76.25
20,375,E2E,SM,2000,2000,100.00
20,376,EBANK,EQ,1,1,100.00
20,377,ECLERX,EQ,24454,9413,38.49
20,378,ECLFINANCE,N5,2234,2234,100.00
20,379,ECLFINANCE,NB,10,10,100.00
20,380,ECLFINANCE,NC,31,31,100.00
20,381,ECLFINANCE,NE,1355,1355,100.00
20,382,ECLFINANCE,NF,510,510,100.00
20,383,ECLFINANCE,NG,520,520,100.00
20,384,ECLFINANCE,NM,175,175,100.00
20,385,ECLFINANCE,NO,986,986,100.00
20,386,ECLFINANCE,NP,150,150,100.00
20,387,ECLFINANCE,NQ,80,80,100.00
20,388,ECLFINANCE,NR,6697,6367,95.07
20,389,ECLFINANCE,NS,136,136,100.00
20,390,EDELWEISS,EQ,615677,322493,52.38
20,391,EHFLNCD,N5,156,156,100.00
20,392,EHFLNCD,N6,50,50,100.00
20,393,EICHERMOT,EQ,98482,13908,14.12
20,394,EIDPARRY,EQ,2838893,901474,31.75
20,395,EIFFL,SM,8800,7200,81.82
20,396,EIHAHOTELS,EQ,1138,641,56.33
20,397,EIHOTEL,EQ,106478,65407,61.43
20,398,EIMCOELECO,EQ,1667,1162,69.71
20,399,EKC,EQ,21166,14044,66.35
20,400,ELECON,EQ,30466,22989,75.46
20,401,ELECTCAST,EQ,177206,167944,94.77
20,402,ELECTHERM,EQ,3207,2542,79.26
20,403,ELGIEQUIP,EQ,6906,5803,84.03
20,404,ELGIRUBCO,EQ,11236,6776,60.31
20,405,EMAMILTD,EQ,218192,191375,87.71
20,406,EMAMIPAP,EQ,24083,5329,22.13
20,407,EMBASSY,RR,589600,557600,94.57
20,408,EMKAY,EQ,15514,12504,80.60
20,409,EMKAYTOOLS,SM,600,600,100.00
20,410,EMMBI,EQ,6375,2948,46.24
20,411,EMOFSR1RGG,MF,17000,16700,98.24
20,412,ENDURANCE,EQ,13996,9553,68.26
20,413,ENGINERSIN,EQ,2513759,2269250,90.27
20,414,ENIL,EQ,10325,9630,93.27
20,415,EON,EQ,15923,10754,67.54
20,416,EQUITAS,EQ,7575360,1294217,17.08
20,417,ERFLNCDI,N3,2,0,0.00
20,418,ERFLNCDI,N4,25,25,100.00
20,419,ERFLNCDI,N5,35,35,100.00
20,420,ERIS,EQ,489233,85361,17.45
20,421,ESABINDIA,EQ,2607,1233,47.30
20,422,ESCORTS,EQ,1842220,124848,6.78
20,423,ESSELPACK,EQ,127413,74003,58.08
20,424,EUROTEXIND,EQ,103,50,48.54
20,425,EVEREADY,EQ,137706,106218,77.13
20,426,EVERESTIND,EQ,14369,8186,56.97
20,427,EXCELINDUS,EQ,8065,4399,54.54
20,428,EXIDEIND,EQ,1314595,640892,48.75
20,429,EXPLEOSOL,EQ,1204,699,58.06
20,430,FACT,EQ,45109,25756,57.10
20,431,FAIRCHEM,EQ,6580,5375,81.69
20,432,FCL,EQ,45350,30040,66.24
20,433,FCONSUMER,EQ,505268,194440,38.48
20,434,FCSSOFT,EQ,969568,943875,97.35
20,435,FDC,EQ,84657,42377,50.06
20,436,FEDERALBNK,EQ,7626176,2450693,32.14
20,437,FEL,EQ,556495,484518,87.07
20,438,FELDVR,EQ,6924,5199,75.09
