Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,14693,10537,71.71
20,2,21STCENMGM,EQ,2,2,100.00
20,3,3IINFOTECH,EQ,522318,260281,49.83
20,4,3MINDIA,EQ,3337,2916,87.38
20,5,3PLAND,EQ,10,10,100.00
20,6,5PAISA,EQ,23706,12112,51.09
20,7,63MOONS,EQ,126148,32951,26.12
20,8,772GS2049,GS,1,1,100.00
20,9,A2ZINFRA,EQ,225906,114087,50.50
20,10,AARON,SM,3300,3300,100.00
20,11,AARTIDRUGS,EQ,2971,2256,75.93
20,12,AARTIIND,EQ,76417,56303,73.68
20,13,AARVEEDEN,EQ,2180,1449,66.47
20,14,AAVAS,EQ,9038,4423,48.94
20,15,ABB,EQ,49536,31693,63.98
20,16,ABBOTINDIA,EQ,12639,8548,67.63
20,17,ABCAPITAL,EQ,729005,411769,56.48
20,18,ABFRL,EQ,463568,355824,76.76
20,19,ABINFRA,SM,12000,12000,100.00
20,20,ABSLNN50ET,EQ,18,18,100.00
20,21,ACC,EQ,1702459,188701,11.08
20,22,ACCELYA,EQ,1881,1214,64.54
20,23,ACE,EQ,100068,73911,73.86
20,24,ACEINTEG,SM,3000,3000,100.00
20,25,ADANIENT,EQ,11048872,839703,7.60
20,26,ADANIGAS,EQ,1819063,545560,29.99
20,27,ADANIGREEN,EQ,2719906,952333,35.01
20,28,ADANIPORTS,EQ,2434978,1142553,46.92
20,29,ADANIPOWER,EQ,6691019,1406983,21.03
20,30,ADANITRANS,EQ,1036776,215048,20.74
20,31,ADFFOODS,EQ,14748,4147,28.12
20,32,ADHUNIKIND,EQ,69740,44572,63.91
20,33,ADLABS,EQ,60255,35031,58.14
20,34,ADORWELD,EQ,1290,911,70.62
20,35,ADSL,EQ,24120,17924,74.31
20,36,ADVANIHOTR,EQ,3558,3246,91.23
20,37,ADVENZYMES,EQ,21491,14377,66.90
20,38,AEGISCHEM,EQ,130920,71270,54.44
20,39,AFFLE,EQ,67284,28514,42.38
20,40,AGARIND,EQ,40743,40113,98.45
20,41,AGLSL,EQ,2432,1880,77.30
20,42,AGRITECH,EQ,6526,5380,82.44
20,43,AGROPHOS,EQ,534710,144926,27.10
20,44,AHLADA,SM,7000,7000,100.00
20,45,AHLEAST,EQ,1089,812,74.56
20,46,AHLUCONT,EQ,1456,911,62.57
20,47,AHLWEST,EQ,150,54,36.00
20,48,AIAENG,EQ,7453,3989,53.52
