Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,19787,14971,75.66
20,2,21STCENMGM,EQ,923,922,99.89
20,3,3IINFOTECH,EQ,1125932,717658,63.74
20,4,3MINDIA,EQ,2088,926,44.35
20,5,5PAISA,EQ,59185,33735,57.00
20,6,63MOONS,EQ,260576,122414,46.98
20,7,8KMILES,EQ,123860,64467,52.05
20,8,A2ZINFRA,EQ,2025411,753515,37.20
20,9,AARON,SM,6000,3000,50.00
20,10,AARTIDRUGS,EQ,7087,3660,51.64
20,11,AARTIIND,EQ,175336,81443,46.45
20,12,AARVEEDEN,EQ,1260,1174,93.17
20,13,AAVAS,EQ,14668,6075,41.42
20,14,ABB,EQ,104736,77823,74.30
20,15,ABBOTINDIA,EQ,9070,5110,56.34
20,16,ABCAPITAL,EQ,1314905,581114,44.19
20,17,ABFRL,EQ,465754,197946,42.50
20,18,ABSLNN50ET,EQ,130,130,100.00
20,19,ACC,EQ,997742,421536,42.25
20,20,ACCELYA,EQ,4347,3136,72.14
20,21,ACE,EQ,204154,103839,50.86
20,22,ADANIENT,EQ,39732349,1882418,4.74
20,23,ADANIGAS,EQ,832157,292115,35.10
20,24,ADANIGREEN,EQ,2839782,1187469,41.82
20,25,ADANIPORTS,EQ,9115899,2453039,26.91
20,26,ADANIPOWER,EQ,25614931,4459251,17.41
20,27,ADANITRANS,EQ,143765,63494,44.17
20,28,ADFFOODS,EQ,26036,10956,42.08
20,29,ADHUNIKIND,EQ,26119,7640,29.25
20,30,ADLABS,EQ,210223,107798,51.28
20,31,ADORWELD,EQ,62577,17834,28.50
20,32,ADSL,EQ,13824,8340,60.33
20,33,ADVANIHOTR,EQ,4301,3166,73.61
20,34,ADVENZYMES,EQ,114543,47858,41.78
20,35,AEGISCHEM,EQ,78430,44672,56.96
20,36,AGARIND,EQ,665,384,57.74
20,37,AGCNET,EQ,423,204,48.23
20,38,AGLSL,EQ,1082,830,76.71
20,39,AGRITECH,EQ,10966,7179,65.47
20,40,AHLEAST,EQ,5849,2488,42.54
20,41,AHLUCONT,EQ,41282,39132,94.79
20,42,AHLWEST,EQ,59,54,91.53
20,43,AIAENG,EQ,8392,5211,62.09
20,44,AIONJSW,EQ,28553,26275,92.02
20,45,AIRAN,EQ,26862,15125,56.31
20,46,AISL,SM,2400,2400,100.00
20,47,AJANTPHARM,EQ,271207,60573,22.33
20,48,AJMERA,EQ,23064,11072,48.01
20,49,AKG,SM,8000,8000,100.00
20,50,AKSHARCHEM,EQ,3957,2648,66.92
20,51,AKSHOPTFBR,EQ,3715794,975351,26.25
20,52,AKZOINDIA,EQ,2502,1558,62.27
20,53,ALANKIT,EQ,552754,144939,26.22
20,54,ALBERTDAVD,EQ,3094,1837,59.37
20,55,ALBK,EQ,5124061,707463,13.81
20,56,ALEMBICLTD,EQ,68545,46265,67.50
20,57,ALICON,EQ,920,502,54.57
20,58,ALKALI,EQ,12846,10665,83.02
20,59,ALKEM,EQ,8815,4986,56.56
20,60,ALKYLAMINE,EQ,39037,12973,33.23
20,61,ALLCARGO,EQ,50220,27834,55.42
20,62,ALMONDZ,EQ,937,881,94.02
20,63,ALPA,EQ,13709,10509,76.66
20,64,ALPHAGEO,EQ,5553,2667,48.03
20,65,AMARAJABAT,EQ,180047,41314,22.95
20,66,AMBER,EQ,3314,1897,57.24
20,67,AMBIKCO,EQ,3203,2252,70.31
20,68,AMBUJACEM,EQ,3868084,2401426,62.08
20,69,AMDIND,EQ,1426,1317,92.36
20,70,AMJLAND,EQ,923,838,90.79
20,71,AMRUTANJAN,EQ,33859,10766,31.80
20,72,ANANTRAJ,EQ,220649,135805,61.55
20,73,ANDHRABANK,EQ,1404185,484166,34.48
20,74,ANDHRSUGAR,EQ,58834,25438,43.24
20,75,ANIKINDS,EQ,2009,1500,74.66
20,76,ANSALAPI,EQ,98422,75274,76.48
20,77,ANSALHSG,EQ,123218,77479,62.88
20,78,ANUP,EQ,41569,28109,67.62
20,79,APARINDS,EQ,2315,1385,59.83
20,80,APCL,EQ,4446,3012,67.75
20,81,APCOTEXIND,EQ,5411,3670,67.82
20,82,APEX,EQ,28604,13846,48.41
20,83,APLAPOLLO,EQ,18051,9139,50.63
20,84,APLLTD,EQ,42105,30314,72.00
20,85,APOLLO,EQ,26375,14610,55.39
20,86,APOLLOHOSP,EQ,253823,48550,19.13
20,87,APOLLOTYRE,EQ,1808112,626752,34.66
20,88,APOLSINHOT,EQ,524,514,98.09
20,89,APTECHT,EQ,142828,51058,35.75
20,90,ARCHIDPLY,EQ,9121,5975,65.51
20,91,ARCHIES,EQ,34281,20924,61.04
20,92,ARIES,EQ,39672,23707,59.76
20,93,ARIHANT,EQ,3460,3244,93.76
20,94,ARMANFIN,EQ,3170,2760,87.07
20,95,AROGRANITE,EQ,11408,9156,80.26
20,96,ARROWGREEN,EQ,4834,2876,59.50
20,97,ARROWTEX,EQ,5041,4765,94.52
20,98,ARSHIYA,EQ,14294,11079,77.51
20,99,ARVIND,EQ,2038004,402539,19.75
20,100,ARVINDFASN,EQ,90077,44853,49.79
20,101,ARVSMART,EQ,7704,6367,82.65
20,102,ASAHIINDIA,EQ,75502,69305,91.79
20,103,ASAHISONG,EQ,5770,5023,87.05
20,104,ASAL,EQ,3985,2679,67.23
20,105,ASHIANA,EQ,73910,69055,93.43
20,106,ASHIMASYN,EQ,28796,25717,89.31
20,107,ASHOKA,EQ,442985,313373,70.74
20,108,ASHOKLEY,EQ,27443220,7288877,26.56
20,109,ASIANHOTNR,EQ,644,211,32.76
20,110,ASIANPAINT,EQ,1166297,640776,54.94
20,111,ASIANTILES,EQ,107266,40726,37.97
20,112,ASLIND,SM,4000,4000,100.00
20,113,ASPINWALL,EQ,3319,3252,97.98
20,114,ASTEC,EQ,21362,19090,89.36
20,115,ASTERDM,EQ,14318,8391,58.60
20,116,ASTRAL,EQ,168016,100703,59.94
20,117,ASTRAMICRO,EQ,131040,69523,53.05
20,118,ASTRAZEN,EQ,16835,10946,65.02
20,119,ASTRON,EQ,276233,55176,19.97
20,120,ATFL,EQ,2239,1001,44.71
20,121,ATLANTA,EQ,34341,29192,85.01
20,122,ATUL,EQ,11108,5285,47.58
20,123,ATULAUTO,EQ,6438,4133,64.20
20,124,AUBANK,EQ,199328,121197,60.80
20,125,AURIONPRO,EQ,3178,2161,68.00
20,126,AUROPHARMA,EQ,4277829,1568722,36.67
20,127,AUSOMENT,EQ,970,956,98.56
20,128,AUTOAXLES,EQ,4331,2055,47.45
20,129,AUTOIND,EQ,14870,10933,73.52
20,130,AUTOLITIND,EQ,3427,2009,58.62
20,131,AVADHSUGAR,EQ,100571,45633,45.37
20,132,AVANTIFEED,EQ,321045,91944,28.64
20,133,AVTNPL,EQ,14144,10068,71.18
20,134,AXISBANK,EQ,9251548,4957358,53.58
20,135,AXISCADES,EQ,421319,247370,58.71
20,136,AXISGOLD,EQ,217,130,59.91
20,137,AXISNIFTY,EQ,3621,2187,60.40
20,138,AYMSYNTEX,EQ,2375,1746,73.52
20,139,BAFNAPHARM,EQ,5694,4124,72.43
20,140,BAGFILMS,EQ,12217,9903,81.06
20,141,BAJAJ-AUTO,EQ,447168,160127,35.81
20,142,BAJAJCON,EQ,35020,20999,59.96
20,143,BAJAJELEC,EQ,211457,59290,28.04
20,144,BAJAJFINSV,EQ,379115,74908,19.76
20,145,BAJAJHIND,EQ,1360280,638178,46.92
20,146,BAJAJHLDNG,EQ,15920,6433,40.41
20,147,BAJFINANCE,EQ,2884997,886080,30.71
20,148,BALAJITELE,EQ,22142,16777,75.77
20,149,BALAMINES,EQ,38084,23112,60.69
20,150,BALKRISHNA,EQ,9784,7444,76.08
20,151,BALKRISIND,EQ,1498228,855637,57.11
20,152,BALLARPUR,EQ,96049,96049,100.00
20,153,BALMLAWRIE,EQ,46702,30880,66.12
20,154,BALPHARMA,EQ,6501,3479,53.51
