Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,31915,16120,50.51
20,2,21STCENMGM,EQ,40,39,97.50
20,3,3IINFOTECH,EQ,1208018,615533,50.95
20,4,3MINDIA,EQ,1035,698,67.44
20,5,5PAISA,EQ,3332,1338,40.16
20,6,63MOONS,EQ,383385,103610,27.03
20,7,8KMILES,EQ,134753,38419,28.51
20,8,A2ZINFRA,EQ,154354,113336,73.43
20,9,AARON,SM,3000,3000,100.00
20,10,AARTIDRUGS,EQ,8210,4482,54.59
20,11,AARTIIND,EQ,60083,34462,57.36
20,12,AARVEEDEN,EQ,4730,4288,90.66
20,13,AARVI,SM,20000,16000,80.00
20,14,AAVAS,EQ,336017,320309,95.33
20,15,ABB,EQ,185146,80071,43.25
20,16,ABBOTINDIA,EQ,5761,3404,59.09
20,17,ABCAPITAL,EQ,947184,379907,40.11
20,18,ABFRL,EQ,212740,120028,56.42
20,19,ABSLNN50ET,EQ,33,29,87.88
20,20,ACC,EQ,298942,32774,10.96
20,21,ACCELYA,EQ,1616,1014,62.75
20,22,ACCORD,SM,2000,2000,100.00
20,23,ACE,EQ,522808,331043,63.32
20,24,ADANIENT,EQ,7477081,750752,10.04
20,25,ADANIGAS,EQ,1088194,285381,26.23
20,26,ADANIGREEN,EQ,1005299,431154,42.89
20,27,ADANIPORTS,EQ,2329686,611047,26.23
20,28,ADANIPOWER,EQ,15460100,2139075,13.84
20,29,ADANITRANS,EQ,37862,23623,62.39
20,30,ADFFOODS,EQ,20824,10397,49.93
20,31,ADHUNIKIND,EQ,30890,17086,55.31
20,32,ADLABS,EQ,120884,80638,66.71
20,33,ADORWELD,EQ,1276,1160,90.91
20,34,ADSL,EQ,22466,14785,65.81
20,35,ADVANIHOTR,EQ,20016,2339,11.69
20,36,ADVENZYMES,EQ,93372,65854,70.53
20,37,AEGISCHEM,EQ,67655,40137,59.33
20,38,AGARIND,EQ,31690,24840,78.38
20,39,AGCNET,EQ,1200,766,63.83
20,40,AGLSL,EQ,1136,1017,89.52
20,41,AGRITECH,EQ,7493,5220,69.67
20,42,AHIMSA,SM,24000,24000,100.00
20,43,AHLEAST,EQ,1737,1298,74.73
20,44,AHLUCONT,EQ,21278,19143,89.97
20,45,AHLWEST,EQ,18632,15384,82.57
20,46,AIAENG,EQ,4672,3080,65.92
20,47,AIONJSW,EQ,18438,13226,71.73
20,48,AIRAN,EQ,43992,24066,54.71
20,49,AJANTPHARM,EQ,322116,135569,42.09
20,50,AJMERA,EQ,18057,8634,47.82
20,51,AJOONI,SM,4000,4000,100.00
20,52,AKASH,SM,4000,0,0.00
20,53,AKSHARCHEM,EQ,1749,721,41.22
20,54,AKSHOPTFBR,EQ,763776,369379,48.36
20,55,AKZOINDIA,EQ,914,636,69.58
20,56,ALANKIT,EQ,564701,144360,25.56
20,57,ALBERTDAVD,EQ,1656,1149,69.38
20,58,ALBK,EQ,3449285,352913,10.23
20,59,ALEMBICLTD,EQ,37215,26087,70.10
20,60,ALICON,EQ,513,406,79.14
20,61,ALKALI,EQ,3955,2507,63.39
20,62,ALKEM,EQ,10175,5522,54.27
20,63,ALKYLAMINE,EQ,2783,2123,76.28
20,64,ALLCARGO,EQ,213407,66846,31.32
20,65,ALMONDZ,EQ,15452,11595,75.04
20,66,ALPA,EQ,18163,9414,51.83
20,67,ALPHAGEO,EQ,4967,4082,82.18
20,68,AMARAJABAT,EQ,240785,58888,24.46
20,69,AMBER,EQ,8168,6863,84.02
20,70,AMBIKCO,EQ,859,546,63.56
20,71,AMBUJACEM,EQ,1890005,616319,32.61
20,72,AMDIND,EQ,12734,5309,41.69
20,73,AMJLAND,EQ,8659,8373,96.70
20,74,AMRUTANJAN,EQ,14517,8953,61.67
20,75,ANANTRAJ,EQ,111401,63880,57.34
20,76,ANDHRABANK,EQ,396895,229523,57.83
20,77,ANDHRSUGAR,EQ,34523,17966,52.04
20,78,ANIKINDS,EQ,1971,1861,94.42
20,79,ANSALAPI,EQ,353440,189768,53.69
20,80,ANSALHSG,EQ,98231,59408,60.48
20,81,ANUP,EQ,5193,4399,84.71
20,82,APARINDS,EQ,5179,3441,66.44
20,83,APCL,EQ,2991,2515,84.09
20,84,APCOTEXIND,EQ,2295,1377,60.00
20,85,APEX,EQ,47375,20595,43.47
20,86,APLAPOLLO,EQ,115795,105352,90.98
20,87,APLLTD,EQ,22984,12423,54.05
20,88,APOLLO,EQ,14258,7789,54.63
20,89,APOLLOHOSP,EQ,523008,34793,6.65
20,90,APOLLOTYRE,EQ,1166390,276348,23.69
20,91,APOLSINHOT,EQ,665,541,81.35
20,92,APTECHT,EQ,69716,16415,23.55
20,93,ARCHIDPLY,EQ,4786,3453,72.15
20,94,ARCHIES,EQ,21073,15317,72.69
20,95,ARENTERP,EQ,100,100,100.00
20,96,ARIES,EQ,35714,15752,44.11
20,97,ARIHANT,EQ,4992,1761,35.28
20,98,ARMANFIN,EQ,7551,5290,70.06
20,99,AROGRANITE,EQ,5878,4367,74.29
20,100,ARROWGREEN,EQ,49513,31591,63.80
20,101,ARROWTEX,EQ,3995,3847,96.30
20,102,ARSHIYA,EQ,32741,23489,71.74
20,103,ARVIND,EQ,1154006,220279,19.09
20,104,ARVINDFASN,EQ,27907,22567,80.87
20,105,ARVSMART,EQ,8453,3861,45.68
20,106,ASAHIINDIA,EQ,120396,111775,92.84
20,107,ASAHISONG,EQ,1779,1270,71.39
20,108,ASAL,EQ,3601,3345,92.89
20,109,ASHIANA,EQ,35087,30266,86.26
20,110,ASHIMASYN,EQ,20564,12439,60.49
20,111,ASHOKA,EQ,82498,43126,52.28
20,112,ASHOKLEY,EQ,13506820,3114944,23.06
20,113,ASIANHOTNR,EQ,3537,1138,32.17
20,114,ASIANPAINT,EQ,874293,458614,52.46
20,115,ASIANTILES,EQ,73868,15669,21.21
20,116,ASPINWALL,EQ,2544,2112,83.02
20,117,ASTEC,EQ,12854,11902,92.59
20,118,ASTERDM,EQ,15417,9931,64.42
20,119,ASTRAL,EQ,46875,19476,41.55
20,120,ASTRAMICRO,EQ,194480,99445,51.13
20,121,ASTRAZEN,EQ,3095,1317,42.55
20,122,ASTRON,EQ,284919,132266,46.42
20,123,ATFL,EQ,2345,1690,72.07
20,124,ATLANTA,EQ,36718,14959,40.74
20,125,ATUL,EQ,12382,8227,66.44
20,126,ATULAUTO,EQ,2579,1272,49.32
20,127,AUBANK,EQ,139869,57704,41.26
