Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1375,SHALPAINTS,EQ,25237,16512,65.43
20,1376,SHANKARA,EQ,134018,36067,26.91
20,1377,SHANTI,SM,13500,13500,100.00
20,1378,SHANTIGEAR,EQ,46744,21061,45.06
20,1379,SHARDACROP,EQ,22277,13273,59.58
20,1380,SHARDAMOTR,EQ,3600,2121,58.92
20,1381,SHARIABEES,EQ,63,59,93.65
20,1382,SHEMAROO,EQ,27415,17042,62.16
20,1383,SHILPAMED,EQ,4451,3844,86.36
20,1384,SHIVAMAUTO,EQ,158485,77202,48.71
20,1385,SHIVAMILLS,EQ,7538,3356,44.52
20,1386,SHIVATEX,EQ,4881,2174,44.54
20,1387,SHK,EQ,24932,20278,81.33
20,1388,SHOPERSTOP,EQ,6281,2622,41.74
20,1389,SHREDIGCEM,EQ,380260,216828,57.02
20,1390,SHREECEM,EQ,24877,11437,45.97
20,1391,SHREEPUSHK,EQ,18404,10015,54.42
20,1392,SHREERAMA,EQ,8688,7687,88.48
20,1393,SHRENIK,EQ,60575,15250,25.18
20,1394,SHREYANIND,EQ,12130,7028,57.94
20,1395,SHREYAS,EQ,3689,2533,68.66
20,1396,SHRIRAMCIT,EQ,967,584,60.39
20,1397,SHRIRAMEPC,EQ,62063,51998,83.78
20,1398,SHUBHLAXMI,SM,13000,8000,61.54
20,1399,SHYAMCENT,EQ,15930,14930,93.72
20,1400,SHYAMTEL,EQ,20,20,100.00
20,1401,SICAGEN,EQ,3146,2826,89.83
20,1402,SICAL,EQ,123974,89395,72.11
20,1403,SIEMENS,EQ,1143254,445867,39.00
20,1404,SIGIND,EQ,49204,40566,82.44
20,1405,SIKKO,SM,16000,16000,100.00
20,1406,SILINV,EQ,1203,720,59.85
20,1407,SILLYMONKS,SM,2400,1200,50.00
20,1408,SIMPLEXINF,EQ,164543,98500,59.86
20,1409,SINTERCOM,SM,188000,188000,100.00
