Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,13667,10042,73.48
20,2,21STCENMGM,EQ,60,60,100.00
20,3,3IINFOTECH,EQ,4062337,1961685,48.29
20,4,3MINDIA,EQ,264810,201058,75.93
20,5,3PLAND,EQ,41,41,100.00
20,6,5PAISA,EQ,13400,11591,86.50
20,7,63MOONS,EQ,145859,89875,61.62
20,8,772GS2049,GS,100,100,100.00
20,9,795GS2032,GS,100,100,100.00
20,10,A2ZINFRA,EQ,162673,129261,79.46
20,11,AARON,SM,9900,9900,100.00
20,12,AARTIDRUGS,EQ,4554,2941,64.58
20,13,AARTIIND,EQ,169263,104511,61.74
20,14,AARVEEDEN,EQ,3364,2033,60.43
20,15,AAVAS,EQ,13645,7380,54.09
20,16,ABB,EQ,192308,130777,68.00
20,17,ABBOTINDIA,EQ,7557,4632,61.29
20,18,ABCAPITAL,EQ,4736445,2038001,43.03
20,19,ABFRL,EQ,562403,344555,61.26
20,20,ABSLNN50ET,EQ,57,54,94.74
20,21,ACC,EQ,749817,101472,13.53
20,22,ACCELYA,EQ,9192,8564,93.17
20,23,ACCURACY,SM,6400,3200,50.00
20,24,ACE,EQ,460561,94188,20.45
20,25,ADANIENT,EQ,14162661,1476099,10.42
20,26,ADANIGAS,EQ,1207003,458651,38.00
20,27,ADANIGREEN,EQ,3174728,1198359,37.75
20,28,ADANIPORTS,EQ,4047650,1220085,30.14
20,29,ADANIPOWER,EQ,13108241,1954699,14.91
20,30,ADANITRANS,EQ,355971,139704,39.25
20,31,ADFFOODS,EQ,19743,10181,51.57
20,32,ADHUNIKIND,EQ,74898,52726,70.40
20,33,ADLABS,EQ,431998,382114,88.45
20,34,ADORWELD,EQ,5752,2935,51.03
20,35,ADSL,EQ,92567,48822,52.74
20,36,ADVANIHOTR,EQ,2679,2291,85.52
20,37,ADVENZYMES,EQ,37261,23343,62.65
20,38,AEGISCHEM,EQ,346889,301685,86.97
20,39,AFFLE,EQ,166021,59998,36.14
20,40,AGARIND,EQ,22071,20182,91.44
20,41,AGLSL,EQ,29802,16642,55.84
20,42,AGRITECH,EQ,6416,3546,55.27
20,43,AGROPHOS,EQ,289232,121459,41.99
20,44,AHLEAST,EQ,711,518,72.86
20,45,AHLUCONT,EQ,5738,3838,66.89
20,46,AHLWEST,EQ,473,287,60.68
20,47,AIAENG,EQ,54298,43325,79.79
20,48,AIONJSW,EQ,104732,89189,85.16
20,49,AIRAN,EQ,16802,14764,87.87
20,50,AIROLAM,SM,3000,3000,100.00
20,51,AISL,SM,2400,2400,100.00
20,52,AJANTPHARM,EQ,188639,124656,66.08
20,53,AJMERA,EQ,56266,28289,50.28
20,54,AJOONI,SM,12000,12000,100.00
20,55,AKSHARCHEM,EQ,3378,2534,75.01
20,56,AKSHOPTFBR,EQ,205921,128969,62.63
20,57,AKZOINDIA,EQ,47690,41720,87.48
20,58,ALANKIT,EQ,295988,73063,24.68
20,59,ALBERTDAVD,EQ,1878,827,44.04
20,60,ALBK,EQ,1030312,304523,29.56
20,61,ALEMBICLTD,EQ,58479,44102,75.42
20,62,ALICON,EQ,30673,11246,36.66
20,63,ALKALI,EQ,6233,4967,79.69
20,64,ALKEM,EQ,132385,108528,81.98
20,65,ALKYLAMINE,EQ,7119,5611,78.82
20,66,ALLCARGO,EQ,118020,61703,52.28
20,67,ALLSEC,EQ,1979,693,35.02
20,68,ALMONDZ,EQ,114,106,92.98
20,69,ALOKTEXT,EQ,688197,688197,100.00
20,70,ALPA,EQ,9911,6616,66.75
20,71,ALPHAGEO,EQ,7103,6118,86.13
20,72,AMARAJABAT,EQ,626402,267790,42.75
20,73,AMBER,EQ,54570,31801,58.28
20,74,AMBIKCO,EQ,1604,1048,65.34
20,75,AMBUJACEM,EQ,3446793,843466,24.47
20,76,AMDIND,EQ,8497,6137,72.23
20,77,AMJLAND,EQ,20855,20628,98.91
20,78,AMJUMBO,SM,200000,200000,100.00
20,79,AMRUTANJAN,EQ,23249,11458,49.28
20,80,ANANTRAJ,EQ,180451,110976,61.50
20,81,ANDHRABANK,EQ,438625,227598,51.89
20,82,ANDHRSUGAR,EQ,35091,20662,58.88
20,83,ANIKINDS,EQ,11078,10912,98.50
20,84,ANSALAPI,EQ,36241,28643,79.03
20,85,ANSALHSG,EQ,54637,37756,69.10
20,86,ANUP,EQ,11261,7998,71.02
20,87,APARINDS,EQ,14481,11795,81.45
20,88,APCL,EQ,3776,3258,86.28
20,89,APCOTEXIND,EQ,112528,70616,62.75
20,90,APEX,EQ,105626,40793,38.62
20,91,APLAPOLLO,EQ,8689,5462,62.86
20,92,APLLTD,EQ,73661,36981,50.20
20,93,APOLLO,EQ,46783,29055,62.11
20,94,APOLLOHOSP,EQ,562505,133655,23.76
20,95,APOLLOTYRE,EQ,1620760,597257,36.85
20,96,APOLSINHOT,EQ,940,724,77.02
20,97,APTECHT,EQ,479156,133411,27.84
20,98,ARCHIDPLY,EQ,5800,5434,93.69
20,99,ARIES,EQ,16440,10814,65.78
20,100,ARIHANT,EQ,539,357,66.23
20,101,ARMANFIN,EQ,5143,4131,80.32
20,102,AROGRANITE,EQ,10939,9503,86.87
20,103,ARROWGREEN,EQ,4992,3265,65.40
20,104,ARROWTEX,EQ,5399,3332,61.72
20,105,ARSHIYA,EQ,51785,47242,91.23
20,106,ARSSINFRA,EQ,20267,18236,89.98
20,107,ARVIND,EQ,1645221,514418,31.27
20,108,ARVINDFASN,EQ,10602,5701,53.77
20,109,ARVSMART,EQ,21198,12952,61.10
20,110,ASAHIINDIA,EQ,28344,18145,64.02
20,111,ASAHISONG,EQ,17892,13105,73.25
20,112,ASAL,EQ,11524,6562,56.94
20,113,ASHIANA,EQ,91014,84915,93.30
20,114,ASHIMASYN,EQ,43413,33300,76.71
20,115,ASHOKA,EQ,385884,157677,40.86
20,116,ASHOKLEY,EQ,48555721,14379715,29.61
20,117,ASIANHOTNR,EQ,1804,1002,55.54
20,118,ASIANPAINT,EQ,1682488,813457,48.35
20,119,ASIANTILES,EQ,352428,239775,68.04
20,120,ASPINWALL,EQ,439,315,71.75
20,121,ASTEC,EQ,6340,4028,63.53
20,122,ASTERDM,EQ,39799,30092,75.61
20,123,ASTRAL,EQ,384853,371048,96.41
20,124,ASTRAMICRO,EQ,137448,106971,77.83
20,125,ASTRAZEN,EQ,6292,3214,51.08
20,126,ASTRON,EQ,255571,95958,37.55
20,127,ATFL,EQ,1911,1025,53.64
20,128,ATUL,EQ,17036,8441,49.55
20,129,ATULAUTO,EQ,9663,6171,63.86
20,130,AUBANK,EQ,701198,590160,84.16
20,131,AURIONPRO,EQ,26649,20576,77.21
20,132,AUROPHARMA,EQ,3907119,636755,16.30
20,133,AUSOMENT,EQ,553,370,66.91
20,134,AUTOAXLES,EQ,14769,6963,47.15
20,135,AUTOIND,EQ,220818,89834,40.68
20,136,AUTOLITIND,EQ,11289,2242,19.86
20,137,AVADHSUGAR,EQ,43002,13972,32.49
20,138,AVANTIFEED,EQ,716915,323969,45.19
20,139,AVG,SM,1200,1200,100.00
20,140,AVTNPL,EQ,25344,17112,67.52
20,141,AXISBANK,EQ,9500635,2654760,27.94
20,142,AXISCADES,EQ,157293,117125,74.46
20,143,AXISGOLD,EQ,154,104,67.53
20,144,AXISNIFTY,EQ,35,34,97.14
20,145,AYMSYNTEX,EQ,931,856,91.94
20,146,BAGFILMS,EQ,80644,74365,92.21
20,147,BAJAJ-AUTO,EQ,398223,83771,21.04
20,148,BAJAJCON,EQ,1828001,860914,47.10
20,149,BAJAJELEC,EQ,266336,145348,54.57
20,150,BAJAJFINSV,EQ,352909,77086,21.84
20,151,BAJAJHIND,EQ,619944,416248,67.14
20,152,BAJAJHLDNG,EQ,29744,20050,67.41
20,153,BAJFINANCE,EQ,1836213,365879,19.93
20,154,BALAJITELE,EQ,34921,21315,61.04
20,155,BALAMINES,EQ,25344,15192,59.94
20,156,BALAXI,EQ,220,220,100.00
20,157,BALKRISIND,EQ,1653509,283352,17.14
20,158,BALLARPUR,EQ,2308204,1626331,70.46
20,159,BALMLAWRIE,EQ,205152,84869,41.37
20,160,BALPHARMA,EQ,16704,7821,46.82
20,161,BALRAMCHIN,EQ,1036265,577658,55.74
20,162,BANARBEADS,EQ,3352,3297,98.36
20,163,BANARISUG,EQ,752,337,44.81
20,164,BANCOINDIA,EQ,102598,63971,62.35
20,165,BANDHANBNK,EQ,2945367,2268333,77.01
20,166,BANG,EQ,2942,2802,95.24
20,167,BANKA,SM,1200,1200,100.00
20,168,BANKBARODA,EQ,26210863,4229940,16.14
20,169,BANKBEES,EQ,3359,1449,43.14
20,170,BANKINDIA,EQ,9549933,596928,6.25
20,171,BANSWRAS,EQ,827,532,64.33
20,172,BASF,EQ,35438,19008,53.64
20,173,BASML,EQ,8624,7765,90.04
20,174,BATAINDIA,EQ,898576,208794,23.24
20,175,BAYERCROP,EQ,2140,1064,49.72
20,176,BBL,EQ,8971,6080,67.77
20,177,BBTC,EQ,197663,34470,17.44
20,178,BCG,EQ,267749,176575,65.95
20,179,BCONCEPTS,SM,6000,6000,100.00
20,180,BCP,EQ,111,111,100.00
20,181,BDL,EQ,44567,23901,53.63
20,182,BEARDSELL,EQ,1022,862,84.34
20,183,BEDMUTHA,EQ,7663,7257,94.70
20,184,BEL,EQ,25981224,9585134,36.89
20,185,BEML,EQ,1422018,234787,16.51
20,186,BEPL,EQ,619495,310021,50.04
20,187,BERGEPAINT,EQ,2623650,640049,24.40
20,188,BETA,SM,9600,6400,66.67
20,189,BFINVEST,EQ,83442,18856,22.60
20,190,BFUTILITIE,EQ,543238,118456,21.81
20,191,BGRENERGY,EQ,106232,78656,74.04
20,192,BHAGERIA,EQ,31625,22254,70.37
20,193,BHAGYANGR,EQ,1268,1167,92.03
20,194,BHAGYAPROP,EQ,16,5,31.25
20,195,BHANDARI,EQ,129489,96722,74.70
20,196,BHARATFORG,EQ,1291597,377845,29.25
20,197,BHARATGEAR,EQ,12227,6307,51.58
