Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,11192,7555,67.50
20,2,21STCENMGM,EQ,2674,2634,98.50
20,3,3IINFOTECH,EQ,2585761,1405136,54.34
20,4,3MINDIA,EQ,718,447,62.26
20,5,3PLAND,EQ,167,167,100.00
20,6,5PAISA,EQ,28262,19907,70.44
20,7,63MOONS,EQ,161619,59936,37.08
20,8,717GS2028,GS,1,1,100.00
20,9,8KMILES,EQ,171115,116925,68.33
20,10,A2ZINFRA,EQ,140547,105083,74.77
20,11,AAKASH,SM,2000,2000,100.00
20,12,AARTIDRUGS,EQ,5663,2625,46.35
20,13,AARTIIND,EQ,66565,26470,39.77
20,14,AARVEEDEN,EQ,134607,65704,48.81
20,15,AAVAS,EQ,46053,36020,78.21
20,16,ABAN,EQ,301242,51846,17.21
20,17,ABB,EQ,39949,10937,27.38
20,18,ABBOTINDIA,EQ,6740,4468,66.29
20,19,ABCAPITAL,EQ,1606253,688706,42.88
20,20,ABFRL,EQ,1544321,1072055,69.42
20,21,ABSLNN50ET,EQ,44,34,77.27
20,22,ABSLRIF6RG,MF,1000,1000,100.00
20,23,ACC,EQ,312812,28955,9.26
20,24,ACCELYA,EQ,2174,1995,91.77
20,25,ACE,EQ,356000,159791,44.89
20,26,ADANIENT,EQ,2791866,605039,21.67
20,27,ADANIGAS,EQ,385585,173030,44.87
20,28,ADANIGREEN,EQ,259216,158204,61.03
20,29,ADANIPORTS,EQ,2154121,973157,45.18
20,30,ADANIPOWER,EQ,14694658,3176722,21.62
20,31,ADANITRANS,EQ,186210,87371,46.92
20,32,ADFFOODS,EQ,16317,9940,60.92
20,33,ADHUNIK,EQ,43905,39405,89.75
20,34,ADHUNIKIND,EQ,6204,4812,77.56
20,35,ADLABS,EQ,96621,82655,85.55
20,36,ADORWELD,EQ,1629,1048,64.33
20,37,ADROITINFO,EQ,2489,2067,83.05
20,38,ADSL,EQ,4353,3103,71.28
20,39,ADVANIHOTR,EQ,6572,5385,81.94
20,40,ADVENZYMES,EQ,30902,11670,37.76
20,41,AEGISCHEM,EQ,79678,61404,77.07
20,42,AGARIND,EQ,2454,1880,76.61
20,43,AGCNET,EQ,119214,41882,35.13
20,44,AGLSL,EQ,2914,2478,85.04
20,45,AGRITECH,EQ,14696,7687,52.31
20,46,AGROPHOS,SM,336000,222000,66.07
20,47,AHLADA,SM,8000,8000,100.00
20,48,AHLEAST,EQ,3855,2406,62.41
20,49,AHLUCONT,EQ,22492,8864,39.41
20,50,AHLWEST,EQ,322,308,95.65
20,51,AIAENG,EQ,4748,2311,48.67
20,52,AIFL,EQ,150972,89710,59.42
20,53,AIONJSW,EQ,14237,12940,90.89
20,54,AJANTPHARM,EQ,263965,22752,8.62
20,55,AJMERA,EQ,31829,10403,32.68
20,56,AJOONI,SM,232000,168000,72.41
20,57,AKSHARCHEM,EQ,1382,1260,91.17
20,58,AKSHOPTFBR,EQ,922212,243077,26.36
20,59,AKZOINDIA,EQ,1810,977,53.98
20,60,ALANKIT,EQ,360895,82594,22.89
20,61,ALBERTDAVD,EQ,2594,1468,56.59
20,62,ALBK,EQ,4471891,1025057,22.92
20,63,ALEMBICLTD,EQ,114647,63134,55.07
20,64,ALICON,EQ,872,693,79.47
20,65,ALKALI,EQ,825,448,54.30
20,66,ALKEM,EQ,12197,4517,37.03
20,67,ALKYLAMINE,EQ,1612,1214,75.31
20,68,ALLCARGO,EQ,76090,46293,60.84
20,69,ALLSEC,EQ,13970,10388,74.36
20,70,ALMONDZ,EQ,3827,1827,47.74
20,71,ALOKTEXT,EQ,1521096,824139,54.18
20,72,ALPA,EQ,112494,51556,45.83
20,73,ALPHAGEO,EQ,2370,1083,45.70
20,74,AMARAJABAT,EQ,343750,81933,23.84
20,75,AMBER,EQ,1889,1376,72.84
20,76,AMBIKCO,EQ,5200,4241,81.56
20,77,AMBUJACEM,EQ,1678459,727510,43.34
20,78,AMDIND,EQ,42172,24817,58.85
20,79,AMJLAND,EQ,10101,6185,61.23
20,80,AMRUTANJAN,EQ,49147,15124,30.77
20,81,ANANTRAJ,EQ,390689,151817,38.86
20,82,ANDHRABANK,EQ,869834,388955,44.72
20,83,ANDHRACEMT,EQ,61991,52292,84.35
20,84,ANDHRSUGAR,EQ,66353,18358,27.67
20,85,ANIKINDS,EQ,10344,6873,66.44
20,86,ANSALAPI,EQ,1835879,550564,29.99
20,87,ANSALHSG,EQ,1569072,491141,31.30
20,88,APARINDS,EQ,8091,3934,48.62
20,89,APCL,EQ,243,100,41.15
20,90,APCOTEXIND,EQ,1049,680,64.82
20,91,APEX,EQ,15599,12008,76.98
20,92,APLAPOLLO,EQ,6035,3808,63.10
20,93,APLLTD,EQ,42020,29988,71.37
20,94,APOLLO,EQ,7823,1731,22.13
20,95,APOLLOHOSP,EQ,893261,491487,55.02
