Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,13018,9649,74.12
20,2,21STCENMGM,EQ,441,441,100.00
20,3,3IINFOTECH,EQ,815008,468455,57.48
20,4,3MINDIA,EQ,3135,1675,53.43
20,5,3PLAND,EQ,200,200,100.00
20,6,5PAISA,EQ,27180,20416,75.11
20,7,63MOONS,EQ,771515,167161,21.67
20,8,737GS2023,GS,500,500,100.00
20,9,A2ZINFRA,EQ,564716,489107,86.61
20,10,AAKASH,SM,2000,2000,100.00
20,11,AARON,SM,3300,3300,100.00
20,12,AARTIDRUGS,EQ,32003,10673,33.35
20,13,AARTIIND,EQ,140326,86149,61.39
20,14,AARVEEDEN,EQ,849,427,50.29
20,15,AAVAS,EQ,11396,6359,55.80
20,16,ABB,EQ,31500,10807,34.31
20,17,ABBOTINDIA,EQ,15502,12098,78.04
20,18,ABCAPITAL,EQ,2346870,1061008,45.21
20,19,ABFRL,EQ,138197,50661,36.66
20,20,ABSLNN50ET,EQ,26,26,100.00
20,21,ABSLRIF6RG,MF,8600,8600,100.00
20,22,ACC,EQ,551466,106422,19.30
20,23,ACCELYA,EQ,1940,1382,71.24
20,24,ACCURACY,SM,16000,16000,100.00
20,25,ACE,EQ,126940,91524,72.10
20,26,ADANIENT,EQ,4743985,492071,10.37
20,27,ADANIGAS,EQ,583127,287502,49.30
20,28,ADANIGREEN,EQ,1917829,546955,28.52
20,29,ADANIPORTS,EQ,6752056,1754932,25.99
20,30,ADANIPOWER,EQ,5230738,738699,14.12
20,31,ADANITRANS,EQ,1054524,402472,38.17
20,32,ADFFOODS,EQ,18072,11560,63.97
20,33,ADHUNIKIND,EQ,77259,28733,37.19
20,34,ADLABS,EQ,165771,138090,83.30
20,35,ADORWELD,EQ,17953,8941,49.80
20,36,ADSL,EQ,47697,30236,63.39
20,37,ADVANIHOTR,EQ,7619,5764,75.65
20,38,ADVENZYMES,EQ,39424,21694,55.03
20,39,AEGISCHEM,EQ,203787,159052,78.05
20,40,AFFLE,EQ,781328,190312,24.36
20,41,AGARIND,EQ,21345,20803,97.46
20,42,AGLSL,EQ,5489,1904,34.69
20,43,AGRITECH,EQ,35599,20515,57.63
20,44,AGROPHOS,EQ,620957,177104,28.52
20,45,AHLEAST,EQ,1846,1268,68.69
20,46,AHLUCONT,EQ,2372,1390,58.60
20,47,AHLWEST,EQ,2494,1232,49.40
20,48,AIAENG,EQ,11875,6564,55.28
20,49,AIONJSW,EQ,73909,64520,87.30
20,50,AIRAN,EQ,7541,7319,97.06
20,51,AIROLAM,SM,3000,3000,100.00
20,52,AISL,SM,2400,2400,100.00
20,53,AJANTPHARM,EQ,28860,6268,21.72
20,54,AJMERA,EQ,33735,14202,42.10
20,55,AKASH,EQ,2044,39,1.91
20,56,AKSHARCHEM,EQ,3258,1718,52.73
20,57,AKSHOPTFBR,EQ,185725,109291,58.85
20,58,AKZOINDIA,EQ,18330,14665,80.01
20,59,ALANKIT,EQ,263296,61131,23.22
20,60,ALBERTDAVD,EQ,5121,3580,69.91
20,61,ALBK,EQ,639440,195608,30.59
20,62,ALEMBICLTD,EQ,133406,113801,85.30
20,63,ALICON,EQ,1709,1536,89.88
20,64,ALKALI,EQ,33255,16302,49.02
20,65,ALKEM,EQ,11472,7419,64.67
20,66,ALKYLAMINE,EQ,11265,9593,85.16
20,67,ALLCARGO,EQ,89288,39893,44.68
20,68,ALLSEC,EQ,9433,5624,59.62
20,69,ALMONDZ,EQ,543,543,100.00
20,70,ALOKTEXT,EQ,2740643,2228357,81.31
20,71,ALPA,EQ,8470,7050,83.23
20,72,ALPHAGEO,EQ,6329,4755,75.13
20,73,AMARAJABAT,EQ,351850,116952,33.24
20,74,AMBER,EQ,39637,15371,38.78
