Record Type,Sr No,Name of Security, Type of Security, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003GS2019,GS,1,1,100.00
20,2,20MICRONS,EQ,14859,13213,88.92
20,3,21STCENMGM,EQ,1832,1808,98.69
20,4,3IINFOTECH,EQ,1199152,779298,64.99
20,5,3MINDIA,EQ,568,205,36.09
20,6,5PAISA,EQ,1730,840,48.55
20,7,63MOONS,EQ,845526,454460,53.75
20,8,8KMILES,EQ,99705,40040,40.16
20,9,A2ZINFRA,EQ,302567,227672,75.25
20,10,AARON,SM,3000,3000,100.00
20,11,AARTIDRUGS,EQ,2955,1701,57.56
20,12,AARTIIND,EQ,39140,22007,56.23
20,13,AARVEEDEN,EQ,3617,3402,94.06
20,14,AARVI,SM,14000,14000,100.00
20,15,AAVAS,EQ,25807,8695,33.69
20,16,ABB,EQ,124261,22432,18.05
20,17,ABBOTINDIA,EQ,1088,805,73.99
20,18,ABCAPITAL,EQ,1095037,496022,45.30
20,19,ABFRL,EQ,405305,207974,51.31
20,20,ABSLRIF6RG,MF,2000,2000,100.00
20,21,ACC,EQ,594386,141666,23.83
20,22,ACCELYA,EQ,2494,1863,74.70
20,23,ACCURACY,SM,1600,1600,100.00
20,24,ACE,EQ,135040,55910,41.40
20,25,ADANIENT,EQ,2835247,344081,12.14
20,26,ADANIGAS,EQ,232537,114014,49.03
20,27,ADANIGREEN,EQ,389550,211453,54.28
20,28,ADANIPORTS,EQ,3030255,901474,29.75
20,29,ADANIPOWER,EQ,5976875,715278,11.97
20,30,ADANITRANS,EQ,46675,14759,31.62
20,31,ADFFOODS,EQ,27729,8861,31.96
20,32,ADHUNIKIND,EQ,43875,18494,42.15
20,33,ADLABS,EQ,54934,39528,71.96
20,34,ADORWELD,EQ,8529,4770,55.93
20,35,ADSL,EQ,30015,15119,50.37
20,36,ADVANIHOTR,EQ,58717,19541,33.28
20,37,ADVENZYMES,EQ,31382,15638,49.83
20,38,AEGISCHEM,EQ,35398,22887,64.66
20,39,AGARIND,EQ,2065,1238,59.95
20,40,AGCNET,EQ,4139,3261,78.79
20,41,AGLSL,EQ,2283,1292,56.59
20,42,AGRITECH,EQ,4693,3205,68.29
20,43,AHLADA,SM,5000,5000,100.00
20,44,AHLEAST,EQ,345,316,91.59
20,45,AHLUCONT,EQ,2192,1395,63.64
20,46,AHLWEST,EQ,1031,474,45.97
20,47,AIAENG,EQ,29426,17991,61.14
20,48,AIONJSW,EQ,33985,22465,66.10
20,49,AIRAN,EQ,27284,16084,58.95
20,50,AISL,SM,2400,2400,100.00
20,51,AJANTPHARM,EQ,290847,33384,11.48
20,52,AJMERA,EQ,22998,8632,37.53
20,53,AKSHARCHEM,EQ,2598,2390,91.99
20,54,AKSHOPTFBR,EQ,270292,108644,40.20
20,55,AKZOINDIA,EQ,1192,559,46.90
20,56,ALANKIT,EQ,655912,122545,18.68
20,57,ALBERTDAVD,EQ,3879,2684,69.19
20,58,ALBK,EQ,7137951,708132,9.92
20,59,ALEMBICLTD,EQ,152197,82086,53.93
20,60,ALICON,EQ,1079,960,88.97
20,61,ALKALI,EQ,1702,1217,71.50
20,62,ALKEM,EQ,14415,7060,48.98
20,63,ALKYLAMINE,EQ,1875,1314,70.08
20,64,ALLCARGO,EQ,89470,43730,48.88
20,65,ALMONDZ,EQ,37,30,81.08
20,66,ALPA,EQ,20193,13921,68.94
20,67,ALPHAGEO,EQ,2671,1650,61.77
20,68,AMARAJABAT,EQ,266841,27875,10.45
20,69,AMBER,EQ,2826,1850,65.46
20,70,AMBIKCO,EQ,2068,1838,88.88
20,71,AMBUJACEM,EQ,1105200,400005,36.19
20,72,AMDIND,EQ,3054,2363,77.37
20,73,AMJLAND,EQ,787,644,81.83
20,74,AMRUTANJAN,EQ,8342,5906,70.80
20,75,ANANTRAJ,EQ,114531,75196,65.66
20,76,ANDHRABANK,EQ,1688895,417169,24.70
20,77,ANDHRSUGAR,EQ,21920,9880,45.07
20,78,ANIKINDS,EQ,702,545,77.64
20,79,ANSALAPI,EQ,125272,67275,53.70
20,80,ANSALHSG,EQ,57690,31197,54.08
20,81,ANUP,EQ,45486,31310,68.83
20,82,APARINDS,EQ,4183,1944,46.47
20,83,APCL,EQ,468,308,65.81
20,84,APCOTEXIND,EQ,1865,1241,66.54
20,85,APEX,EQ,72410,28387,39.20
20,86,APLAPOLLO,EQ,46861,39627,84.56
20,87,APLLTD,EQ,25302,16783,66.33
20,88,APOLLO,EQ,50142,19147,38.19
20,89,APOLLOHOSP,EQ,173882,35931,20.66
20,90,APOLLOTYRE,EQ,4279032,778919,18.20
20,91,APOLSINHOT,EQ,61,15,24.59
20,92,APTECHT,EQ,107701,33001,30.64
20,93,ARCHIDPLY,EQ,7314,5194,71.01
20,94,ARCHIES,EQ,28252,10302,36.46
20,95,ARIES,EQ,13937,6373,45.73
20,96,ARIHANT,EQ,1928,310,16.08
20,97,ARMANFIN,EQ,3748,2712,72.36
20,98,AROGRANITE,EQ,2443,1637,67.01
20,99,ARROWGREEN,EQ,11790,7607,64.52
20,100,ARROWTEX,EQ,1190,1041,87.48
20,101,ARSHIYA,EQ,39663,23666,59.67
20,102,ARTEDZ,SM,30000,27000,90.00
20,103,ARVIND,EQ,964342,337424,34.99
20,104,ARVINDFASN,EQ,121328,115495,95.19
20,105,ARVSMART,EQ,5193,4194,80.76
20,106,ASAHIINDIA,EQ,4892,2695,55.09
20,107,ASAHISONG,EQ,3246,2628,80.96
20,108,ASAL,EQ,5111,2919,57.11
20,109,ASHIANA,EQ,12535,9656,77.03
20,110,ASHIMASYN,EQ,8463,5524,65.27
20,111,ASHOKA,EQ,43958,22355,50.86
20,112,ASHOKLEY,EQ,13767863,1303889,9.47
20,113,ASIANHOTNR,EQ,6155,5968,96.96
20,114,ASIANPAINT,EQ,3476379,1638493,47.13
20,115,ASIANTILES,EQ,229193,68732,29.99
20,116,ASPINWALL,EQ,2040,2035,99.75
20,117,ASTEC,EQ,36828,24268,65.90
20,118,ASTERDM,EQ,13587,9702,71.41
20,119,ASTRAL,EQ,9528,4649,48.79
