Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
"ACC","4,686","4,299","387","9.00","3,841"
"ADANIENT","14,250","14,744","-494","-3.35","2,437"
"ADANIPORTS","9,295","8,731","564","6.46","9,953"
"ADANIPOWER","9,474","9,646","-172","-1.78","942"
"AJANTPHARM","1,482","1,517","-35","-2.31","1,277"
"ALBK","2,033","1,915","118","6.16","1,638"
"AMARAJABAT","2,309","2,531","-222","-8.77","1,597"
"AMBUJACEM","7,565","7,304","261","3.57","4,786"
"APOLLOHOSP","2,691","2,445","246","10.06","1,988"
"APOLLOTYRE","4,047","4,121","-74","-1.80","4,397"
"ARVIND","12,195","12,029","166","1.38","3,625"
"ASHOKLEY","26,897","26,422","475","1.80","17,461"
"ASIANPAINT","8,604","8,711","-107","-1.23","7,947"
"AUROPHARMA","24,423","22,958","1,465","6.38","13,316"
"AXISBANK","39,538","39,843","-305","-0.77","44,581"
"BAJAJ-AUTO","11,610","11,396","214","1.88","7,478"
"BAJAJFINSV","5,614","5,821","-207","-3.56","2,607"
"BAJFINANCE","30,860","29,867","993","3.32","28,252"
"BALKRISIND","4,199","4,240","-41","-0.97","2,062"
"BANKBARODA","20,669","20,490","179","0.87","16,534"
"BANKINDIA","6,358","6,005","353","5.88","5,512"
"BANKNIFTY","10,93,780","8,33,709","2,60,071","31.19","1,48,92,707"
"BATAINDIA","4,810","4,195","615","14.66","8,143"
"BEL","11,289","11,224","65","0.58","5,361"
"BEML","2,802","2,688","114","4.24","6,032"
"BERGEPAINT","931","904","27","2.99","622"
"BHARATFIN","10,908","11,038","-130","-1.18","3,403"
"BHARATFORG","11,519","10,996","523","4.76","5,141"
"BHARTIARTL","24,640","24,817","-177","-0.71","10,856"
"BHEL","11,119","10,828","291","2.69","8,695"
"BIOCON","8,004","7,796","208","2.67","8,199"
"BOSCHLTD","5,307","5,969","-662","-11.09","2,932"
"BPCL","8,978","8,862","116","1.31","9,284"
"BRITANNIA","15,127","14,940","187","1.25","1,432"
"CADILAHC","5,724","5,627","97","1.72","1,801"
"CANBK","7,453","7,427","26","0.35","10,956"
"CANFINHOME","3,652","3,585","67","1.87","1,943"
"CAPF","8,566","8,602","-36","-0.42","1,851"
"CASTROLIND","2,515","2,489","26","1.04","279"
"CEATLTD","3,087","3,139","-52","-1.66","3,401"
"CENTURYTEX","9,266","9,278","-12","-0.13","3,633"
"CESC","2,948","2,899","49","1.69","1,415"
"CGPOWER","4,344","4,363","-19","-0.44","858"
"CHENNPETRO","572","592","-20","-3.38","1,004"
"CHOLAFIN","1,504","1,240","264","21.29","1,851"
"CIPLA","11,110","11,218","-108","-0.96","7,046"
"COALINDIA","26,134","27,386","-1,252","-4.57","8,706"
"COLPAL","2,489","2,063","426","20.65","4,580"
"CONCOR","2,519","2,509","10","0.40","702"
"CUMMINSIND","2,377","2,316","61","2.63","431"
"DABUR","9,471","9,165","306","3.34","3,733"
"DALMIABHA","1,250","1,250","0","0.00","0"
"DCBBANK","1,102","1,152","-50","-4.34","523"
"DHFL","19,458","19,367","91","0.47","9,772"
"DISHTV","8,862","9,019","-157","-1.74","2,242"
"DIVISLAB","10,894","11,016","-122","-1.11","5,783"
"DLF","13,756","13,710","46","0.34","9,039"
"DRREDDY","17,114","17,190","-76","-0.44","12,803"
"EICHERMOT","12,531","12,479","52","0.42","4,727"
"ENGINERSIN","1,881","1,955","-74","-3.79","946"
"EQUITAS","3,638","3,735","-97","-2.60","3,816"
"ESCORTS","7,430","7,269","161","2.21","9,405"
"EXIDEIND","3,494","3,557","-63","-1.77","1,205"
"FEDERALBNK","11,245","11,195","50","0.45","5,848"
"GAIL","8,122","7,881","241","3.06","3,663"
"GLENMARK","5,270","5,231","39","0.75","4,653"
"GMRINFRA","4,733","4,584","149","3.25","972"
"GODFRYPHLP","770","833","-63","-7.56","469"
"GODREJCP","8,926","9,130","-204","-2.23","2,334"
"GODREJIND","1,164","1,093","71","6.50","1,362"
"GRASIM","13,258","13,161","97","0.74","3,194"
"GSFC","3,835","3,771","64","1.70","1,027"
"HAVELLS","5,799","5,651","148","2.62","3,720"
"HCLTECH","18,976","19,428","-452","-2.33","9,201"
"HDFC","54,245","55,150","-905","-1.64","19,603"
"HDFCBANK","58,549","58,073","476","0.82","59,042"
"HEROMOTOCO","7,988","7,967","21","0.26","7,634"
"HEXAWARE","2,779","2,855","-76","-2.66","3,240"
"HINDALCO","13,371","13,107","264","2.01","11,061"
"HINDPETRO","16,475","16,070","405","2.52","12,501"
"HINDUNILVR","21,635","21,137","498","2.36","13,898"
"HINDZINC","2,233","2,215","18","0.81","1,014"
"IBULHSGFIN","47,055","46,261","794","1.72","26,929"
"ICICIBANK","39,395","41,202","-1,807","-4.39","49,264"
"ICICIPRULI","3,177","3,090","87","2.82","1,030"
"IDBI","9,084","8,542","542","6.35","6,318"
"IDEA","27,430","27,082","348","1.28","9,989"
"IDFC","9,307","9,157","150","1.64","1,278"
"IDFCBANK","14,646","14,531","115","0.79","2,871"
"IFCI","2,420","2,405","15","0.62","310"
"IGL","2,495","2,459","36","1.46","775"
"INDIACEM","7,117","7,209","-92","-1.28","3,948"
"INDIANB","2,647","2,698","-51","-1.89","2,088"
"INDIGO","5,482","5,605","-123","-2.19","3,098"
"INDUSINDBK","20,456","19,707","749","3.80","20,024"
"INFIBEAM","4,652","4,424","228","5.15","3,435"
"INFRATEL","5,220","5,180","40","0.77","1,479"
"INFY","44,891","44,529","362","0.81","20,851"
"IOC","35,493","35,514","-21","-0.06","11,367"
"IRB","3,676","3,745","-69","-1.84","2,197"
"ITC","42,842","43,599","-757","-1.74","19,430"
"JETAIRWAYS","7,073","6,626","447","6.75","5,556"
"JINDALSTEL","16,957","16,469","488","2.96","12,418"
"JISLJALEQS","4,635","4,548","87","1.91","2,026"
"JPASSOCIAT","3,958","3,864","94","2.43","872"
"JSWSTEEL","34,975","35,190","-215","-0.61","8,812"
"JUBLFOOD","6,466","6,577","-111","-1.69","11,241"
"JUSTDIAL","2,477","2,322","155","6.68","2,061"
"KAJARIACER","2,194","2,249","-55","-2.45","774"
"KOTAKBANK","26,097","26,913","-816","-3.03","51,655"
"KPIT","2,915","2,887","28","0.97","1,163"
"KSCL","840","880","-40","-4.55","862"
"KTKBANK","3,657","3,740","-83","-2.22","1,512"
"LICHSGFIN","10,044","10,052","-8","-0.08","7,077"
"LT","32,220","31,176","1,044","3.35","21,303"
"L&TFH","6,148","6,460","-312","-4.83","5,743"
"LUPIN","15,882","15,964","-82","-0.51","12,710"
"MANAPPURAM","2,607","2,588","19","0.73","1,308"
"MARICO","3,861","3,773","88","2.33","2,161"
"MARUTI","46,594","45,413","1,181","2.60","47,203"
"MCDOWELL-N","8,582","8,012","570","7.11","3,030"
"MCX","3,890","3,834","56","1.46","904"
"MFSL","1,928","1,887","41","2.17","1,240"
"MGL","1,714","1,714","0","0.00","340"
"MINDTREE","4,761","4,631","130","2.81","3,368"
"M&M","20,947","21,004","-57","-0.27","14,280"
"M&MFIN","8,549","7,965","584","7.33","7,353"
"MOTHERSUMI","12,290","12,240","50","0.41","2,888"
"MRF","2,804","2,809","-5","-0.18","1,255"
"MRPL","1,137","1,091","46","4.22","335"
"MUTHOOTFIN","4,320","4,446","-126","-2.83","3,939"
"NATIONALUM","4,154","4,092","62","1.52","1,363"
"NBCC","7,937","7,887","50","0.63","2,612"
"NCC","8,113","7,787","326","4.19","6,071"
"NESTLEIND","5,537","5,540","-3","-0.05","924"
"NHPC","1,051","1,049","2","0.19","228"
"NIFTY","17,79,015","17,09,875","69,140","4.04","43,47,171"
"NIFTYIT","381","373","8","2.14","463"
"NIFTYMID50","5,379","5,379","0","0.00","1"
"NIITTECH","2,935","3,102","-167","-5.38","3,601"
"NMDC","4,138","4,055","83","2.05","1,351"
"NTPC","22,150","22,355","-205","-0.92","3,815"
"OFSS","1,140","1,134","6","0.53","196"
"OIL","4,390","4,415","-25","-0.57","550"
"ONGC","27,860","27,478","382","1.39","9,390"
"ORIENTBANK","2,378","2,367","11","0.46","3,028"
"PAGEIND","5,569","5,615","-46","-0.82","1,855"
"PCJEWELLER","9,462","9,152","310","3.39","5,873"
"PEL","10,015","9,806","209","2.13","3,197"
"PETRONET","5,202","4,972","230","4.63","1,850"
"PFC","11,458","11,805","-347","-2.94","9,504"
"PIDILITIND","6,600","6,660","-60","-0.90","1,351"
"PNB","24,180","24,108","72","0.30","20,270"
"POWERGRID","10,167","10,198","-31","-0.30","1,686"
"PTC","1,051","1,052","-1","-0.10","614"
"PVR","3,626","3,591","35","0.97","1,388"
"RAMCOCEM","781","797","-16","-2.01","223"
"RAYMOND","5,287","5,170","117","2.26","1,770"
"RBLBANK","6,609","6,451","158","2.45","2,806"
"RCOM","5,687","5,680","7","0.12","6,441"
"RECLTD","11,297","11,446","-149","-1.30","6,833"
"RELCAPITAL","13,614","13,454","160","1.19","11,171"
"RELIANCE","1,20,723","1,14,716","6,007","5.24","1,57,394"
"RELINFRA","10,580","9,836","744","7.56","11,643"
"REPCOHOME","1,865","1,704","161","9.45","800"
"RPOWER","4,066","4,031","35","0.87","1,717"
"SAIL","10,369","10,345","24","0.23","6,517"
"SBIN","41,855","37,340","4,515","12.09","64,793"
"SHREECEM","1,984","2,040","-56","-2.75","544"
"SIEMENS","4,911","4,759","152","3.19","4,321"
"SOUTHBANK","3,916","3,925","-9","-0.23","851"
