Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7332,7050,282,4.00,5600
ADANIENT,11908,12082,-174,-1.44,31075
ADANIPORTS,10461,8861,1600,18.06,28789
ADANIPOWER,9171,9633,-462,-4.80,1497
AJANTPHARM,1279,1287,-8,-0.62,494
ALBK,1817,1684,133,7.90,2215
AMARAJABAT,2843,2688,155,5.77,1775
AMBUJACEM,9843,9969,-126,-1.26,4356
APOLLOHOSP,2270,2081,189,9.08,1077
APOLLOTYRE,4873,4692,181,3.86,3883
ARVIND,5095,4862,233,4.79,3875
ASHOKLEY,26209,25492,717,2.81,23137
ASIANPAINT,11431,11448,-17,-0.15,5042
AUROPHARMA,25197,25011,186,0.74,18365
AXISBANK,41651,39751,1900,4.78,47288
BAJAJ-AUTO,16554,15754,800,5.08,9245
BAJAJFINSV,8079,8020,59,0.74,4569
BAJFINANCE,33612,33867,-255,-0.75,37115
BALKRISIND,3239,2994,245,8.18,1541
BANKBARODA,21770,17486,4284,24.50,74979
BANKINDIA,5982,5694,288,5.06,10776
BANKNIFTY,918461,633343,285118,45.02,22634549
BATAINDIA,4836,4582,254,5.54,4454
BEL,6149,6123,26,0.42,9451
BEML,2636,2466,170,6.89,7304
BERGEPAINT,802,834,-32,-3.84,445
BHARATFIN,13897,14526,-629,-4.33,8701
BHARATFORG,9585,9317,268,2.88,4445
BHARTIARTL,26472,26204,268,1.02,12827
BHEL,10049,10680,-631,-5.91,11634
BIOCON,15696,14986,710,4.74,7749
BOSCHLTD,5860,5948,-88,-1.48,827
BPCL,10662,10352,310,2.99,16874
BRITANNIA,13164,13215,-51,-0.39,2842
BSOFT,1707,1643,64,3.90,585
CADILAHC,11262,11420,-158,-1.38,3106
CANBK,7263,6923,340,4.91,18814
CANFINHOME,2758,2720,38,1.40,1678
CASTROLIND,2292,2276,16,0.70,633
CEATLTD,2710,2751,-41,-1.49,2638
CENTURYTEX,6640,6759,-119,-1.76,3319
CESC,3130,3073,57,1.85,1939
CGPOWER,2671,2795,-124,-4.44,1639
CHENNPETRO,750,731,19,2.60,382
CHOLAFIN,1522,1558,-36,-2.31,1390
CIPLA,14732,16177,-1445,-8.93,15830
COALINDIA,15198,14920,278,1.86,5911
COLPAL,3553,3672,-119,-3.24,833
CONCOR,1375,1327,48,3.62,761
CUMMINSIND,1688,1669,19,1.14,1028
DABUR,13174,13621,-447,-3.28,5255
DCBBANK,1499,1476,23,1.56,1488
DHFL,21492,20238,1254,6.20,20812
DISHTV,12263,11518,745,6.47,5597
DIVISLAB,8484,7893,591,7.49,4016
DLF,25165,24960,205,0.82,41045
DRREDDY,20606,20440,166,0.81,7928
EICHERMOT,21643,21058,585,2.78,13509
ENGINERSIN,2740,2424,316,13.04,3156
EQUITAS,2825,2509,316,12.59,3592
ESCORTS,8245,8047,198,2.46,12293
EXIDEIND,5362,5294,68,1.28,2270
