Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7164,7357,-193,-2.62,10672
ADANIENT,8725,9262,-537,-5.80,9677
ADANIPORTS,8921,9274,-353,-3.81,8883
ADANIPOWER,7117,7234,-117,-1.62,5020
AMARAJABAT,2659,2761,-102,-3.69,1968
AMBUJACEM,8992,8888,104,1.17,8936
APOLLOHOSP,4698,4386,312,7.11,5649
APOLLOTYRE,4389,4574,-185,-4.04,5664
ARVIND,2221,2119,102,4.81,2283
ASHOKLEY,26148,28148,-2000,-7.11,44840
ASIANPAINT,20083,19607,476,2.43,15863
AUROPHARMA,21451,21430,21,0.10,18018
AXISBANK,59462,58639,823,1.40,75109
BAJAJ-AUTO,12959,12483,476,3.81,17202
BAJAJFINSV,11429,10993,436,3.97,11208
BAJFINANCE,42393,41185,1208,2.93,65679
BALKRISIND,3602,3629,-27,-0.74,3546
BANKBARODA,23810,23850,-40,-0.17,32500
BANKINDIA,6927,8062,-1135,-14.08,10361
BANKNIFTY,948807,796975,151832,19.05,10117730
BATAINDIA,8832,7869,963,12.24,14483
BEL,6852,7077,-225,-3.18,6547
BERGEPAINT,2847,2491,356,14.29,3299
BHARATFIN,38,38,0,0.00,0
BHARATFORG,7503,8139,-636,-7.81,7818
BHARTIARTL,25891,23816,2075,8.71,49356
BHEL,12391,11923,468,3.93,14735
BIOCON,10544,11214,-670,-5.97,9792
BOSCHLTD,5608,5642,-34,-0.60,3176
BPCL,8310,8514,-204,-2.40,8199
BRITANNIA,15126,14650,476,3.25,36052
BSOFT,844,778,66,8.48,1126
CADILAHC,8776,8812,-36,-0.41,5649
CANBK,8080,8470,-390,-4.60,18470
CASTROLIND,2477,2745,-268,-9.76,2388
CENTURYTEX,6159,6159,0,0.00,8458
CESC,1734,1744,-10,-0.57,2124
CHOLAFIN,1856,2162,-306,-14.15,1550
CIPLA,15043,15255,-212,-1.39,9178
COALINDIA,27111,24963,2148,8.60,26746
COLPAL,2910,2653,257,9.69,3380
CONCOR,2025,2038,-13,-0.64,1934
CUMMINSIND,4267,4565,-298,-6.53,2289
DABUR,11198,11108,90,0.81,11062
DHFL,6268,6732,-464,-6.89,9244
DISHTV,9360,9341,19,0.20,9981
DIVISLAB,8402,8566,-164,-1.91,6721
DLF,22885,23604,-719,-3.05,29748
DRREDDY,15768,16810,-1042,-6.20,12470
EICHERMOT,24974,23603,1371,5.81,27495
ENGINERSIN,2069,2064,5,0.24,1850
EQUITAS,4106,4280,-174,-4.07,6925
ESCORTS,6959,7146,-187,-2.62,18210
EXIDEIND,4481,4539,-58,-1.28,3534
FEDERALBNK,10220,10627,-407,-3.83,7885
GAIL,10350,10820,-470,-4.34,8939
GLENMARK,5986,6311,-325,-5.15,5125
GMRINFRA,4562,4526,36,0.80,3872
GODREJCP,8295,7842,453,5.78,10110
GRASIM,23767,23621,146,0.62,19441
HAVELLS,8221,8711,-490,-5.63,7455
HCLTECH,15980,16354,-374,-2.29,15427
HDFC,71577,72328,-751,-1.04,72356
HDFCBANK,93191,93316,-125,-0.13,110778
HEROMOTOCO,18574,17595,979,5.56,34110
HEXAWARE,2225,2332,-107,-4.59,2837
HINDALCO,13146,13411,-265,-1.98,14658
HINDPETRO,10627,10930,-303,-2.77,12661
HINDUNILVR,42668,42770,-102,-0.24,35242
HINDZINC,2347,2214,133,6.01,3126
IBULHSGFIN,47171,51886,-4715,-9.09,75486
ICICIBANK,82316,82497,-181,-0.22,98434
ICICIPRULI,5775,5662,113,2.00,6246
IDBI,2324,2788,-464,-16.64,2904
IDEA,33593,31375,2218,7.07,16768
IDFCFIRSTB,17207,17938,-731,-4.08,10891
IGL,2422,2220,202,9.10,3036
INDIGO,9563,9178,385,4.19,18934
INDUSINDBK,42838,43163,-325,-0.75,77060
INFRATEL,4827,4697,130,2.77,5182
INFY,60644,62415,-1771,-2.84,71595
IOC,21134,20376,758,3.72,15815
ITC,60222,62581,-2359,-3.77,36158
JINDALSTEL,16738,16821,-83,-0.49,18664
JSWSTEEL,30912,29133,1779,6.11,30396
JUBLFOOD,7372,7516,-144,-1.92,9287
JUSTDIAL,3243,3444,-201,-5.84,4038
KAJARIACER,1073,1183,-110,-9.30,994
KOTAKBANK,29430,28698,732,2.55,35848
LICHSGFIN,14621,14454,167,1.16,14850
LT,49391,50884,-1493,-2.93,67787
L&TFH,10363,11071,-708,-6.40,12646
LUPIN,14128,15366,-1238,-8.06,11493
MANAPPURAM,3516,3530,-14,-0.40,4838
MARICO,5496,5706,-210,-3.68,3556
MARUTI,76386,77492,-1106,-1.43,113109
MCDOWELL-N,10948,10959,-11,-0.10,10257
MCX,2614,2624,-10,-0.38,3239
MFSL,2374,2535,-161,-6.35,1842
MGL,6483,6552,-69,-1.05,7358
MINDTREE,3908,3624,284,7.84,7141
M&M,27780,27778,2,0.01,26579
M&MFIN,13224,13604,-380,-2.79,11232
MOTHERSUMI,13353,13608,-255,-1.87,15567
MRF,2629,2816,-187,-6.64,1777
MUTHOOTFIN,2191,2325,-134,-5.76,1789
NATIONALUM,4563,4789,-226,-4.72,3418
NBCC,7672,8340,-668,-8.01,9542
NCC,8049,8893,-844,-9.49,13528
NESTLEIND,9473,9618,-145,-1.51,5982
NIFTY,1771485,1732294,39191,2.26,6100765
NIFTYIT,209,206,3,1.46,191
NIITTECH,2375,2303,72,3.13,2845
NMDC,7702,8202,-500,-6.10,9400
NTPC,18221,17526,695,3.97,18716
OFSS,1180,1168,12,1.03,852
OIL,2383,2377,6,0.25,2409
ONGC,23732,22702,1030,4.54,19239
PAGEIND,8765,9596,-831,-8.66,6284
PEL,12579,12470,109,0.87,17296
PETRONET,6341,5955,386,6.48,10840
PFC,9770,9864,-94,-0.95,9831
PIDILITIND,6411,6512,-101,-1.55,6076
PNB,20945,22161,-1216,-5.49,22370
POWERGRID,9168,9278,-110,-1.19,9842
PVR,3739,4049,-310,-7.66,3056
RAMCOCEM,2288,2396,-108,-4.51,1552
RAYMOND,3607,3888,-281,-7.23,3532
RBLBANK,17575,17613,-38,-0.22,33624
RECLTD,6924,6694,230,3.44,6697
RELCAPITAL,7639,7320,319,4.36,7796
RELIANCE,165952,162261,3691,2.27,152115
RELINFRA,4901,4709,192,4.08,5424
SAIL,13654,14222,-568,-3.99,16109
SBIN,72557,74238,-1681,-2.26,124977
SHREECEM,3823,3897,-74,-1.90,3388
SIEMENS,3010,3082,-72,-2.34,4612
SRF,5309,5439,-130,-2.39,3781
SRTRANSFIN,8562,8786,-224,-2.55,7066
STAR,3204,3372,-168,-4.98,4104
SUNPHARMA,58080,57066,1014,1.78,35982
SUNTV,7648,7749,-101,-1.30,8849
TATACHEM,2853,3212,-359,-11.18,2371
TATAELXSI,4499,4615,-116,-2.51,4897
TATAGLOBAL,4204,4257,-53,-1.25,2955
TATAMOTORS,47747,52408,-4661,-8.89,94384
TATAMTRDVR,6835,6623,212,3.20,4936
TATAPOWER,7393,7547,-154,-2.04,4025
TATASTEEL,51944,56458,-4514,-8.00,73321
TCS,76833,79410,-2577,-3.25,80407
TECHM,14129,14018,111,0.79,10351
TITAN,19041,18337,704,3.84,28964
TORNTPHARM,1405,1383,22,1.59,815
TORNTPOWER,1870,1767,103,5.83,1767
TVSMOTOR,9651,9527,124,1.30,8775
UBL,2199,2259,-60,-2.66,1374
UJJIVAN,5812,6607,-795,-12.03,12321
ULTRACEMCO,18383,18963,-580,-3.06,27996
UNIONBANK,6523,6741,-218,-3.23,9915
UPL,19970,20575,-605,-2.94,18813
VEDL,28855,28627,228,0.80,28942
VOLTAS,4641,5036,-395,-7.84,5304
WIPRO,14768,15045,-277,-1.84,11156
YESBANK,123960,132457,-8497,-6.41,119960
ZEEL,20098,19901,197,0.99,15850
