Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7387,7376,11,0.15,3569
ADANIENT,10936,10683,253,2.37,2194
ADANIPORTS,7106,6964,142,2.04,2842
ADANIPOWER,7418,7313,105,1.44,1054
AJANTPHARM,2241,1465,776,52.97,8760
ALBK,1850,1851,-1,-0.05,785
AMARAJABAT,2313,2282,31,1.36,706
AMBUJACEM,11193,11368,-175,-1.54,9739
APOLLOHOSP,2670,1879,791,42.10,5072
APOLLOTYRE,4010,3660,350,9.56,3783
ARVIND,2576,2570,6,0.23,2070
ASHOKLEY,23850,21115,2735,12.95,29968
ASIANPAINT,8825,8490,335,3.95,3888
AUROPHARMA,21905,20974,931,4.44,13987
AXISBANK,39497,37951,1546,4.07,20904
BAJAJ-AUTO,14392,14696,-304,-2.07,9379
BAJAJFINSV,5422,5350,72,1.35,2374
BAJFINANCE,23414,22733,681,3.00,14213
BALKRISIND,2128,2060,68,3.30,1706
BANKBARODA,16731,16019,712,4.44,8286
BANKINDIA,4855,5033,-178,-3.54,3820
BANKNIFTY,1144261,804437,339824,42.24,26164416
BATAINDIA,4465,4395,70,1.59,2117
BEL,7674,7729,-55,-0.71,2326
BEML,2216,2119,97,4.58,1820
BERGEPAINT,1270,1166,104,8.92,610
BHARATFIN,10305,10304,1,0.01,1969
BHARATFORG,8581,8350,231,2.77,1629
BHARTIARTL,22482,21867,615,2.81,8769
BHEL,8174,7771,403,5.19,3298
BIOCON,12910,10113,2797,27.66,15118
BOSCHLTD,4846,4726,120,2.54,611
BPCL,9060,9051,9,0.10,4533
BRITANNIA,11613,10321,1292,12.52,14182
BSOFT,1392,1353,39,2.88,567
CADILAHC,8723,8432,291,3.45,2299
CANBK,5896,6157,-261,-4.24,8337
CANFINHOME,2904,2268,636,28.04,5580
CASTROLIND,2274,2219,55,2.48,610
CEATLTD,2755,2729,26,0.95,2681
CENTURYTEX,7986,7508,478,6.37,3550
CESC,2380,2378,2,0.08,1336
CGPOWER,2177,2143,34,1.59,1118
CHENNPETRO,574,575,-1,-0.17,191
CHOLAFIN,1176,1215,-39,-3.21,1540
CIPLA,12165,11977,188,1.57,3469
COALINDIA,13694,13500,194,1.44,4106
COLPAL,3063,2958,105,3.55,1099
CONCOR,1266,1188,78,6.57,2099
CUMMINSIND,2216,2146,70,3.26,1403
DABUR,13637,10690,2947,27.57,30646
DCBBANK,1333,1311,22,1.68,1336
DHFL,15675,14801,874,5.91,12745
DISHTV,8031,7902,129,1.63,2195
DIVISLAB,7293,7126,167,2.34,4600
DLF,21350,20942,408,1.95,8536
DRREDDY,15482,15698,-216,-1.38,6156
EICHERMOT,15426,14941,485,3.25,8144
ENGINERSIN,2260,2299,-39,-1.70,757
EQUITAS,3028,3017,11,0.36,890
ESCORTS,4872,3781,1091,28.85,13344
EXIDEIND,5443,5561,-118,-2.12,4013
FEDERALBNK,8139,8122,17,0.21,3957
GAIL,4547,4425,122,2.76,2735
GLENMARK,4342,4154,188,4.53,1127
GMRINFRA,4944,4845,99,2.04,850
GODFRYPHLP,774,748,26,3.48,294
GODREJCP,10461,9692,769,7.93,5714
GODREJIND,686,641,45,7.02,402
GRASIM,13683,13651,32,0.23,2633
GSFC,2384,2315,69,2.98,706
HAVELLS,5091,5000,91,1.82,1720
HCLTECH,13501,13660,-159,-1.16,4272
HDFC,57344,56951,393,0.69,11986
HDFCBANK,53753,53892,-139,-0.26,37753
HEROMOTOCO,17280,17281,-1,-0.01,11364
HEXAWARE,1913,1893,20,1.06,849
HINDALCO,11640,11376,264,2.32,7891
HINDPETRO,8275,7929,346,4.36,6128
HINDUNILVR,39035,38680,355,0.92,9153
HINDZINC,1567,1314,253,19.25,3042
IBULHSGFIN,37256,35993,1263,3.51,27885
ICICIBANK,82763,79622,3141,3.94,58123
ICICIPRULI,4664,4311,353,8.19,2627
IDBI,3214,3246,-32,-0.99,622
IDEA,32703,31510,1193,3.79,11768
IDFC,6712,6695,17,0.25,962
IDFCFIRSTB,12578,12413,165,1.33,2551
IFCI,2152,2193,-41,-1.87,676
IGL,1271,1268,3,0.24,1199
INDIACEM,5033,4857,176,3.62,2377
INDIANB,1775,1724,51,2.96,1776
INDIGO,5490,5047,443,8.78,7594
INDUSINDBK,33529,30753,2776,9.03,23794
INFIBEAM,2674,2674,0,0.00,1434
INFRATEL,5295,5353,-58,-1.08,2606
INFY,45825,44232,1593,3.60,16555
IOC,12686,12664,22,0.17,5693
IRB,3336,3104,232,7.47,1458
ITC,40102,39224,878,2.24,16879
JETAIRWAYS,5770,3216,2554,79.42,15906
JINDALSTEL,12535,12691,-156,-1.23,11015
JISLJALEQS,3710,3656,54,1.48,1557
JSWSTEEL,32211,31222,989,3.17,14817
JUBLFOOD,8313,8418,-105,-1.25,8267
JUSTDIAL,2125,1723,402,23.33,2521
KAJARIACER,1357,1214,143,11.78,851
KOTAKBANK,29409,30464,-1055,-3.46,45525
KSCL,563,564,-1,-0.18,617
KTKBANK,3167,3119,48,1.54,1259
LICHSGFIN,8513,8079,434,5.37,4023
LT,28981,28893,88,0.30,13727
L&TFH,7369,6864,505,7.36,5991
LUPIN,15575,15296,279,1.82,5835
MANAPPURAM,1680,1644,36,2.19,946
MARICO,2438,2371,67,2.83,747
MARUTI,57241,55630,1611,2.90,48300
MCDOWELL-N,9715,9321,394,4.23,3300
MCX,2727,2692,35,1.30,2003
MFSL,1727,1703,24,1.41,599
MGL,1040,1025,15,1.46,597
MINDTREE,4993,5000,-7,-0.14,1728
M&M,20824,20427,397,1.94,8474
M&MFIN,11062,11119,-57,-0.51,3669
MOTHERSUMI,12036,11482,554,4.82,4576
MRF,4274,3852,422,10.96,5273
MRPL,653,684,-31,-4.53,315
MUTHOOTFIN,1673,1573,100,6.36,1326
NATIONALUM,5932,5842,90,1.54,1182
NBCC,4803,4912,-109,-2.22,1661
NCC,4959,4874,85,1.74,3308
NESTLEIND,6141,5932,209,3.52,1278
NHPC,883,876,7,0.80,145
NIFTY,1554632,1401550,153082,10.92,6464097
NIFTYIT,379,360,19,5.28,486
NIITTECH,2821,2567,254,9.89,1834
NMDC,3479,3524,-45,-1.28,579
NTPC,12583,12698,-115,-0.91,1981
OFSS,1967,1926,41,2.13,301
OIL,2301,2284,17,0.74,791
ONGC,19181,19047,134,0.70,6175
ORIENTBANK,2126,2151,-25,-1.16,1212
PAGEIND,5983,6130,-147,-2.40,1830
PCJEWELLER,2760,2563,197,7.69,2680
PEL,15014,14973,41,0.27,3666
PETRONET,3470,3446,24,0.70,736
PFC,5110,5179,-69,-1.33,2452
PIDILITIND,6194,5697,497,8.72,3988
PNB,17135,17033,102,0.60,10120
POWERGRID,5324,5496,-172,-3.13,2191
PVR,2558,2154,404,18.76,3234
RAMCOCEM,1726,1850,-124,-6.70,768
RAYMOND,5100,4846,254,5.24,5693
RBLBANK,5621,5548,73,1.32,3847
RECLTD,6180,6252,-72,-1.15,3803
RELCAPITAL,11705,11767,-62,-0.53,19913
RELIANCE,104366,101964,2402,2.36,81989
RELINFRA,12389,12127,262,2.16,10373
REPCOHOME,722,739,-17,-2.30,263
RPOWER,8624,7089,1535,21.65,6324
SAIL,10021,10236,-215,-2.10,5270
SBIN,28947,28604,343,1.20,28871
SHREECEM,1967,1942,25,1.29,551
SIEMENS,2343,2347,-4,-0.17,1101
SOUTHBANK,3922,3847,75,1.95,823
SRF,3468,3363,105,3.12,3769
SRTRANSFIN,5846,5625,221,3.93,1753
STAR,2618,2703,-85,-3.14,1503
SUNPHARMA,52090,51427,663,1.29,14035
SUNTV,8120,7454,666,8.93,3437
SUZLON,4490,4497,-7,-0.16,493
SYNDIBANK,2078,2050,28,1.37,1333
TATACHEM,4889,4375,514,11.75,2499
TATACOMM,2323,2379,-56,-2.35,830
TATAELXSI,5782,5098,684,13.42,3928
TATAGLOBAL,6369,6365,4,0.06,2218
TATAMOTORS,38695,36494,2201,6.03,30756
TATAMTRDVR,8805,8676,129,1.49,1416
TATAPOWER,8820,7701,1119,14.53,4699
TATASTEEL,37431,37131,300,0.81,44240
TCS,58635,60743,-2108,-3.47,22845
TECHM,9891,9490,401,4.23,6088
TITAN,13233,12920,313,2.42,7106
TORNTPHARM,1504,1596,-92,-5.76,798
TORNTPOWER,883,789,94,11.91,460
TV18BRDCST,5741,5690,51,0.90,743
TVSMOTOR,8605,6844,1761,25.73,21271
UBL,3129,3199,-70,-2.19,970
UJJIVAN,2713,2511,202,8.04,1681
ULTRACEMCO,15036,14721,315,2.14,5422
UNIONBANK,5233,5432,-199,-3.66,2908
UPL,22894,23196,-302,-1.30,4851
VEDL,20206,19662,544,2.77,9523
VGUARD,976,969,7,0.72,264
VOLTAS,5334,5173,161,3.11,2889
WIPRO,13037,12737,300,2.36,4753
WOCKPHARMA,4496,4424,72,1.63,1071
YESBANK,116706,117012,-306,-0.26,135856
ZEEL,16329,15878,451,2.84,9923
