Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,8345,9137,-792,-8.67,10936
ADANIENT,8669,9336,-667,-7.14,5288
ADANIPORTS,10975,11302,-327,-2.89,13377
ADANIPOWER,7080,8457,-1377,-16.28,3753
AJANTPHARM,204,376,-172,-45.74,529
ALBK,610,737,-127,-17.23,1052
AMARAJABAT,2437,2762,-325,-11.77,4591
AMBUJACEM,8186,7951,235,2.96,8241
APOLLOHOSP,3769,3870,-101,-2.61,4843
APOLLOTYRE,5006,5558,-552,-9.93,5459
ARVIND,2799,3927,-1128,-28.72,4156
ASHOKLEY,22430,23581,-1151,-4.88,24302
ASIANPAINT,13747,12694,1053,8.30,10268
AUROPHARMA,23396,23514,-118,-0.50,27447
AXISBANK,47990,47239,751,1.59,114326
BAJAJ-AUTO,12996,13151,-155,-1.18,13756
BAJAJFINSV,7798,7548,250,3.31,5920
BAJFINANCE,32968,32962,6,0.02,43239
BALKRISIND,2926,3212,-286,-8.90,4154
BANKBARODA,26830,25656,1174,4.58,35188
BANKINDIA,6442,6379,63,0.99,7307
BANKNIFTY,1017251,855964,161287,18.84,27954876
BATAINDIA,3958,4176,-218,-5.22,6515
BEL,5145,5638,-493,-8.74,6709
BEML,1061,1498,-437,-29.17,4757
BERGEPAINT,1456,1536,-80,-5.21,928
BHARATFIN,7129,7648,-519,-6.79,4617
BHARATFORG,7321,7635,-314,-4.11,6962
BHARTIARTL,23974,22876,1098,4.80,19207
BHEL,10190,10538,-348,-3.30,12040
BIOCON,13089,12580,509,4.05,10203
BOSCHLTD,5334,5335,-1,-0.02,3140
BPCL,8259,8456,-197,-2.33,14911
BRITANNIA,16391,14526,1865,12.84,13225
BSOFT,837,993,-156,-15.71,1057
CADILAHC,13323,13102,221,1.69,10347
CANBK,6593,7364,-771,-10.47,9919
CANFINHOME,700,1361,-661,-48.57,1440
CASTROLIND,2619,2758,-139,-5.04,2466
CEATLTD,466,1395,-929,-66.59,2621
CENTURYTEX,6738,6862,-124,-1.81,3804
CESC,1919,2506,-587,-23.42,2497
CGPOWER,696,893,-197,-22.06,828
CHENNPETRO,101,260,-159,-61.15,320
CHOLAFIN,1478,1665,-187,-11.23,2898
CIPLA,14389,13569,820,6.04,12592
COALINDIA,18721,17015,1706,10.03,13308
COLPAL,4302,3957,345,8.72,3688
CONCOR,1719,1708,11,0.64,2732
CUMMINSIND,2640,2641,-1,-0.04,3621
DABUR,10567,11081,-514,-4.64,9990
DCBBANK,406,593,-187,-31.53,635
DHFL,12795,13255,-460,-3.47,16289
DISHTV,7694,8698,-1004,-11.54,7116
DIVISLAB,9025,9090,-65,-0.72,7766
DLF,27059,27506,-447,-1.63,32741
DRREDDY,18126,18707,-581,-3.11,13466
EICHERMOT,17268,18412,-1144,-6.21,16578
ENGINERSIN,1986,2173,-187,-8.61,2012
EQUITAS,3739,3678,61,1.66,4537
ESCORTS,8637,8015,622,7.76,11511
EXIDEIND,4212,4281,-69,-1.61,5277
FEDERALBNK,8843,9436,-593,-6.28,11900
GAIL,14266,12863,1403,10.91,14352
GLENMARK,10240,9634,606,6.29,6679
GMRINFRA,5047,6046,-999,-16.52,7802
GODFRYPHLP,147,331,-184,-55.59,360
GODREJCP,7391,7924,-533,-6.73,7835
GODREJIND,319,553,-234,-42.31,645
GRASIM,19424,19276,148,0.77,15061
GSFC,784,1099,-315,-28.66,553
HAVELLS,7758,7436,322,4.33,9863
HCLTECH,17543,16092,1451,9.02,12371
HDFC,62351,60841,1510,2.48,40489
HDFCBANK,84362,82204,2158,2.63,101832
HEROMOTOCO,20281,20357,-76,-0.37,22711
HEXAWARE,2048,2369,-321,-13.55,3845
HINDALCO,15082,14527,555,3.82,18767
HINDPETRO,10874,10528,346,3.29,10504
HINDUNILVR,44595,42954,1641,3.82,30569
HINDZINC,2890,3056,-166,-5.43,3429
IBULHSGFIN,37466,43842,-6376,-14.54,58721
ICICIBANK,88165,88591,-426,-0.48,88453
ICICIPRULI,4964,4747,217,4.57,5429
IDBI,2585,3123,-538,-17.23,1783
IDEA,22610,22982,-372,-1.62,22239
IDFC,2548,3342,-794,-23.76,1513
IDFCFIRSTB,11864,12589,-725,-5.76,7080
IFCI,389,643,-254,-39.50,684
IGL,2148,2192,-44,-2.01,2649
INDIACEM,2564,3383,-819,-24.21,2992
INDIANB,564,965,-401,-41.55,1265
INDIGO,6907,7472,-565,-7.56,11584
INDUSINDBK,41615,45200,-3585,-7.93,70083
INFIBEAM,650,1008,-358,-35.52,948
INFRATEL,4630,4399,231,5.25,6802
INFY,60115,57203,2912,5.09,49068
IOC,15826,14424,1402,9.72,8193
IRB,1865,2799,-934,-33.37,2830
ITC,59104,54586,4518,8.28,43645
JETAIRWAYS,3484,3833,-349,-9.11,8512
JINDALSTEL,13764,15379,-1615,-10.50,23642
JISLJALEQS,3680,4961,-1281,-25.82,4920
JSWSTEEL,30769,30478,291,0.95,21285
JUBLFOOD,7182,7395,-213,-2.88,6780
JUSTDIAL,2957,3381,-424,-12.54,8537
KAJARIACER,1819,1819,0,0.00,1655
KOTAKBANK,29047,28185,862,3.06,38224
KSCL,174,261,-87,-33.33,303
KTKBANK,637,1389,-752,-54.14,1885
LICHSGFIN,8358,8394,-36,-0.43,10621
LT,48316,49949,-1633,-3.27,48902
L&TFH,11682,11660,22,0.19,11249
LUPIN,17374,17277,97,0.56,20715
MANAPPURAM,3339,3461,-122,-3.52,5318
MARICO,3087,3165,-78,-2.46,2122
MARUTI,66939,67396,-457,-0.68,120047
MCDOWELL-N,10332,10441,-109,-1.04,6359
MCX,2505,2514,-9,-0.36,1792
MFSL,1606,1542,64,4.15,1344
MGL,1556,1568,-12,-0.77,2058
MINDTREE,3725,4452,-727,-16.33,8837
M&M,25510,25230,280,1.11,22823
M&MFIN,9414,9662,-248,-2.57,6650
MOTHERSUMI,12443,12055,388,3.22,14576
MRF,3245,3169,76,2.40,3272
MRPL,135,236,-101,-42.80,207
MUTHOOTFIN,2470,2557,-87,-3.40,2340
NATIONALUM,5507,5694,-187,-3.28,5548
NBCC,4263,4334,-71,-1.64,4767
NCC,6410,6825,-415,-6.08,8349
NESTLEIND,6914,6762,152,2.25,5094
NHPC,276,350,-74,-21.14,158
NIFTY,1750493,1655050,95443,5.77,8185322
NIFTYIT,314,290,24,8.28,580
NIITTECH,2176,2464,-288,-11.69,1839
NMDC,5856,5684,172,3.03,6460
NTPC,20119,18377,1742,9.48,14014
OFSS,1895,1918,-23,-1.20,1024
OIL,2048,2261,-213,-9.42,1957
ONGC,22217,19311,2906,15.05,14305
ORIENTBANK,461,728,-267,-36.68,939
PAGEIND,6706,6937,-231,-3.33,2772
PCJEWELLER,2520,3496,-976,-27.92,3417
PEL,13875,14964,-1089,-7.28,28026
PETRONET,4488,4303,185,4.30,3957
PFC,9104,9106,-2,-0.02,9423
PIDILITIND,6044,5686,358,6.30,5594
PNB,24299,23671,628,2.65,27473
POWERGRID,11365,10510,855,8.14,10871
PVR,1969,2167,-198,-9.14,1987
RAMCOCEM,1405,1427,-22,-1.54,1725
RAYMOND,4087,4062,25,0.62,4348
RBLBANK,6322,6467,-145,-2.24,7158
RECLTD,7196,7443,-247,-3.32,7285
RELCAPITAL,8455,10364,-1909,-18.42,17452
RELIANCE,134048,128888,5160,4.00,165953
RELINFRA,10602,13792,-3190,-23.13,24217
REPCOHOME,99,192,-93,-48.44,188
RPOWER,2844,4260,-1416,-33.24,1949
SAIL,11108,12635,-1527,-12.09,14369
SBIN,45345,44691,654,1.46,103493
SHREECEM,2782,2746,36,1.31,2512
SIEMENS,3203,2775,428,15.42,5419
SOUTHBANK,605,1379,-774,-56.13,951
SRF,5101,5385,-284,-5.27,9257
SRTRANSFIN,9616,9795,-179,-1.83,8535
STAR,2218,2387,-169,-7.08,2372
SUNPHARMA,64962,63540,1422,2.24,51517
SUNTV,8293,8075,218,2.70,15551
SUZLON,1746,2074,-328,-15.81,1257
SYNDIBANK,496,678,-182,-26.84,545
TATACHEM,3858,3985,-127,-3.19,4388
TATACOMM,541,1114,-573,-51.44,1127
TATAELXSI,3301,3864,-563,-14.57,3852
TATAGLOBAL,6592,6242,350,5.61,7631
TATAMOTORS,37646,42428,-4782,-11.27,52899
TATAMTRDVR,5782,6102,-320,-5.24,6220
TATAPOWER,7351,8369,-1018,-12.16,4867
TATASTEEL,48150,48222,-72,-0.15,86570
TCS,76123,75873,250,0.33,57355
