Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,5658,5683,-25,-0.44,3028
ADANIENT,11977,11772,205,1.74,3375
ADANIPORTS,11906,11688,218,1.87,9021
ADANIPOWER,7667,7738,-71,-0.92,547
AJANTPHARM,1656,1726,-70,-4.06,2337
ALBK,2174,2191,-17,-0.78,714
AMARAJABAT,2379,2247,132,5.87,1789
AMBUJACEM,7150,7226,-76,-1.05,1604
APOLLOHOSP,2603,2407,196,8.14,2662
APOLLOTYRE,4440,4567,-127,-2.78,1672
ARVIND,6928,7062,-134,-1.90,2032
ASHOKLEY,35404,35920,-516,-1.44,16386
ASIANPAINT,21511,21979,-468,-2.13,28082
AUROPHARMA,23363,23552,-189,-0.80,10734
AXISBANK,41428,40074,1354,3.38,27793
BAJAJ-AUTO,11698,11767,-69,-0.59,2524
BAJAJFINSV,6062,6309,-247,-3.92,2836
BAJFINANCE,35869,33835,2034,6.01,20353
BALKRISIND,4509,4452,57,1.28,1752
BANKBARODA,22371,22027,344,1.56,8447
BANKINDIA,7284,7286,-2,-0.03,3574
BANKNIFTY,1017326,935443,81883,8.75,10296163
BATAINDIA,5984,5950,34,0.57,7486
BEL,8689,8387,302,3.60,2282
BEML,3833,3869,-36,-0.93,4310
BERGEPAINT,2929,3011,-82,-2.72,791
BHARATFIN,9407,9323,84,0.90,1324
BHARATFORG,14144,14236,-92,-0.65,3553
BHARTIARTL,26999,27207,-208,-0.76,7514
BHEL,8674,8470,204,2.41,3722
BIOCON,9003,8531,472,5.53,11328
BOSCHLTD,5619,5617,2,0.04,301
BPCL,7207,7330,-123,-1.68,4389
BRITANNIA,15186,15165,21,0.14,3172
CADILAHC,6373,6384,-11,-0.17,1085
CANBK,8484,8476,8,0.09,7381
CANFINHOME,3507,3219,288,8.95,4503
CAPF,926,926,0,0.00,0
CASTROLIND,2502,2505,-3,-0.12,1327
CEATLTD,3579,3568,11,0.31,1788
CENTURYTEX,8375,8390,-15,-0.18,2839
CESC,3466,3491,-25,-0.72,1746
CGPOWER,4123,4023,100,2.49,895
CHENNPETRO,1001,970,31,3.20,433
CHOLAFIN,2348,2333,15,0.64,1031
CIPLA,10872,11048,-176,-1.59,3152
COALINDIA,16597,16651,-54,-0.32,3851
COLPAL,2588,2579,9,0.35,2063
CONCOR,2172,2060,112,5.44,631
CUMMINSIND,2842,2822,20,0.71,623
DABUR,12886,13084,-198,-1.51,3502
DALMIABHA,55,55,0,0.00,0
DCBBANK,1973,2131,-158,-7.41,1771
DHFL,15973,16300,-327,-2.01,7770
DISHTV,10293,10119,174,1.72,1780
DIVISLAB,9549,9575,-26,-0.27,1631
DLF,13458,13282,176,1.33,6281
DRREDDY,20567,20738,-171,-0.82,7504
EICHERMOT,25921,26280,-359,-1.37,6217
ENGINERSIN,2630,2663,-33,-1.24,789
EQUITAS,3874,4049,-175,-4.32,1412
ESCORTS,5615,5739,-124,-2.16,6742
EXIDEIND,4732,4417,315,7.13,2347
FEDERALBNK,14237,14277,-40,-0.28,5711
GAIL,6801,6914,-113,-1.63,2927
GLENMARK,5168,5242,-74,-1.41,1531
GMRINFRA,4844,4922,-78,-1.58,793
GODFRYPHLP,1119,1085,34,3.13,1106
GODREJCP,8755,8863,-108,-1.22,2080
GODREJIND,1138,1160,-22,-1.90,356
GRASIM,16422,15451,971,6.28,7282
GSFC,4003,3928,75,1.91,825
HAVELLS,8178,8405,-227,-2.70,16448
HCLTECH,17066,17237,-171,-0.99,4884
HDFC,59872,58823,1049,1.78,12017
HDFCBANK,73018,73217,-199,-0.27,32244
HEROMOTOCO,15413,15339,74,0.48,6974
HEXAWARE,2511,2636,-125,-4.74,1934
HINDALCO,18212,18437,-225,-1.22,9765
HINDPETRO,10314,10577,-263,-2.49,4027
HINDUNILVR,24571,25107,-536,-2.13,15869
HINDZINC,2869,2842,27,0.95,1209
IBULHSGFIN,31091,30422,669,2.20,14048
ICICIBANK,56115,56118,-3,-0.01,27437
ICICIPRULI,8614,4147,4467,107.72,35681
IDBI,5568,5591,-23,-0.41,1792
IDEA,17268,17197,71,0.41,3506
IDFC,8843,8806,37,0.42,932
IDFCBANK,17978,17978,0,0.00,0
IDFCFIRSTB,18472,18267,205,1.12,4534
IFCI,2126,2116,10,0.47,202
IGL,1828,1846,-18,-0.98,1059
INDIACEM,7585,7596,-11,-0.14,2252
INDIANB,2512,2478,34,1.37,1121
INDIGO,8215,7225,990,13.70,11773
INDUSINDBK,42613,43483,-870,-2.00,16020
INFIBEAM,4608,4485,123,2.74,965
INFRATEL,5679,5161,518,10.04,3889
INFY,51195,51128,67,0.13,26886
IOC,16422,16768,-346,-2.06,2220
IRB,3055,3047,8,0.26,1198
ITC,61501,45269,16232,35.86,120250
JETAIRWAYS,4433,4558,-125,-2.74,881
JINDALSTEL,18513,18606,-93,-0.50,13675
JISLJALEQS,6816,6594,222,3.37,1646
JPASSOCIAT,2779,2682,97,3.62,704
JSWSTEEL,39083,39030,53,0.14,8264
JUBLFOOD,12670,12278,392,3.19,7285
JUSTDIAL,3881,4235,-354,-8.36,3587
KAJARIACER,2762,2841,-79,-2.78,1115
KOTAKBANK,28559,28703,-144,-0.50,30322
KPIT,2577,2480,97,3.91,7475
KSCL,1166,1131,35,3.09,414
KTKBANK,4674,4686,-12,-0.26,1020
LICHSGFIN,11043,10818,225,2.08,5631
LT,47323,47083,240,0.51,19603
L&TFH,10406,10530,-124,-1.18,4824
LUPIN,15555,15812,-257,-1.63,10421
MANAPPURAM,2472,2337,135,5.78,617
MARICO,3243,3197,46,1.44,532
MARUTI,61571,60349,1222,2.02,47755
MCDOWELL-N,12894,11547,1347,11.67,11097
MCX,4706,4698,8,0.17,1522
MFSL,2196,2218,-22,-0.99,576
MGL,1407,1390,17,1.22,431
MINDTREE,10111,10292,-181,-1.76,33407
M&M,29732,28234,1498,5.31,15367
M&MFIN,10121,10210,-89,-0.87,1942
MOTHERSUMI,10498,10056,442,4.40,3279
MRF,2423,2535,-112,-4.42,411
MRPL,1056,1052,4,0.38,189
MUTHOOTFIN,2389,2379,10,0.42,1376
NATIONALUM,4021,4141,-120,-2.90,2234
NBCC,7042,7031,11,0.16,1281
NCC,8506,8438,68,0.81,2327
NESTLEIND,6824,6784,40,0.59,1203
NHPC,1023,1022,1,0.10,289
NIFTY,1805267,1762790,42477,2.41,1881332
NIFTYIT,351,345,6,1.74,274
NIITTECH,4388,4510,-122,-2.71,4741
NMDC,6321,6330,-9,-0.14,1788
NTPC,11844,11806,38,0.32,2827
OFSS,965,772,193,25.00,637
OIL,2485,2532,-47,-1.86,567
ONGC,14441,14698,-257,-1.75,3730
ORIENTBANK,2691,2466,225,9.12,1505
PAGEIND,10450,10397,53,0.51,2837
PCJEWELLER,3916,3901,15,0.38,3235
PEL,9514,9534,-20,-0.21,3792
PETRONET,4944,4818,126,2.62,2055
PFC,8074,8171,-97,-1.19,3148
PIDILITIND,6292,5761,531,9.22,5985
PNB,22127,22344,-217,-0.97,8491
POWERGRID,6507,6592,-85,-1.29,2181
PTC,951,982,-31,-3.16,534
PVR,5413,5144,269,5.23,2450
RAMCOCEM,978,958,20,2.09,1367
RAYMOND,7227,6251,976,15.61,19251
RBLBANK,6207,6128,79,1.29,4048
RCOM,5546,5276,270,5.12,3823
RECLTD,9283,9283,0,0.00,5354
RELCAPITAL,14084,15205,-1121,-7.37,3391
RELIANCE,158470,161497,-3027,-1.87,131463
RELINFRA,12787,13390,-603,-4.50,8800
