Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
"ACC","4,204","4,233","-29","-0.69","2,966"
"ADANIENT","12,348","12,010","338","2.81","4,624"
"ADANIPORTS","8,674","8,707","-33","-0.38","5,458"
"ADANIPOWER","8,776","8,669","107","1.23","1,797"
"AJANTPHARM","1,368","1,319","49","3.71","958"
"ALBK","1,951","1,777","174","9.79","1,759"
"AMARAJABAT","2,760","2,851","-91","-3.19","2,704"
"AMBUJACEM","7,131","6,904","227","3.29","3,312"
"APOLLOHOSP","2,496","2,426","70","2.89","2,302"
"APOLLOTYRE","4,134","4,100","34","0.83","2,883"
"ARVIND","11,899","11,644","255","2.19","5,920"
"ASHOKLEY","26,258","25,734","524","2.04","14,686"
"ASIANPAINT","8,242","8,048","194","2.41","4,960"
"AUROPHARMA","22,879","21,584","1,295","6.00","30,181"
"AXISBANK","37,149","36,257","892","2.46","26,279"
"BAJAJ-AUTO","11,134","11,077","57","0.51","7,921"
"BAJAJFINSV","5,755","5,414","341","6.30","2,935"
"BAJFINANCE","28,632","28,357","275","0.97","22,261"
"BALKRISIND","4,224","3,947","277","7.02","5,003"
"BANKBARODA","20,638","20,465","173","0.85","7,122"
"BANKINDIA","5,788","5,408","380","7.03","5,329"
"BANKNIFTY","16,51,749","11,89,999","4,61,750","38.80","3,15,03,371"
"BATAINDIA","4,239","4,200","39","0.93","3,862"
"BEL","11,466","10,720","746","6.96","3,117"
"BEML","2,730","2,720","10","0.37","3,977"
"BERGEPAINT","969","977","-8","-0.82","415"
"BHARATFIN","11,214","11,394","-180","-1.58","1,974"
"BHARATFORG","10,860","10,581","279","2.64","9,242"
"BHARTIARTL","25,299","25,106","193","0.77","7,760"
"BHEL","10,328","10,000","328","3.28","5,606"
"BIOCON","8,080","8,086","-6","-0.07","5,337"
"BOSCHLTD","6,160","6,214","-54","-0.87","1,188"
"BPCL","8,372","8,408","-36","-0.43","6,286"
"BRITANNIA","14,972","14,716","256","1.74","1,696"
"CADILAHC","5,514","5,582","-68","-1.22","1,495"
"CANBK","7,293","7,203","90","1.25","7,329"
"CANFINHOME","3,715","3,757","-42","-1.12","1,568"
"CAPF","8,705","8,759","-54","-0.62","1,469"
"CASTROLIND","2,518","2,483","35","1.41","766"
"CEATLTD","3,175","3,228","-53","-1.64","3,721"
"CENTURYTEX","9,357","8,838","519","5.87","5,067"
"CESC","2,977","3,018","-41","-1.36","1,956"
"CGPOWER","4,334","4,253","81","1.90","1,320"
"CHENNPETRO","594","626","-32","-5.11","491"
"CHOLAFIN","1,206","1,151","55","4.78","1,808"
"CIPLA","10,947","10,132","815","8.04","7,450"
"COALINDIA","28,871","26,897","1,974","7.34","8,642"
"COLPAL","2,000","2,001","-1","-0.05","1,151"
"CONCOR","2,504","2,508","-4","-0.16","625"
"CUMMINSIND","2,307","2,153","154","7.15","848"
"DABUR","9,350","9,447","-97","-1.03","2,957"
"DALMIABHA","1,250","1,250","0","0.00","0"
"DCBBANK","1,202","1,176","26","2.21","714"
"DHFL","18,899","18,454","445","2.41","7,351"
"DISHTV","8,912","7,484","1,428","19.08","3,569"
"DIVISLAB","11,462","11,289","173","1.53","5,512"
"DLF","13,634","12,392","1,242","10.02","14,235"
"DRREDDY","17,131","16,852","279","1.66","8,210"
"EICHERMOT","12,053","12,081","-28","-0.23","5,230"
"ENGINERSIN","1,922","1,935","-13","-0.67","1,022"
"EQUITAS","3,538","3,546","-8","-0.23","2,435"
"ESCORTS","6,673","6,459","214","3.31","11,645"
"EXIDEIND","3,632","3,514","118","3.36","1,522"
"FEDERALBNK","10,984","10,912","72","0.66","5,944"
"GAIL","7,461","7,599","-138","-1.82","3,460"
"GLENMARK","5,791","5,975","-184","-3.08","2,833"
"GMRINFRA","4,525","4,534","-9","-0.20","1,200"
"GODFRYPHLP","841","873","-32","-3.67","487"
"GODREJCP","9,185","9,621","-436","-4.53","1,642"
"GODREJIND","1,060","1,094","-34","-3.11","865"
"GRASIM","13,128","12,383","745","6.02","6,088"
"GSFC","3,838","3,934","-96","-2.44","933"
"HAVELLS","5,685","5,740","-55","-0.96","3,163"
"HCLTECH","14,178","13,985","193","1.38","10,128"
"HDFC","53,968","54,454","-486","-0.89","14,385"
"HDFCBANK","56,966","57,560","-594","-1.03","24,187"
"HEROMOTOCO","7,912","7,573","339","4.48","7,018"
"HEXAWARE","3,032","3,248","-216","-6.65","1,749"
"HINDALCO","12,903","12,809","94","0.73","14,764"
"HINDPETRO","16,144","16,271","-127","-0.78","7,829"
"HINDUNILVR","20,612","20,666","-54","-0.26","18,858"
"HINDZINC","2,142","2,088","54","2.59","1,055"
"IBULHSGFIN","45,338","45,450","-112","-0.25","26,391"
"ICICIBANK","40,665","39,927","738","1.85","34,186"
"ICICIPRULI","3,163","3,347","-184","-5.50","2,188"
"IDBI","7,802","7,203","599","8.32","3,460"
"IDEA","26,582","26,102","480","1.84","6,843"
"IDFC","9,180","8,972","208","2.32","1,619"
"IDFCBANK","14,510","14,383","127","0.88","2,372"
"IFCI","2,351","2,339","12","0.51","414"
"IGL","2,134","2,028","106","5.23","1,150"
"INDIACEM","6,821","6,455","366","5.67","3,578"
"INDIANB","2,797","2,722","75","2.76","1,626"
"INDIGO","5,795","5,851","-56","-0.96","6,934"
"INDUSINDBK","19,696","18,936","760","4.01","11,011"
"INFIBEAM","4,174","4,092","82","2.00","1,968"
"INFRATEL","5,052","5,087","-35","-0.69","970"
"INFY","42,801","43,130","-329","-0.76","20,816"
"IOC","37,060","35,070","1,990","5.67","11,433"
"IRB","3,855","3,881","-26","-0.67","1,790"
"ITC","41,963","40,974","989","2.41","14,819"
"JETAIRWAYS","6,140","5,557","583","10.49","8,439"
"JINDALSTEL","17,138","17,377","-239","-1.38","15,996"
