Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
NMDC,5133,5059,74,1.46,1769
NTPC,8113,7985,128,1.60,2502
OFSS,960,994,-34,-3.42,132
OIL,1894,1844,50,2.71,428
ONGC,10344,10229,115,1.12,3152
ORIENTBANK,2202,2184,18,0.82,1224
PAGEIND,6863,6980,-117,-1.68,2775
PCJEWELLER,3145,2913,232,7.96,6271
PEL,12482,12492,-10,-0.08,3221
PETRONET,5080,5091,-11,-0.22,1207
PFC,6287,6141,146,2.38,4917
PIDILITIND,5151,5073,78,1.54,2903
PNB,22210,22010,200,0.91,12601
POWERGRID,3200,3036,164,5.40,1201
PVR,4565,4512,53,1.17,1039
RAMCOCEM,852,690,162,23.48,1153
RAYMOND,6922,5281,1641,31.07,15557
RBLBANK,6563,6258,305,4.87,4701
RCOM,5675,5612,63,1.12,4625
RECLTD,6965,6654,311,4.67,5505
RELCAPITAL,12055,13197,-1142,-8.65,19155
RELIANCE,131093,130644,449,0.34,109801
RELINFRA,17728,21437,-3709,-17.30,34932
REPCOHOME,971,893,78,8.73,2671
RPOWER,11083,8116,2967,36.56,19679
SAIL,9251,8929,322,3.61,6891
SBIN,46193,46863,-670,-1.43,48565
SHREECEM,1677,1652,25,1.51,426
SIEMENS,3872,3158,714,22.61,8780
SOUTHBANK,5006,4943,63,1.27,2206
SREINFRA,1460,1503,-43,-2.86,1156
SRF,2930,2936,-6,-0.20,3711
SRTRANSFIN,8648,8616,32,0.37,6320
STAR,5177,5212,-35,-0.67,3062
SUNPHARMA,57041,55945,1096,1.96,46603
SUNTV,8553,8343,210,2.52,4943
SUZLON,3794,3783,11,0.29,444
SYNDIBANK,1920,1975,-55,-2.78,593
TATACHEM,4742,4673,69,1.48,4179
TATACOMM,3062,3019,43,1.42,1098
TATAELXSI,4670,4849,-179,-3.69,3758
TATAGLOBAL,6150,6112,38,0.62,4122
TATAMOTORS,43069,38429,4640,12.07,47911
TATAMTRDVR,8699,8583,116,1.35,1466
TATAPOWER,5337,5247,90,1.72,1951
TATASTEEL,45370,44647,723,1.62,34717
TCS,71304,71328,-24,-0.03,18898
TECHM,17210,17423,-213,-1.22,15469
TITAN,25653,25905,-252,-0.97,8881
TORNTPHARM,1009,1000,9,0.90,751
TORNTPOWER,730,756,-26,-3.44,1189
TV18BRDCST,5033,5034,-1,-0.02,669
TVSMOTOR,5986,6011,-25,-0.42,6720
UBL,3736,3416,320,9.37,1731
UJJIVAN,3355,2810,545,19.40,4962
ULTRACEMCO,11700,11639,61,0.52,4232
UNIONBANK,5209,5171,38,0.73,2610
UPL,15969,15972,-3,-0.02,6087
VEDL,35928,35605,323,0.91,12598
VGUARD,1130,1109,21,1.89,225
VOLTAS,6128,6066,62,1.02,2987
WIPRO,14929,14651,278,1.90,3807
WOCKPHARMA,5032,5270,-238,-4.52,4775
YESBANK,119001,117025,1976,1.69,59249
ZEEL,23308,23349,-41,-0.18,29982
