Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,6485,5826,659,11.31,5604
ADANIENT,11650,12028,-378,-3.14,24060
ADANIPORTS,8170,7443,727,9.77,15442
ADANIPOWER,8380,8306,74,0.89,4068
AJANTPHARM,1360,1301,59,4.53,1288
ALBK,1809,1930,-121,-6.27,1744
AMARAJABAT,2558,2463,95,3.86,1435
AMBUJACEM,9872,9672,200,2.07,6858
APOLLOHOSP,1985,2114,-129,-6.10,1797
APOLLOTYRE,4641,4689,-48,-1.02,3302
ARVIND,4651,4569,82,1.79,7285
ASHOKLEY,25840,24357,1483,6.09,20226
ASIANPAINT,11526,11623,-97,-0.83,5862
AUROPHARMA,25004,24746,258,1.04,15146
AXISBANK,39639,37473,2166,5.78,39961
BAJAJ-AUTO,16128,16065,63,0.39,14388
BAJAJFINSV,8175,7911,264,3.34,6185
BAJFINANCE,33973,33317,656,1.97,38957
BALKRISIND,2720,2475,245,9.90,3510
BANKBARODA,17458,16910,548,3.24,21646
BANKINDIA,5582,6130,-548,-8.94,9773
BANKNIFTY,498719,415901,82818,19.91,2501653
BATAINDIA,4607,4357,250,5.74,4554
BEL,6513,6174,339,5.49,8219
BEML,2559,2203,356,16.16,5617
BERGEPAINT,993,1060,-67,-6.32,504
BHARATFIN,15207,15818,-611,-3.86,3956
BHARATFORG,9078,8650,428,4.95,18836
BHARTIARTL,26219,26186,33,0.13,11723
BHEL,10011,9190,821,8.93,8080
BIOCON,14899,14267,632,4.43,6841
BOSCHLTD,5528,5514,14,0.25,766
BPCL,10286,9943,343,3.45,9551
BRITANNIA,13335,13139,196,1.49,4086
BSOFT,1639,1669,-30,-1.80,394
CADILAHC,10591,10515,76,0.72,3442
CANBK,6454,6226,228,3.66,10634
CANFINHOME,2983,2669,314,11.76,2781
CASTROLIND,2246,2122,124,5.84,699
CEATLTD,3075,3278,-203,-6.19,3072
CENTURYTEX,7092,7587,-495,-6.52,5509
CESC,3149,2786,363,13.03,5623
CGPOWER,2921,2988,-67,-2.24,1641
CHENNPETRO,877,762,115,15.09,1009
CHOLAFIN,1454,1204,250,20.76,1883
CIPLA,15351,15235,116,0.76,6618
COALINDIA,15045,14808,237,1.60,4752
COLPAL,3740,3965,-225,-5.67,1109
CONCOR,1339,1304,35,2.68,704
CUMMINSIND,1785,1859,-74,-3.98,1502
DABUR,14471,14587,-116,-0.80,6772
DCBBANK,1531,1619,-88,-5.44,2518
DHFL,18727,19479,-752,-3.86,20814
DISHTV,10773,9940,833,8.38,4909
DIVISLAB,7762,7883,-121,-1.53,2179
DLF,22974,22319,655,2.93,15712
DRREDDY,21786,19806,1980,10.00,26746
EICHERMOT,21402,21205,197,0.93,12559
ENGINERSIN,2378,2171,207,9.53,2726
EQUITAS,2706,2501,205,8.20,1836
ESCORTS,8096,8185,-89,-1.09,10064
EXIDEIND,5256,5315,-59,-1.11,2207
FEDERALBNK,9175,8574,601,7.01,13503
GAIL,5536,5473,63,1.15,3427
GLENMARK,4834,4834,0,0.00,1653
GMRINFRA,5502,5347,155,2.90,1486
GODFRYPHLP,1011,1003,8,0.80,486
GODREJCP,10474,10507,-33,-0.31,2852
GODREJIND,1236,1195,41,3.43,964
GRASIM,16205,15645,560,3.58,7495
GSFC,2433,2217,216,9.74,1049
HAVELLS,5114,5295,-181,-3.42,1578
HCLTECH,15976,16006,-30,-0.19,6695
HDFC,59787,59981,-194,-0.32,33463
HDFCBANK,66873,58106,8767,15.09,67467
HEROMOTOCO,16435,16442,-7,-0.04,11939
HEXAWARE,1577,1614,-37,-2.29,904
HINDALCO,13287,13551,-264,-1.95,9605
HINDPETRO,10588,9928,660,6.65,14708
HINDUNILVR,40629,40529,100,0.25,13849
HINDZINC,1528,1483,45,3.03,670
IBULHSGFIN,45280,43602,1678,3.85,70587
ICICIBANK,90590,84330,6260,7.42,96020
ICICIPRULI,4284,4219,65,1.54,3275
IDBI,3673,3540,133,3.76,1022
IDEA,39266,38834,432,1.11,13713
IDFC,6071,5930,141,2.38,1522
IDFCFIRSTB,13587,13214,373,2.82,4495
IFCI,2305,2342,-37,-1.58,798
IGL,1454,1497,-43,-2.87,1101
INDIACEM,5612,5368,244,4.55,5560
INDIANB,2637,2721,-84,-3.09,2689
INDIGO,7536,7722,-186,-2.41,11079
INDUSINDBK,44090,45756,-1666,-3.64,38703
INFIBEAM,3495,3737,-242,-6.48,2314
INFRATEL,5118,4925,193,3.92,1146
INFY,50620,49897,723,1.45,25776
IOC,15504,15157,347,2.29,11033
IRB,3812,3546,266,7.50,4139
ITC,46377,44985,1392,3.09,19173
JETAIRWAYS,4382,4619,-237,-5.13,1136
JINDALSTEL,12553,12245,308,2.52,10623
JISLJALEQS,3612,3672,-60,-1.63,1707
JSWSTEEL,32642,31578,1064,3.37,12301
JUBLFOOD,8726,8829,-103,-1.17,8779
JUSTDIAL,2792,2668,124,4.65,8254
KAJARIACER,1611,1656,-45,-2.72,866
KOTAKBANK,34861,31384,3477,11.08,34979
KSCL,528,572,-44,-7.69,484
KTKBANK,3798,3904,-106,-2.72,2496
LICHSGFIN,8348,8042,306,3.81,7410
LT,33810,30917,2893,9.36,38371
L&TFH,8996,8681,315,3.63,9146
LUPIN,18859,19086,-227,-1.19,10836
MANAPPURAM,1924,1878,46,2.45,1639
MARICO,3698,3634,64,1.76,1539
MARUTI,58644,58772,-128,-0.22,52958
MCDOWELL-N,9942,9901,41,0.41,5847
MCX,3001,2907,94,3.23,659
MFSL,1530,1570,-40,-2.55,490
MGL,1418,1505,-87,-5.78,651
MINDTREE,6662,6283,379,6.03,2652
M&M,23101,22037,1064,4.83,13627
M&MFIN,10676,10751,-75,-0.70,6381
MOTHERSUMI,14340,15199,-859,-5.65,9424
MRF,3481,3313,168,5.07,1025
MRPL,924,955,-31,-3.25,602
MUTHOOTFIN,2556,2402,154,6.41,2647
NATIONALUM,6172,6259,-87,-1.39,1908
NBCC,4692,4841,-149,-3.08,2660
NCC,5716,5213,503,9.65,9624
NESTLEIND,6108,6326,-218,-3.45,1400
NHPC,896,910,-14,-1.54,261
NIFTY,1561197,1454308,106889,7.35,3400001
NIFTYIT,323,313,10,3.19,320
NIITTECH,3874,3968,-94,-2.37,1042
NMDC,4202,4129,73,1.77,1570
NTPC,12950,12067,883,7.32,4057
OFSS,1661,1634,27,1.65,167
OIL,2241,2067,174,8.42,777
ONGC,19292,18870,422,2.24,5958
ORIENTBANK,1999,2050,-51,-2.49,2089
PAGEIND,5907,5896,11,0.19,2592
PCJEWELLER,4364,4327,37,0.86,4482
PEL,14063,14789,-726,-4.91,6948
PETRONET,5003,4851,152,3.13,2657
PFC,5253,5090,163,3.20,4633
PIDILITIND,6760,7090,-330,-4.65,5575
PNB,18326,17889,437,2.44,17860
POWERGRID,5998,5884,114,1.94,2337
PVR,2528,2499,29,1.16,1189
RAMCOCEM,1509,1435,74,5.16,979
RAYMOND,4637,4208,429,10.19,3900
RBLBANK,5509,5461,48,0.88,4689
RECLTD,7214,6833,381,5.58,5649
RELCAPITAL,17324,14602,2722,18.64,19922
RELIANCE,132611,129672,2939,2.27,123624
RELINFRA,13957,12958,999,7.71,12639
REPCOHOME,579,604,-25,-4.14,474
RPOWER,8480,8676,-196,-2.26,5236
SAIL,10530,10476,54,0.52,9826
SBIN,37661,33160,4501,13.57,92178
SHREECEM,2589,2401,188,7.83,1678
SIEMENS,2557,2501,56,2.24,1797
SOUTHBANK,3894,3853,41,1.06,1240
SRF,5453,5476,-23,-0.42,5598
SRTRANSFIN,6602,6668,-66,-0.99,4076
STAR,3026,3023,3,0.10,1190
SUNPHARMA,58719,58782,-63,-0.11,15714
SUNTV,7965,8007,-42,-0.52,6739
SUZLON,4514,4523,-9,-0.20,898
SYNDIBANK,2244,2364,-120,-5.08,1387
TATACHEM,6919,6126,793,12.94,5514
TATACOMM,2356,2454,-98,-3.99,784
TATAELXSI,5851,5540,311,5.61,2783
TATAGLOBAL,10125,9630,495,5.14,8556
TATAMOTORS,54750,50453,4297,8.52,77570
TATAMTRDVR,8864,8388,476,5.67,2964
TATAPOWER,8210,8461,-251,-2.97,5274
TATASTEEL,40727,40623,104,0.26,41964
TCS,61698,61611,87,0.14,41969
TECHM,10992,10196,796,7.81,7120
TITAN,16915,16683,232,1.39,18233
TORNTPHARM,1590,1602,-12,-0.75,553
TORNTPOWER,814,871,-57,-6.54,876
TV18BRDCST,5032,5131,-99,-1.93,1329
TVSMOTOR,8125,8417,-292,-3.47,5423
UBL,3979,2946,1033,35.06,4860
UJJIVAN,2938,3124,-186,-5.95,6861
ULTRACEMCO,14004,13488,516,3.83,14664
UNIONBANK,7359,7134,225,3.15,5223
UPL,23540,24732,-1192,-4.82,22011
VEDL,21317,21505,-188,-0.87,10902
VGUARD,910,947,-37,-3.91,425
VOLTAS,6797,6898,-101,-1.46,3970
WIPRO,16285,15659,626,4.00,7081
WOCKPHARMA,4072,4320,-248,-5.74,1783
YESBANK,118918,120877,-1959,-1.62,98028
ZEEL,21441,21293,148,0.70,29654
