Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,9234,8322,912,10.96,7102
ADANIENT,11239,10488,751,7.16,10362
ADANIPORTS,7509,7155,354,4.95,4293
ADANIPOWER,6074,5648,426,7.54,2168
AMARAJABAT,3371,2913,458,15.72,1601
AMBUJACEM,12142,11156,986,8.84,4064
APOLLOHOSP,3938,3500,438,12.51,2331
APOLLOTYRE,3537,3297,240,7.28,2922
ASHOKLEY,20444,19309,1135,5.88,12937
ASIANPAINT,19200,17994,1206,6.70,9975
AUROPHARMA,27968,26475,1493,5.64,12742
AXISBANK,64549,62040,2509,4.04,39658
BAJAJ-AUTO,14230,13945,285,2.04,9178
BAJAJFINSV,14021,13130,891,6.79,7834
BAJFINANCE,44288,43475,813,1.87,47382
BALKRISIND,3001,2512,489,19.47,2231
BANKBARODA,25529,23500,2029,8.63,23045
BANKINDIA,5913,5435,478,8.79,4773
BANKNIFTY,583931,454332,129599,28.53,6610641
BATAINDIA,7586,7203,383,5.32,5470
BEL,6142,5607,535,9.54,4489
BERGEPAINT,4980,4881,99,2.03,2725
BHARATFORG,7831,7684,147,1.91,2695
BHARTIARTL,39742,38835,907,2.34,51572
BHEL,17683,17441,242,1.39,13358
BIOCON,11188,10515,673,6.40,9109
BOSCHLTD,5616,5286,330,6.24,883
BPCL,22633,21193,1440,6.79,27324
BRITANNIA,13639,12370,1269,10.26,3776
CADILAHC,7319,5968,1351,22.64,5367
CANBK,9569,8446,1123,13.30,14629
CASTROLIND,3025,2490,535,21.49,4033
CENTURYTEX,7432,7063,369,5.22,5437
CESC,1588,1409,179,12.70,1199
CHOLAFIN,1715,1578,137,8.68,995
CIPLA,19722,17062,2660,15.59,10467
COALINDIA,20040,19215,825,4.29,5762
COLPAL,3610,3376,234,6.93,5220
CONCOR,5655,4793,862,17.98,3141
CUMMINSIND,4596,3146,1450,46.09,6162
DABUR,10882,10742,140,1.30,1819
DISHTV,10141,8690,1451,16.70,4843
DIVISLAB,7983,6789,1194,17.59,3200
DLF,23416,21354,2062,9.66,22330
DRREDDY,15455,14078,1377,9.78,6190
EICHERMOT,19434,17294,2140,12.37,10139
EQUITAS,3801,3667,134,3.65,2556
ESCORTS,7827,7507,320,4.26,8101
EXIDEIND,6954,6450,504,7.81,2798
FEDERALBNK,12506,11957,549,4.59,7035
GAIL,14569,12034,2535,21.07,7661
GLENMARK,9135,7667,1468,19.15,5492
GMRINFRA,4544,4434,110,2.48,2866
GODREJCP,9039,8293,746,9.00,1938
GRASIM,32845,26980,5865,21.74,21962
HAVELLS,8036,7894,142,1.80,5398
HCLTECH,21438,21820,-382,-1.75,14887
HDFC,85086,79142,5944,7.51,34362
HDFCBANK,90813,85977,4836,5.62,63825
HEROMOTOCO,24647,22110,2537,11.47,19352
HEXAWARE,2175,1868,307,16.43,1891
