Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,6780,6508,272,4.18,6726
ADANIENT,8583,8040,543,6.75,6940
ADANIPORTS,7615,7617,-2,-0.03,6209
ADANIPOWER,6518,6286,232,3.69,2782
AMARAJABAT,3222,2994,228,7.62,1565
AMBUJACEM,10515,9834,681,6.92,6665
APOLLOHOSP,2942,2910,32,1.10,1266
APOLLOTYRE,4434,4361,73,1.67,3674
ARVIND,2399,2395,4,0.17,3264
ASHOKLEY,26315,25562,753,2.95,15199
ASIANPAINT,18154,17391,763,4.39,9946
AUROPHARMA,21301,19459,1842,9.47,39545
AXISBANK,62599,58531,4068,6.95,49362
BAJAJ-AUTO,12896,12320,576,4.68,10076
BAJAJFINSV,9859,9470,389,4.11,5690
BAJFINANCE,37948,37170,778,2.09,26323
BALKRISIND,3463,3073,390,12.69,2893
BANKBARODA,21669,20748,921,4.44,17731
BANKINDIA,7983,8041,-58,-0.72,3767
BANKNIFTY,1213554,948727,264827,27.91,32944816
BATAINDIA,7345,6990,355,5.08,3813
BEL,8068,7986,82,1.03,2564
BERGEPAINT,2100,1918,182,9.49,2745
BHARATFIN,38,38,0,0.00,0
BHARATFORG,7716,7495,221,2.95,2789
BHARTIARTL,29215,26962,2253,8.36,19580
BHEL,11985,10770,1215,11.28,7955
BIOCON,8914,8965,-51,-0.57,3181
BOSCHLTD,5771,5589,182,3.26,900
BPCL,8799,8763,36,0.41,5260
BRITANNIA,13736,13287,449,3.38,4205
BSOFT,736,657,79,12.02,938
CADILAHC,9992,9609,383,3.99,3527
CANBK,8247,8134,113,1.39,10755
CASTROLIND,2880,2804,76,2.71,543
CENTURYTEX,6802,6582,220,3.34,3603
CESC,1461,1362,99,7.27,570
CHOLAFIN,1935,1790,145,8.10,799
CIPLA,14480,15290,-810,-5.30,19148
COALINDIA,19696,18658,1038,5.56,10591
COLPAL,2975,2972,3,0.10,723
CONCOR,1798,1661,137,8.25,583
CUMMINSIND,4603,3482,1121,32.19,6523
DABUR,12161,12152,9,0.07,3073
DHFL,8198,7538,660,8.76,5295
DISHTV,9141,9051,90,0.99,2004
DIVISLAB,8834,8593,241,2.80,2417
DLF,19053,18907,146,0.77,9369
DRREDDY,16599,16236,363,2.24,3420
EICHERMOT,22224,21883,341,1.56,7922
ENGINERSIN,2362,2253,109,4.84,1022
EQUITAS,4343,4258,85,2.00,1579
ESCORTS,6961,6822,139,2.04,6952
EXIDEIND,4742,4411,331,7.50,2799
FEDERALBNK,9027,8403,624,7.43,4331
GAIL,9687,9401,286,3.04,2260
GLENMARK,5608,5629,-21,-0.37,2232
GMRINFRA,3898,3839,59,1.54,594
GODREJCP,8201,7873,328,4.17,2447
GRASIM,22153,21121,1032,4.89,6496
HAVELLS,8545,8261,284,3.44,2671
HCLTECH,16673,14391,2282,15.86,24625
HDFC,68249,67419,830,1.23,19254
HDFCBANK,99877,100448,-571,-0.57,62352
HEROMOTOCO,20967,17422,3545,20.35,20701
HEXAWARE,1846,1650,196,11.88,1106
HINDALCO,14619,14746,-127,-0.86,7594
HINDPETRO,11354,11153,201,1.80,6249
HINDUNILVR,41269,39896,1373,3.44,11544
HINDZINC,2473,2462,11,0.45,495
IBULHSGFIN,48208,46668,1540,3.30,73327
ICICIBANK,79634,77484,2150,2.77,44496
ICICIPRULI,6573,5361,1212,22.61,5590
IDBI,2467,2440,27,1.11,579
IDEA,25911,24916,995,3.99,9058
IDFCFIRSTB,15613,15380,233,1.51,3019
IGL,2474,2390,84,3.51,744
INDIGO,8277,8136,141,1.73,8020
INDUSINDBK,34475,33207,1268,3.82,30704
INFRATEL,4162,4028,134,3.33,1616
INFY,58912,56936,1976,3.47,20362
IOC,18880,18199,681,3.74,4700
ITC,47936,48351,-415,-0.86,12834
JINDALSTEL,17246,15561,1685,10.83,27939
JSWSTEEL,28315,27848,467,1.68,11737
JUBLFOOD,7773,7320,453,6.19,6419
JUSTDIAL,3122,2625,497,18.93,8416
KAJARIACER,1582,1506,76,5.05,738
KOTAKBANK,28356,27561,795,2.88,27455
