Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,6798,6770,28,0.41,4891
ADANIENT,7828,7707,121,1.57,3322
ADANIPORTS,8006,7761,245,3.16,4327
ADANIPOWER,5568,5556,12,0.22,2421
AMARAJABAT,2525,2472,53,2.14,981
AMBUJACEM,10682,10444,238,2.28,3265
APOLLOHOSP,6654,4728,1926,40.74,17714
APOLLOTYRE,4470,4375,95,2.17,2423
ARVIND,1594,1442,152,10.54,1919
ASHOKLEY,23262,22868,394,1.72,12465
ASIANPAINT,17810,17679,131,0.74,6764
AUROPHARMA,19489,19351,138,0.71,6321
AXISBANK,50967,48069,2898,6.03,30674
BAJAJ-AUTO,11472,11302,170,1.50,5291
BAJAJFINSV,9095,9120,-25,-0.27,5190
BAJFINANCE,37104,36989,115,0.31,17031
BALKRISIND,2714,2669,45,1.69,1072
BANKBARODA,20215,20340,-125,-0.61,19236
BANKINDIA,6147,6113,34,0.56,3995
BANKNIFTY,1153397,919271,234126,25.47,29927325
BATAINDIA,7248,7297,-49,-0.67,4093
BEL,5253,5115,138,2.70,2904
BERGEPAINT,2020,1941,79,4.07,761
BHARATFORG,7545,7089,456,6.43,3272
BHARTIARTL,24160,23920,240,1.00,9765
BHEL,11367,9972,1395,13.99,6759
BIOCON,9039,8563,476,5.56,4013
BOSCHLTD,5382,5349,33,0.62,584
BPCL,11123,10964,159,1.45,10020
BRITANNIA,13797,13723,74,0.54,2923
BSOFT,825,818,7,0.86,275
CADILAHC,7039,6952,87,1.25,1860
CANBK,10684,10818,-134,-1.24,10548
CASTROLIND,2345,2029,316,15.57,2046
CENTURYTEX,6034,5790,244,4.21,3948
CESC,1559,1238,321,25.93,3741
CHOLAFIN,1647,1573,74,4.70,825
CIPLA,12919,12456,463,3.72,3624
COALINDIA,24349,23886,463,1.94,5892
COLPAL,2350,2333,17,0.73,674
CONCOR,2033,2089,-56,-2.68,781
CUMMINSIND,3012,2901,111,3.83,1426
DABUR,9785,9617,168,1.75,2265
DHFL,5077,4640,437,9.42,2766
DISHTV,8888,8855,33,0.37,1448
DIVISLAB,7717,7520,197,2.62,2989
DLF,21833,21142,691,3.27,14981
DRREDDY,16253,15807,446,2.82,6806
EICHERMOT,19012,18898,114,0.60,9920
ENGINERSIN,1924,1895,29,1.53,892
EQUITAS,5115,5254,-139,-2.65,4063
ESCORTS,7300,7004,296,4.23,11859
EXIDEIND,4263,4188,75,1.79,2446
FEDERALBNK,8550,8454,96,1.14,3353
GAIL,10758,9877,881,8.92,4147
GLENMARK,5425,5156,269,5.22,1884
GMRINFRA,4000,3930,70,1.78,1838
GODREJCP,9131,9004,127,1.41,2051
GRASIM,23503,23571,-68,-0.29,6988
HAVELLS,7389,7376,13,0.18,2367
HCLTECH,19282,19152,130,0.68,8144
HDFC,85744,75322,10422,13.84,42188
HDFCBANK,83937,81653,2284,2.80,71960
HEROMOTOCO,16812,16529,283,1.71,7452
HEXAWARE,2053,1989,64,3.22,816
HINDALCO,13260,12283,977,7.95,10177
HINDPETRO,11129,10107,1022,10.11,10180
HINDUNILVR,36232,35715,517,1.45,11590
HINDZINC,1798,1816,-18,-0.99,486
IBULHSGFIN,42453,41892,561,1.34,72975
ICICIBANK,80150,84321,-4171,-4.95,63223
ICICIPRULI,6503,6280,223,3.55,5087
IDBI,2607,2617,-10,-0.38,501
IDEA,21505,21134,371,1.76,8548
IDFCFIRSTB,17579,17065,514,3.01,3691
IGL,2037,1920,117,6.09,1383
INDIGO,10574,7939,2635,33.19,24581
INDUSINDBK,40670,40513,157,0.39,34323
INFRATEL,4038,4088,-50,-1.22,1237
INFY,58369,58630,-261,-0.45,13534
IOC,17360,16594,766,4.62,6686
ITC,53964,51700,2264,4.38,12600
JINDALSTEL,16691,15908,783,4.92,28236
JSWSTEEL,33615,33417,198,0.59,11483
JUBLFOOD,7609,7124,485,6.81,8229
JUSTDIAL,3294,3138,156,4.97,4685
KAJARIACER,858,856,2,0.23,469
KOTAKBANK,31878,31156,722,2.32,27538
LICHSGFIN,15395,14980,415,2.77,13322
