Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7409,7015,394,5.62,5516
ADANIENT,8123,7789,334,4.29,6121
ADANIPORTS,7742,7630,112,1.47,2852
ADANIPOWER,5342,5297,45,0.85,922
AMARAJABAT,2480,2425,55,2.27,883
AMBUJACEM,10255,10040,215,2.14,2858
APOLLOHOSP,3474,3217,257,7.99,2077
APOLLOTYRE,4382,4154,228,5.49,2600
ARVIND,1531,1409,122,8.66,2531
ASHOKLEY,19586,18706,880,4.70,8184
ASIANPAINT,18282,17400,882,5.07,10096
AUROPHARMA,18986,18618,368,1.98,9718
AXISBANK,49852,48328,1524,3.15,25810
BAJAJ-AUTO,10407,10035,372,3.71,3637
BAJAJFINSV,9316,9119,197,2.16,3947
BAJFINANCE,35230,33752,1478,4.38,22473
BALKRISIND,2932,2804,128,4.56,1089
BANKBARODA,21248,20752,496,2.39,10714
BANKINDIA,6076,6010,66,1.10,2896
BANKNIFTY,1258561,922064,336497,36.49,32482260
BATAINDIA,6626,6736,-110,-1.63,3755
BEL,6114,5499,615,11.18,7578
BERGEPAINT,2153,1970,183,9.29,1039
BHARATFORG,7218,6836,382,5.59,3485
BHARTIARTL,22876,21936,940,4.29,7768
BHEL,9323,8946,377,4.21,6875
BIOCON,8199,7728,471,6.09,3787
BOSCHLTD,5369,5359,10,0.19,401
BPCL,11659,8898,2761,31.03,20220
BRITANNIA,13517,13214,303,2.29,6402
BSOFT,762,668,94,14.07,345
CADILAHC,7359,7109,250,3.52,2737
CANBK,11672,10985,687,6.25,11054
CASTROLIND,1998,1944,54,2.78,398
CENTURYTEX,5638,5611,27,0.48,2158
CESC,950,926,24,2.59,586
CHOLAFIN,1626,1515,111,7.33,522
CIPLA,11811,11617,194,1.67,3021
COALINDIA,26758,23720,3038,12.81,29270
COLPAL,2411,2356,55,2.33,443
CONCOR,2120,1738,382,21.98,1614
CUMMINSIND,2743,2595,148,5.70,574
DABUR,9969,9782,187,1.91,1612
DHFL,3984,3888,96,2.47,1126
DISHTV,8737,8528,209,2.45,3750
DIVISLAB,6998,7046,-48,-0.68,2019
DLF,17009,16227,782,4.82,13222
DRREDDY,16181,14343,1838,12.81,12715
EICHERMOT,18423,18033,390,2.16,4692
ENGINERSIN,1999,1563,436,27.90,3278
EQUITAS,4239,3772,467,12.38,4317
ESCORTS,6420,6410,10,0.16,9503
EXIDEIND,4100,3979,121,3.04,1175
FEDERALBNK,8209,7889,320,4.06,2682
GAIL,8874,8899,-25,-0.28,5123
GLENMARK,4816,4793,23,0.48,1554
GMRINFRA,3892,3864,28,0.72,805
GODREJCP,8969,8767,202,2.30,1373
GRASIM,23300,23077,223,0.97,3362
HAVELLS,7990,7875,115,1.46,3920
HCLTECH,15577,15376,201,1.31,4421
HDFC,74576,69417,5159,7.43,31958
HDFCBANK,85134,80542,4592,5.70,59440
HEROMOTOCO,15836,15125,711,4.70,7820
HEXAWARE,1684,1492,192,12.87,1343
HINDALCO,12032,11711,321,2.74,8605
HINDPETRO,10111,9403,708,7.53,10123
HINDUNILVR,35517,35036,481,1.37,7972
HINDZINC,1819,1781,38,2.13,756
IBULHSGFIN,37602,35653,1949,5.47,36279
ICICIBANK,78044,72057,5987,8.31,53380
ICICIPRULI,5358,5013,345,6.88,2549
IDBI,2541,2562,-21,-0.82,986
IDEA,20744,20370,374,1.84,3111
IDFCFIRSTB,16337,16200,137,0.85,2622
IGL,2024,1847,177,9.58,1357
INDIGO,7607,7354,253,3.44,7159
INDUSINDBK,40760,38947,1813,4.66,20748
INFRATEL,4196,4116,80,1.94,700
INFY,60100,56017,4083,7.29,26373
IOC,17711,16148,1563,9.68,14830
ITC,50683,50237,446,0.89,10830
JINDALSTEL,14245,13757,488,3.55,10806
JSWSTEEL,31052,30474,578,1.90,13049
JUBLFOOD,6391,6217,174,2.80,3157
JUSTDIAL,2429,2281,148,6.49,1846
KAJARIACER,952,919,33,3.59,1230
KOTAKBANK,31227,30700,527,1.72,20865
LICHSGFIN,15491,12155,3336,27.45,23543
LT,45712,44653,1059,2.37,25502
L&TFH,9492,9303,189,2.03,4500
LUPIN,12114,11186,928,8.30,10498
MANAPPURAM,2994,3092,-98,-3.17,1637
MARICO,4970,4901,69,1.41,704
MARUTI,52563,52600,-37,-0.07,43473
MCDOWELL-N,10050,9666,384,3.97,4103
MCX,4810,4476,334,7.46,9334
MFSL,2117,1979,138,6.97,457
MGL,4091,4121,-30,-0.73,1900
MINDTREE,3044,3022,22,0.73,661
M&M,25785,25760,25,0.10,5536
M&MFIN,12046,11937,109,0.91,2622
MOTHERSUMI,11431,11218,213,1.90,3482
MRF,1794,1827,-33,-1.81,329
MUTHOOTFIN,2051,1968,83,4.22,1483
NATIONALUM,4603,4336,267,6.16,2509
NBCC,6127,5903,224,3.79,4565
NCC,6619,6275,344,5.48,6098
NESTLEIND,9396,9302,94,1.01,981
NIFTY,1936266,1711550,224716,13.13,9884768
NIFTYIT,186,190,-4,-2.11,93
NIITTECH,1449,1296,153,11.81,1020
NMDC,5676,5545,131,2.36,2083
NTPC,18293,15549,2744,17.65,13346
OFSS,1073,1058,15,1.42,97
OIL,2454,2250,204,9.07,828
ONGC,22357,20445,1912,9.35,20491
PAGEIND,8262,8229,33,0.40,881
PEL,12190,11802,388,3.29,3804
PETRONET,5826,5617,209,3.72,1747
PFC,8628,7999,629,7.86,6930
PIDILITIND,5542,5239,303,5.78,1470
PNB,22540,22073,467,2.12,11372
POWERGRID,9796,8936,860,9.62,5897
PVR,2977,2869,108,3.76,898
RAMCOCEM,1919,1882,37,1.97,467
RAYMOND,2384,2282,102,4.47,1493
RBLBANK,15518,15398,120,0.78,9656
RECLTD,5931,5639,292,5.18,5036
RELCAPITAL,5681,5370,311,5.79,3162
RELIANCE,164764,158220,6544,4.14,72295
RELINFRA,4376,3993,383,9.59,3311
SAIL,10062,9968,94,0.94,5789
SBIN,57229,54007,3222,5.97,48936
SHREECEM,3907,3848,59,1.53,637
SIEMENS,2378,2264,114,5.04,1035
SRF,3670,3655,15,0.41,1606
SRTRANSFIN,8458,8251,207,2.51,2554
STAR,2177,2132,45,2.11,1134
SUNPHARMA,55860,55650,210,0.38,22116
SUNTV,6613,6410,203,3.17,2542
TATACHEM,2439,2436,3,0.12,905
TATAELXSI,4048,4106,-58,-1.41,1825
TATAGLOBAL,4578,4371,207,4.74,1936
TATAMOTORS,40029,37412,2617,7.00,52984
TATAMTRDVR,7027,6486,541,8.34,2988
TATAPOWER,5688,5543,145,2.62,1185
TATASTEEL,44663,43574,1089,2.50,38245
TCS,74372,71846,2526,3.52,21058
TECHM,13562,12581,981,7.80,4609
TITAN,15679,15170,509,3.36,9440
TORNTPHARM,856,805,51,6.34,751
TORNTPOWER,1619,1598,21,1.31,303
TVSMOTOR,8709,8363,346,4.14,6356
UBL,1963,1785,178,9.97,1113
UJJIVAN,6859,6466,393,6.08,7103
ULTRACEMCO,16900,16778,122,0.73,3638
UNIONBANK,7408,7146,262,3.67,3360
UPL,18878,18345,533,2.91,5654
VEDL,24383,23836,547,2.29,10617
VOLTAS,3475,2939,536,18.24,3070
WIPRO,12597,12209,388,3.18,3321
YESBANK,97994,90912,7082,7.79,71447
ZEEL,16026,15754,272,1.73,5219
