Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,11208,9841,1367,13.89,37402
ADANIENT,9397,8554,843,9.86,9261
ADANIPORTS,6138,5955,183,3.07,3330
ADANIPOWER,5215,5165,50,0.97,627
AMARAJABAT,2677,2658,19,0.71,1080
AMBUJACEM,12055,11680,375,3.21,5166
APOLLOHOSP,3415,3443,-28,-0.81,1374
APOLLOTYRE,3353,3277,76,2.32,1750
ASHOKLEY,19686,19046,640,3.36,16638
ASIANPAINT,18244,17863,381,2.13,10051
AUROPHARMA,27903,27903,0,0.00,11298
AXISBANK,63728,63034,694,1.10,32278
BAJAJ-AUTO,11620,11304,316,2.80,6652
BAJAJFINSV,11140,10560,580,5.49,6896
BAJFINANCE,42347,38672,3675,9.50,40169
BALKRISIND,2230,2222,8,0.36,705
BANKBARODA,23901,23561,340,1.44,10687
BANKINDIA,5968,5950,18,0.30,2667
BANKNIFTY,892795,789017,103778,13.15,11901441
BATAINDIA,7011,7065,-54,-0.76,2901
BEL,5368,5203,165,3.17,3260
BERGEPAINT,4480,4191,289,6.90,3250
BHARATFORG,7581,7614,-33,-0.43,3170
BHARTIARTL,30280,29187,1093,3.74,13788
BHEL,12995,12449,546,4.39,4283
BIOCON,10572,10567,5,0.05,4728
BOSCHLTD,5109,5075,34,0.67,532
BPCL,20873,19614,1259,6.42,31996
BRITANNIA,12166,11933,233,1.95,2341
CADILAHC,6249,6143,106,1.73,812
CANBK,9052,8944,108,1.21,5671
CASTROLIND,2216,1847,369,19.98,2005
CENTURYTEX,6139,6087,52,0.85,4233
CESC,1801,1733,68,3.92,1043
CHOLAFIN,1619,1448,171,11.81,1520
CIPLA,17777,17139,638,3.72,6174
COALINDIA,20781,20444,337,1.65,7518
COLPAL,3057,3034,23,0.76,1484
CONCOR,3814,3537,277,7.83,2254
CUMMINSIND,2569,2524,45,1.78,844
DABUR,10086,10160,-74,-0.73,2225
DISHTV,8394,8421,-27,-0.32,1380
DIVISLAB,6896,6692,204,3.05,2197
DLF,22964,22465,499,2.22,12752
DRREDDY,15850,15610,240,1.54,3789
EICHERMOT,15608,15333,275,1.79,5349
EQUITAS,3695,3643,52,1.43,2146
ESCORTS,7833,7415,418,5.64,11224
EXIDEIND,6134,5386,748,13.89,3359
FEDERALBNK,14341,9388,4953,52.76,42570
GAIL,11299,10877,422,3.88,3022
GLENMARK,8164,8063,101,1.25,2080
GMRINFRA,4176,4169,7,0.17,572
GODREJCP,8543,8319,224,2.69,2548
GRASIM,25589,25372,217,0.86,8764
HAVELLS,6465,6479,-14,-0.22,1783
HCLTECH,17130,16647,483,2.90,5899
HDFC,85916,85999,-83,-0.10,26033
HDFCBANK,99039,98184,855,0.87,44601
HEROMOTOCO,19938,18772,1166,6.21,11886
HEXAWARE,1628,1611,17,1.06,753
HINDALCO,14658,13405,1253,9.35,8569
HINDPETRO,13973,13380,593,4.43,10209
HINDUNILVR,38193,38095,98,0.26,16802
IBULHSGFIN,68979,62006,6973,11.25,96182
ICICIBANK,73580,71910,1670,2.32,45270
ICICIPRULI,6175,5775,400,6.93,4882
IDEA,29571,27629,1942,7.03,17513
IDFCFIRSTB,27227,26897,330,1.23,3205
IGL,2241,2186,55,2.52,2058
INDIGO,8425,7869,556,7.07,13413
INDUSINDBK,55424,55033,391,0.71,25115
INFRATEL,4178,3980,198,4.97,1772
INFY,66027,63572,2455,3.86,39204
IOC,16327,15288,1039,6.80,6845
ITC,60888,58073,2815,4.85,15965
JINDALSTEL,14795,14633,162,1.11,8291
JSWSTEEL,28453,27977,476,1.70,8211
JUBLFOOD,6544,6287,257,4.09,5293
JUSTDIAL,4377,4277,100,2.34,4794
KOTAKBANK,29942,29300,642,2.19,19502
LICHSGFIN,14179,13964,215,1.54,7311
LT,42446,40103,2343,5.84,14213
L&TFH,13419,13283,136,1.02,5338
LUPIN,13751,13821,-70,-0.51,5271
MANAPPURAM,3133,3182,-49,-1.54,2427
MARICO,4976,4907,69,1.41,612
MARUTI,52919,52121,798,1.53,31726
MCDOWELL-N,9798,9643,155,1.61,1670
MFSL,2598,2452,146,5.95,2085
MGL,2867,2662,205,7.70,2830
MINDTREE,4150,2581,1569,60.79,8207
M&M,25518,25464,54,0.21,7337
M&MFIN,12603,12005,598,4.98,7478
MOTHERSUMI,12461,11875,586,4.93,3880
MRF,2024,1989,35,1.76,377
MUTHOOTFIN,2061,1983,78,3.93,1475
NATIONALUM,8491,8353,138,1.65,1527
NBCC,4950,4812,138,2.87,2418
NCC,8867,8668,199,2.30,4280
NESTLEIND,12083,11801,282,2.39,2439
NIFTY,1656142,1607699,48443,3.01,5133951
NIFTYIT,247,271,-24,-8.86,75
NIITTECH,1103,1084,19,1.75,1048
NMDC,5746,5682,64,1.13,2001
NTPC,15835,14955,880,5.88,3751
OIL,3176,3109,67,2.16,850
ONGC,21597,20284,1313,6.47,9422
PAGEIND,7375,7302,73,1.00,832
PEL,31066,29349,1717,5.85,10295
PETRONET,8485,8350,135,1.62,1144
PFC,10266,10284,-18,-0.18,3534
PIDILITIND,7577,7443,134,1.80,2549
PNB,21166,20883,283,1.36,6376
POWERGRID,8744,8177,567,6.93,2724
PVR,3173,3024,149,4.93,1420
RAMCOCEM,2074,2058,16,0.78,816
RBLBANK,23763,22562,1201,5.32,32389
RECLTD,6536,6501,35,0.54,3459
RELIANCE,144119,139183,4936,3.55,55466
SAIL,10357,9765,592,6.06,5146
SBIN,76566,73749,2817,3.82,55816
SHREECEM,3630,3465,165,4.76,614
SIEMENS,4249,3961,288,7.27,2947
SRF,5019,4917,102,2.07,2152
SRTRANSFIN,7785,7546,239,3.17,2589
STAR,2806,2857,-51,-1.79,3026
SUNPHARMA,68270,66235,2035,3.07,18924
SUNTV,4529,4115,414,10.06,5356
TATACHEM,2476,2398,78,3.25,960
TATAELXSI,3904,3972,-68,-1.71,3420
TATAGLOBAL,4486,4475,11,0.25,1656
TATAMOTORS,39774,39085,689,1.76,21279
TATAMTRDVR,7463,7457,6,0.08,1178
TATAPOWER,6361,5869,492,8.38,1828
TATASTEEL,42271,41175,1096,2.66,29946
TCS,104909,104872,37,0.04,36901
TECHM,14186,13904,282,2.03,4847
TITAN,20358,20106,252,1.25,8212
TORNTPHARM,1253,1244,9,0.72,1670
TORNTPOWER,1359,1318,41,3.11,370
TVSMOTOR,9798,8932,866,9.70,4952
UBL,2566,2547,19,0.75,597
UJJIVAN,6449,6157,292,4.74,3842
ULTRACEMCO,15454,15247,207,1.36,6155
UNIONBANK,7200,7126,74,1.04,2295
UPL,17141,17084,57,0.33,4507
VEDL,23124,21743,1381,6.35,9662
VOLTAS,3100,3040,60,1.97,3195
WIPRO,14633,14830,-197,-1.33,25533
YESBANK,157089,153821,3268,2.12,80671
ZEEL,35948,33793,2155,6.38,44490
