Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7892,7241,651,8.99,6221
ADANIENT,11470,12296,-826,-6.72,3750
ADANIPORTS,14508,9983,4525,45.33,32977
ADANIPOWER,8529,8930,-401,-4.49,3741
AJANTPHARM,3055,3042,13,0.43,2906
ALBK,3282,3610,-328,-9.09,1141
AMARAJABAT,2007,2140,-133,-6.21,2050
AMBUJACEM,7635,7937,-302,-3.80,4212
APOLLOHOSP,4134,3982,152,3.82,7750
APOLLOTYRE,5162,5116,46,0.90,4822
ARVIND,6040,5846,194,3.32,5458
ASHOKLEY,36958,37419,-461,-1.23,24206
ASIANPAINT,12786,12701,85,0.67,5517
AUROPHARMA,27467,25248,2219,8.79,27472
AXISBANK,49082,49132,-50,-0.10,37712
BAJAJ-AUTO,13596,13466,130,0.97,11254
BAJAJFINSV,6641,6669,-28,-0.42,5313
BAJFINANCE,30985,31541,-556,-1.76,29139
BALKRISIND,3512,3828,-316,-8.25,6537
BANKBARODA,23232,22922,310,1.35,10800
BANKINDIA,7181,7383,-202,-2.74,4898
BANKNIFTY,689506,624092,65414,10.48,4675034
BATAINDIA,11457,11489,-32,-0.28,15112
BEL,8531,8402,129,1.54,9819
BEML,3300,3402,-102,-3.00,5811
BERGEPAINT,2620,2634,-14,-0.53,1713
BHARATFIN,10487,10654,-167,-1.57,4311
BHARATFORG,11060,11622,-562,-4.84,8396
BHARTIARTL,26349,25652,697,2.72,15151
BHEL,9607,9874,-267,-2.70,4169
BIOCON,8278,8187,91,1.11,6167
BOSCHLTD,4683,4520,163,3.61,2657
BPCL,7657,8459,-802,-9.48,9393
BRITANNIA,18542,18806,-264,-1.40,8196
CADILAHC,7260,7217,43,0.60,3622
CANBK,10759,10539,220,2.09,6993
CANFINHOME,3278,3401,-123,-3.62,2781
CAPF,8,8,0,0.00,0
CASTROLIND,2048,2155,-107,-4.97,1579
CEATLTD,4542,4404,138,3.13,5249
CENTURYTEX,9339,9303,36,0.39,6096
CESC,3272,3375,-103,-3.05,1212
CGPOWER,6498,5692,806,14.16,4064
CHENNPETRO,1326,1293,33,2.55,1268
CHOLAFIN,2067,2078,-11,-0.53,1390
CIPLA,14980,15165,-185,-1.22,9002
COALINDIA,20934,20627,307,1.49,11260
COLPAL,2967,2965,2,0.07,3023
CONCOR,2090,1920,170,8.85,1738
CUMMINSIND,2859,2976,-117,-3.93,1732
DABUR,12230,12115,115,0.95,7164
DCBBANK,1536,1187,349,29.40,3081
DHFL,20590,21250,-660,-3.11,18225
DISHTV,13583,13245,338,2.55,7614
DIVISLAB,11868,11861,7,0.06,8327
DLF,16113,15087,1026,6.80,24464
DRREDDY,27520,27670,-150,-0.54,27606
EICHERMOT,23426,23687,-261,-1.10,11465
ENGINERSIN,4361,4437,-76,-1.71,3200
EQUITAS,3765,3766,-1,-0.03,1766
ESCORTS,5610,5700,-90,-1.58,4948
EXIDEIND,7124,8098,-974,-12.03,7830
FEDERALBNK,10193,9977,216,2.16,5620
GAIL,6781,6986,-205,-2.93,5967
GLENMARK,5188,5316,-128,-2.41,4549
GMRINFRA,6034,5921,113,1.91,2247
GODFRYPHLP,720,741,-21,-2.83,804
GODREJCP,11493,11331,162,1.43,4310
GODREJIND,1087,1069,18,1.68,727
GRASIM,18450,18280,170,0.93,14426
GSFC,3138,3196,-58,-1.81,2165
HAVELLS,7291,7244,47,0.65,5494
HCLTECH,15819,15859,-40,-0.25,11745
HDFC,65186,64961,225,0.35,26501
HDFCBANK,55331,54540,791,1.45,45984
HEROMOTOCO,19564,19959,-395,-1.98,14508
HEXAWARE,2699,2799,-100,-3.57,2124
HINDALCO,18231,18043,188,1.04,13632
HINDPETRO,10291,10101,190,1.88,6857
HINDUNILVR,21717,21679,38,0.18,8797
HINDZINC,1996,1944,52,2.67,1951
IBULHSGFIN,43274,41746,1528,3.66,38181
ICICIBANK,52706,52327,379,0.72,43877
ICICIPRULI,5206,5122,84,1.64,7868
IDBI,3484,3558,-74,-2.08,1582
IDEA,18405,19791,-1386,-7.00,11774
IDFC,11332,9787,1545,15.79,7373
IDFCBANK,1825,1825,0,0.00,0
IDFCFIRSTB,14374,15042,-668,-4.44,10547
IFCI,1913,1815,98,5.40,594
IGL,3106,3251,-145,-4.46,2011
INDIACEM,7525,7363,162,2.20,5222
INDIANB,3020,3030,-10,-0.33,2028
INDIGO,6094,6228,-134,-2.15,3781
INDUSINDBK,35326,35928,-602,-1.68,30894
INFIBEAM,5502,5511,-9,-0.16,3621
INFRATEL,5132,5236,-104,-1.99,6126
INFY,48848,48883,-35,-0.07,37921
IOC,13488,13697,-209,-1.53,9897
IRB,4552,4522,30,0.66,4348
ITC,46675,48042,-1367,-2.85,32624
JETAIRWAYS,4676,4827,-151,-3.13,3050
JINDALSTEL,20697,19407,1290,6.65,25456
JISLJALEQS,5903,5779,124,2.15,2853
JPASSOCIAT,2484,2330,154,6.61,818
JSWSTEEL,45860,44932,928,2.07,33927
JUBLFOOD,14374,13188,1186,8.99,25659
JUSTDIAL,2824,2826,-2,-0.07,4304
KAJARIACER,2093,2184,-91,-4.17,3855
KOTAKBANK,32810,31975,835,2.61,34483
KPIT,4023,4195,-172,-4.10,2108
KSCL,2918,3010,-92,-3.06,5569
KTKBANK,3242,3198,44,1.38,1473
LICHSGFIN,11822,11580,242,2.09,7539
LT,44022,43297,725,1.67,39578
L&TFH,8749,8748,1,0.01,4832
LUPIN,20004,20232,-228,-1.13,10831
MANAPPURAM,2729,2626,103,3.92,2553
MARICO,3264,3351,-87,-2.60,2150
MARUTI,61650,62097,-447,-0.72,50090
MCDOWELL-N,11513,11290,223,1.98,6042
MCX,3462,3418,44,1.29,1223
MFSL,1833,1811,22,1.21,1112
MGL,2093,1771,322,18.18,1823
MINDTREE,7115,6831,284,4.16,6759
M&M,34237,35043,-806,-2.30,15089
M&MFIN,10720,10860,-140,-1.29,6948
MOTHERSUMI,15696,12594,3102,24.63,41593
MRF,4018,4048,-30,-0.74,2228
MRPL,1006,1024,-18,-1.76,610
MUTHOOTFIN,2281,2191,90,4.11,2142
NATIONALUM,13498,12909,589,4.56,9753
NBCC,5527,5851,-324,-5.54,4355
NCC,8682,8286,396,4.78,7970
NESTLEIND,6550,6725,-175,-2.60,2370
NHPC,1798,1944,-146,-7.51,1092
NIFTY,1749681,1703688,45993,2.70,2955651
NIFTYIT,425,404,21,5.20,326
NIITTECH,3065,3090,-25,-0.81,4041
NMDC,4871,4874,-3,-0.06,4420
NTPC,22449,21376,1073,5.02,12725
OFSS,1101,1093,8,0.73,640
OIL,2147,2020,127,6.29,2116
ONGC,16892,17076,-184,-1.08,13445
ORIENTBANK,2481,2394,87,3.63,1712
PAGEIND,7520,8058,-538,-6.68,6617
PCJEWELLER,3948,4404,-456,-10.35,1688
PEL,14336,14128,208,1.47,9401
PETRONET,5080,5168,-88,-1.70,2621
PFC,7415,7733,-318,-4.11,6083
PIDILITIND,5798,6063,-265,-4.37,3778
PNB,28001,26385,1616,6.12,11311
POWERGRID,7074,7401,-327,-4.42,6373
PVR,4382,4472,-90,-2.01,1928
RAMCOCEM,1129,1181,-52,-4.40,1346
RAYMOND,6157,5916,241,4.07,9638
RBLBANK,5978,6134,-156,-2.54,5145
RCOM,6725,6397,328,5.13,3557
RECLTD,8293,8457,-164,-1.94,8441
RELCAPITAL,13370,12616,754,5.98,12767
RELIANCE,152024,153630,-1606,-1.05,123221
RELINFRA,16315,15357,958,6.24,14683
REPCOHOME,1350,1401,-51,-3.64,1184
RPOWER,7639,7858,-219,-2.79,1552
SAIL,13082,11779,1303,11.06,12571
SBIN,52441,52319,122,0.23,41466
SHREECEM,2046,2081,-35,-1.68,1320
SIEMENS,3827,3902,-75,-1.92,1154
SOUTHBANK,5568,5414,154,2.84,1369
SREINFRA,1044,1072,-28,-2.61,339
SRF,2637,2601,36,1.38,3846
SRTRANSFIN,8661,8799,-138,-1.57,7696
STAR,5511,5572,-61,-1.09,3014
SUNPHARMA,65255,65249,6,0.01,43206
SUNTV,10182,10089,93,0.92,8311
SUZLON,4450,4650,-200,-4.30,4427
SYNDIBANK,2435,2411,24,1.00,1584
TATACHEM,5462,5087,375,7.37,3192
TATACOMM,3460,3192,268,8.40,4219
TATAELXSI,5353,5424,-71,-1.31,3337
TATAGLOBAL,6072,6228,-156,-2.50,2740
TATAMOTORS,54195,55288,-1093,-1.98,53824
TATAMTRDVR,8926,9161,-235,-2.57,6003
TATAPOWER,6950,6726,224,3.33,2648
TATASTEEL,50470,50067,403,0.80,73581
TCS,92184,97622,-5438,-5.57,72385
TECHM,20668,21615,-947,-4.38,10947
TITAN,22517,22662,-145,-0.64,10684
TORNTPHARM,1231,1161,70,6.03,1047
TORNTPOWER,743,972,-229,-23.56,1750
TV18BRDCST,5886,5639,247,4.38,1932
TVSMOTOR,9364,8777,587,6.69,8755
UBL,4976,5125,-149,-2.91,2537
UJJIVAN,4439,4091,348,8.51,4895
ULTRACEMCO,11632,12143,-511,-4.21,10225
UNIONBANK,6206,6364,-158,-2.48,3566
UPL,16480,15893,587,3.69,24573
VEDL,37342,36867,475,1.29,24925
VGUARD,1684,1584,100,6.31,1152
VOLTAS,9424,8900,524,5.89,7899
WIPRO,17901,17424,477,2.74,18424
WOCKPHARMA,5496,5495,1,0.02,4114
YESBANK,112728,113638,-910,-0.80,120842
ZEEL,24731,25146,-415,-1.65,22339
