Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,7535,7244,291,4.02,3654
ADANIENT,11644,11592,52,0.45,2525
ADANIPORTS,9360,9427,-67,-0.71,2726
ADANIPOWER,7776,7805,-29,-0.37,256
AJANTPHARM,1640,1620,20,1.23,479
ALBK,2514,2524,-10,-0.40,2105
AMARAJABAT,4272,2284,1988,87.04,23600
AMBUJACEM,6727,5889,838,14.23,4699
APOLLOHOSP,2915,2846,69,2.42,1590
APOLLOTYRE,4586,4680,-94,-2.01,2764
ARVIND,3340,3478,-138,-3.97,2499
ASHOKLEY,25390,24059,1331,5.53,13145
ASIANPAINT,10656,10574,82,0.78,7614
AUROPHARMA,18457,18333,124,0.68,9495
AXISBANK,35264,34131,1133,3.32,17809
BAJAJ-AUTO,17742,17731,11,0.06,7474
BAJAJFINSV,6356,5366,990,18.45,5692
BAJFINANCE,24529,24564,-35,-0.14,15612
BALKRISIND,2933,2963,-30,-1.01,1286
BANKBARODA,17158,17586,-428,-2.43,15098
BANKINDIA,5424,5059,365,7.21,5494
BANKNIFTY,880641,784496,96145,12.26,9155217
BATAINDIA,4706,4596,110,2.39,3416
BEL,8016,7630,386,5.06,8581
BEML,3279,3169,110,3.47,6753
BERGEPAINT,1489,1473,16,1.09,495
BHARATFIN,8319,8250,69,0.84,2801
BHARATFORG,8766,9012,-246,-2.73,4818
BHARTIARTL,23282,23454,-172,-0.73,17188
BHEL,11228,11295,-67,-0.59,5967
BIOCON,8010,7941,69,0.87,1880
BOSCHLTD,5207,5237,-30,-0.57,212
BPCL,6435,5030,1405,27.93,8539
BRITANNIA,11585,10845,740,6.82,4449
BSOFT,1757,1792,-35,-1.95,468
CADILAHC,7641,7649,-8,-0.10,1475
CANBK,6867,6864,3,0.04,10531
CANFINHOME,2476,2402,74,3.08,2210
CASTROLIND,2551,2330,221,9.48,2411
CEATLTD,3314,2976,338,11.36,2652
CENTURYTEX,7330,7202,128,1.78,1825
CESC,3448,3344,104,3.11,1252
CGPOWER,2687,2719,-32,-1.18,1291
CHENNPETRO,715,736,-21,-2.85,408
CHOLAFIN,1203,1354,-151,-11.15,1210
CIPLA,9643,9423,220,2.33,3008
COALINDIA,17082,17682,-600,-3.39,4313
COLPAL,2536,2561,-25,-0.98,433
CONCOR,789,809,-20,-2.47,486
CUMMINSIND,2480,2439,41,1.68,872
DABUR,12770,13075,-305,-2.33,5581
DCBBANK,1676,1650,26,1.58,677
DHFL,19718,17825,1893,10.62,21089
DISHTV,8868,7223,1645,22.77,6304
DIVISLAB,8172,8151,21,0.26,2434
DLF,20755,20364,391,1.92,35675
DRREDDY,16833,16759,74,0.44,6018
EICHERMOT,21647,20512,1135,5.53,11577
ENGINERSIN,3025,3086,-61,-1.98,1788
EQUITAS,2994,2903,91,3.13,1525
ESCORTS,4752,4657,95,2.04,8269
EXIDEIND,6569,5917,652,11.02,4770
FEDERALBNK,10612,10211,401,3.93,3858
GAIL,4293,3946,347,8.79,3895
GLENMARK,4439,4346,93,2.14,880
GMRINFRA,5430,5271,159,3.02,2025
GODFRYPHLP,840,843,-3,-0.36,567
GODREJCP,10352,10332,20,0.19,2888
GODREJIND,892,890,2,0.22,674
GRASIM,17012,16653,359,2.16,2539
GSFC,2635,2591,44,1.70,2447
HAVELLS,4860,4704,156,3.32,3331
HCLTECH,12647,12426,221,1.78,9155
HDFC,58706,57334,1372,2.39,23531
HDFCBANK,47851,46932,919,1.96,25629
HEROMOTOCO,20984,19810,1174,5.93,12412
HEXAWARE,2434,2550,-116,-4.55,2341
HINDALCO,11667,11699,-32,-0.27,6283
HINDPETRO,9207,8145,1062,13.04,9295
HINDUNILVR,23670,23307,363,1.56,8794
HINDZINC,1511,1628,-117,-7.19,1161
IBULHSGFIN,52300,52913,-613,-1.16,59875
ICICIBANK,45474,44628,846,1.90,25702
ICICIPRULI,6844,7091,-247,-3.48,3715
IDBI,3915,4037,-122,-3.02,377
IDEA,28853,27816,1037,3.73,10733
IDFC,7555,7618,-63,-0.83,970
IDFCFIRSTB,12539,12469,70,0.56,2828
IFCI,2094,2075,19,0.92,341
IGL,1650,1661,-11,-0.66,1382
INDIACEM,6767,6707,60,0.89,5576
INDIANB,2274,2360,-86,-3.64,2131
INDIGO,5355,5096,259,5.08,5009
INDUSINDBK,26513,26325,188,0.71,22231
INFIBEAM,3747,3738,9,0.24,831
INFRATEL,3465,3280,185,5.64,1798
INFY,47775,47561,214,0.45,13358
IOC,19195,19337,-142,-0.73,6187
IRB,3424,3422,2,0.06,2099
ITC,30552,30587,-35,-0.11,10186
JETAIRWAYS,6036,4093,1943,47.47,8254
JINDALSTEL,13246,12875,371,2.88,11272
JISLJALEQS,4812,4733,79,1.67,1598
JSWSTEEL,29748,30061,-313,-1.04,11673
JUBLFOOD,8074,8169,-95,-1.16,5974
