Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,5829,5774,55,0.95,5078
ADANIENT,12363,12886,-523,-4.06,3344
ADANIPORTS,12741,13030,-289,-2.22,17210
ADANIPOWER,9039,9525,-486,-5.10,1774
AJANTPHARM,1825,1768,57,3.22,2457
ALBK,2007,2343,-336,-14.34,2535
AMARAJABAT,2239,2213,26,1.17,3630
AMBUJACEM,7783,7727,56,0.72,5442
APOLLOHOSP,2758,2676,82,3.06,3021
APOLLOTYRE,4958,4632,326,7.04,7789
ARVIND,6449,6819,-370,-5.43,5396
ASHOKLEY,37855,37343,512,1.37,26041
ASIANPAINT,16221,17023,-802,-4.71,11863
AUROPHARMA,22219,23371,-1152,-4.93,19222
AXISBANK,46383,41047,5336,13.00,64614
BAJAJ-AUTO,13728,12909,819,6.34,11984
BAJAJFINSV,6773,6099,674,11.05,11528
BAJFINANCE,43519,37467,6052,16.15,147419
BALKRISIND,4818,4587,231,5.04,3271
BANKBARODA,24415,23212,1203,5.18,32903
BANKINDIA,11283,7838,3445,43.95,44031
BANKNIFTY,846775,805370,41405,5.14,7053091
BATAINDIA,5932,5219,713,13.66,6421
BEL,8555,9061,-506,-5.58,5876
BEML,3360,3548,-188,-5.30,5579
BERGEPAINT,3127,2980,147,4.93,1958
BHARATFIN,9198,9229,-31,-0.34,5242
BHARATFORG,13838,14338,-500,-3.49,13188
BHARTIARTL,26244,26273,-29,-0.11,16992
BHEL,9377,9758,-381,-3.90,6616
BIOCON,9787,10157,-370,-3.64,9141
BOSCHLTD,5715,5701,14,0.25,3421
BPCL,7232,7133,99,1.39,8399
BRITANNIA,15319,15349,-30,-0.20,8177
CADILAHC,6500,6295,205,3.26,5233
CANBK,9222,9949,-727,-7.31,28423
CANFINHOME,3010,2985,25,0.84,3220
CAPF,926,926,0,0.00,0
CASTROLIND,2834,2700,134,4.96,1910
CEATLTD,3840,3685,155,4.21,12006
CENTURYTEX,9133,9065,68,0.75,9366
CESC,3204,3114,90,2.89,3039
CGPOWER,4941,4508,433,9.61,4567
CHENNPETRO,1122,1196,-74,-6.19,1929
CHOLAFIN,2541,2442,99,4.05,2171
CIPLA,11252,11531,-279,-2.42,9881
COALINDIA,16227,15981,246,1.54,6124
COLPAL,3121,3161,-40,-1.27,2719
CONCOR,2589,2389,200,8.37,1553
CUMMINSIND,2798,2696,102,3.78,3007
DABUR,12853,12756,97,0.76,8007
DALMIABHA,55,55,0,0.00,0
DCBBANK,1512,1556,-44,-2.83,1363
DHFL,26512,23068,3444,14.93,99857
DISHTV,14243,15423,-1180,-7.65,16979
DIVISLAB,9487,9684,-197,-2.03,10870
DLF,15136,15337,-201,-1.31,15805
DRREDDY,20480,20781,-301,-1.45,19349
EICHERMOT,24880,23408,1472,6.29,30190
ENGINERSIN,2772,2872,-100,-3.48,1138
EQUITAS,3924,3799,125,3.29,6390
ESCORTS,7979,7439,540,7.26,27026
EXIDEIND,6185,5746,439,7.64,5764
FEDERALBNK,13161,14084,-923,-6.55,9583
GAIL,6633,6489,144,2.22,6895
GLENMARK,5258,5083,175,3.44,4113
GMRINFRA,5379,5117,262,5.12,2107
GODFRYPHLP,925,975,-50,-5.13,686
GODREJCP,8858,8727,131,1.50,9545
GODREJIND,1185,1112,73,6.56,1652
GRASIM,17225,16924,301,1.78,9793
GSFC,3864,3954,-90,-2.28,1913
HAVELLS,6997,7145,-148,-2.07,6466
HCLTECH,17522,16882,640,3.79,19364
HDFC,62788,60752,2036,3.35,68685
HDFCBANK,74025,65808,8217,12.49,76967
HEROMOTOCO,17929,17172,757,4.41,16297
HEXAWARE,2873,2595,278,10.71,2976
HINDALCO,18142,18273,-131,-0.72,13674
HINDPETRO,10298,10123,175,1.73,10184
HINDUNILVR,23052,23468,-416,-1.77,16970
HINDZINC,2483,2707,-224,-8.27,3454
IBULHSGFIN,32675,31561,1114,3.53,67515
ICICIBANK,62613,60789,1824,3.00,53174
ICICIPRULI,7190,7895,-705,-8.93,6261
IDBI,5268,5479,-211,-3.85,3638
IDEA,18338,18179,159,0.87,13591
IDFC,10170,8930,1240,13.89,4632
IDFCBANK,17978,17978,0,0.00,0
IDFCFIRSTB,17356,17752,-396,-2.23,6181
IFCI,2301,2142,159,7.42,1131
IGL,2002,1845,157,8.51,1462
INDIACEM,6888,7403,-515,-6.96,9745
INDIANB,2615,2800,-185,-6.61,5102
INDIGO,7650,7940,-290,-3.65,9433
INDUSINDBK,39714,39770,-56,-0.14,29208
INFIBEAM,5325,5612,-287,-5.11,6064
INFRATEL,6418,5924,494,8.34,7172
INFY,50890,49851,1039,2.08,39177
IOC,16687,15973,714,4.47,10688
IRB,2974,2934,40,1.36,3019
ITC,53332,54478,-1146,-2.10,28779
JETAIRWAYS,3436,3852,-416,-10.80,5219
JINDALSTEL,19622,18961,661,3.49,17782
JISLJALEQS,5656,5874,-218,-3.71,2541
JPASSOCIAT,3218,2957,261,8.83,1347
JSWSTEEL,38837,39165,-328,-0.84,26627
JUBLFOOD,12871,12406,465,3.75,13952
JUSTDIAL,3377,3435,-58,-1.69,3785
KAJARIACER,2707,2688,19,0.71,1674
KOTAKBANK,21529,20984,545,2.60,20561
KPIT,5113,5411,-298,-5.51,2164
KSCL,1241,1220,21,1.72,953
KTKBANK,4183,4389,-206,-4.69,2639
LICHSGFIN,11267,11545,-278,-2.41,12588
LT,51638,52229,-591,-1.13,61154
L&TFH,9229,9860,-631,-6.40,9243
LUPIN,15474,15486,-12,-0.08,18119
MANAPPURAM,2112,2243,-131,-5.84,2446
MARICO,3180,3196,-16,-0.50,1820
MARUTI,78717,80562,-1845,-2.29,107420
MCDOWELL-N,12700,13028,-328,-2.52,9053
MCX,4202,4362,-160,-3.67,2759
MFSL,2206,2271,-65,-2.86,1843
MGL,1806,1341,465,34.68,2645
MINDTREE,8845,8900,-55,-0.62,13127
M&M,28264,28248,16,0.06,16094
M&MFIN,11104,11158,-54,-0.48,10209
MOTHERSUMI,11711,11110,601,5.41,12972
MRF,2853,2760,93,3.37,2071
MRPL,1023,1017,6,0.59,487
MUTHOOTFIN,2171,2117,54,2.55,3833
NATIONALUM,4127,4152,-25,-0.60,1795
NBCC,6592,6747,-155,-2.30,4074
NCC,8364,8325,39,0.47,6549
NESTLEIND,6368,6378,-10,-0.16,4513
NHPC,1068,1029,39,3.79,353
NIFTY,1918268,1902207,16061,0.84,3814346
NIFTYIT,495,443,52,11.74,493
NIITTECH,3982,4006,-24,-0.60,4689
NMDC,6389,6484,-95,-1.47,3156
NTPC,13052,12145,907,7.47,6506
OFSS,1038,990,48,4.85,310
OIL,2368,2337,31,1.33,1123
ONGC,15186,14663,523,3.57,8863
ORIENTBANK,2598,2540,58,2.28,10287
PAGEIND,9628,10332,-704,-6.81,6112
PCJEWELLER,3384,3576,-192,-5.37,2953
PEL,13086,12015,1071,8.91,16104
PETRONET,5117,5254,-137,-2.61,3542
PFC,8946,8185,761,9.30,6496
PIDILITIND,5946,6164,-218,-3.54,4260
PNB,23231,22382,849,3.79,17486
POWERGRID,6535,6131,404,6.59,6975
PTC,763,782,-19,-2.43,476
PVR,5265,5420,-155,-2.86,3248
RAMCOCEM,1180,1261,-81,-6.42,2906
RAYMOND,6207,6299,-92,-1.46,4903
RBLBANK,7408,7074,334,4.72,12929
RCOM,5233,5381,-148,-2.75,5290
RECLTD,8971,8890,81,0.91,10580
RELCAPITAL,12696,12335,361,2.93,11799
RELIANCE,148751,149892,-1141,-0.76,178820
RELINFRA,13562,14181,-619,-4.36,11655
REPCOHOME,1109,1001,108,10.79,3201
RPOWER,3966,3997,-31,-0.78,2667
SAIL,12644,13154,-510,-3.88,9051
SBIN,44731,44601,130,0.29,61518
SHREECEM,1811,1910,-99,-5.18,1971
SIEMENS,3776,3798,-22,-0.58,2511
SOUTHBANK,7274,7026,248,3.53,2289
SREINFRA,2234,2333,-99,-4.24,1349
SRF,2092,2093,-1,-0.05,1964
SRTRANSFIN,10263,9776,487,4.98,14631
STAR,5396,5202,194,3.73,24150
SUNPHARMA,74178,74354,-176,-0.24,53206
SUNTV,12367,12411,-44,-0.35,15438
SUZLON,5130,5199,-69,-1.33,1153
SYNDIBANK,2128,2287,-159,-6.95,1732
TATACHEM,4434,4277,157,3.67,3415
TATACOMM,3033,2901,132,4.55,2696
TATAELXSI,7526,7564,-38,-0.50,4407
TATAGLOBAL,5655,5427,228,4.20,4815
TATAMOTORS,50703,49935,768,1.54,36653
TATAMTRDVR,9332,9538,-206,-2.16,3639
TATAPOWER,7296,6460,836,12.94,7524
TATASTEEL,60539,60806,-267,-0.44,40924
TCS,92505,94370,-1865,-1.98,72406
TECHM,12631,11970,661,5.52,16732
TITAN,22001,22011,-10,-0.05,18165
TORNTPHARM,1474,1464,10,0.68,751
TORNTPOWER,1105,1122,-17,-1.52,892
TV18BRDCST,6003,5878,125,2.13,2539
TVSMOTOR,9508,9256,252,2.72,9806
UBL,3229,3983,-754,-18.93,2714
UJJIVAN,4758,4875,-117,-2.40,5596
ULTRACEMCO,15886,16082,-196,-1.22,16330
UNIONBANK,7231,7538,-307,-4.07,5999
UPL,16073,16158,-85,-0.53,9915
VEDL,23848,24175,-327,-1.35,22236
VGUARD,1196,1244,-48,-3.86,646
VOLTAS,7543,6901,642,9.30,9451
WIPRO,17962,17753,209,1.18,16995
WOCKPHARMA,5631,5688,-57,-1.00,6031
YESBANK,138818,137682,1136,0.83,219666
ZEEL,35543,36981,-1438,-3.89,79390
