Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume, IsFO
"ALBK","2,841","2,968","-127","-4.28","4,806","0"
"CHENNPETRO","831","876","-45","-5.14","420","0"
"RAMCOCEM","904","960","-56","-5.83","451","0"
"UBL","3,859","4,146","-287","-6.92","6,497","0"
"MRPL","1,246","1,343","-97","-7.22","1,266","0"
"DABUR","13,821","14,941","-1,120","-7.50","6,204","0"
"KOTAKBANK","18,501","20,290","-1,789","-8.82","24,420","0"
"MGL","2,564","2,869","-305","-10.63","1,411","0"
"SHREECEM","2,234","2,570","-336","-13.07","891","0"
"NIFTYIT","321","371","-50","-13.48","348","1"
"JETAIRWAYS","7,564","9,243","-1,679","-18.17","14,263","0"
