Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,6851,6915,-64,-0.93,4354
ADANIENT,8202,8141,61,0.75,3367
ADANIPORTS,7166,7403,-237,-3.20,5540
ADANIPOWER,6243,6222,21,0.34,2597
AMARAJABAT,3218,3300,-82,-2.48,1785
AMBUJACEM,9706,9753,-47,-0.48,3430
APOLLOHOSP,3018,2925,93,3.18,1798
APOLLOTYRE,4718,4554,164,3.60,3141
ARVIND,1946,1930,16,0.83,1512
ASHOKLEY,24500,25017,-517,-2.07,16846
ASIANPAINT,16031,16760,-729,-4.35,11022
AUROPHARMA,19735,19557,178,0.91,9177
AXISBANK,59312,57619,1693,2.94,37699
BAJAJ-AUTO,12667,12020,647,5.38,11688
BAJAJFINSV,9273,9239,34,0.37,4721
BAJFINANCE,37355,37546,-191,-0.51,27524
BALKRISIND,2829,2748,81,2.95,1113
BANKBARODA,19116,18777,339,1.81,14670
BANKINDIA,7886,7982,-96,-1.20,4999
BANKNIFTY,766568,627021,139547,22.26,7332686
BATAINDIA,6274,5859,415,7.08,23563
BEL,8869,8123,746,9.18,5588
BERGEPAINT,1445,1234,211,17.10,2931
BHARATFIN,38,38,0,0.00,0
BHARATFORG,7462,7511,-49,-0.65,2299
BHARTIARTL,27635,25582,2053,8.03,25213
BHEL,9953,9657,296,3.07,3948
BIOCON,8726,8787,-61,-0.69,5097
BOSCHLTD,5531,5553,-22,-0.40,659
BPCL,8563,8566,-3,-0.04,4378
BRITANNIA,12196,12414,-218,-1.76,2718
BSOFT,592,606,-14,-2.31,156
CADILAHC,9652,9587,65,0.68,2073
CANBK,7729,7562,167,2.21,10198
CASTROLIND,2958,3033,-75,-2.47,784
CENTURYTEX,6872,6891,-19,-0.28,3759
CESC,1368,1478,-110,-7.44,984
CHOLAFIN,1770,1759,11,0.63,793
CIPLA,14384,14074,310,2.20,4202
COALINDIA,20758,21065,-307,-1.46,7984
COLPAL,2991,3023,-32,-1.06,864
CONCOR,1448,1361,87,6.39,473
CUMMINSIND,3239,3253,-14,-0.43,765
DABUR,11764,11809,-45,-0.38,3355
DHFL,6161,6170,-9,-0.15,3113
DISHTV,8940,8820,120,1.36,3818
DIVISLAB,8389,8152,237,2.91,2804
DLF,17798,17711,87,0.49,12371
DRREDDY,17064,17085,-21,-0.12,3425
EICHERMOT,21192,20853,339,1.63,10420
ENGINERSIN,2362,2172,190,8.75,1086
EQUITAS,4406,4321,85,1.97,7880
ESCORTS,6994,7055,-61,-0.86,6259
EXIDEIND,4326,4348,-22,-0.51,1589
FEDERALBNK,8513,8158,355,4.35,5782
GAIL,9362,9030,332,3.68,2521
GLENMARK,5631,5517,114,2.07,2200
GMRINFRA,3896,3820,76,1.99,1012
GODREJCP,8372,8543,-171,-2.00,1976
GRASIM,20371,20433,-62,-0.30,3652
HAVELLS,8454,8303,151,1.82,3928
HCLTECH,13782,13703,79,0.58,3948
HDFC,66097,63875,2222,3.48,28460
HDFCBANK,97366,90995,6371,7.00,55414
HEROMOTOCO,17489,16864,625,3.71,13959
HEXAWARE,1720,1786,-66,-3.70,729
HINDALCO,14035,13279,756,5.69,9895
HINDPETRO,10458,10594,-136,-1.28,5252
HINDUNILVR,39490,39678,-188,-0.47,10686
HINDZINC,2418,2340,78,3.33,615
IBULHSGFIN,40973,40495,478,1.18,53904
ICICIBANK,81709,78748,2961,3.76,59752
ICICIPRULI,4953,4811,142,2.95,2458
IDBI,2333,2411,-78,-3.24,777
IDEA,22711,22356,355,1.59,4447
IDFCFIRSTB,15120,15014,106,0.71,3635
IGL,2046,2057,-11,-0.53,1820
INDIGO,7203,7161,42,0.59,7905
INDUSINDBK,33749,33229,520,1.56,30324
INFRATEL,4067,4266,-199,-4.66,1756
INFY,57901,57872,29,0.05,24124
IOC,18616,19024,-408,-2.14,4186
ITC,46542,45664,878,1.92,21834
JINDALSTEL,15008,15167,-159,-1.05,13545
JSWSTEEL,27681,28102,-421,-1.50,10331
JUBLFOOD,7192,7243,-51,-0.70,4602
JUSTDIAL,2790,2753,37,1.34,4498
KAJARIACER,1694,1712,-18,-1.05,367
KOTAKBANK,29291,29394,-103,-0.35,33398
LICHSGFIN,8936,8623,313,3.63,7813
LT,43681,43162,519,1.20,19979
L&TFH,9726,9730,-4,-0.04,5421
LUPIN,14316,13946,370,2.65,5396
MANAPPURAM,3301,3279,22,0.67,2281
MARICO,4666,4541,125,2.75,2113
MARUTI,72813,72890,-77,-0.11,56579
MCDOWELL-N,9601,9333,268,2.87,3237
MCX,2362,2335,27,1.16,697
MFSL,3047,2868,179,6.24,1042
MGL,2377,2077,300,14.44,1297
MINDTREE,3484,3584,-100,-2.79,2193
M&M,27422,27110,312,1.15,7643
M&MFIN,13278,13104,174,1.33,3041
