Symbol, LatestOI, PrevOI, OIChange, %OIChange, Volume
ACC,8896,7615,1281,16.82,10852
ADANIENT,9506,9559,-53,-0.55,2290
ADANIPORTS,9731,9664,67,0.69,8232
ADANIPOWER,7422,7335,87,1.19,865
AJANTPHARM,1073,974,99,10.16,1455
ALBK,1446,1353,93,6.87,1504
AMARAJABAT,2499,2576,-77,-2.99,1011
AMBUJACEM,8752,8498,254,2.99,5554
APOLLOHOSP,3598,3560,38,1.07,6402
APOLLOTYRE,4509,4032,477,11.83,3108
ARVIND,4613,4294,319,7.43,2647
ASHOKLEY,22117,21871,246,1.12,12230
ASIANPAINT,10473,10686,-213,-1.99,9733
AUROPHARMA,22916,20726,2190,10.57,15185
AXISBANK,36279,37297,-1018,-2.73,31872
BAJAJ-AUTO,12361,12309,52,0.42,5777
BAJAJFINSV,6196,6131,65,1.06,3450
BAJFINANCE,27448,27721,-273,-0.98,20274
BALKRISIND,3503,3493,10,0.29,2213
BANKBARODA,22283,18498,3785,20.46,32559
BANKINDIA,5238,4795,443,9.24,8183
BANKNIFTY,1066293,713272,353021,49.49,26311092
BATAINDIA,3630,3576,54,1.51,5453
BEL,5647,5509,138,2.50,5758
BEML,2304,2476,-172,-6.95,2471
BERGEPAINT,1614,1627,-13,-0.80,2184
BHARATFIN,9355,9701,-346,-3.57,4385
BHARATFORG,7731,7616,115,1.51,2470
BHARTIARTL,22859,22358,501,2.24,7264
BHEL,8834,8265,569,6.88,5576
BIOCON,9961,9646,315,3.27,5576
BOSCHLTD,5347,5361,-14,-0.26,513
BPCL,8007,8093,-86,-1.06,9104
BRITANNIA,10560,10276,284,2.76,2519
BSOFT,1414,1472,-58,-3.94,661
CADILAHC,11118,10657,461,4.33,5039
CANBK,7009,6865,144,2.10,8932
CANFINHOME,2164,2309,-145,-6.28,1941
CASTROLIND,2476,2299,177,7.70,907
CEATLTD,2493,2607,-114,-4.37,2463
CENTURYTEX,6163,6223,-60,-0.96,2945
CESC,2803,2902,-99,-3.41,2208
CGPOWER,1283,1361,-78,-5.73,1236
CHENNPETRO,641,637,4,0.63,264
CHOLAFIN,1325,1410,-85,-6.03,1453
CIPLA,12667,12191,476,3.90,3566
COALINDIA,14660,14266,394,2.76,11585
COLPAL,4186,4127,59,1.43,1556
CONCOR,1503,1444,59,4.09,495
CUMMINSIND,2414,2274,140,6.16,704
DABUR,10083,10205,-122,-1.20,2964
DCBBANK,1134,1057,77,7.28,2617
DHFL,25119,17288,7831,45.30,63043
DISHTV,10763,10889,-126,-1.16,2351
DIVISLAB,8212,8082,130,1.61,3463
DLF,21907,21724,183,0.84,16360
DRREDDY,17873,17441,432,2.48,7506
EICHERMOT,15256,15208,48,0.32,7910
ENGINERSIN,1901,1910,-9,-0.47,730
EQUITAS,2375,2508,-133,-5.30,1647
ESCORTS,7689,6611,1078,16.31,9514
EXIDEIND,6028,6113,-85,-1.39,2750
FEDERALBNK,8297,8377,-80,-0.95,9433
GAIL,10263,4773,5490,115.02,26502
GLENMARK,5271,5209,62,1.19,1283
GMRINFRA,5281,5086,195,3.83,1782
GODFRYPHLP,825,745,80,10.74,905
GODREJCP,8968,9157,-189,-2.06,2879
GODREJIND,1019,1025,-6,-0.59,377
GRASIM,16832,16233,599,3.69,8720
GSFC,2009,2010,-1,-0.05,508
HAVELLS,6898,6710,188,2.80,5500
HCLTECH,13384,13470,-86,-0.64,5796
HDFC,52933,55370,-2437,-4.40,19401
HDFCBANK,70585,69989,596,0.85,38135
HEROMOTOCO,15828,15846,-18,-0.11,14035
HEXAWARE,1303,1321,-18,-1.36,1049
HINDALCO,11736,11732,4,0.03,7527
HINDPETRO,9819,9668,151,1.56,9755
HINDUNILVR,36966,36269,697,1.92,11445
HINDZINC,2185,2117,68,3.21,480
IBULHSGFIN,42573,38259,4314,11.28,54620
ICICIBANK,82528,81215,1313,1.62,41587
ICICIPRULI,3802,3819,-17,-0.45,2588
IDBI,3831,4233,-402,-9.50,842
IDEA,24224,24114,110,0.46,5527
IDFC,5098,5175,-77,-1.49,1338
IDFCFIRSTB,11825,10667,1158,10.86,4853
IFCI,1365,1362,3,0.22,364
IGL,1800,1631,169,10.36,2698
INDIACEM,6355,6199,156,2.52,4270
INDIANB,2679,2778,-99,-3.56,4025
INDIGO,6116,6140,-24,-0.39,5061
INDUSINDBK,35194,32307,2887,8.94,46952
INFIBEAM,2732,2765,-33,-1.19,680
INFRATEL,3673,3815,-142,-3.72,1668
INFY,49326,50319,-993,-1.97,18263
IOC,12699,12897,-198,-1.54,4852
IRB,3270,3071,199,6.48,2535
ITC,48215,45807,2408,5.26,14455
JETAIRWAYS,2734,2542,192,7.55,1139
JINDALSTEL,10616,10412,204,1.96,5702
JISLJALEQS,4151,3879,272,7.01,2769
JSWSTEEL,35155,34613,542,1.57,8130
JUBLFOOD,6065,5961,104,1.74,5776
JUSTDIAL,3826,3790,36,0.95,5133
KAJARIACER,1609,1558,51,3.27,1162
KOTAKBANK,28302,29007,-705,-2.43,16985
KSCL,529,557,-28,-5.03,460
KTKBANK,2653,2632,21,0.80,2006
LICHSGFIN,7485,7552,-67,-0.89,5421
LT,35718,34614,1104,3.19,21516
L&TFH,8662,7271,1391,19.13,12041
LUPIN,14360,13856,504,3.64,4252
MANAPPURAM,2619,2710,-91,-3.36,3651
MARICO,3147,3132,15,0.48,1358
MARUTI,50975,51492,-517,-1.00,35806
MCDOWELL-N,9613,9718,-105,-1.08,4072
MCX,2825,2845,-20,-0.70,757
MFSL,1665,1714,-49,-2.86,525
MGL,1322,1292,30,2.32,645
MINDTREE,4773,4687,86,1.83,2279
M&M,23879,22831,1048,4.59,9341
M&MFIN,7628,7549,79,1.05,5670
MOTHERSUMI,18249,18248,1,0.01,4157
MRF,3250,3106,144,4.64,1002
MRPL,560,569,-9,-1.58,355
MUTHOOTFIN,2383,2369,14,0.59,997
NATIONALUM,6085,6036,49,0.81,1661
NBCC,4309,4339,-30,-0.69,1526
NCC,9203,9150,53,0.58,6940
NESTLEIND,6287,6318,-31,-0.49,1379
NHPC,632,661,-29,-4.39,106
NIFTY,1654847,1496493,158354,10.58,8173000
NIFTYIT,336,334,2,0.60,168
NIITTECH,2573,2586,-13,-0.50,1632
NMDC,4846,4929,-83,-1.68,1279
NTPC,10810,10578,232,2.19,4951
OFSS,1811,1831,-20,-1.09,284
OIL,2044,2096,-52,-2.48,399
ONGC,16248,16960,-712,-4.20,4902
ORIENTBANK,1861,1798,63,3.50,3316
PAGEIND,6503,6489,14,0.22,2108
PCJEWELLER,5313,4549,764,16.79,6150
PEL,10119,9235,884,9.57,7628
PETRONET,4582,4275,307,7.18,2186
PFC,7825,7559,266,3.52,11335
PIDILITIND,5758,5876,-118,-2.01,1798
PNB,22408,21579,829,3.84,14659
POWERGRID,6049,6192,-143,-2.31,4651
PVR,1995,2043,-48,-2.35,2161
RAMCOCEM,1533,1532,1,0.07,743
RAYMOND,3585,3684,-99,-2.69,2795
RBLBANK,5331,5110,221,4.32,5037
RECLTD,5678,5718,-40,-0.70,5949
RELCAPITAL,13474,11356,2118,18.65,23575
RELIANCE,111944,110378,1566,1.42,64299
RELINFRA,17529,16372,1157,7.07,25315
REPCOHOME,614,606,8,1.32,511
RPOWER,6299,6316,-17,-0.27,2323
SAIL,11161,10533,628,5.96,6137
SBIN,39849,36033,3816,10.59,74864
SHREECEM,2102,2029,73,3.60,1429
SIEMENS,2614,2725,-111,-4.07,1317
SOUTHBANK,2755,2794,-39,-1.40,469
SRF,4518,4887,-369,-7.55,3397
SRTRANSFIN,7738,6947,791,11.39,6887
STAR,2459,2180,279,12.80,2372
SUNPHARMA,53163,52380,783,1.49,13968
SUNTV,8247,7523,724,9.62,5943
SUZLON,3423,3441,-18,-0.52,743
SYNDIBANK,1752,1478,274,18.54,1855
TATACHEM,5269,5423,-154,-2.84,1407
TATACOMM,1921,1958,-37,-1.89,559
TATAELXSI,5566,5349,217,4.06,2194
TATAGLOBAL,5777,5790,-13,-0.22,7579
TATAMOTORS,45872,43356,2516,5.80,25564
TATAMTRDVR,7692,7401,291,3.93,1569
TATAPOWER,7236,7141,95,1.33,1409
TATASTEEL,37989,36281,1708,4.71,28940
TCS,64012,64521,-509,-0.79,38646
TECHM,11371,10855,516,4.75,6185
TITAN,14229,13632,597,4.38,13270
TORNTPHARM,1212,1204,8,0.66,568
TORNTPOWER,863,865,-2,-0.23,374
TV18BRDCST,3619,3684,-65,-1.76,812
TVSMOTOR,6093,6007,86,1.43,2652
UBL,2739,2681,58,2.16,1626
UJJIVAN,3071,3346,-275,-8.22,4595
ULTRACEMCO,11859,11468,391,3.41,7838
UNIONBANK,6583,6103,480,7.86,6007
UPL,17696,18097,-401,-2.22,5578
VEDL,24321,23822,499,2.09,9272
VGUARD,1035,1067,-32,-3.00,851
VOLTAS,5595,5709,-114,-2.00,3757
WIPRO,18698,16419,2279,13.88,9191
WOCKPHARMA,3144,3233,-89,-2.75,1397
YESBANK,102163,95357,6806,7.14,75454
ZEEL,20368,20027,341,1.70,17736
