Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1468.00,1468.00,1435.00,1439.00,-16.15,-1.11,1852.45,1255.65,-21.81,-4.15,31-DEC-2999,-
ADANIENT,149.70,149.80,144.55,146.55,-2.45,-1.64,236.65,100.85,-28.35,-7.28,31-DEC-2999,-
ADANIPORTS,396.50,399.95,392.25,398.70,4.20,1.06,452.35,294.10,-8.01,6.92,31-DEC-2999,-
ADANIPOWER,51.55,52.10,50.05,50.20,-0.65,-1.28,58.35,15.15,23.19,-4.92,31-DEC-2999,-
AJANTPHARM,1149.40,1151.65,1129.10,1140.15,-11.40,-0.99,1595.00,895.85,-25.51,1.99,09-NOV-2018,INTERIM DIVIDEND - RS 9 PER SH
ALBK,44.60,44.60,43.55,43.65,-0.80,-1.80,74.00,33.15,-39.25,-5.93,31-DEC-2999,-
AMARAJABAT,785.20,787.75,775.00,783.00,-2.20,-0.28,908.45,683.05,-7.95,6.65,20-NOV-2018,INTERIM DIVIDEND - RS 2 PER SHARE
AMBUJACEM,215.70,216.00,212.20,212.25,-3.00,-1.39,278.95,188.35,-23.42,-3.37,31-DEC-2999,-
APOLLOHOSP,1350.00,1372.90,1335.05,1362.00,9.05,0.67,1372.90,910.10,20.99,11.08,31-DEC-2999,-
APOLLOTYRE,219.50,221.00,217.50,217.75,-0.65,-0.30,307.25,192.05,-20.49,-7.56,31-DEC-2999,-
ARVIND,94.60,95.20,92.80,93.05,-1.40,-1.48,463.35,90.25,-79.68,-5.29,28-NOV-2018,DEMERGER
ASHOKLEY,93.35,93.55,92.00,92.40,-0.85,-0.91,167.50,92.00,-25.75,-11.83,31-DEC-2999,-
ASIANPAINT,1391.00,1404.75,1383.00,1394.80,5.20,0.37,1490.60,1090.10,16.84,2.88,29-OCT-2018,INTERIM DIVIDEND - RS 2.85 PER SH
AUROPHARMA,780.10,781.00,763.00,774.00,-1.00,-0.13,830.45,527.00,17.76,5.21,20-NOV-2018,INTERIM DIVIDEND - RS 1.25 PER SHARE
AXISBANK,674.90,676.05,661.45,664.25,-12.40,-1.83,680.00,481.25,13.51,7.24,31-DEC-2999,-
BAJAJ-AUTO,2741.00,2746.50,2696.65,2718.85,-10.80,-0.40,3468.35,2420.00,-14.88,-4.30,31-DEC-2999,-
BAJAJFINSV,6366.10,6379.95,6230.00,6236.00,-123.00,-1.93,7200.00,4500.00,25.60,1.35,31-DEC-2999,-
BAJFINANCE,2545.00,2555.00,2525.10,2547.95,12.05,0.48,2994.00,1511.20,49.77,0.62,31-DEC-2999,-
