Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1643.00,1653.55,1623.05,1633.60,-12.45,-0.76,1769.05,1322.55,3.25,6.11,31-DEC-2999,-
ADANIENT,152.70,152.70,147.20,148.90,-3.80,-2.49,180.80,113.00,9.08,8.57,29-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE
ADANIPORTS,418.00,420.50,406.10,406.85,-12.30,-2.93,430.60,292.10,20.17,9.35,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE
ADANIPOWER,68.40,69.00,66.65,66.95,-1.30,-1.90,69.90,21.00,157.50,11.68,30-JUL-2019,ANNUAL GENERAL MEETING
AMARAJABAT,730.35,733.90,710.00,715.00,-22.20,-3.01,806.75,572.85,-9.09,14.82,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,210.10,210.60,205.85,207.00,-3.50,-1.66,244.00,188.35,-8.45,0.93,31-DEC-2999,-
APOLLOHOSP,1431.70,1433.95,1394.10,1405.00,-24.20,-1.69,1579.70,1025.00,34.67,-4.78,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,184.10,185.80,181.00,181.20,-3.20,-1.74,244.85,144.05,-20.63,5.35,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE
ASHOKLEY,73.00,73.00,71.15,72.10,-1.40,-1.90,123.30,56.95,-40.24,8.18,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE
ASIANPAINT,1770.00,1781.40,1735.35,1763.90,-7.05,-0.40,1820.00,1118.00,37.59,10.28,31-DEC-2999,-
AUROPHARMA,608.00,610.80,595.80,596.00,-14.75,-2.42,838.00,536.60,-21.49,1.30,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,700.20,707.95,692.50,702.50,2.60,0.37,827.75,534.55,13.77,2.86,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2964.00,2989.55,2936.15,2951.10,-19.20,-0.65,3149.95,2420.00,6.41,6.67,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
BAJAJFINSV,8480.00,8577.00,8404.00,8560.00,95.40,1.13,8580.00,4955.00,37.79,20.12,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
BAJFINANCE,4006.00,4085.00,3990.00,4065.25,64.45,1.61,4085.00,1912.20,75.56,21.07,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE
BALKRISIND,784.10,797.50,767.25,770.00,-16.60,-2.11,1189.65,682.00,-30.29,2.83,20-AUG-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,94.50,96.70,93.85,95.50,-0.25,-0.26,144.00,89.10,-12.51,-1.85,31-DEC-2999,-
BANKINDIA,67.40,67.75,64.80,66.20,-1.60,-2.36,110.15,61.40,-21.05,-4.47,31-DEC-2999,-
BATAINDIA,1720.60,1760.95,1701.00,1753.85,33.35,1.94,1782.00,833.10,83.36,16.22,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE
BEL,110.45,111.25,107.85,108.15,-2.85,-2.57,117.75,72.50,28.44,4.34,20-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE
BERGEPAINT,427.90,443.00,427.00,441.00,6.90,1.59,443.00,260.00,49.16,19.82,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE
BHARATFORG,449.40,452.45,444.00,446.35,-4.00,-0.89,637.30,376.00,-28.58,12.91,01-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 2.50 PER SHARE
BHARTIARTL,344.00,354.90,339.25,354.00,9.95,2.89,378.75,253.99,-2.02,1.64,31-DEC-2999,-
