Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1565.05,1579.90,1555.05,1569.00,6.85,0.44,1769.05,1255.65,21.50,-8.86,31-DEC-2999,-
ADANIENT,150.65,155.60,148.05,153.95,3.45,2.29,236.65,100.85,40.79,-0.77,31-DEC-2999,-
ADANIPORTS,412.00,414.00,408.50,411.90,1.70,0.41,430.60,292.10,13.85,1.32,20-JUN-2019,BUYBACK
ADANIPOWER,52.25,61.25,50.80,60.60,9.25,18.01,61.25,15.15,290.97,25.34,31-DEC-2999,-
AMARAJABAT,623.80,633.75,618.00,630.95,11.00,1.77,908.45,572.85,-13.34,-0.06,31-DEC-2999,-
AMBUJACEM,214.45,216.00,211.50,213.50,0.65,0.31,245.40,188.35,6.27,-8.70,31-DEC-2999,-
APOLLOHOSP,1363.00,1386.60,1356.15,1369.05,9.85,0.72,1406.00,910.10,35.23,13.77,31-DEC-2999,-
APOLLOTYRE,202.00,204.60,199.80,200.40,-0.25,-0.12,299.50,174.00,-21.30,3.22,31-DEC-2999,-
ARVIND,63.50,65.90,62.85,65.10,1.80,2.84,438.70,56.55,-83.17,-14.57,31-DEC-2999,-
ASHOKLEY,87.85,88.50,86.50,87.00,-0.25,-0.29,137.10,77.60,-29.90,-3.01,31-DEC-2999,-
ASIANPAINT,1368.00,1374.50,1351.05,1353.00,-5.15,-0.38,1529.85,1118.00,6.67,-0.39,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,610.00,617.15,607.55,614.95,6.90,1.13,838.00,565.05,2.38,-10.46,31-DEC-2999,-
AXISBANK,810.75,819.00,807.45,808.05,-0.50,-0.06,827.75,498.75,60.14,0.42,31-DEC-2999,-
BAJAJ-AUTO,2838.40,2920.15,2836.20,2915.00,87.95,3.11,3194.95,2420.00,7.33,-0.36,31-DEC-2999,-
BAJAJFINSV,8548.00,8575.00,8503.05,8511.05,-13.60,-0.16,8575.00,4955.00,45.54,4.66,31-DEC-2999,-
BAJFINANCE,3688.70,3716.00,3685.00,3690.00,8.90,0.24,3716.00,1912.20,62.22,8.23,31-DEC-2999,-
BALKRISIND,758.70,784.75,756.80,766.90,11.10,1.47,1453.55,727.15,-24.73,-5.63,31-DEC-2999,-
BANKBARODA,122.90,123.00,119.85,121.20,-0.40,-0.33,157.50,91.00,7.26,-11.11,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,90.90,91.50,88.85,90.85,0.70,0.78,110.15,73.20,6.69,-5.76,20-JUN-2019,ANNUAL GENERAL MEETING
BATAINDIA,1449.90,1455.10,1435.40,1449.90,3.45,0.24,1479.95,813.10,75.03,10.06,31-DEC-2999,-
BEL,113.25,115.45,109.80,111.15,-1.35,-1.20,124.40,72.50,7.13,-0.94,31-DEC-2999,-
BERGEPAINT,316.90,322.50,316.05,318.30,0.80,0.25,349.90,260.00,13.25,5.64,31-DEC-2999,-
BHARATFIN,899.70,912.80,894.80,907.65,15.10,1.69,1234.80,823.75,-22.74,-10.12,31-DEC-2999,-
BHARATFORG,451.15,462.80,451.15,455.90,6.00,1.33,693.90,430.15,-24.57,-3.78,31-DEC-2999,-
BHARTIARTL,347.00,349.85,345.15,348.45,1.80,0.52,366.95,253.99,-7.81,2.85,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,73.40,74.25,71.70,73.00,-0.15,-0.21,83.30,56.20,4.66,2.89,31-DEC-2999,-
BIOCON,251.05,253.05,249.45,252.25,1.70,0.68,359.00,239.00,-59.09,-53.43,31-DEC-2999,-
BOSCHLTD,16499.00,16739.95,16383.70,16530.10,191.45,1.17,22400.00,16058.90,-4.27,-2.86,31-DEC-2999,-
BPCL,391.00,392.85,374.50,376.35,-16.10,-4.10,421.70,238.55,2.56,-5.71,31-DEC-2999,-
BRITANNIA,2750.10,2771.00,2732.00,2739.00,-4.70,-0.17,3467.18,2615.85,-55.31,-6.10,31-DEC-2999,-
BSOFT,86.00,90.20,86.00,89.20,2.90,3.36,314.50,80.15,-,-,31-DEC-2999,-
CADILAHC,240.00,246.25,239.05,240.50,-1.20,-0.50,432.50,223.15,-36.38,-8.82,31-DEC-2999,-
CANBK,286.30,287.65,281.60,285.35,0.95,0.33,302.30,204.75,14.69,4.73,31-DEC-2999,-
CASTROLIND,133.05,133.40,129.50,129.70,-2.85,-2.15,177.80,129.50,-21.49,-11.98,09-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.75 PER SHARE
CENTURYTEX,952.00,956.90,940.40,947.70,-1.20,-0.13,1063.00,705.50,5.88,-7.43,31-DEC-2999,-
CESC,790.00,798.35,779.00,785.05,0.75,0.10,1038.85,642.00,-11.08,7.81,31-DEC-2999,-
CHOLAFIN,286.80,288.80,281.05,283.65,-2.00,-0.70,323.80,207.60,-80.68,-80.69,31-DEC-2999,-
CIPLA,555.70,559.35,553.15,555.00,1.55,0.28,678.45,483.75,-7.64,-1.66,31-DEC-2999,-
COALINDIA,254.25,256.40,248.00,249.25,-4.55,-1.79,299.75,211.40,-4.37,-0.58,31-DEC-2999,-
COLPAL,1130.00,1135.85,1122.85,1128.60,0.90,0.08,1354.80,1018.30,-2.33,-2.77,04-JUN-2019,INTERIM DIVIDEND - RS 8 PER SHARE
CONCOR,571.00,582.75,568.20,579.10,9.05,1.59,582.75,433.60,-5.27,10.40,31-DEC-2999,-
