Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1582.90,1583.00,1542.35,1548.00,-24.30,-1.55,1723.40,1255.65,6.67,-7.49,05-MAR-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE
ADANIENT,124.20,124.95,116.10,117.00,-6.35,-5.15,236.65,100.85,-5.65,-18.15,31-DEC-2999,-
ADANIPORTS,371.00,375.00,359.10,359.50,-11.05,-2.98,414.00,292.10,-12.31,-7.12,31-DEC-2999,-
ADANIPOWER,41.05,41.25,38.10,38.30,-2.50,-6.13,58.35,15.15,75.69,-29.85,31-DEC-2999,-
AJANTPHARM,1057.25,1093.15,1036.00,1045.00,-9.25,-0.88,1294.00,895.85,-1.71,1.74,31-DEC-2999,-
ALBK,43.05,43.70,42.35,42.85,-0.05,-0.12,59.00,33.15,-2.94,-20.20,31-DEC-2999,-
AMARAJABAT,639.95,639.95,612.10,626.65,-5.80,-0.92,908.45,612.10,-27.72,-10.96,31-DEC-2999,-
AMBUJACEM,213.15,213.95,208.75,211.80,-1.30,-0.61,245.40,188.35,-2.60,-6.88,27-FEB-2019,DIVIDEND - RS 1.50 PER SHARE
APOLLOHOSP,1148.20,1161.00,1147.05,1152.50,10.00,0.88,1387.25,910.10,12.58,-9.35,31-DEC-2999,-
APOLLOTYRE,179.80,182.80,176.05,176.50,-3.15,-1.75,299.50,176.05,-38.35,-19.04,31-DEC-2999,-
ARVIND,74.15,75.15,70.45,71.90,-2.10,-2.84,438.70,70.45,-83.15,-18.30,31-DEC-2999,-
ASHOKLEY,85.00,85.80,81.45,81.95,-2.65,-3.13,162.45,77.60,-47.18,-14.41,31-DEC-2999,-
ASIANPAINT,1326.00,1329.00,1301.70,1308.00,-12.25,-0.93,1529.85,1118.00,0.82,-8.63,31-DEC-2999,-
AUROPHARMA,713.50,736.85,705.35,709.60,-5.30,-0.74,838.00,527.00,15.76,-8.74,15-FEB-2019,INTERIM DIVIDEND - RS 1.25 PER SHARE
AXISBANK,735.80,737.70,716.10,717.35,-14.00,-1.91,787.65,498.75,29.98,-5.96,31-DEC-2999,-
BAJAJ-AUTO,2937.25,2949.45,2901.35,2912.00,-25.20,-0.86,3194.95,2420.00,2.83,-4.05,31-DEC-2999,-
BAJAJFINSV,7399.00,7535.00,7335.15,7451.00,85.30,1.16,7747.20,4955.00,38.33,-0.77,31-DEC-2999,-
BAJFINANCE,2921.00,3023.25,2870.80,3012.10,130.25,4.52,3165.00,1842.95,61.55,-0.34,31-DEC-2999,-
BALKRISIND,820.95,820.95,790.25,795.00,-20.70,-2.54,1453.55,744.00,-32.38,-17.85,15-FEB-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,110.30,110.30,107.00,107.30,-2.50,-2.28,157.50,91.00,-24.81,-17.93,31-DEC-2999,-
BANKINDIA,83.00,83.40,79.85,80.10,-2.80,-3.38,110.15,73.20,-19.29,-19.13,31-DEC-2999,-
BATAINDIA,1306.00,1337.50,1300.70,1326.00,15.75,1.20,1479.95,735.30,70.17,-6.21,31-DEC-2999,-
BEL,89.10,89.80,88.55,89.00,-0.10,-0.11,128.50,72.50,-29.22,-6.32,27-MAR-2019,INTERIM DIVIDEND - RE 0.70 PER SHARE
BEML,837.00,844.50,820.35,825.75,-5.55,-0.67,1198.40,521.25,-21.67,-14.86,28-MAR-2019,INTERIM DIVIDEND - RS 4.50 PER SHARE
BERGEPAINT,294.80,300.85,294.40,297.00,0.70,0.24,349.90,260.00,7.16,-10.22,31-DEC-2999,-
BHARATFIN,878.00,886.45,847.00,848.30,-23.30,-2.67,1234.80,823.75,-27.07,-22.80,31-DEC-2999,-
BHARATFORG,457.00,465.00,452.20,453.85,-2.60,-0.57,750.90,448.60,-38.24,-11.48,31-DEC-2999,-
BHARTIARTL,336.00,338.00,328.70,330.85,-5.75,-1.71,366.06,253.99,-13.65,-4.85,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,63.85,64.30,60.25,60.95,-3.00,-4.69,86.85,56.20,-21.61,-21.15,31-DEC-2999,-
BIOCON,532.45,536.90,525.05,528.85,-0.55,-0.10,718.00,518.20,-16.94,-15.02,31-DEC-2999,-
BOSCHLTD,16899.00,17100.00,16818.35,16973.00,181.40,1.08,22400.00,16629.55,-6.81,-5.98,31-DEC-2999,-
BPCL,359.00,368.25,356.85,357.25,-1.35,-0.38,429.15,238.55,-11.62,-0.32,21-FEB-2019,INTERIM DIVIDEND RS - 11 PER SHARE
BRITANNIA,2700.00,2709.95,2660.00,2681.00,-16.60,-0.62,3467.18,2615.85,-50.93,-10.59,31-DEC-2999,-
BSOFT,86.40,86.40,80.30,81.55,-4.85,-5.61,314.50,80.30,-,-,31-DEC-2999,-
CADILAHC,263.00,264.55,255.10,259.70,-0.95,-0.36,432.50,255.10,-33.82,-23.84,31-DEC-2999,-
