Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1493.50,1510.00,1488.00,1491.00,-0.65,-0.04,1769.05,1322.55,-6.03,-6.17,31-DEC-2999,-
ADANIENT,144.00,146.00,142.10,145.00,1.25,0.87,180.80,113.00,-4.64,7.01,29-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE
ADANIPORTS,365.00,368.30,364.20,366.60,1.30,0.36,430.60,292.10,-3.73,2.57,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE
ADANIPOWER,64.40,64.95,62.95,64.35,0.55,0.86,68.75,21.00,110.64,6.72,30-JUL-2019,ANNUAL GENERAL MEETING
AMARAJABAT,631.45,640.95,624.40,634.20,2.75,0.44,807.70,572.85,-19.09,1.57,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,195.00,196.70,194.10,195.70,1.35,0.69,244.00,188.35,-13.37,-7.69,31-DEC-2999,-
APOLLOHOSP,1417.00,1444.00,1401.70,1432.00,16.95,1.20,1579.70,996.75,27.95,-3.50,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,177.65,181.90,177.50,179.65,1.90,1.07,245.00,144.05,-26.24,9.78,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE
ARVIND,56.35,56.90,54.50,56.45,-0.20,-0.35,395.95,44.55,-85.48,12.34,29-JUL-2019,DIVIDEND - RS 2 PER SHARE
ASHOKLEY,60.35,60.80,57.45,59.70,-0.25,-0.42,130.60,56.95,-53.16,-7.44,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE
ASIANPAINT,1542.15,1560.95,1535.00,1552.90,22.00,1.44,1622.50,1118.00,18.66,-2.11,31-DEC-2999,-
AUROPHARMA,620.00,622.50,609.50,618.80,2.10,0.34,838.00,536.60,-21.62,2.48,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,645.50,654.50,641.55,647.50,7.05,1.10,827.75,534.55,3.44,-5.47,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2798.00,2819.00,2750.10,2775.00,1.85,0.07,3149.95,2420.00,-2.99,1.82,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
BAJAJFINSV,7221.00,7348.00,7196.00,7260.00,109.50,1.53,8580.00,4955.00,10.84,-1.58,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
BAJFINANCE,3407.00,3464.50,3388.50,3416.40,48.00,1.43,3762.00,1912.20,31.17,2.65,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE
BALKRISIND,747.25,753.00,732.35,750.00,2.25,0.30,1189.65,682.00,-34.29,2.43,20-AUG-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,95.90,96.90,94.35,96.10,0.95,1.00,144.00,89.10,-28.95,-6.34,31-DEC-2999,-
BANKINDIA,65.45,66.10,64.45,64.85,0.10,0.15,110.15,61.40,-30.60,-6.01,31-DEC-2999,-
BATAINDIA,1561.10,1568.65,1530.00,1543.00,-17.50,-1.12,1579.90,833.10,54.76,4.71,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE
BEL,109.05,110.40,105.65,107.00,-1.05,-0.97,117.75,72.50,22.85,9.35,20-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE
BERGEPAINT,366.80,370.00,364.00,369.50,4.45,1.22,373.05,260.00,21.21,1.75,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE
BHARATFORG,394.95,404.65,386.00,399.65,3.25,0.82,667.25,376.00,-38.76,0.78,01-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 2.50 PER SHARE
BHARTIARTL,341.60,344.15,334.60,336.10,-3.75,-1.10,378.75,253.99,-12.03,-6.90,31-DEC-2999,-
BHEL,49.00,49.40,48.40,48.50,-0.25,-0.51,78.85,46.65,-36.31,-5.46,11-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE
BIOCON,230.50,230.50,225.55,227.60,-0.45,-0.20,359.00,211.05,-65.34,5.25,18-JUL-2019,DIVIDEND - RS 0.50 PER SHARE
BOSCHLTD,13750.00,13846.95,13520.00,13649.00,-19.85,-0.15,21150.00,12700.00,-34.96,0.12,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE
BPCL,379.70,388.75,369.05,382.00,13.25,3.59,421.70,238.55,4.95,10.09,21-AUG-2019,DIVIDEND - RS 8 PER SHARE
BRITANNIA,2668.70,2668.70,2588.20,2614.90,-77.55,-2.88,3316.00,2300.00,-56.58,5.51,22-AUG-2019,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD
BSOFT,67.80,68.10,65.75,67.05,0.10,0.15,308.20,57.50,-,-,30-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
CADILAHC,240.00,242.30,236.05,241.20,2.25,0.94,420.00,206.50,-41.62,10.26,25-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share
CANBK,195.65,199.90,194.30,195.75,1.70,0.88,302.10,190.35,-26.82,-15.30,17-JUL-2019,ANNUAL GENERAL MEETING
CASTROLIND,125.15,126.25,124.20,125.00,0.00,0.00,172.90,112.75,-20.05,6.38,08-AUG-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
CENTURYTEX,907.35,914.30,896.45,906.60,3.25,0.36,1063.00,705.50,-2.10,0.89,19-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE
CESC,819.65,824.95,803.10,814.00,-0.60,-0.07,1011.35,642.00,-18.67,1.98,10-JUL-2019,ANNUAL GENERAL MEETING
CHOLAFIN,266.60,269.10,263.80,266.55,1.30,0.49,311.00,207.60,-79.76,0.91,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE
CIPLA,461.40,462.80,454.35,458.70,-1.95,-0.42,678.45,449.20,-31.01,-3.60,31-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE
COALINDIA,198.45,199.20,191.75,192.45,-5.15,-2.61,289.20,177.70,-30.01,-3.27,09-AUG-2019,ANNUAL GENERAL MEETING
