Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1635.00,1647.55,1531.25,1550.00,-17.10,-1.09,1769.05,1262.00,20.00,1.61,31-DEC-2999,-
ADANIENT,134.25,135.20,130.30,132.20,-2.00,-1.49,236.65,113.00,-7.03,-10.65,31-DEC-2999,-
ADANIPORTS,414.55,416.65,401.75,405.25,-7.15,-1.73,430.60,292.10,11.32,-3.83,31-DEC-2999,-
ADANIPOWER,62.70,62.80,59.90,61.30,-1.40,-2.23,68.75,20.10,197.57,30.84,31-DEC-2999,-
AMARAJABAT,640.00,640.00,605.05,607.65,-32.95,-5.14,908.45,572.85,-21.76,1.36,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,222.00,223.80,212.05,215.55,-1.40,-0.65,245.40,188.35,10.17,2.64,31-DEC-2999,-
APOLLOHOSP,1388.15,1398.95,1367.05,1380.00,-8.05,-0.58,1427.00,910.10,42.31,1.87,31-DEC-2999,-
APOLLOTYRE,180.50,180.80,174.25,175.00,-4.25,-2.37,299.50,174.00,-35.66,-9.75,31-DEC-2999,-
ARVIND,59.75,60.85,56.15,57.60,-2.10,-3.52,438.70,56.15,-85.77,-16.58,31-DEC-2999,-
ASHOKLEY,82.00,82.45,79.00,79.50,-1.95,-2.39,135.00,77.60,-28.09,-4.96,31-DEC-2999,-
ASIANPAINT,1390.10,1399.40,1365.00,1373.95,-11.00,-0.79,1529.85,1118.00,-1.37,-0.44,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,574.00,575.65,550.00,551.00,-18.90,-3.32,838.00,550.00,-4.39,-11.45,31-DEC-2999,-
AXISBANK,743.55,746.80,723.30,730.10,-10.30,-1.39,827.75,515.00,38.66,-5.88,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2640.00,2654.95,2550.00,2563.00,-67.80,-2.58,3160.85,2420.00,-17.53,-10.25,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
BAJAJFINSV,7900.00,7900.00,7506.00,7544.00,-303.65,-3.87,8580.00,4955.00,18.51,-8.52,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
BAJFINANCE,3476.00,3501.25,3263.10,3322.00,-145.65,-4.20,3762.00,1912.20,33.48,-5.34,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE
BALKRISIND,752.00,759.00,725.55,728.00,-23.00,-3.06,1453.55,708.05,-36.60,-1.51,04-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
BANKBARODA,122.25,122.70,116.85,118.00,-3.35,-2.76,157.50,91.00,0.30,1.29,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,82.90,83.30,80.00,80.20,-1.95,-2.37,110.15,73.20,1.45,-4.86,20-JUN-2019,ANNUAL GENERAL MEETING
BATAINDIA,1348.65,1348.65,1283.15,1296.00,-45.65,-3.40,1479.95,818.35,56.58,-6.77,31-DEC-2999,-
BEL,97.50,99.95,93.80,98.50,1.95,2.02,124.40,72.50,-1.05,-10.29,31-DEC-2999,-
BERGEPAINT,313.30,317.50,308.50,310.75,-2.55,-0.81,349.90,260.00,1.47,-2.80,31-DEC-2999,-
