Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1514.00,1535.00,1510.00,1521.00,4.60,0.30,1769.05,1326.00,5.85,-0.67,31-DEC-2999,-
ADANIENT,212.40,221.50,211.70,213.60,0.50,0.23,221.50,113.00,35.19,9.23,31-DEC-2999,-
ADANIPORTS,372.00,384.95,370.80,381.00,8.40,2.25,430.60,292.10,4.27,-4.50,31-DEC-2999,-
ADANIPOWER,61.60,66.65,61.50,63.35,1.80,2.92,73.80,33.25,16.35,-4.38,31-DEC-2999,-
AMARAJABAT,754.70,756.30,743.55,751.70,-3.05,-0.40,798.10,572.85,2.86,13.46,21-NOV-2019,INTERIM DIVIDEND - RS 6 PER SHARE
AMBUJACEM,206.00,208.20,203.90,204.65,-0.30,-0.15,244.00,184.10,-4.61,2.74,31-DEC-2999,-
APOLLOHOSP,1453.50,1466.85,1431.00,1438.55,-5.95,-0.41,1579.70,1083.10,16.82,0.53,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,171.00,172.80,167.30,167.80,-3.55,-2.07,244.85,144.05,-28.99,-10.20,31-DEC-2999,-
ASHOKLEY,81.00,82.10,78.25,79.05,-2.40,-2.95,112.65,56.95,-27.04,-0.25,31-DEC-2999,-
ASIANPAINT,1715.00,1720.40,1677.35,1706.00,-8.60,-0.50,1834.80,1252.15,28.83,-5.97,30-OCT-2019,INTERIM DIVIDEND - RS 3.35 PER SH
AUROPHARMA,454.00,461.85,445.60,450.00,0.35,0.08,838.00,389.35,-43.04,-4.63,21-NOV-2019,INTERIM DIVIDEND - RS 1.25 PER SHARE
AXISBANK,749.90,756.35,736.50,738.60,-12.00,-1.60,827.75,580.50,17.62,0.02,31-DEC-2999,-
BAJAJ-AUTO,3186.00,3196.00,3147.10,3178.85,-17.55,-0.55,3289.00,2442.20,22.08,-0.06,31-DEC-2999,-
BAJAJFINSV,9230.00,9235.80,9095.30,9118.90,-121.20,-1.31,9284.75,5612.00,56.72,11.88,31-DEC-2999,-
BAJFINANCE,4095.00,4135.00,4062.35,4068.00,-34.05,-0.83,4280.00,2332.10,68.62,0.51,31-DEC-2999,-
BALKRISIND,932.70,941.95,911.25,923.80,-9.25,-0.99,1024.00,682.00,-3.54,6.35,21-NOV-2019,INTERIM DIVIDEND- RS 2 PER SHARE
BANKBARODA,106.95,108.25,104.50,104.70,-1.70,-1.60,144.00,85.65,-0.05,12.52,31-DEC-2999,-
BATAINDIA,1638.00,1645.15,1622.05,1628.40,-5.70,-0.35,1814.00,991.10,62.98,-8.60,31-DEC-2999,-
BEL,104.55,105.40,102.65,102.80,-1.50,-1.44,122.10,72.50,15.90,-13.40,31-DEC-2999,-
BERGEPAINT,493.60,499.75,486.00,494.70,-0.90,-0.18,533.75,285.20,57.87,-0.88,31-DEC-2999,-
BHARATFORG,469.00,469.00,459.35,463.50,-4.55,-0.97,587.60,376.00,-18.07,0.02,20-NOV-2019,INTERIM DIVIDEND - RS 1.50 PER SHARE
BHARTIARTL,439.60,449.65,435.15,441.55,4.90,1.12,455.65,258.72,40.58,22.69,31-DEC-2999,-
BHEL,54.20,54.95,53.05,53.20,-1.05,-1.94,78.85,41.30,-20.60,-1.12,11-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE
BIOCON,283.20,288.40,280.55,282.00,-1.75,-0.62,341.23,211.05,-52.82,15.53,31-DEC-2999,-
BOSCHLTD,16201.00,16345.80,15960.10,16084.10,-125.60,-0.77,20000.00,12700.00,-13.93,2.74,31-DEC-2999,-
BPCL,511.00,518.45,505.20,510.10,0.10,0.02,549.00,308.35,59.33,-2.45,31-DEC-2999,-
BRITANNIA,3085.00,3095.00,3050.00,3056.00,-42.25,-1.36,3583.75,2300.00,-48.74,-8.84,31-DEC-2999,-
CADILAHC,259.05,265.60,252.05,253.85,-4.95,-1.91,369.00,206.50,-26.16,1.52,31-DEC-2999,-
CANBK,231.75,234.25,226.15,226.75,-5.40,-2.33,302.10,170.60,-13.47,16.13,31-DEC-2999,-
CASTROLIND,143.15,143.65,140.00,140.50,-1.80,-1.26,172.90,112.75,-9.99,-6.68,31-DEC-2999,-
CENTURYTEX,462.50,477.90,457.00,463.00,-0.10,-0.02,1063.00,352.10,-48.27,9.26,11-OCT-2019,DEMERGER
CESC,749.95,763.60,747.50,752.00,2.60,0.35,851.70,642.60,8.12,-7.25,31-DEC-2999,-
CHOLAFIN,318.90,318.90,310.80,312.70,-4.35,-1.37,333.55,218.20,-75.84,5.30,31-DEC-2999,-
CIPLA,469.65,473.40,465.60,467.00,-1.35,-0.29,586.00,389.55,-9.37,-1.28,31-DEC-2999,-
COALINDIA,206.40,208.80,203.85,204.40,-1.45,-0.70,271.45,177.70,-17.53,-2.55,31-DEC-2999,-
COLPAL,1482.00,1486.60,1453.85,1470.60,-6.15,-0.42,1642.60,1103.05,19.76,-2.80,05-NOV-2019,INTERIM DIVIDEND - RS 12 PER SH
CONCOR,556.00,580.75,553.80,578.70,25.85,4.68,666.00,460.00,-12.98,-3.11,31-DEC-2999,-
CUMMINSIND,548.00,552.00,538.00,542.95,-4.35,-0.79,884.20,532.20,-31.38,0.40,31-DEC-2999,-
DABUR,466.75,466.90,457.30,458.40,-7.85,-1.68,487.70,357.55,10.51,-1.60,13-NOV-2019,INTERIM DIVIDEND - RS 1.40 PER SHARE
DISHTV,15.00,15.70,11.45,12.00,-3.00,-20.00,42.60,10.40,-68.21,7.62,31-DEC-2999,-
DIVISLAB,1795.30,1802.85,1781.80,1785.20,-7.80,-0.44,1825.00,1420.00,20.61,1.76,31-DEC-2999,-
DLF,218.10,224.20,215.00,220.00,2.05,0.94,226.60,132.55,25.04,21.58,31-DEC-2999,-
DRREDDY,2974.70,2974.70,2895.30,2905.85,-70.90,-2.38,2991.95,1872.95,12.97,3.69,31-DEC-2999,-
EICHERMOT,23052.00,23079.95,22650.00,22885.00,-206.60,-0.89,24220.00,15200.00,-0.98,3.79,31-DEC-2999,-
EQUITAS,101.45,110.35,99.00,106.40,4.95,4.88,143.65,82.50,-1.02,10.49,31-DEC-2999,-
ESCORTS,644.50,652.60,631.00,633.35,-11.10,-1.72,833.90,423.55,-7.13,-5.14,31-DEC-2999,-
EXIDEIND,195.00,196.00,193.00,195.50,1.30,0.67,273.80,166.00,-24.60,6.66,18-NOV-2019,DIVIDEND - RS 1.60 PER SHARE
FEDERALBNK,90.70,91.75,88.60,88.85,-2.05,-2.26,110.40,78.20,8.82,8.22,31-DEC-2999,-
GAIL,125.05,128.45,125.05,126.00,0.20,0.16,183.25,119.50,-62.84,0.12,31-DEC-2999,-
GLENMARK,345.95,349.50,333.85,335.10,-9.35,-2.71,705.90,267.25,-48.34,8.39,19-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
GMRINFRA,22.10,22.45,21.55,21.85,-0.10,-0.46,22.70,12.95,36.56,5.05,05-SEP-2019,ANNUAL GENERAL MEETING
GODREJCP,725.00,726.90,713.30,723.00,0.70,0.10,849.90,575.00,-3.03,0.72,14-NOV-2019,INTERIM DIVIDEND - RS 2 PER SHARE
GRASIM,796.00,809.00,784.45,786.20,-13.95,-1.74,959.80,633.60,-6.49,10.00,31-DEC-2999,-
HAVELLS,673.60,677.00,660.00,667.10,-6.50,-0.96,806.85,622.65,-0.22,-0.16,31-DEC-2999,-
HCLTECH,1136.00,1136.85,1125.10,1127.50,-5.15,-0.45,1187.60,920.00,8.09,-1.07,31-DEC-2999,-
HDFC,2309.75,2316.35,2280.10,2296.00,-13.75,-0.60,2357.85,1820.00,19.09,8.66,31-DEC-2999,-
HDFCBANK,1267.70,1279.90,1252.00,1275.00,9.70,0.77,1287.00,1011.00,-38.97,2.62,19-SEP-2019,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE
HEROMOTOCO,2476.75,2483.75,2424.00,2427.55,-38.75,-1.57,3380.00,2225.60,-19.06,-10.14,31-DEC-2999,-
HEXAWARE,346.00,346.20,338.00,339.20,-5.90,-1.71,455.70,306.00,8.89,3.37,04-NOV-2019,INTERIM DIVIDEND -RS 2 PER SH
HINDALCO,203.00,204.50,196.55,199.80,-4.30,-2.11,237.90,171.10,-7.52,8.41,31-DEC-2999,-
HINDPETRO,291.90,292.50,280.55,281.65,-9.05,-3.11,333.50,211.20,17.89,-9.16,31-DEC-2999,-
HINDUNILVR,2084.00,2084.50,2031.00,2034.00,-53.15,-2.55,2190.00,1650.00,17.42,-5.84,23-OCT-2019,INTERIM DIVIDEND - RS 11 PER SH
IBULHSGFIN,354.45,376.70,268.10,290.00,-44.75,-13.37,919.40,165.80,-58.11,32.60,18-NOV-2019,INTERIM DIVIDEND - RS 7 PER SHARE
ICICIBANK,516.00,516.50,510.30,512.50,-6.65,-1.28,520.00,336.00,42.76,7.35,31-DEC-2999,-
ICICIPRULI,498.15,506.25,498.15,502.50,4.35,0.87,537.30,277.35,56.27,-0.34,31-OCT-2019,INTERIM DIVIDEND - RE 0.80 PER SH
IDEA,6.70,7.20,6.65,6.80,0.20,3.03,23.61,2.40,-82.01,76.62,31-DEC-2999,-
IDFCFIRSTB,44.45,47.95,44.30,46.90,2.60,5.87,56.85,35.35,-,-,31-DEC-2999,-
IGL,413.00,417.65,410.20,415.85,3.95,0.96,438.70,241.00,55.46,8.92,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE
INDIGO,1426.15,1474.90,1420.35,1444.20,10.65,0.74,1898.85,956.35,39.28,2.44,31-DEC-2999,-
INDUSINDBK,1556.00,1581.60,1552.05,1569.00,0.75,0.05,1834.40,1188.05,-2.75,19.29,31-DEC-2999,-
INFRATEL,250.00,283.80,238.00,273.80,17.20,6.70,335.00,176.35,5.45,41.76,31-DEC-2999,-
INFY,700.90,702.30,691.55,695.80,-6.05,-0.86,847.00,615.10,4.41,6.94,23-OCT-2019,INTERIM DIVIDEND - RS 8 PER SHARE
IOC,133.00,133.70,130.70,130.90,-1.65,-1.24,170.75,116.25,-2.35,-9.32,31-DEC-2999,-
ITC,246.75,247.40,245.00,245.95,-0.75,-0.30,310.00,234.05,-12.85,-2.88,31-DEC-2999,-
JINDALSTEL,164.35,164.75,158.10,160.25,-4.80,-2.91,191.20,91.05,5.53,42.25,19-SEP-2019,ANNUAL GENERAL MEETING
JSWSTEEL,262.60,269.50,260.05,261.60,-2.35,-0.89,325.00,201.75,-15.30,11.68,31-DEC-2999,-
JUBLFOOD,1619.90,1632.40,1577.20,1615.00,-11.00,-0.68,1650.00,1077.90,29.74,2.24,16-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE
JUSTDIAL,564.10,574.15,559.55,566.80,-2.15,-0.38,824.80,453.85,14.90,-5.55,31-DEC-2999,-
KOTAKBANK,1610.00,1622.00,1592.30,1608.00,-7.00,-0.43,1683.95,1157.00,38.59,2.06,31-DEC-2999,-
LICHSGFIN,465.90,482.80,462.15,462.60,-5.10,-1.09,587.00,353.85,-0.58,16.27,31-DEC-2999,-
LT,1350.00,1350.20,1328.00,1331.45,-18.45,-1.37,1607.00,1201.10,-5.13,-8.87,31-DEC-2999,-
L&TFH,116.05,123.50,116.05,120.70,6.20,5.41,159.25,78.60,-13.17,27.19,31-DEC-2999,-
LUPIN,803.50,815.00,796.30,799.55,-4.80,-0.60,906.00,646.30,-7.74,8.91,31-DEC-2999,-
MANAPPURAM,158.95,160.75,153.40,154.25,-4.00,-2.53,173.80,77.65,85.29,-6.43,19-NOV-2019,INTERIM DIVIDEND - RS 0.55 PER SHARE
MARICO,358.20,361.75,355.00,359.75,-1.40,-0.39,404.00,324.25,0.07,-1.87,04-NOV-2019,INTERIM DIVIDEND - RS 2.75 PER SH
MARUTI,7254.00,7293.85,7132.00,7253.35,-7.90,-0.11,7949.75,5446.05,-4.24,-6.06,31-DEC-2999,-
MCDOWELL-N,605.00,613.65,598.55,606.20,1.50,0.25,676.60,496.80,-4.57,-1.61,31-DEC-2999,-
MFSL,510.00,517.20,502.70,504.20,-7.20,-1.41,521.10,360.90,17.24,21.71,16-SEP-2019,ANNUAL GENERAL MEETING
MGL,1045.00,1053.75,1029.10,1045.00,1.80,0.17,1067.25,754.15,27.44,6.03,31-DEC-2999,-
MINDTREE,700.10,706.90,696.35,700.00,-3.35,-0.48,995.00,652.05,-19.98,-1.82,24-OCT-2019,INTERIM DIVIDEND - RS 3 PER EQ SHARE
M&M,543.00,543.80,528.25,529.65,-12.30,-2.27,814.00,502.55,-29.23,-13.43,31-DEC-2999,-
M&MFIN,358.30,363.90,346.50,352.10,-4.00,-1.12,484.00,284.85,-16.25,-0.65,31-DEC-2999,-
MOTHERSUMI,133.15,135.75,128.15,128.20,-6.15,-4.58,179.10,91.10,-19.50,4.57,31-DEC-2999,-
MRF,63855.05,64116.20,63200.10,63350.00,-632.60,-0.99,69900.00,51586.30,-7.91,-2.79,21-NOV-2019,INTERIM DIVIDEND - RS 3 PER SHARE
MUTHOOTFIN,693.50,695.55,675.55,680.00,-9.25,-1.34,737.25,389.30,50.33,-3.85,19-SEP-2019,ANNUAL GENERAL MEETING
NATIONALUM,45.00,45.20,43.90,44.50,-0.85,-1.87,68.80,36.90,-31.22,1.95,11-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE
NBCC,36.55,39.40,36.35,38.70,2.25,6.17,68.30,28.50,-30.46,8.40,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.65 PER SHARE
NCC,58.70,62.25,58.55,59.40,0.80,1.37,119.20,45.40,-31.49,4.58,31-DEC-2999,-
NESTLEIND,14699.00,14699.00,14411.00,14460.00,-199.55,-1.36,15146.90,10031.65,35.16,-1.63,31-DEC-2999,-
NIITTECH,1504.90,1516.50,1482.05,1488.15,-16.75,-1.11,1595.50,1030.60,35.69,-1.92,04-NOV-2019,INTERIM DIVIDEND - RS 10 PER SH
NMDC,104.50,104.50,101.40,102.25,-2.75,-2.62,120.55,74.80,8.83,-8.87,31-DEC-2999,-
NTPC,116.00,117.60,115.50,116.10,0.55,0.48,145.85,106.67,-19.07,-3.17,31-DEC-2999,-
OIL,155.95,156.00,153.05,153.60,-2.45,-1.57,204.65,139.65,-22.42,-5.74,31-DEC-2999,-
ONGC,133.05,133.45,130.50,131.35,-1.80,-1.35,178.90,115.55,-8.02,-7.60,31-DEC-2999,-
PAGEIND,22190.00,22422.30,21438.00,21975.00,-214.40,-0.97,27400.00,17150.00,-15.76,-8.60,21-NOV-2019,INTERIM DIVIDEND - RS 52 PER SHARE
PEL,1807.95,1858.00,1781.00,1807.00,1.50,0.08,2787.70,1316.00,-13.97,8.48,31-DEC-2999,-
PETRONET,276.15,276.15,269.10,271.50,-3.25,-1.18,299.00,203.40,25.78,-2.74,07-NOV-2019,INTERIM DIVIDEND - RS 5.50 PER SHARE
PFC,116.80,117.25,113.70,114.50,-2.40,-2.05,138.75,83.10,23.98,6.91,31-DEC-2999,-
PIDILITIND,1312.00,1320.00,1300.00,1302.00,-8.60,-0.66,1493.50,1046.20,12.29,-4.31,31-DEC-2999,-
PNB,67.05,67.70,65.35,65.65,-1.30,-1.94,99.90,55.70,-5.68,5.97,31-DEC-2999,-
POWERGRID,195.40,195.90,192.10,193.60,-2.55,-1.30,216.25,172.50,5.05,-3.71,31-DEC-2999,-
PVR,1789.40,1829.00,1775.25,1806.00,17.05,0.95,1898.00,1345.25,23.54,0.88,31-DEC-2999,-
RAMCOCEM,804.65,821.50,794.50,800.30,-4.35,-0.54,845.00,555.75,33.43,6.85,31-DEC-2999,-
RBLBANK,381.90,385.75,366.30,373.50,-7.50,-1.97,716.40,230.55,-31.25,35.13,31-DEC-2999,-
RECLTD,137.50,139.00,136.55,138.00,-0.50,-0.36,169.55,98.75,24.49,1.25,31-DEC-2999,-
RELIANCE,1581.95,1581.95,1547.85,1553.00,-27.30,-1.73,1584.15,1055.00,34.73,5.86,31-DEC-2999,-
SAIL,39.90,40.30,39.00,39.25,-0.65,-1.63,60.20,29.55,-29.15,6.08,31-DEC-2999,-
SBIN,348.85,348.85,340.60,342.00,-7.30,-2.09,373.80,244.35,20.19,21.86,31-DEC-2999,-
SHREECEM,21230.00,21299.20,20915.20,21049.00,-136.40,-0.64,22399.90,14855.00,31.56,3.48,31-DEC-2999,-
SIEMENS,1486.25,1498.00,1461.05,1467.25,-19.60,-1.32,1717.45,900.10,61.35,-10.59,31-DEC-2999,-
SRF,3213.20,3222.95,3180.00,3199.60,-25.35,-0.79,3272.90,1906.00,51.59,13.48,31-DEC-2999,-
SRTRANSFIN,1140.95,1149.00,1115.50,1127.20,-17.45,-1.52,1297.00,909.05,-0.53,-1.86,07-NOV-2019,INTERIM DIVIDEND-RS 5 PER SH
SUNPHARMA,458.40,460.55,447.45,449.00,-8.35,-1.83,502.40,344.55,-7.61,6.41,31-DEC-2999,-
SUNTV,483.10,494.40,478.10,482.05,-4.85,-1.00,650.70,389.35,-21.06,-8.74,21-NOV-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
TATACHEM,671.20,681.85,667.90,675.20,4.00,0.60,727.40,543.00,-2.50,8.44,31-DEC-2999,-
TATAELXSI,801.00,816.50,799.15,806.50,7.15,0.89,1056.00,592.25,-20.67,0.47,31-DEC-2999,-
TATAGLOBAL,318.00,324.90,314.55,322.60,3.90,1.22,324.90,177.05,49.35,13.83,31-DEC-2999,-
TATAMOTORS,164.80,167.75,160.60,160.95,-3.85,-2.34,239.35,106.00,-7.74,-6.67,31-DEC-2999,-
TATAMTRDVR,72.75,74.25,71.00,71.40,-1.90,-2.59,116.25,48.30,-25.27,-9.85,31-DEC-2999,-
TATAPOWER,56.80,58.95,56.55,57.45,1.00,1.77,83.85,50.35,-22.78,-1.71,31-DEC-2999,-
TATASTEEL,427.45,429.50,421.10,426.70,-5.40,-1.25,561.65,320.35,-18.56,9.35,31-DEC-2999,-
TCS,2085.00,2085.00,2045.80,2051.65,-25.70,-1.24,2296.20,1808.00,3.41,-6.52,17-OCT-2019,INTERIM DIVIDEND - RS 5 PER SHARE AND SPECIAL DIVIDEND - RS 40 PER SHARE
TECHM,766.00,772.35,758.40,760.00,-6.25,-0.82,846.50,607.15,8.96,0.70,31-DEC-2999,-
TITAN,1173.00,1178.55,1155.00,1157.60,-11.90,-1.02,1389.95,868.20,25.42,-13.13,31-DEC-2999,-
TORNTPHARM,1873.20,1920.50,1865.05,1898.50,14.65,0.78,1962.00,1452.00,12.07,5.54,31-DEC-2999,-
