Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1628.00,1641.40,1623.35,1636.70,13.70,0.84,1723.40,1255.65,5.91,2.13,05-MAR-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE
ADANIENT,135.00,135.65,130.25,131.00,-3.75,-2.78,236.65,100.85,-6.79,-4.73,31-DEC-2999,-
ADANIPORTS,387.30,393.70,385.65,391.00,1.75,0.45,415.65,292.10,-1.54,6.74,31-DEC-2999,-
ADANIPOWER,50.80,51.35,47.80,48.45,-2.25,-4.44,58.35,15.15,99.38,3.30,31-DEC-2999,-
AJANTPHARM,1025.20,1037.30,1006.30,1032.70,2.80,0.27,1383.40,895.85,-23.97,3.17,11-FEB-2019,BUY BACK
ALBK,49.50,50.05,48.70,48.95,-0.70,-1.41,59.00,33.15,3.82,-6.49,31-DEC-2999,-
AMARAJABAT,670.90,675.00,664.05,670.00,1.05,0.16,908.45,650.00,-20.21,-7.13,31-DEC-2999,-
AMBUJACEM,223.00,226.55,221.75,226.00,5.45,2.47,252.75,188.35,-6.80,-2.69,27-FEB-2019,DIVIDEND - RS 1.50 PER SHARE
APOLLOHOSP,1243.00,1254.90,1226.30,1235.10,-11.15,-0.89,1387.25,910.10,14.69,7.05,31-DEC-2999,-
APOLLOTYRE,208.00,210.10,205.25,208.75,-0.30,-0.14,300.70,192.05,-27.00,-2.45,31-DEC-2999,-
ARVIND,87.70,87.85,85.25,85.95,-1.70,-1.94,444.45,72.80,-79.42,-2.27,31-DEC-2999,-
ASHOKLEY,89.75,90.15,88.10,88.15,-1.70,-1.89,167.50,77.60,-45.80,3.16,31-DEC-2999,-
ASIANPAINT,1450.00,1459.35,1436.00,1448.00,0.05,0.00,1529.85,1118.00,25.29,-1.63,31-DEC-2999,-
AUROPHARMA,800.50,835.60,799.05,835.00,39.45,4.96,835.60,527.00,32.69,7.73,15-FEB-2019,INTERIM DIVIDEND - RS 1.25 PER SHARE
AXISBANK,762.00,765.15,747.25,757.40,16.50,2.23,787.65,481.25,53.40,-0.25,31-DEC-2999,-
BAJAJ-AUTO,3080.00,3095.00,3030.00,3044.70,-43.35,-1.40,3194.95,2420.00,5.54,2.17,31-DEC-2999,-
BAJAJFINSV,7685.10,7747.20,7625.00,7699.90,30.40,0.40,7747.20,4955.00,44.21,10.31,31-DEC-2999,-
BAJFINANCE,3089.00,3105.00,3045.00,3092.00,11.00,0.36,3130.00,1818.00,63.42,4.98,31-DEC-2999,-
BALKRISIND,940.00,943.20,920.95,937.00,1.30,0.14,1453.55,744.00,-26.22,-2.68,15-FEB-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,123.20,124.00,121.65,123.20,1.20,0.98,157.50,91.00,-10.30,1.36,31-DEC-2999,-
BANKINDIA,92.40,92.75,91.25,92.05,0.15,0.16,110.15,73.20,-6.45,-10.76,31-DEC-2999,-
BATAINDIA,1465.85,1469.70,1443.00,1446.60,-19.25,-1.31,1473.50,735.30,85.24,5.47,31-DEC-2999,-
BEL,87.50,88.55,86.55,87.95,0.90,1.03,135.80,72.50,-32.89,-4.51,27-MAR-2019,INTERIM DIVIDEND - RE 0.70 PER SHARE
BEML,910.50,913.55,890.75,894.30,-10.00,-1.11,1198.40,521.25,-14.12,-7.40,28-MAR-2019,INTERIM DIVIDEND - RS 4.50 PER SHARE
BERGEPAINT,323.20,326.35,317.50,320.00,-3.10,-0.96,349.90,260.00,15.65,-1.19,31-DEC-2999,-
BHARATFIN,1046.00,1065.50,1038.30,1055.00,10.45,1.00,1234.80,823.75,-7.56,-6.80,31-DEC-2999,-
BHARATFORG,482.10,483.45,473.05,475.80,-4.75,-0.99,784.80,456.10,-38.33,-3.11,31-DEC-2999,-
BHARTIARTL,330.00,335.70,322.30,325.25,-3.25,-0.99,392.11,253.99,-20.52,0.85,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,72.35,73.20,70.55,71.20,-1.05,-1.45,89.50,56.20,-17.54,-0.14,12-FEB-2019,INTERIM DIVIDEND - RE 0.80 PER SHARE
BIOCON,628.00,628.00,611.10,621.25,1.05,0.17,718.00,543.30,-6.37,3.15,31-DEC-2999,-
BOSCHLTD,17996.35,18099.25,17862.85,18001.10,4.75,0.03,22400.00,17152.00,-8.38,0.23,31-DEC-2999,-
