Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
HEROMOTOCO,2499.00,2499.00,2360.00,2380.10,-132.20,-5.26,3670.00,2360.00,-32.11,-14.65,31-DEC-2999,-
HEXAWARE,360.25,365.80,356.80,359.50,-5.05,-1.39,557.70,294.30,-19.39,4.95,07-MAY-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
HINDALCO,197.00,200.50,195.00,197.50,-1.40,-0.70,259.75,182.20,-10.35,1.36,31-DEC-2999,-
HINDPETRO,284.00,285.00,276.30,283.30,-4.20,-1.46,333.50,163.00,10.47,-8.05,06-JUN-2019,DIVIDEND RS - 9.40 PER SHARE
HINDUNILVR,1784.75,1784.75,1748.70,1751.00,-40.40,-2.26,1869.50,1477.20,3.73,-4.72,20-JUN-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 13 PER SHARE
HINDZINC,233.50,233.50,228.55,229.05,-5.60,-2.39,309.45,225.85,-16.44,-5.90,31-DEC-2999,-
IBULHSGFIN,734.00,736.00,677.10,690.50,-36.85,-5.07,1397.00,487.85,-38.99,-6.16,07-MAY-2019,INTERIM DIVIDEND - RS 10 PER SHARE
ICICIBANK,434.00,435.35,422.00,426.75,-9.60,-2.20,443.90,256.50,57.15,3.69,31-DEC-2999,-
ICICIPRULI,396.00,399.00,379.20,381.70,-16.75,-4.20,428.00,277.35,3.99,0.71,31-DEC-2999,-
IDBI,35.50,35.65,33.90,34.40,-1.55,-4.31,65.75,33.25,-28.48,-7.77,31-DEC-2999,-
IDEA,11.95,11.95,11.40,11.45,-0.55,-4.58,36.90,11.10,-78.99,-14.87,31-DEC-2999,-
IDFCFIRSTB,43.10,43.45,41.80,42.10,-1.30,-3.00,56.85,32.70,-,-,31-DEC-2999,-
IGL,297.00,302.45,295.05,297.90,0.45,0.15,350.80,215.20,16.92,-14.63,31-DEC-2999,-
INDIGO,1562.00,1578.95,1548.95,1572.70,10.70,0.69,1716.00,691.00,46.18,-5.87,31-DEC-2999,-
INDUSINDBK,1515.25,1544.95,1470.85,1476.35,-56.20,-3.67,2038.00,1333.15,-24.85,-3.04,31-DEC-2999,-
INFRATEL,262.00,265.00,261.20,262.55,1.55,0.59,335.00,242.25,-13.48,-4.00,07-MAY-2019,INTERIM DIVIDEND - RS 7.50 PER SHARE
INFY,716.45,724.95,712.30,717.20,-0.80,-0.11,773.00,599.85,-44.14,-2.50,13-JUN-2019,ANNUAL GENERAL MEETING/DIVIDEND- RS 10.50 PER SHARE
IOC,150.90,151.35,143.45,144.20,-8.00,-5.26,171.80,105.25,-6.97,-11.83,31-DEC-2999,-
ITC,280.15,282.90,275.80,276.95,-2.50,-0.89,322.95,263.50,1.63,0.44,22-MAY-2019,DIVIDEND - RS 5.75 PER SHARE
JINDALSTEL,132.75,137.90,131.50,135.60,1.50,1.12,246.45,123.25,-35.99,-13.85,31-DEC-2999,-
JSWSTEEL,262.10,267.20,257.90,263.00,0.45,0.17,427.55,252.65,-15.28,-1.39,08-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE
JUBLFOOD,1232.00,1252.35,1213.65,1243.40,8.65,0.70,1578.00,977.00,-12.22,-6.46,31-DEC-2999,-
