Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1535.00,1539.95,1487.10,1489.50,-36.00,-2.36,1769.05,1255.65,14.54,-10.43,31-DEC-2999,-
ADANIENT,148.45,149.75,140.60,141.50,-6.45,-4.36,236.65,100.85,5.32,-6.88,31-DEC-2999,-
ADANIPORTS,423.50,424.85,400.70,407.40,-14.00,-3.32,430.60,292.10,9.94,1.82,31-DEC-2999,-
ADANIPOWER,47.00,47.60,44.30,46.25,-0.60,-1.28,58.35,15.15,153.42,-1.07,31-DEC-2999,-
AJANTPHARM,936.10,947.25,911.00,920.00,-20.65,-2.20,1294.00,900.10,-15.89,-10.41,31-DEC-2999,-
ALBK,40.20,40.60,38.90,40.00,-0.15,-0.37,59.00,33.15,-10.61,-13.70,31-DEC-2999,-
AMARAJABAT,600.30,606.50,575.50,580.40,-19.10,-3.19,908.45,575.50,-23.89,-9.43,31-DEC-2999,-
AMBUJACEM,211.25,212.45,205.30,206.40,-3.60,-1.71,245.40,188.35,1.72,-7.94,31-DEC-2999,-
APOLLOHOSP,1357.00,1383.00,1341.00,1351.00,-3.70,-0.27,1406.00,910.10,28.31,12.74,31-DEC-2999,-
APOLLOTYRE,194.95,195.85,186.80,191.00,-2.90,-1.50,299.50,174.00,-29.62,4.60,31-DEC-2999,-
ARVIND,69.50,70.15,56.55,58.35,-10.70,-15.50,438.70,56.55,-85.85,-27.24,31-DEC-2999,-
ASHOKLEY,84.15,84.80,81.75,82.90,-0.75,-0.90,143.50,77.60,-40.32,-5.31,31-DEC-2999,-
ASIANPAINT,1382.00,1396.40,1372.00,1381.50,1.45,0.11,1529.85,1118.00,7.76,0.55,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,626.00,626.50,607.50,610.15,-12.10,-1.94,838.00,565.05,-0.60,-8.14,31-DEC-2999,-
AXISBANK,780.80,789.00,763.35,773.20,-2.55,-0.33,827.75,498.75,47.97,-1.18,31-DEC-2999,-
BAJAJ-AUTO,2870.00,2884.00,2803.00,2822.95,-32.65,-1.14,3194.95,2420.00,-2.50,-6.10,31-DEC-2999,-
BAJAJFINSV,8285.00,8310.00,8191.30,8229.95,-16.30,-0.20,8388.00,4955.00,37.26,-0.06,31-DEC-2999,-
BAJFINANCE,3539.00,3548.00,3500.10,3526.65,17.35,0.49,3569.80,1912.20,57.22,3.50,31-DEC-2999,-
BALKRISIND,742.20,749.00,733.20,740.05,0.90,0.12,1453.55,727.15,-32.97,-4.99,31-DEC-2999,-
BANKBARODA,118.00,119.20,114.30,116.00,-0.50,-0.43,157.50,91.00,-11.04,-5.61,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,84.95,85.65,81.90,82.65,-1.65,-1.96,110.15,73.20,-15.23,-8.06,31-DEC-2999,-
BATAINDIA,1398.00,1407.75,1382.00,1397.00,6.85,0.49,1479.95,779.50,71.10,2.89,31-DEC-2999,-
BEL,110.55,112.00,106.05,107.75,-2.05,-1.87,124.40,72.50,-5.73,8.51,27-MAR-2019,INTERIM DIVIDEND - RE 0.70 PER SHARE
BEML,862.90,865.00,777.35,781.00,-74.25,-8.68,1034.90,521.25,-10.51,-14.73,28-MAR-2019,INTERIM DIVIDEND - RS 4.50 PER SHARE
BERGEPAINT,319.50,320.90,313.45,317.60,-2.10,-0.66,349.90,260.00,10.70,1.37,31-DEC-2999,-
BHARATFIN,894.00,904.55,857.05,859.00,-28.80,-3.24,1234.80,823.75,-27.45,-6.83,31-DEC-2999,-
BHARATFORG,439.00,443.40,430.60,434.55,-4.95,-1.13,693.90,430.60,-31.95,-10.60,31-DEC-2999,-
BHARTIARTL,346.50,348.00,334.30,340.20,-4.95,-1.43,366.95,253.99,-8.28,0.03,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,69.00,69.45,66.40,67.70,-0.90,-1.31,83.30,56.20,-10.86,2.65,31-DEC-2999,-
BIOCON,244.20,252.50,242.70,250.35,7.15,2.94,359.00,239.00,-59.64,-52.14,31-DEC-2999,-
BOSCHLTD,16510.40,16540.15,16212.10,16295.00,-143.40,-0.87,22400.00,16212.10,-9.30,-7.53,31-DEC-2999,-
BPCL,385.65,386.75,376.10,378.05,-7.50,-1.95,429.15,238.55,-10.65,-3.51,31-DEC-2999,-
BRITANNIA,2872.00,2904.50,2850.00,2865.00,-2.25,-0.08,3467.18,2615.85,-52.83,2.28,31-DEC-2999,-
BSOFT,89.90,92.00,88.15,91.15,1.95,2.19,314.50,80.15,-,-,31-DEC-2999,-
CADILAHC,232.10,239.00,231.80,237.80,3.85,1.65,432.50,231.80,-40.62,-5.09,31-DEC-2999,-
CANBK,262.00,265.35,254.80,258.00,-2.10,-0.81,302.30,204.75,-3.62,-2.92,31-DEC-2999,-
CANFINHOME,347.30,363.00,346.00,348.50,4.70,1.37,377.00,216.50,-0.39,-1.86,31-DEC-2999,-
CASTROLIND,141.35,142.20,137.65,138.50,-2.35,-1.67,177.80,134.95,-18.98,-5.53,09-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.75 PER SHARE
CEATLTD,910.55,919.00,888.10,895.00,-13.80,-1.52,1455.00,888.10,-32.58,-11.23,31-DEC-2999,-
CENTURYTEX,952.40,961.50,903.80,934.00,-10.55,-1.12,1063.00,705.50,1.65,-5.34,31-DEC-2999,-
CESC,757.25,775.00,751.55,755.00,-2.25,-0.30,1038.85,642.00,-22.83,3.93,31-DEC-2999,-
CGPOWER,28.50,28.75,26.50,27.35,-1.15,-4.04,65.20,20.25,-50.23,-29.60,31-DEC-2999,-
CHENNPETRO,209.05,210.95,207.20,208.00,-0.20,-0.10,344.95,196.80,-31.56,-2.51,31-DEC-2999,-
CHOLAFIN,290.70,293.25,278.00,282.95,-6.95,-2.40,329.98,207.60,-82.45,-80.18,31-DEC-2999,-
CIPLA,550.60,551.90,532.55,533.30,-14.30,-2.61,678.45,483.75,-12.07,-5.69,31-DEC-2999,-
COALINDIA,260.50,262.60,255.15,256.70,-3.65,-1.40,299.75,211.40,-6.38,7.99,22-MAR-2019,INTERIM DIVIDEND - RS 5.85 PER SHARE
COLPAL,1146.45,1157.85,1138.35,1146.35,4.45,0.39,1354.80,1018.30,-4.86,-1.87,04-JUN-2019,INTERIM DIVIDEND - RS 8 PER SHARE
CONCOR,529.00,538.90,527.45,531.80,4.35,0.82,564.00,433.60,-56.86,7.03,31-DEC-2999,-
CUMMINSIND,736.00,742.60,730.00,737.40,1.45,0.20,884.20,613.20,9.87,-3.74,31-DEC-2999,-
DABUR,387.00,387.00,379.10,381.15,-6.55,-1.69,490.65,357.55,-1.36,-0.33,31-DEC-2999,-
DCBBANK,224.85,227.60,221.45,223.55,1.30,0.58,242.00,139.85,26.59,-3.02,23-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
DHFL,62.25,74.65,60.15,62.90,-2.05,-3.16,691.50,60.15,-89.88,-49.62,31-DEC-2999,-
DISHTV,27.25,27.95,26.20,27.25,0.15,0.55,74.65,19.10,-62.21,-10.95,31-DEC-2999,-
DIVISLAB,1550.00,1554.85,1533.30,1540.05,-2.95,-0.19,1774.95,994.95,39.95,-7.21,31-DEC-2999,-
DLF,174.90,179.50,171.80,176.50,2.80,1.61,223.50,142.00,-11.55,1.58,31-DEC-2999,-
DRREDDY,2584.00,2590.85,2537.50,2549.00,-42.25,-1.63,2964.00,1872.95,6.84,-1.56,31-DEC-2999,-
EICHERMOT,19830.00,20099.00,19700.00,19750.00,18.15,0.09,30265.00,18205.00,-34.46,-7.26,31-DEC-2999,-
ENGINERSIN,115.00,115.35,111.10,113.00,-0.80,-0.70,139.65,100.15,-13.18,-2.21,31-DEC-2999,-
EQUITAS,135.60,136.45,130.60,132.00,-2.40,-1.79,163.25,77.85,-12.26,-2.83,31-DEC-2999,-
ESCORTS,540.00,546.65,519.30,525.50,-10.70,-2.00,943.55,519.30,-42.41,-10.73,31-DEC-2999,-
EXIDEIND,200.50,202.20,195.95,196.60,-3.55,-1.77,304.70,194.30,-21.98,-8.52,31-DEC-2999,-
FEDERALBNK,106.35,106.35,103.80,104.20,-0.70,-0.67,109.65,67.05,24.05,0.58,31-DEC-2999,-
GAIL,310.00,311.00,304.75,307.60,-0.45,-0.15,399.40,295.25,-9.02,-11.00,31-DEC-2999,-
GLENMARK,527.00,528.05,505.10,508.95,-18.20,-3.45,711.90,505.10,-12.45,-11.75,31-DEC-2999,-
GMRINFRA,15.00,15.05,14.05,14.80,-0.05,-0.34,21.50,12.95,-6.92,-5.73,31-DEC-2999,-
GODFRYPHLP,859.00,881.40,852.20,855.00,-0.95,-0.11,1209.90,640.25,16.88,-19.41,31-DEC-2999,-
GODREJCP,672.05,678.15,657.00,661.65,-10.40,-1.55,978.67,626.50,-42.96,-2.40,10-MAY-2019,INTERIM DIVIDEND - RS 2 PER SHARE
GODREJIND,455.25,459.90,443.00,447.60,-7.65,-1.68,657.60,434.50,-27.14,-7.44,31-DEC-2999,-
GRASIM,883.00,888.40,872.85,883.10,3.45,0.39,1093.00,689.10,-13.43,-0.81,31-DEC-2999,-
GSFC,95.35,97.25,93.05,93.50,-1.85,-1.94,124.80,85.50,-18.70,-4.45,31-DEC-2999,-
HAVELLS,775.15,788.00,775.15,783.65,9.20,1.19,797.40,520.10,43.17,3.72,31-DEC-2999,-
HCLTECH,1090.10,1096.60,1077.80,1083.45,-6.15,-0.56,1187.60,899.10,16.10,0.92,16-MAY-2019,INTERIM DIVIDEND - RS 2 PER SHARE
HDFC,2160.05,2186.40,2158.55,2180.90,27.90,1.30,2235.00,1644.50,19.60,2.75,31-DEC-2999,-
HDFCBANK,2427.00,2444.90,2416.70,2435.45,18.20,0.75,2470.00,1885.00,20.62,0.13,31-DEC-2999,-
HEROMOTOCO,2680.00,2680.00,2572.55,2610.00,-57.80,-2.17,3702.50,2475.00,-28.81,-3.81,31-DEC-2999,-
HEXAWARE,363.00,366.80,360.65,365.70,6.10,1.70,557.70,294.30,-16.12,2.42,07-MAY-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
HINDALCO,192.25,196.25,188.40,190.00,0.05,0.03,259.75,182.20,-17.75,-4.40,31-DEC-2999,-
HINDPETRO,301.85,303.00,291.20,296.00,-5.70,-1.89,333.50,163.00,-8.10,0.85,06-JUN-2019,DIVIDEND RS - 9.40 PER SHARE
HINDUNILVR,1816.80,1824.95,1802.00,1814.05,4.45,0.25,1869.50,1477.20,12.78,2.34,31-DEC-2999,-
HINDZINC,232.80,235.35,230.10,231.95,0.35,0.15,309.45,230.10,-22.14,-11.16,31-DEC-2999,-
IBULHSGFIN,620.00,635.80,487.85,558.00,-51.80,-8.49,1397.00,487.85,-53.50,-31.50,07-MAY-2019,INTERIM DIVIDEND - RS 10 PER SHARE
ICICIBANK,423.75,426.00,417.35,421.10,-1.05,-0.25,439.20,256.50,43.72,3.29,31-DEC-2999,-
ICICIPRULI,361.70,367.65,361.40,366.00,6.30,1.75,428.00,277.35,-7.92,2.43,31-DEC-2999,-
IDBI,35.00,35.30,33.70,33.75,-1.05,-3.02,65.75,33.25,-43.09,-10.24,31-DEC-2999,-
IDEA,11.95,12.25,11.10,11.35,-0.60,-5.02,38.07,11.10,-81.77,-9.56,29-MAR-2019,RIGHTS 87:38 @ PREMIUM OF RS 2.50 PER SHARE
IDFC,35.20,35.25,33.60,34.50,-0.35,-1.00,53.55,31.60,-30.37,-8.49,31-DEC-2999,-
IDFCFIRSTB,41.20,41.80,39.80,40.60,-0.35,-0.85,56.85,32.70,-,-,31-DEC-2999,-
IFCI,8.25,8.35,7.40,7.65,-0.65,-7.83,18.25,7.40,-53.78,-24.63,31-DEC-2999,-
IGL,341.00,343.00,332.15,335.90,-3.70,-1.09,350.80,215.20,29.54,7.13,31-DEC-2999,-
INDIACEM,94.80,96.40,90.50,91.70,-2.55,-2.71,128.00,74.75,-19.56,-10.71,31-DEC-2999,-
INDIANB,259.95,262.05,249.55,253.80,-4.55,-1.76,379.70,200.00,-28.71,-0.24,31-DEC-2999,-
INDIGO,1673.95,1683.00,1590.15,1615.10,-47.55,-2.86,1716.00,691.00,30.11,11.01,31-DEC-2999,-
INDUSINDBK,1424.80,1439.00,1370.10,1371.00,-38.00,-2.70,2038.00,1333.15,-30.33,-8.27,31-DEC-2999,-
INFIBEAM,44.40,45.00,42.90,43.90,0.40,0.92,242.70,27.50,-71.34,-4.15,31-DEC-2999,-
INFRATEL,269.40,273.00,267.00,271.55,1.45,0.54,335.00,242.25,-6.78,0.74,07-MAY-2019,INTERIM DIVIDEND - RS 7.50 PER SHARE
INFY,752.50,755.40,748.60,751.95,1.80,0.24,773.00,599.85,-40.67,4.09,13-JUN-2019,ANNUAL GENERAL MEETING/DIVIDEND- RS 10.50 PER SHARE
IOC,155.95,157.55,152.80,154.35,-3.30,-2.09,177.20,105.25,-11.24,-2.09,27-MAR-2019,INTERIM DIVIDEND - RS 1.50 PER SHARE
IRB,101.30,101.70,89.55,93.15,-11.25,-10.78,230.35,89.55,-58.79,-27.25,31-DEC-2999,-
ITC,275.70,278.90,275.60,277.65,2.55,0.93,322.95,259.00,4.95,-9.56,22-MAY-2019,DIVIDEND - RS 5.75 PER SHARE
JETAIRWAYS,36.45,36.45,28.60,33.00,-7.50,-18.52,399.20,28.60,-91.56,-74.89,31-DEC-2999,-
JINDALSTEL,157.00,159.90,142.75,145.80,-5.75,-3.79,246.45,123.25,-36.48,-11.72,31-DEC-2999,-
JISLJALEQS,25.80,26.60,18.80,18.95,-8.45,-30.84,98.40,18.80,-80.53,-64.68,31-DEC-2999,-
JSWSTEEL,264.00,267.65,256.00,262.00,-1.55,-0.59,427.55,254.90,-19.91,-8.23,31-DEC-2999,-
JUBLFOOD,1279.70,1289.00,1253.30,1259.00,-10.60,-0.83,1578.00,977.00,-55.21,-3.83,31-DEC-2999,-
JUSTDIAL,738.00,740.85,706.35,720.05,-12.05,-1.65,819.70,409.15,27.43,7.70,31-DEC-2999,-
KAJARIACER,583.00,585.00,568.25,581.00,1.75,0.30,649.65,310.00,12.01,-5.08,31-DEC-2999,-
KOTAKBANK,1473.00,1504.80,1471.90,1502.00,40.15,2.75,1555.90,1002.20,14.19,-0.04,31-DEC-2999,-
KSCL,450.00,454.30,430.20,451.00,-0.75,-0.17,660.70,368.80,-20.98,-5.52,31-DEC-2999,-
KTKBANK,102.40,103.45,99.70,100.60,-1.55,-1.52,141.25,92.65,-13.76,-13.98,31-DEC-2999,-
LICHSGFIN,543.15,556.65,533.40,542.30,2.50,0.46,583.80,387.60,8.32,1.94,31-DEC-2999,-
LT,1513.95,1530.00,1497.00,1505.00,-0.30,-0.02,1607.00,1182.50,13.74,3.69,31-DEC-2999,-
L&TFH,118.40,120.10,107.35,109.80,-7.25,-6.19,189.50,107.35,-33.21,-12.89,31-DEC-2999,-
LUPIN,710.90,712.00,697.20,703.40,-5.60,-0.79,986.10,697.20,-22.04,-7.39,31-DEC-2999,-
MANAPPURAM,143.10,143.75,132.70,135.75,-6.25,-4.40,143.90,66.25,31.41,8.21,27-MAY-2019,INTERIM DIVIDEND - RE 0.55 PER SHARE
MARICO,366.75,369.40,362.50,363.65,-1.40,-0.38,396.60,282.95,7.57,0.06,31-DEC-2999,-
MARUTI,6485.00,6560.65,6380.00,6389.95,-49.05,-0.76,9929.00,6317.70,-28.79,-9.81,31-DEC-2999,-
MCDOWELL-N,537.50,538.70,511.25,521.00,-14.30,-2.67,708.75,438.20,-21.74,-5.86,31-DEC-2999,-
MCX,796.25,806.00,793.95,800.45,13.25,1.68,917.95,643.50,0.89,-5.31,31-DEC-2999,-
MFSL,416.00,425.50,402.65,418.00,2.45,0.59,534.00,350.00,-11.04,0.80,31-DEC-2999,-
MGL,864.90,868.35,841.30,862.15,1.40,0.16,1067.25,756.00,3.93,-1.52,31-DEC-2999,-
