Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1575.90,1610.00,1563.70,1603.35,28.80,1.83,1678.90,1255.65,3.78,14.41,05-MAR-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE
ADANIENT,137.85,140.95,137.60,139.15,0.95,0.69,236.65,100.85,-17.64,13.22,31-DEC-2999,-
ADANIPORTS,343.20,352.90,342.15,351.60,9.45,2.76,415.65,292.10,-9.37,6.43,31-DEC-2999,-
ADANIPOWER,49.70,52.45,49.35,51.75,1.75,3.50,58.35,15.15,98.28,36.01,31-DEC-2999,-
AJANTPHARM,961.85,990.00,960.60,989.00,32.60,3.41,1457.75,895.85,-26.89,6.28,11-FEB-2019,BUY BACK
ALBK,57.40,59.00,56.70,57.45,-0.15,-0.26,59.00,33.15,23.55,35.66,31-DEC-2999,-
AMARAJABAT,745.00,748.00,740.00,746.00,7.30,0.99,908.45,683.05,-6.05,-4.77,31-DEC-2999,-
AMBUJACEM,226.75,234.70,226.45,232.60,6.45,2.85,252.75,188.35,-1.54,8.44,27-FEB-2019,DIVIDEND - RS 1.50 PER SHARE
APOLLOHOSP,1172.50,1211.80,1172.50,1203.40,31.50,2.69,1387.25,910.10,3.50,-7.72,31-DEC-2999,-
APOLLOTYRE,212.80,219.05,212.35,218.25,5.95,2.80,307.25,192.05,-16.06,9.59,31-DEC-2999,-
ARVIND,84.55,87.95,84.40,87.60,3.65,4.35,444.45,72.80,-77.93,5.16,31-DEC-2999,-
ASHOKLEY,90.80,93.60,90.10,93.40,3.75,4.18,167.50,77.60,-35.21,13.14,31-DEC-2999,-
ASIANPAINT,1389.20,1423.00,1385.00,1419.00,36.65,2.65,1490.60,1092.15,25.84,-3.43,31-DEC-2999,-
AUROPHARMA,739.55,752.75,737.00,752.40,16.55,2.25,830.45,527.00,27.70,-0.98,15-FEB-2019,INTERIM DIVIDEND - RS 1.25 PER SHARE
AXISBANK,733.30,744.90,730.60,736.60,3.20,0.44,744.90,481.25,41.50,1.50,31-DEC-2999,-
BAJAJ-AUTO,2970.00,3012.00,2936.90,3000.00,44.30,1.50,3194.95,2420.00,2.60,8.30,31-DEC-2999,-
BAJAJFINSV,6616.50,6812.10,6612.25,6800.00,183.05,2.77,7200.00,4800.00,39.79,9.52,31-DEC-2999,-
BAJFINANCE,2769.00,2807.95,2769.00,2791.00,22.70,0.82,2994.00,1594.20,71.43,2.94,31-DEC-2999,-
BALKRISIND,909.20,917.00,900.05,908.00,3.30,0.36,1453.55,744.00,-11.22,15.48,15-FEB-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,114.50,117.20,114.25,116.20,2.60,2.29,157.50,91.00,-13.51,6.41,31-DEC-2999,-
BANKINDIA,88.55,92.75,88.55,92.10,3.30,3.72,118.70,73.20,-7.58,0.22,31-DEC-2999,-
BATAINDIA,1331.05,1348.95,1325.10,1343.00,14.05,1.06,1358.00,673.90,87.77,11.86,31-DEC-2999,-
BEL,87.75,92.00,87.30,91.60,4.40,5.05,154.30,72.50,-37.79,11.84,31-DEC-2999,-
BEML,895.00,918.45,895.00,915.00,16.55,1.84,1219.80,521.25,-19.55,20.63,31-DEC-2999,-
BERGEPAINT,303.00,310.00,300.60,309.00,6.65,2.20,349.90,238.00,25.38,-0.53,31-DEC-2999,-
BHARATFIN,950.55,958.75,945.25,954.70,1.35,0.14,1234.80,823.75,-7.98,0.56,31-DEC-2999,-
BHARATFORG,509.90,537.00,506.65,534.00,26.65,5.25,784.80,456.10,-28.65,10.77,31-DEC-2999,-
BHARTIARTL,309.05,337.10,308.70,334.50,25.80,8.36,429.80,276.85,-16.65,8.34,31-DEC-2999,-
BHEL,67.70,70.60,67.20,70.00,2.90,4.32,91.15,56.20,-18.70,15.13,12-FEB-2019,INTERIM DIVIDEND - RE 0.80 PER SHARE
BIOCON,615.00,624.15,614.85,623.95,9.15,1.49,718.00,543.30,3.96,-1.67,31-DEC-2999,-
BOSCHLTD,18500.00,19170.00,18489.00,19050.00,620.15,3.36,22400.00,16975.00,5.28,-1.03,20-DEC-2018,BUYBACK
BPCL,369.45,388.50,368.80,387.00,19.65,5.35,468.40,238.55,-12.48,14.06,21-FEB-2019,INTERIM DIVIDEND RS - 11 PER SHARE
BRITANNIA,3086.00,3139.50,3066.50,3135.00,63.80,2.08,3467.18,2395.00,-35.34,-1.46,31-DEC-2999,-
BSOFT,104.50,106.75,104.00,105.60,1.70,1.64,314.50,92.60,-,-,24-JAN-2019,COMPOSITE SCHEME OF ARRANGEMENT
CADILAHC,326.95,333.85,325.00,333.80,8.85,2.72,432.50,305.95,-14.17,4.99,31-DEC-2999,-
CANBK,255.90,262.95,255.65,259.15,5.15,2.03,302.30,204.75,3.19,10.00,31-DEC-2999,-
CANFINHOME,289.00,309.45,289.00,307.95,20.50,7.13,557.50,216.50,-39.99,25.75,31-DEC-2999,-
CASTROLIND,161.80,165.00,161.80,164.95,3.15,1.95,213.95,134.95,-18.64,10.00,31-DEC-2999,-
CEATLTD,1133.60,1153.90,1126.45,1144.50,18.45,1.64,1665.90,985.85,-25.89,4.23,31-DEC-2999,-
CENTURYTEX,860.55,885.00,858.05,885.00,28.70,3.35,1274.00,705.50,-24.44,16.00,31-DEC-2999,-
CESC,688.00,724.10,688.00,722.80,34.55,5.02,1091.70,642.00,-26.56,-0.88,14-FEB-2019,INTERIM DIVIDEND - RS 17.50 PER SH
CGPOWER,34.90,39.45,34.25,38.80,2.60,7.18,84.95,20.25,-50.92,19.20,31-DEC-2999,-
CHENNPETRO,255.90,265.80,255.00,261.60,6.90,2.71,371.40,196.80,-24.03,13.96,31-DEC-2999,-
CHOLAFIN,1292.15,1370.00,1292.15,1369.95,80.75,6.26,1760.05,1038.00,-3.89,9.81,08-FEB-2019,INTERIM DIVIDEND - RS 4.50 PER SHARE
CIPLA,542.00,542.00,535.50,540.00,0.05,0.01,678.45,483.75,-6.57,0.94,31-DEC-2999,-
COALINDIA,236.70,245.00,235.25,243.15,8.25,3.51,308.75,211.40,-20.41,10.55,31-DEC-2999,-
COLPAL,1259.40,1277.65,1252.85,1277.00,25.30,2.02,1354.80,1018.30,23.14,-1.38,31-DEC-2999,-
CONCOR,490.00,500.80,487.55,492.55,4.10,0.84,569.48,433.60,-60.61,-3.51,04-FEB-2019,BONUS 1:4
CUMMINSIND,732.15,752.00,723.75,748.50,18.10,2.48,884.20,613.20,-4.45,-6.57,15-FEB-2019,INTERIM DIVIDEND - RS 7 PER SHARE
DABUR,434.30,444.00,432.70,443.60,11.40,2.64,490.65,311.95,36.47,-2.23,31-DEC-2999,-
DCBBANK,196.70,201.25,196.05,200.35,4.35,2.22,204.60,139.85,23.79,11.58,31-DEC-2999,-
DHFL,138.15,139.30,130.75,132.65,-7.20,-5.15,691.50,96.80,-73.17,11.14,31-DEC-2999,-
DISHTV,37.85,39.20,37.35,38.20,0.90,2.41,82.35,19.10,-43.95,39.42,31-DEC-2999,-
DIVISLAB,1650.10,1695.35,1650.10,1691.00,43.60,2.65,1725.00,980.50,68.64,2.28,31-DEC-2999,-
DLF,175.35,178.30,175.15,177.00,1.65,0.94,229.70,142.00,-18.96,10.38,31-DEC-2999,-
DRREDDY,2628.00,2656.00,2611.05,2630.00,14.95,0.57,2878.00,1872.95,22.70,-5.72,31-DEC-2999,-
EICHERMOT,21948.55,23145.20,21895.00,22944.00,1072.95,4.91,32236.70,18800.00,-17.21,8.72,31-DEC-2999,-
ENGINERSIN,111.50,116.45,111.35,115.10,4.60,4.16,170.20,100.15,-29.15,1.28,15-FEB-2019,INTERIM DIVIDEND - RS 3.25 PER SHARE
EQUITAS,125.70,133.25,125.00,132.00,7.30,5.85,173.65,77.85,-6.32,9.86,31-DEC-2999,-
ESCORTS,732.70,747.00,730.05,741.75,11.90,1.63,1017.70,541.00,-13.28,8.46,31-DEC-2999,-
EXIDEIND,223.30,228.25,223.30,226.15,1.70,0.76,304.70,194.30,8.13,3.26,31-DEC-2999,-
FEDERALBNK,87.75,92.30,87.75,91.25,3.70,4.23,105.00,67.05,-1.93,6.73,31-DEC-2999,-
GAIL,350.30,357.90,350.00,352.00,2.35,0.67,399.40,295.25,-19.35,3.59,12-FEB-2019,INTERIM DIVIDEND - RS 6.25 PER SHARE
GLENMARK,598.00,617.50,598.00,616.00,17.95,3.00,711.90,493.50,11.40,-3.98,31-DEC-2999,-
GMRINFRA,16.95,17.25,16.90,17.20,0.35,2.08,21.50,12.95,-0.86,13.53,31-DEC-2999,-
GODFRYPHLP,948.50,1043.30,943.10,1036.35,90.10,9.52,1043.30,640.25,28.15,7.06,31-DEC-2999,-
GODREJCP,710.50,726.80,710.50,722.50,14.50,2.05,978.67,634.00,-32.29,2.45,05-FEB-2019,INTERIM DIVIDEND - RS 2 PER SHARE
GODREJIND,515.00,524.00,512.75,523.65,12.55,2.46,657.60,434.50,-4.87,6.15,31-DEC-2999,-
GRASIM,809.00,831.95,808.25,827.55,20.50,2.54,1131.00,689.10,-24.81,12.82,31-DEC-2999,-
GSFC,99.00,103.00,98.90,101.90,3.25,3.29,137.60,85.50,-16.48,8.87,31-DEC-2999,-
HAVELLS,729.45,746.00,728.50,741.50,13.65,1.88,754.25,483.65,47.55,0.54,31-DEC-2999,-
HCLTECH,1007.00,1021.75,1001.00,1005.05,-4.00,-0.40,1125.05,880.05,5.72,-4.75,05-FEB-2019,INTERIM DIVIDEND - RS 2 PER SHARE
HDFC,1886.35,1903.80,1884.00,1902.80,18.75,1.00,2052.95,1644.50,5.78,-4.28,31-DEC-2999,-
HDFCBANK,2132.00,2143.70,2122.20,2127.50,-0.70,-0.03,2220.00,1832.00,14.82,0.23,31-DEC-2999,-
HEROMOTOCO,2745.00,2828.40,2745.00,2809.50,69.15,2.52,3825.00,2561.00,-21.67,-2.45,11-FEB-2019,INTERIM DIVIDEND -  RS 55 PER SHARE
HEXAWARE,346.10,348.10,335.70,336.40,-9.65,-2.79,557.70,294.30,-6.13,-7.03,08-FEB-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
HINDALCO,197.00,202.00,196.10,201.95,6.40,3.27,267.80,182.20,-9.32,-4.47,31-DEC-2999,-
HINDPETRO,250.95,266.80,250.25,263.45,13.60,5.44,385.50,163.00,-26.93,12.63,14-FEB-2019,INTERIM DIVIDEND - RS 6.50 PER SHARE
HINDUNILVR,1708.75,1726.00,1703.00,1717.00,15.40,0.91,1869.50,1281.10,32.78,-6.17,31-DEC-2999,-
HINDZINC,269.00,272.00,268.55,271.85,4.60,1.72,336.50,242.85,-13.38,5.82,31-DEC-2999,-
IBULHSGFIN,709.50,721.00,705.50,720.20,18.20,2.59,1397.00,575.35,-40.30,10.15,11-FEB-2019,INTERIM DIVIDEND - RS 10 PER SHARE
ICICIBANK,371.80,378.40,370.00,375.40,4.80,1.30,383.55,256.50,26.42,4.48,31-DEC-2999,-
ICICIPRULI,343.10,350.25,340.15,341.80,-0.45,-0.13,462.20,277.35,-11.98,18.54,31-DEC-2999,-
IDBI,44.00,45.45,44.00,44.85,1.50,3.46,82.70,41.30,-40.04,2.16,31-DEC-2999,-
IDEA,32.75,34.70,32.60,34.45,1.90,5.84,83.00,28.45,-56.75,14.83,13-DEC-2018,ANNUAL GENERAL MEETING
