Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1479.00,1505.00,1461.30,1497.90,28.55,1.94,1769.05,1322.55,-1.66,-2.12,31-DEC-2999,-
ADANIENT,147.70,155.85,146.60,154.90,7.80,5.30,180.80,113.00,1.61,6.13,29-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE
ADANIPORTS,408.85,414.50,407.45,413.55,6.10,1.50,430.60,292.10,28.73,11.59,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE
ADANIPOWER,62.15,62.35,61.00,61.80,-0.50,-0.80,69.90,32.30,77.33,-4.48,30-JUL-2019,ANNUAL GENERAL MEETING
AMARAJABAT,687.85,694.00,645.55,681.15,-3.60,-0.53,806.75,572.85,-10.75,4.70,31-DEC-2999,-
AMBUJACEM,194.90,198.50,194.00,196.40,2.35,1.21,244.00,184.10,-9.49,-2.51,31-DEC-2999,-
APOLLOHOSP,1459.90,1489.00,1457.00,1487.00,35.25,2.43,1579.70,1067.00,31.24,3.56,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,169.95,173.80,168.65,173.55,3.60,2.12,244.85,144.05,-19.88,-3.90,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE
ASHOKLEY,68.00,69.65,67.35,69.15,1.55,2.29,123.10,56.95,-40.92,10.73,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE
ASIANPAINT,1807.70,1825.00,1796.00,1804.10,5.40,0.30,1825.00,1118.00,44.29,18.59,31-DEC-2999,-
AUROPHARMA,459.25,467.60,450.00,454.55,-4.70,-1.02,838.00,435.35,-39.61,-28.60,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,682.60,694.85,681.30,689.90,6.40,0.94,827.75,534.55,19.66,2.83,31-DEC-2999,-
BAJAJ-AUTO,2964.00,3029.90,2953.45,3010.60,52.55,1.78,3149.95,2420.00,14.89,4.74,31-DEC-2999,-
BAJAJFINSV,8130.00,8130.00,8013.00,8050.00,-32.25,-0.40,8668.80,4955.00,42.88,10.57,31-DEC-2999,-
BAJFINANCE,3895.00,3916.00,3843.00,3884.30,1.00,0.03,4111.75,1997.55,68.43,13.61,31-DEC-2999,-
BALKRISIND,761.35,779.10,758.00,773.00,11.65,1.53,1189.65,682.00,-27.07,0.93,20-AUG-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,88.25,88.75,86.80,87.90,-0.40,-0.45,144.00,85.65,-9.71,-11.08,31-DEC-2999,-
BANKINDIA,60.20,61.60,59.65,61.15,1.10,1.83,110.15,57.45,-21.05,-10.60,31-DEC-2999,-
BATAINDIA,1730.00,1735.00,1708.10,1717.10,-13.75,-0.79,1782.00,833.10,84.73,9.37,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE
BEL,109.95,111.15,108.15,111.10,2.15,1.97,117.75,72.50,27.34,1.65,20-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE
BERGEPAINT,480.00,484.80,475.45,480.00,2.90,0.61,488.40,260.00,70.24,31.06,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE
