Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1487.00,1509.35,1477.75,1480.70,-4.30,-0.29,1769.05,1322.55,-2.55,-4.29,31-DEC-2999,-
ADANIENT,144.85,146.30,142.05,142.45,-1.50,-1.04,180.80,113.00,-3.91,9.32,29-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE
ADANIPORTS,375.00,376.20,370.50,372.35,-1.00,-0.27,430.60,292.10,2.11,3.27,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE
ADANIPOWER,64.45,65.20,63.00,63.40,-0.35,-0.55,68.75,21.00,108.90,8.38,30-JUL-2019,ANNUAL GENERAL MEETING
AMARAJABAT,658.00,666.00,650.50,655.10,-2.30,-0.35,829.95,572.85,-16.58,4.46,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,197.50,200.20,195.10,195.45,-1.90,-0.96,244.00,188.35,-11.24,-6.21,31-DEC-2999,-
APOLLOHOSP,1572.00,1579.70,1454.00,1458.00,-33.20,-2.23,1579.70,996.75,31.54,10.25,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,179.10,181.60,176.65,176.90,-2.20,-1.23,245.00,144.05,-23.34,11.47,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE
ARVIND,52.20,53.45,51.00,52.35,0.45,0.87,403.90,44.55,-86.44,3.56,29-JUL-2019,DIVIDEND - RS 2 PER SHARE
ASHOKLEY,63.55,64.70,62.10,62.45,-1.25,-1.96,133.15,56.95,-51.12,1.46,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE
ASIANPAINT,1570.00,1570.00,1537.15,1538.00,-23.45,-1.50,1622.50,1118.00,18.50,-2.25,31-DEC-2999,-
AUROPHARMA,630.75,632.00,623.40,627.60,-0.80,-0.13,838.00,536.60,-20.59,4.11,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,680.10,681.65,660.55,662.65,-19.05,-2.79,827.75,534.55,1.92,2.03,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2911.00,2911.40,2846.70,2855.00,-53.40,-1.84,3149.95,2420.00,0.75,6.91,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
BAJAJFINSV,7355.00,7357.90,7126.65,7303.95,-50.25,-0.68,8580.00,4955.00,14.80,3.03,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
BAJFINANCE,3402.50,3429.00,3370.60,3377.00,-39.40,-1.15,3762.00,1912.20,29.85,4.82,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE
BALKRISIND,748.00,755.45,740.00,748.05,3.00,0.40,1189.65,682.00,-34.29,-0.17,20-AUG-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,99.55,102.50,98.90,100.90,1.85,1.87,149.35,89.10,-28.19,2.85,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,68.30,69.75,67.90,68.10,-0.05,-0.07,110.15,61.40,-24.92,2.10,20-JUN-2019,ANNUAL GENERAL MEETING
