Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Ex-Dividend-Date, Divident
"MCDOWELL-N","650.00","653.10","633.05","644.00","-3.95","-0.61","801.03","438.20","-78.67",,"30-AUG-2018","ANNUAL GENERAL MEETING"
"MCX","699.80","714.10","688.10","713.00","15.75","2.26","998.25","650.00","-24.83",,"23-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 17 PER SHARE"
"MFSL","396.00","447.90","396.00","427.50","34.60","8.81","611.25","350.00","-24.28",,"17-SEP-2018","ANNUAL GENERAL MEETING"
"MGL","850.00","857.00","843.35","856.70","14.60","1.73","1,163.00","756.00","-23.15",,"07-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 11/- PER SHARE"
"MINDTREE","835.05","851.45","832.60","839.85","-6.90","-0.81","1,183.80","490.00","68.81",,"25-OCT-2018","INTERIM DIV - RS 3 PER SHARE"
"M&M","774.00","775.80","755.00","767.50","-2.10","-0.27","993.00","681.73","-46.31",,"31-DEC-2999","-"
"M&MFIN","434.00","450.50","428.95","443.65","10.30","2.38","534.00","342.65","0.91",,"31-DEC-2999","-"
"MOTHERSUMI","154.00","156.35","140.80","142.25","-10.90","-7.12","263.73","140.80","-59.99",,"30-OCT-2018","BONUS 1:2"
"MRF","65,999.00","66,333.00","65,200.00","65,850.00","304.05","0.46","81,425.95","59,601.00","-2.65",,"31-DEC-2999","-"
"MRPL","80.00","82.25","78.80","81.20","-0.50","-0.61","137.15","61.25","-33.44",,"31-DEC-2999","-"
"MUTHOOTFIN","459.00","470.00","452.10","466.30","6.30","1.37","484.00","356.00","3.31",,"19-SEP-2018","ANNUAL GENERAL MEETING"
"NATIONALUM","66.75","67.30","66.05","66.80","0.15","0.23","90.20","56.55","-21.50",,"25-OCT-2018","BUY BACK"
"NBCC","64.60","65.10","60.05","60.95","-4.60","-7.02","280.50","50.80","-77.45",,"06-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RE 0.56 PER SHARE"
"NCC","87.30","91.85","87.05","89.40","2.00","2.29","141.40","63.25","-6.78",,"31-DEC-2999","-"
"NESTLEIND","10,394.40","10,517.10","10,315.10","10,440.35","46.00","0.44","11,705.00","6,887.25","36.64",,"31-DEC-2999","-"
"NHPC","26.10","26.45","25.85","26.00","-1.10","-4.06","34.50","22.10","-4.06",,"12-SEP-2018","DIVIDEND- RE 0.28 PER SHARE"
"NIITTECH","1,141.50","1,168.10","1,133.10","1,147.00","-1.05","-0.09","1,425.20","603.65","76.31",,"12-SEP-2018","DIVIDEND RS 15 PER SHARE"
"NMDC","107.55","108.50","106.15","107.25","-0.85","-0.79","162.70","93.50","-14.54",,"18-SEP-2018","ANNUAL GENERAL MEETING"
"NTPC","157.95","159.15","153.40","153.55","-3.80","-2.41","186.85","149.50","-13.27",,"06-SEP-2018","DIVIDEND RS 2.39 PER SHARE"
"OFSS","3,440.00","3,501.95","3,439.05","3,480.00","30.25","0.88","4,658.40","3,321.35","-4.39",,"31-DEC-2999","-"
"OIL","203.75","205.50","202.10","203.50","0.50","0.25","259.30","181.00","-42.06",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RE 1 PER SHARE"
"ONGC","161.40","162.00","158.10","158.45","-2.55","-1.58","212.85","144.70","-12.94",,"19-SEP-2018","DIVIDEND RS 1.35 PER SHARE"
"ORIENTBANK","84.55","88.95","83.25","87.85","2.25","2.63","136.35","58.00","-29.94",,"31-DEC-2999","-"
"PAGEIND","27,545.00","27,545.00","25,501.00","25,530.00","-2,365.50","-8.48","36,370.00","18,001.00","15.29",,"31-DEC-2999","-"
"PCJEWELLER","77.85","82.00","69.90","75.00","-11.50","-13.29","600.65","46.85","-78.81",,"19-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE"
"PEL","2,280.10","2,305.00","2,262.10","2,295.00","6.05","0.26","3,307.95","1,794.90","-12.67",,"31-DEC-2999","-"
"PETRONET","215.00","216.55","212.50","213.30","-2.55","-1.18","268.90","202.05","-17.45",,"15-NOV-2018","INTERIM DIVIDEND - RS 5.50 PER SH"
"PFC","103.75","108.55","102.60","107.30","3.35","3.22","130.45","67.50","-14.37",,"30-AUG-2018","ANNUAL GENERAL MEETING"
"PIDILITIND","1,088.70","1,114.00","1,076.95","1,106.55","10.20","0.93","1,195.40","811.00","34.68",,"21-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 6 PER SHARE"
"PNB","70.75","71.60","69.75","71.05","0.30","0.42","200.90","58.45","-61.40",,"10-SEP-2018","ANNUAL GENERAL MEETING"
"POWERGRID","186.00","188.50","185.55","186.60","0.65","0.35","216.00","174.10","-9.83",,"10-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 2.80 PER SHARE"
"PTC","78.85","81.70","77.20","81.20","2.45","3.11","122.40","64.45","-29.85",,"29-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 4 PER SHARE"
"PVR","1,385.00","1,432.85","1,385.00","1,406.00","-13.70","-0.96","1,568.45","1,062.80","1.13",,"18-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND-RS 2 PER SHARE"
"RAMCOCEM","611.30","634.45","602.50","625.00","13.70","2.24","879.10","546.90","-9.00",,"31-DEC-2999","-"
"RAYMOND","765.00","771.65","758.00","765.30","0.25","0.03","1,153.00","593.00","-17.21",,"31-DEC-2999","-"
"RBLBANK","547.05","555.00","541.65","550.50","1.80","0.33","651.95","438.20","7.91",,"31-DEC-2999","-"
"RCOM","13.70","13.70","13.35","13.45","-0.25","-1.82","40.15","9.60","15.95",,"12-SEP-2018","ANNUAL GENERAL MEETING"
"RECLTD","124.90","126.95","122.55","126.25","1.35","1.08","165.35","89.00","-21.22",,"17-SEP-2018","DIVIDEND RS 1.75 PER SHARE"
"RELCAPITAL","252.30","254.40","245.35","250.70","-1.90","-0.75","626.35","221.60","-46.75",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 11 PER SHARE"
"RELIANCE","1,096.95","1,103.00","1,086.50","1,094.70","-3.25","-0.30","1,329.00","862.65","23.46",,"31-DEC-2999","-"
"RELINFRA","351.00","356.40","344.60","352.05","1.35","0.38","589.90","275.10","-23.38",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 9.50 PER SHARE"
"REPCOHOME","403.00","415.00","382.40","410.40","1.10","0.27","734.00","293.90","-34.96",,"17-SEP-2018","DIVIDEND- RS 2.20 PER SHARE"
"RPOWER","30.50","31.40","29.90","31.10","0.60","1.97","65.20","23.10","-19.33",,"12-SEP-2018","ANNUAL GENERAL MEETING"
"SAIL","64.15","65.10","63.55","64.60","0.45","0.70","101.45","61.80","-19.05",,"31-DEC-2999","-"
"SBIN","283.85","287.05","281.15","285.00","1.40","0.49","346.70","232.35","-13.40",,"31-DEC-2999","-"
"SHREECEM","15,389.90","15,950.00","15,100.00","15,864.00","570.50","3.73","19,848.90","13,100.00","-12.08",,"31-DEC-2999","-"
"SIEMENS","889.75","942.00","869.00","935.20","49.40","5.58","1,336.00","850.25","-20.72",,"31-DEC-2999","-"
"SOUTHBANK","14.85","14.95","14.55","14.70","-0.15","-1.01","34.75","12.45","-51.72",,"31-DEC-2999","-"
"SREINFRA","35.00","35.45","32.95","34.50","-0.85","-2.40","112.00","25.35","-65.81",,"31-DEC-2999","-"
"SRF","2,056.00","2,066.00","2,025.50","2,050.00","5.90","0.29","2,446.60","1,530.05","19.53",,"31-DEC-2999","-"
"SRTRANSFIN","1,240.00","1,265.05","1,211.00","1,261.95","22.60","1.82","1,668.75","902.30","0.98",,"05-NOV-2018","INTERIM DIVIDEND - RS 5 PER SH"
"STAR","459.00","466.40","454.10","457.45","-0.65","-0.14","855.95","333.30","-41.58",,"12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 2 PER SHARE"
"SUNPHARMA","522.00","528.00","508.10","516.15","-3.95","-0.76","679.30","435.00","-1.88",,"17-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 2 PER SHARE"
"SUNTV","613.75","618.55","594.75","597.00","-16.75","-2.73","1,097.80","557.00","-29.91",,"14-NOV-2018","INTERIM DIVIDEND - RS 2.50 PER SH"
"SUZLON","5.80","5.85","5.55","5.65","-0.15","-2.59","17.10","5.05","-61.03",,"31-DEC-2999","-"
"SYNDIBANK","34.90","35.50","34.20","35.20","0.70","2.03","95.90","29.50","-58.78",,"31-DEC-2999","-"
"TATACHEM","699.50","703.45","684.15","689.75","-9.75","-1.39","787.50","622.00","-3.61",,"31-DEC-2999","-"
"TATACOMM","524.00","525.45","515.05","521.95","-2.95","-0.56","754.00","435.70","-24.96",,"31-DEC-2999","-"
"TATAELXSI","995.50","1,010.75","993.00","996.85","2.90","0.29","1,490.90","862.80","11.22",,"31-DEC-2999","-"
"TATAGLOBAL","217.95","222.50","216.70","221.00","3.60","1.66","328.75","205.00","-10.42",,"31-DEC-2999","-"
"TATAMOTORS","178.00","182.70","177.50","179.80","3.00","1.70","443.50","164.60","-56.60",,"31-DEC-2999","-"
"TATAMTRDVR","97.90","100.30","97.30","98.40","1.20","1.23","261.90","90.50","-58.71",,"31-DEC-2999","-"
"TATAPOWER","78.00","78.40","75.90","76.50","-1.45","-1.86","101.80","59.80","-6.48",,"31-DEC-2999","-"
"TATASTEEL","590.30","596.90","581.45","587.20","-1.90","-0.32","748.11","493.00","-14.34",,"31-DEC-2999","-"
"TCS","1,864.00","1,899.00","1,857.60","1,877.00","-3.65","-0.19","3,674.80","1,711.15","-30.86",,"23-OCT-2018","INT DIV RS 4 PER SH"
"TECHM","702.00","721.90","697.35","713.05","12.80","1.83","780.80","462.65","46.15",,"31-DEC-2999","-"
"TITAN","892.25","924.00","889.00","921.55","29.35","3.29","999.70","732.30","19.02",,"31-DEC-2999","-"
"TORNTPHARM","1,653.00","1,682.00","1,640.00","1,673.25","21.90","1.33","1,872.80","1,218.45","33.74",,"31-DEC-2999","-"
"TORNTPOWER","268.45","268.45","260.10","265.80","-0.20","-0.08","307.35","211.50","5.98",,"31-DEC-2999","-"
"TV18BRDCST","36.50","37.00","36.15","36.90","0.40","1.10","70.80","31.90","-16.42",,"31-DEC-2999","-"
"TVSMOTOR","549.25","560.45","543.35","548.30","-5.85","-1.06","794.45","478.70","-21.85",,"30-OCT-2018","INTERIM DIVIDEND - RS 2.10 PER SHARE"
"UBL","1,344.00","1,349.45","1,292.85","1,311.80","10.35","0.80","1,466.95","908.35","17.77",,"07-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 2/- PER SHARE"
"UJJIVAN","226.00","238.65","216.80","234.90","17.30","7.95","434.75","166.50","-39.55",,"31-DEC-2999","-"
"ULTRACEMCO","3,927.80","3,933.80","3,830.05","3,903.00","-14.05","-0.36","4,599.90","3,260.45","-10.51",,"31-DEC-2999","-"
"UNIONBANK","80.65","82.40","79.40","81.30","0.65","0.81","181.00","61.25","-50.52",,"31-DEC-2999","-"
"UPL","761.95","769.95","756.00","766.00","5.75","0.76","828.50","537.25","3.13",,"31-DEC-2999","-"
"VEDL","205.30","209.65","202.75","207.10","3.00","1.47","355.70","198.25","-32.97",,"06-NOV-2018","INTERIM DIVIDEND - RS 17 PER SHARE"
"VGUARD","193.40","195.85","192.50","195.55","2.20","1.14","254.90","159.40","-14.68",,"31-DEC-2999","-"
"VOLTAS","543.20","558.20","538.10","551.40","9.05","1.67","675.30","472.25","-8.10",,"31-DEC-2999","-"
"WIPRO","324.15","330.50","321.65","321.70","-2.85","-0.88","338.00","253.50","7.77",,"31-DEC-2999","-"
"WOCKPHARMA","529.00","530.00","518.55","523.40","-4.65","-0.88","1,012.00","437.45","-27.60",,"31-DEC-2999","-"
"YESBANK","215.00","217.95","202.25","205.90","-16.50","-7.42","404.00","165.00","-31.95",,"31-DEC-2999","-"
"ZEEL","438.20","444.60","433.20","440.00","4.80","1.10","619.00","410.60","-18.84",,"31-DEC-2999","-"
