Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Ex-Dividend-Date, Divident
"EICHERMOT","23,400.00","24,041.95","23,291.50","23,920.00","679.90","2.93","32,236.70","20,001.15","-20.50",,"31-DEC-2999","-"
"ENGINERSIN","117.00","119.90","116.20","119.20","2.20","1.88","206.40","100.15","-35.02",,"11-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 1.50 PER SHARE"
"EQUITAS","112.00","114.40","107.65","109.60","-1.85","-1.66","173.65","77.85","-22.08",,"31-DEC-2999","-"
"ESCORTS","658.50","674.00","641.20","667.05","10.80","1.65","1,017.70","541.00","-5.66",,"23-AUG-2018","DIVIDEND-RS 2 PER SHARE"
"EXIDEIND","250.50","250.80","246.05","248.65","-1.20","-0.48","304.70","192.40","24.64",,"15-NOV-2018","INTERIM DIVIDEND - RS 1.60 PER SHARE"
"FEDERALBNK","78.95","79.30","76.80","78.50","0.00","0.00","116.45","67.05","-29.37",,"31-DEC-2999","-"
"GAIL","350.70","354.40","344.00","347.50","-5.05","-1.43","399.40","295.25","-23.80",,"30-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 1.44 PER SHARE"
"GLENMARK","657.00","670.00","655.00","664.35","9.25","1.41","711.90","493.50","13.98",,"19-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 2 PER SHARE"
"GMRINFRA","16.20","16.30","15.75","16.15","-0.05","-0.31","25.05","14.55","-9.52",,"11-SEP-2018","ANNUAL GENERAL MEETING"
"GODFRYPHLP","832.00","876.90","826.35","867.10","39.30","4.75","1,080.00","640.25","-16.19",,"17-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 8 PER SHARE"
"GODREJCP","715.00","725.50","703.30","717.00","4.25","0.60","978.67","600.27","-22.86",,"13-NOV-2018","INTERIM DIVIDEND - RS 4 PER SHARE"
"GODREJIND","502.50","513.50","497.10","509.70","8.55","1.71","657.60","434.50","-8.48",,"31-DEC-2999","-"
"GRANULES","103.45","104.70","101.75","102.20","-1.30","-1.26","150.00","71.55","-15.12",,"06-NOV-2018","INTERIM DIVIDEND - RS 0.25 PER SHARE"
"GRASIM","855.00","855.00","795.20","806.10","-70.25","-8.02","1,261.10","756.00","-33.20",,"31-AUG-2018","DIVIDEND RS 6.20 PER SHARE"
"GSFC","107.55","107.75","104.90","106.05","-1.50","-1.39","166.40","85.50","-24.11",,"11-SEP-2018","DIVIDEND RS 2.2 PER SHARE"
"HAVELLS","672.80","688.50","672.00","687.10","14.50","2.16","728.75","450.00","34.26",,"31-DEC-2999","-"
"HCC","13.80","14.30","13.40","13.95","0.05","0.36","44.95","9.45","-60.59",,"31-DEC-2999","-"
"HCLTECH","999.90","1,029.00","981.80","988.65","-8.45","-0.85","1,125.05","824.85","13.66",,"30-OCT-2018","INTERIM DIVIDEND - RS 2 PER SH"
"HDFC","1,837.00","1,858.00","1,824.20","1,849.00","9.85","0.54","2,052.95","1,640.85","11.29",,"31-DEC-2999","-"
"HDFCBANK","1,961.90","1,977.30","1,931.20","1,973.10","15.35","0.78","2,220.00","1,788.00","9.47",,"31-DEC-2999","-"
"HEROMOTOCO","2,872.00","2,934.90","2,856.20","2,919.70","72.15","2.53","3,848.80","2,648.00","-20.12",,"31-DEC-2999","-"
"HEXAWARE","320.20","324.00","313.45","314.00","-4.15","-1.30","557.70","308.30","-8.44",,"02-NOV-2018","INTERIM DIVIDEND - RS 2.50 PER SHARE"
