Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1463.00,1484.00,1458.00,1475.00,11.75,0.80,1769.05,1322.55,-5.30,-5.27,31-DEC-2999,-
ADANIENT,137.80,141.75,136.35,140.05,2.30,1.67,216.70,113.00,-14.45,11.50,29-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE
ADANIPORTS,365.80,371.80,363.65,369.80,4.05,1.11,430.60,292.10,-3.90,-0.66,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.20 PER SHARE
ADANIPOWER,58.45,60.70,58.30,60.50,2.15,3.68,68.75,21.00,89.66,1.85,30-JUL-2019,ANNUAL GENERAL MEETING
AMARAJABAT,626.00,642.95,622.45,639.40,13.85,2.21,831.95,572.85,-19.90,-0.81,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,195.00,197.80,193.65,195.80,1.10,0.56,244.00,188.35,-13.59,-4.44,31-DEC-2999,-
APOLLOHOSP,1500.00,1512.45,1473.05,1505.00,4.80,0.32,1542.45,996.75,34.65,14.48,31-DEC-2999,-
APOLLOTYRE,175.60,177.90,174.00,176.60,1.35,0.77,250.80,144.05,-28.20,17.73,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE
ARVIND,50.80,51.50,50.05,51.00,0.40,0.79,406.40,44.55,-86.79,-9.17,29-JUL-2019,DIVIDEND - RS 2 PER SHARE
ASHOKLEY,62.60,63.35,62.00,62.70,-1.20,-1.88,133.15,56.95,-51.66,2.53,23-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.10 PER SHARE
ASIANPAINT,1530.55,1545.00,1524.20,1539.70,7.30,0.48,1622.50,1118.00,17.13,-1.25,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,620.00,627.80,616.70,624.40,4.95,0.80,838.00,536.60,-17.77,12.57,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,667.65,675.80,662.75,671.20,0.10,0.01,827.75,534.55,5.17,1.70,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2809.00,2838.55,2797.00,2810.00,-29.35,-1.03,3149.95,2420.00,0.97,7.87,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
BAJAJFINSV,7160.00,7357.40,7137.10,7303.00,127.10,1.77,8580.00,4955.00,11.54,2.10,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.50 PER SHARE
BAJFINANCE,3374.00,3450.00,3352.15,3429.00,56.00,1.66,3762.00,1912.20,27.75,5.00,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE
BALKRISIND,725.00,739.70,718.00,738.40,13.70,1.89,1201.10,682.00,-37.25,2.00,20-AUG-2019,INTERIM DIVIDEND - RS 2 PER SHARE
BANKBARODA,94.00,96.25,93.30,95.45,1.05,1.11,150.00,89.10,-34.67,-2.20,18-JUN-2019,ANNUAL GENERAL MEETING
BANKINDIA,63.45,66.35,63.10,66.20,2.50,3.92,110.15,61.40,-29.31,-0.82,20-JUN-2019,ANNUAL GENERAL MEETING
BATAINDIA,1544.55,1564.10,1539.00,1559.85,18.50,1.20,1564.10,833.10,48.65,11.40,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE
BEL,109.70,110.90,108.75,110.00,0.95,0.87,117.75,72.50,20.55,15.97,20-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE
BERGEPAINT,364.00,369.00,362.40,368.10,3.70,1.02,373.05,260.00,18.67,5.44,26-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.90 PER SHARE
BHARATFORG,394.95,402.70,391.85,399.35,4.40,1.11,693.90,376.00,-40.30,-1.64,01-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 2.50 PER SHARE
BHARTIARTL,350.95,357.40,349.55,357.20,7.95,2.28,378.75,253.99,-4.06,-2.43,31-DEC-2999,-
BHEL,52.05,52.45,51.20,51.40,-0.40,-0.77,83.30,46.65,-36.86,-10.61,31-DEC-2999,-
BIOCON,236.95,237.20,232.00,232.70,-3.75,-1.59,359.00,211.05,-64.90,3.45,18-JUL-2019,DIVIDEND - RS 0.50 PER SHARE
BOSCHLTD,13790.00,14194.00,13700.05,14105.00,297.75,2.16,21600.00,12700.00,-33.68,0.92,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE
BPCL,376.00,384.00,374.65,382.95,3.95,1.04,421.70,238.55,8.30,15.66,21-AUG-2019,DIVIDEND - RS 8 PER SHARE
BRITANNIA,2669.90,2694.80,2650.20,2680.00,12.00,0.45,3316.00,2300.00,-56.74,5.49,22-AUG-2019,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD
BSOFT,70.15,72.25,69.00,71.20,1.00,1.42,314.50,57.50,-,-,30-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
CADILAHC,235.65,240.25,234.55,236.45,-2.35,-0.98,432.50,206.50,-44.02,3.89,25-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share
CANBK,191.35,198.65,190.70,197.80,6.10,3.18,302.10,190.35,-26.45,-12.19,17-JUL-2019,ANNUAL GENERAL MEETING
CASTROLIND,120.75,123.15,120.00,122.80,2.45,2.04,172.90,112.75,-20.41,3.24,08-AUG-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
CENTURYTEX,847.00,862.65,844.00,856.95,6.60,0.78,1063.00,705.50,-8.18,-3.07,19-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE
CESC,785.00,811.95,784.60,800.60,16.00,2.04,1028.35,642.00,-21.29,7.63,10-JUL-2019,ANNUAL GENERAL MEETING
CHOLAFIN,272.70,275.85,255.00,273.10,3.90,1.45,311.00,207.60,-80.52,-0.04,22-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.40 PER SHARE
CIPLA,475.00,478.70,472.10,475.00,0.10,0.02,678.45,449.20,-28.26,-8.35,31-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE
COALINDIA,198.10,200.10,196.80,199.90,1.30,0.65,289.20,177.70,-29.53,-3.01,09-AUG-2019,ANNUAL GENERAL MEETING
COLPAL,1254.00,1268.50,1248.00,1258.00,6.20,0.50,1354.80,1018.30,10.35,4.72,20-AUG-2019,ANNUAL GENERAL MEETING
CONCOR,500.00,515.00,498.50,513.30,8.80,1.74,582.75,433.60,-19.69,6.19,19-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE
CUMMINSIND,574.00,583.90,568.10,579.50,5.25,0.91,884.20,555.25,-25.08,-11.19,31-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 10 PER SHARE
DABUR,441.00,447.20,438.00,444.15,2.85,0.65,475.15,357.55,-2.19,3.13,07-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE
DHFL,45.90,51.95,45.35,48.70,2.10,4.51,657.70,37.20,-92.49,-1.42,31-DEC-2999,-
DISHTV,22.95,24.15,22.60,23.50,0.75,3.30,69.70,19.10,-65.26,3.52,31-DEC-2999,-
DIVISLAB,1636.00,1653.65,1617.00,1629.00,-8.60,-0.53,1774.95,1212.50,23.69,-0.30,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 16 PER SHARE
