Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1540.00,1559.90,1535.65,1547.00,10.95,0.71,1769.05,1255.65,12.84,-2.67,31-DEC-2999,-
ADANIENT,140.50,141.85,137.50,140.35,1.00,0.72,236.65,112.10,23.01,-6.40,31-DEC-2999,-
ADANIPORTS,408.20,413.70,403.90,411.40,6.40,1.58,430.60,292.10,11.05,-3.37,20-JUN-2019,BUYBACK
ADANIPOWER,63.35,64.10,61.60,62.80,-0.15,-0.24,68.75,16.55,261.96,32.63,31-DEC-2999,-
AMARAJABAT,642.40,652.15,642.40,650.00,7.50,1.17,908.45,572.85,-20.80,2.76,11-JUL-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5.08 PER SHARE
AMBUJACEM,209.65,212.80,209.55,211.10,2.25,1.08,245.40,188.35,3.30,-5.38,31-DEC-2999,-
APOLLOHOSP,1318.15,1332.10,1298.50,1313.40,-4.75,-0.36,1406.00,910.10,30.23,-4.76,31-DEC-2999,-
APOLLOTYRE,187.95,189.05,184.30,188.00,1.00,0.53,299.50,174.00,-29.51,-3.19,31-DEC-2999,-
ARVIND,60.00,62.65,59.10,62.50,3.10,5.22,438.70,56.55,-84.74,-13.73,31-DEC-2999,-
ASHOKLEY,85.95,85.95,83.25,85.20,0.40,0.47,137.10,77.60,-36.39,-6.06,31-DEC-2999,-
ASIANPAINT,1317.00,1337.00,1311.05,1332.50,9.55,0.72,1529.85,1118.00,-2.77,-6.33,13-JUN-2019,DIVIDEND RS -7.65 PER SHARE
AUROPHARMA,606.80,622.00,598.65,604.05,6.95,1.16,838.00,565.05,-2.14,-3.68,31-DEC-2999,-
AXISBANK,773.50,773.50,763.00,765.45,-3.80,-0.49,827.75,515.00,43.73,-5.98,04-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE
BAJAJ-AUTO,2720.00,2724.50,2660.25,2707.00,26.60,0.99,3194.95,2420.00,-12.51,-9.46,11-JUL-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE
