Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1561.00,1564.00,1510.40,1515.00,-49.65,-3.17,1769.05,1326.00,2.76,5.57,31-DEC-2999,-
ADANIENT,200.00,201.50,197.70,200.00,-0.90,-0.45,203.90,113.00,18.69,47.28,31-DEC-2999,-
ADANIPORTS,391.70,392.90,386.50,389.50,-1.50,-0.38,430.60,292.10,18.19,-1.45,31-DEC-2999,-
ADANIPOWER,71.60,72.45,69.35,69.65,-1.95,-2.72,73.80,33.25,38.47,17.45,31-DEC-2999,-
AMARAJABAT,658.00,666.90,652.05,658.50,-0.10,-0.02,806.75,572.85,-14.44,-3.74,31-DEC-2999,-
AMBUJACEM,203.85,204.35,200.50,201.80,-1.55,-0.76,244.00,184.10,-1.78,8.52,31-DEC-2999,-
APOLLOHOSP,1423.50,1446.80,1412.50,1415.50,0.75,0.05,1579.70,1083.10,21.55,0.34,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share
APOLLOTYRE,185.40,187.65,177.95,179.30,-6.25,-3.37,244.85,144.05,-16.68,9.10,31-DEC-2999,-
ASHOKLEY,75.15,76.65,74.70,74.95,-0.25,-0.33,122.85,56.95,-37.90,16.38,31-DEC-2999,-
ASIANPAINT,1780.00,1797.80,1767.60,1794.95,9.05,0.51,1834.80,1232.50,44.28,4.05,30-OCT-2019,INTERIM DIVIDEND - RS 3.35 PER SH
AUROPHARMA,478.00,485.50,470.40,473.55,-4.10,-0.86,838.00,435.35,-39.22,2.98,21-AUG-2019,ANNUAL GENERAL MEETING
AXISBANK,741.80,745.60,730.60,735.80,-6.80,-0.92,827.75,580.50,17.84,9.26,31-DEC-2999,-
BAJAJ-AUTO,3225.00,3255.70,3191.15,3252.00,39.95,1.24,3289.00,2442.20,21.68,12.44,31-DEC-2999,-
BAJAJFINSV,8800.00,8887.75,8655.40,8839.90,133.30,1.53,8887.75,5501.65,58.72,7.54,31-DEC-2999,-
BAJFINANCE,4172.00,4255.00,4135.00,4250.25,137.25,3.34,4255.00,2233.10,80.14,8.96,31-DEC-2999,-
BALKRISIND,871.50,890.50,849.05,858.00,-8.15,-0.94,1112.50,682.00,-19.73,18.33,31-DEC-2999,-
BANKBARODA,102.15,103.95,101.30,101.70,-0.25,-0.25,144.00,85.65,-8.54,16.56,31-DEC-2999,-
BANKINDIA,71.35,72.65,70.10,70.50,-0.85,-1.19,110.15,57.45,-18.02,18.49,31-DEC-2999,-
BATAINDIA,1730.55,1741.90,1700.60,1708.00,-23.15,-1.34,1814.00,943.65,70.71,1.56,31-DEC-2999,-
BEL,115.30,115.90,111.60,112.50,-7.00,-5.86,122.10,72.50,18.30,7.81,20-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE
BERGEPAINT,504.00,508.65,491.05,500.10,-3.25,-0.65,533.75,285.20,66.12,14.87,31-DEC-2999,-
BHARATFORG,469.20,486.80,457.00,463.00,1.50,0.33,619.65,376.00,-22.68,8.88,31-DEC-2999,-
BHARTIARTL,377.00,385.50,374.55,385.00,7.00,1.85,397.00,258.72,26.98,12.72,31-DEC-2999,-
BHEL,56.90,58.00,55.90,56.00,-0.40,-0.71,78.85,41.30,-20.00,30.84,11-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE
BIOCON,264.50,272.60,254.25,254.95,-8.65,-3.28,341.23,211.05,-59.50,11.53,31-DEC-2999,-
BOSCHLTD,15700.00,15744.10,15532.35,15650.00,-109.45,-0.69,20000.00,12700.00,-19.36,19.89,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE
BPCL,519.00,522.20,513.40,517.00,-5.20,-1.00,545.00,284.00,77.18,5.37,21-AUG-2019,DIVIDEND - RS 8 PER SHARE
BRITANNIA,3255.00,3280.00,3202.30,3234.80,-5.05,-0.16,3583.75,2300.00,-43.39,9.53,22-AUG-2019,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD
CADILAHC,241.50,244.50,238.50,239.40,-2.25,-0.93,375.40,206.50,-33.58,5.02,31-DEC-2999,-
CANBK,208.00,213.65,205.25,206.50,-1.35,-0.65,302.10,170.60,-16.06,15.11,31-DEC-2999,-
CASTROLIND,150.05,152.25,148.25,151.80,1.25,0.83,172.90,112.75,2.67,16.72,08-AUG-2019,INTERIM DIVIDEND - RS 2.50 PER SHARE
CENTURYTEX,409.60,416.95,390.75,393.50,-13.60,-3.34,1063.00,352.10,-55.07,-54.38,11-OCT-2019,DEMERGER
CESC,832.00,846.00,798.00,804.00,-21.70,-2.63,851.70,642.60,18.44,9.99,31-DEC-2999,-
CHOLAFIN,316.70,319.85,313.55,317.00,1.00,0.32,325.00,218.20,-75.88,9.12,31-DEC-2999,-
CIPLA,470.15,475.50,465.15,467.85,-0.45,-0.10,617.50,389.55,-16.91,14.60,31-DEC-2999,-
COALINDIA,217.00,217.55,209.60,211.10,-3.90,-1.81,271.85,177.70,-20.14,14.48,09-AUG-2019,ANNUAL GENERAL MEETING
COLPAL,1544.90,1549.10,1513.15,1522.05,-18.40,-1.19,1589.55,1088.00,37.20,3.88,05-NOV-2019,INTERIM DIVIDEND - RS 12 PER SH
CONCOR,581.50,586.50,572.35,577.00,-1.70,-0.29,666.00,460.00,-11.83,0.56,19-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 8.55 PER SHARE
CUMMINSIND,550.00,550.00,541.30,547.00,0.40,0.07,884.20,532.20,-28.41,-2.57,31-DEC-2999,-
DABUR,459.05,483.40,455.20,482.90,22.50,4.89,483.40,357.55,31.63,11.64,31-DEC-2999,-
DISHTV,14.65,15.45,14.25,14.50,-0.05,-0.34,43.35,10.40,-65.44,-13.95,31-DEC-2999,-
DIVISLAB,1735.00,1738.25,1676.80,1679.40,-55.75,-3.21,1779.05,1420.00,14.52,1.99,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 16 PER SHARE
DLF,183.10,187.40,182.05,184.00,-0.30,-0.16,209.65,132.55,6.24,27.87,31-DEC-2999,-
DRREDDY,2793.80,2849.50,2792.00,2809.95,12.15,0.43,2964.00,1872.95,16.07,7.40,31-DEC-2999,-
EICHERMOT,21750.00,21947.30,21230.50,21310.00,-430.70,-1.98,25350.00,15200.00,-5.51,18.38,31-DEC-2999,-
EQUITAS,98.75,100.00,98.00,98.55,0.35,0.36,143.65,90.80,-8.28,-1.65,31-DEC-2999,-
ESCORTS,651.75,665.80,646.50,652.00,3.40,0.52,833.90,423.55,-3.76,8.54,31-DEC-2999,-
EXIDEIND,189.00,192.15,185.70,188.70,1.20,0.64,273.80,166.00,-24.35,1.34,31-DEC-2999,-
FEDERALBNK,88.85,88.85,84.15,84.50,-3.90,-4.41,110.40,76.80,5.30,-0.47,31-DEC-2999,-
GAIL,136.85,138.50,135.15,137.65,0.60,0.44,191.00,119.50,-63.00,5.72,08-AUG-2019,DIVIDEND - RS 0.885 PER SHARE
GLENMARK,316.15,321.80,314.65,316.20,0.05,0.02,705.90,270.00,-49.89,10.71,19-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE
GMRINFRA,20.85,21.05,20.25,20.65,-0.20,-0.96,21.60,12.95,21.83,25.91,05-SEP-2019,ANNUAL GENERAL MEETING
GODREJCP,724.70,725.00,708.60,723.00,2.00,0.28,849.90,575.00,2.05,7.81,31-DEC-2999,-
GRASIM,785.00,795.00,759.55,769.00,-14.80,-1.89,959.80,633.60,-9.88,18.49,08-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 7 PER SH
HAVELLS,695.35,696.90,680.10,686.50,-7.20,-1.04,806.85,622.65,6.12,3.58,31-DEC-2999,-
HCLTECH,1156.10,1160.60,1143.35,1157.00,1.10,0.10,1187.60,920.00,13.35,7.69,31-OCT-2019,INTERIM DIVIDEND - RS 2 PER SH
HDFC,2207.10,2209.80,2164.70,2182.55,1.25,0.06,2357.85,1773.35,21.73,10.83,31-DEC-2999,-
HDFCBANK,1241.00,1244.80,1229.05,1240.00,3.15,0.25,1282.70,954.10,-36.61,4.47,19-SEP-2019,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE
HEROMOTOCO,2659.00,2679.00,2638.05,2667.40,23.90,0.90,3380.00,2225.60,-6.33,-0.25,31-DEC-2999,-
HEXAWARE,343.00,345.00,339.10,340.00,-1.45,-0.42,455.70,294.30,8.61,-6.55,04-NOV-2019,INTERIM DIVIDEND -RS 2 PER SH
HINDALCO,199.00,202.70,197.35,198.50,0.55,0.28,245.30,171.10,-18.09,8.89,14-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE
HINDPETRO,317.50,322.95,311.15,311.35,-7.75,-2.43,333.50,211.20,33.51,1.30,31-DEC-2999,-
HINDUNILVR,2153.50,2175.75,2143.15,2171.00,12.85,0.60,2187.25,1610.00,32.37,11.90,23-OCT-2019,INTERIM DIVIDEND - RS 11 PER SH
IBULHSGFIN,218.80,232.65,217.70,223.90,5.10,2.33,919.40,165.80,-73.16,-4.42,22-AUG-2019,ANNUAL GENERAL MEETING
ICICIBANK,472.10,474.00,466.90,468.25,-2.25,-0.48,482.00,336.00,33.92,12.53,31-DEC-2999,-
ICICIPRULI,511.25,519.00,505.10,509.60,-1.05,-0.21,522.75,277.35,42.01,12.62,31-OCT-2019,INTERIM DIVIDEND - RE 0.80 PER SH
IDEA,4.50,4.65,4.10,4.15,-0.35,-7.78,27.44,3.30,-90.06,-19.42,16-AUG-2019,ANNUAL GENERAL MEETING
IDFCFIRSTB,43.90,44.25,42.70,43.10,-0.60,-1.37,56.85,34.70,-,-,31-DEC-2999,-
IGL,394.00,395.60,385.60,388.40,-3.15,-0.80,395.60,241.00,36.76,10.77,12-SEP-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.40 PER SHARE
INDIGO,1432.00,1503.00,1411.85,1465.00,28.60,1.99,1898.85,940.00,51.20,-18.39,19-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE
INDUSINDBK,1354.00,1360.30,1315.00,1321.25,-31.05,-2.30,1834.40,1188.05,-11.11,6.46,08-AUG-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE
INFRATEL,217.80,224.25,212.40,222.00,7.15,3.33,335.00,176.35,-15.25,-9.77,22-AUG-2019,INTERIM DIVIDEND - RS 3.65 PER SHARE
INFY,708.75,708.75,691.50,695.05,-13.95,-1.97,847.00,599.85,4.36,-11.97,23-OCT-2019,INTERIM DIVIDEND - RS 8 PER SHARE
