Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
"ACC","1,461.50","1,466.55","1,429.00","1,439.15","-17.35","-1.19","1,857.45","1,255.65","-16.44","4.21","31-DEC-2999","-"
"ADANIENT","158.50","159.90","155.65","158.00","-0.50","-0.32","236.65","100.85","0.13","-6.81","06-SEP-2018","SCHEME OF ARRANGEMENT"
"ADANIPORTS","368.45","370.40","356.00","369.00","0.85","0.23","452.35","294.10","-10.98","15.67","31-DEC-2999","-"
"ADANIPOWER","48.00","51.00","48.00","50.45","2.90","6.10","52.75","15.15","42.31","51.05","31-DEC-2999","-"
"AJANTPHARM","1,115.00","1,123.90","1,097.20","1,113.50","6.05","0.55","1,595.00","895.85","-17.42","13.66","09-NOV-2018","INTERIM DIVIDEND - RS 9 PER SH"
"ALBK","45.20","46.15","44.25","46.15","1.00","2.21","79.65","33.15","-40.91","28.55","31-DEC-2999","-"
"AMARAJABAT","718.55","724.40","705.00","722.00","6.35","0.89","908.45","704.05","-8.21","-3.37","20-NOV-2018","INTERIM DIVIDEND - RS 2 PER SHARE"
"AMBUJACEM","214.20","217.00","211.65","216.45","1.80","0.84","280.00","188.35","-18.51","7.90","31-DEC-2999","-"
"APOLLOHOSP","1,222.00","1,254.95","1,215.55","1,247.75","33.50","2.76","1,287.00","910.10","8.55","9.12","12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 5 PER SHARE"
"APOLLOTYRE","219.95","225.00","218.60","224.15","5.40","2.47","307.25","192.05","-9.67","14.22","31-DEC-2999","-"
"ARVIND","324.90","324.90","306.25","307.25","-13.00","-4.06","478.50","289.05","-28.99","-2.48","31-DEC-2999","-"
"ASHOKLEY","109.90","110.60","107.00","108.90","-0.40","-0.37","167.50","101.65","-3.93","-2.29","31-DEC-2999","-"
"ASIANPAINT","1,329.95","1,357.55","1,323.60","1,349.55","35.15","2.67","1,490.60","1,090.10","14.92","18.54","29-OCT-2018","INTERIM DIVIDEND - RS 2.85 PER SH"
"AUROPHARMA","792.90","799.55","782.60","798.95","9.15","1.16","827.45","527.00","14.41","8.13","20-NOV-2018","INTERIM DIVIDEND - RS 1.25 PER SHARE"
"AXISBANK","618.65","634.75","616.50","632.35","17.80","2.90","677.95","481.25","16.99","12.37","31-DEC-2999","-"
"BAJAJ-AUTO","2,606.00","2,662.90","2,576.00","2,644.00","53.65","2.07","3,468.35","2,420.00","-20.20","2.22","31-DEC-2999","-"
"BAJAJFINSV","5,730.20","5,824.80","5,684.50","5,740.00","16.95","0.30","7,200.00","4,500.00","10.89","11.07","31-DEC-2999","-"
"BAJFINANCE","2,400.00","2,411.90","2,346.95","2,395.00","13.50","0.57","2,994.00","1,511.20","35.01","14.96","31-DEC-2999","-"
"BALKRISIND","964.95","968.25","949.05","963.80","6.40","0.67","1,453.55","922.70","-54.63","-3.92","14-NOV-2018","INTERIM DIVIDEND - RS 2 PER SHARE"
"BANKBARODA","110.60","111.15","107.10","108.50","-1.40","-1.27","183.65","91.00","-39.94","6.69","31-DEC-2999","-"
"BANKINDIA","86.10","86.90","82.30","84.55","-1.45","-1.69","205.50","73.20","-58.28","12.14","31-DEC-2999","-"
"BATAINDIA","955.30","975.20","943.65","973.00","14.60","1.52","1,115.70","653.10","29.94","13.36","31-DEC-2999","-"
"BEL","94.80","96.15","93.10","96.05","2.30","2.45","193.40","74.25","-46.74","10.34","31-DEC-2999","-"
"BEML","777.00","777.00","758.00","767.00","16.20","2.16","1,728.00","521.25","-52.80","37.41","19-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 8 PER SHARE"
"BERGEPAINT","319.95","322.65","316.20","319.50","5.65","1.80","349.90","232.30","27.90","19.98","31-DEC-2999","-"
"BHARATFIN","950.00","975.50","949.95","967.50","16.50","1.74","1,234.80","823.75","0.66","7.58","31-DEC-2999","-"
"BHARATFORG","584.00","585.25","563.95","570.05","-12.80","-2.20","798.00","541.05","-19.85","2.99","15-NOV-2018","INTERIM DIVIDEND RS  - RS 2.50 PER SHARE"
"BHARTIARTL","328.05","338.90","328.05","335.60","7.75","2.36","547.50","276.85","-32.76","17.38","05-NOV-2018","INTERIM DIVIDEND RS - 2.50 PER SHARE"
"BHEL","66.20","67.15","65.50","67.05","0.90","1.36","107.95","64.45","-24.37","-9.21","05-NOV-2018","BUYBACK"
"BIOCON","624.00","625.00","612.10","614.95","-8.05","-1.29","718.00","405.30","50.46","-1.72","31-DEC-2999","-"
"BOSCHLTD","19,050.00","19,125.00","18,671.25","18,697.50","-335.55","-1.76","22,400.00","16,975.00","-1.64","5.42","31-DEC-2999","-"
"BPCL","330.10","332.90","323.45","326.55","6.45","2.01","542.50","238.55","-35.68","21.15","31-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND RS- 7 PER SHARE"
"BRITANNIA","6,038.00","6,058.90","5,951.00","6,020.00","11.30","0.19","6,934.35","4,400.00","26.07","9.76","31-DEC-2999","-"
"CADILAHC","354.80","358.00","345.10","353.60","-0.30","-0.08","456.75","332.25","-20.06","-6.33","31-DEC-2999","-"
"CANBK","263.25","264.95","256.80","263.25","2.35","0.90","400.90","204.75","-34.01","26.50","31-DEC-2999","-"
"CANFINHOME","261.80","262.00","247.45","253.20","-6.45","-2.48","557.50","216.50","-45.49","13.93","31-DEC-2999","-"
"CAPF","536.00","549.90","525.15","541.50","7.75","1.45","901.85","437.25","-22.96","16.93","31-DEC-2999","-"
"CASTROLIND","150.65","154.45","149.70","153.50","4.15","2.78","213.95","134.95","-60.45","11.27","31-DEC-2999","-"
"CEATLTD","1,250.00","1,263.00","1,212.25","1,226.00","-9.15","-0.74","2,019.00","985.85","-33.28","18.68","31-DEC-2999","-"
"CENTURYTEX","896.40","904.00","884.00","902.00","5.55","0.62","1,471.20","718.05","-32.10","22.67","31-DEC-2999","-"
"CESC","691.50","694.00","670.70","671.35","-16.10","-2.34","1,190.00","642.00","-35.04","-22.64","30-OCT-2018","COMPOSITE SCHEME OF ARRANGEMENT"
"CGPOWER","40.30","40.45","38.95","39.70","-0.20","-0.50","99.15","32.85","-53.78","7.59","31-DEC-2999","-"
"CHENNPETRO","260.80","266.60","259.65","266.00","9.05","3.52","464.40","220.65","-35.95","0.40","31-DEC-2999","-"
"CHOLAFIN","1,302.15","1,319.00","1,280.25","1,288.30","-20.85","-1.59","1,760.05","1,038.00","0.69","15.88","31-DEC-2999","-"
"CIPLA","520.00","523.75","512.80","522.55","4.60","0.89","678.45","507.20","-15.62","-16.04","31-DEC-2999","-"
"COALINDIA","256.95","258.50","247.20","252.05","-4.60","-1.79","316.95","247.20","-7.27","-9.12","04-SEP-2018","ANNUAL GENERAL MEETING"
"COLPAL","1,154.25","1,203.50","1,151.00","1,202.00","53.60","4.67","1,281.70","1,018.30","16.03","5.88","05-NOV-2018","INTERIM DIVIDEND - RS 8 PER SHARE"
"CONCOR","676.25","683.10","665.00","670.10","-2.15","-0.32","750.00","542.00","-50.70","16.17","11-SEP-2018","DIVIDEND- RS 3.75 PER SHARE"
"CUMMINSIND","771.85","793.30","760.35","788.50","20.00","2.60","984.00","613.20","-9.12","20.29","31-DEC-2999","-"
"DABUR","401.50","420.05","399.25","418.50","17.70","4.42","490.65","311.95","23.32","4.47","09-NOV-2018","INTERIM DIVIDEND - RS 1.25 PER SH"
"DALMIABHA","2,365.00","2,454.60","2,361.00","2,398.00","13.30","0.56","3,350.00","1,930.00","-19.15","17.64","31-DEC-2999","-"
"DCBBANK","156.30","156.95","154.20","156.45","0.15","0.10","206.50","139.85","-12.48","0.19","31-DEC-2999","-"
"DHFL","234.90","234.90","218.60","222.25","-10.50","-4.51","691.50","176.10","-64.18","15.22","31-DEC-2999","-"
"DISHTV","37.90","38.25","36.70","37.85","0.05","0.13","86.90","35.90","-50.65","-11.77","05-NOV-2018","INTERIM DIVIDEND - RE 0.50 PER SHARE"
"DIVISLAB","1,534.00","1,555.00","1,499.15","1,504.05","-25.25","-1.65","1,578.00","978.35","46.72","20.35","31-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 10 PER SHARE"
"DLF","178.00","179.00","171.60","178.10","1.00","0.56","273.85","142.00","-18.99","16.06","12-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RE 0.80 PER SHARE (PURPOSE REVISED)"
"DRREDDY","2,607.00","2,637.90","2,521.05","2,570.55","-38.15","-1.46","2,670.80","1,887.00","8.89","3.91","31-DEC-2999","-"
"EICHERMOT","24,160.00","24,488.00","23,626.60","23,890.00","-219.05","-0.91","32,236.70","20,001.15","-20.84","7.33","31-DEC-2999","-"
"ENGINERSIN","117.25","118.55","115.40","118.50","1.75","1.50","206.40","100.15","-34.80","6.85","11-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 1.50 PER SHARE"
"EQUITAS","109.00","109.15","104.75","107.00","-0.80","-0.74","173.65","77.85","-26.28","-11.68","31-DEC-2999","-"
"ESCORTS","665.05","673.70","655.25","672.15","10.45","1.58","1,017.70","541.00","-3.11","17.34","31-DEC-2999","-"
"EXIDEIND","252.25","256.35","249.80","253.85","3.10","1.24","304.70","192.40","25.30","1.64","15-NOV-2018","INTERIM DIVIDEND - RS 1.60 PER SHARE"
"FEDERALBNK","81.10","81.75","78.80","81.05","0.35","0.43","116.45","67.05","-28.31","1.82","31-DEC-2999","-"
"GAIL","347.40","347.80","338.10","340.00","-4.75","-1.38","399.40","295.25","-27.51","0.00","30-AUG-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 1.44 PER SHARE"
"GLENMARK","641.50","648.35","626.40","641.00","2.60","0.41","711.90","493.50","8.66","4.11","19-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND RS 2 PER SHARE"
"GMRINFRA","16.15","16.25","15.75","16.15","0.05","0.31","25.05","14.55","-5.00","0.94","11-SEP-2018","ANNUAL GENERAL MEETING"
"GODFRYPHLP","841.15","874.00","837.10","858.00","11.60","1.37","1,080.00","640.25","-16.88","21.47","17-SEP-2018","ANNUAL GENERAL MEETING/DIVIDEND- RS 8 PER SHARE"
"GODREJCP","720.00","749.00","713.05","747.50","30.20","4.21","978.67","626.00","-21.77","0.61","13-NOV-2018","INTERIM DIVIDEND - RS 4 PER SHARE"
"GODREJIND","520.30","531.00","510.95","528.95","7.50","1.44","657.60","434.50","-4.82","18.25","31-DEC-2999","-"
"GRANULES","94.00","94.00","88.80","90.15","-3.15","-3.38","150.00","71.55","-27.79","-0.61","06-NOV-2018","INTERIM DIVIDEND - RS 0.25 PER SHARE"
"GRASIM","847.00","850.60","831.10","845.50","2.15","0.25","1,261.10","756.00","-29.20","2.37","31-AUG-2018","DIVIDEND RS 6.20 PER SHARE"
"GSFC","106.55","107.45","102.65","103.80","-2.15","-2.03","166.40","85.50","-24.95","8.98","11-SEP-2018","DIVIDEND RS 2.2 PER SHARE"
"HAVELLS","662.00","666.25","652.00","662.00","0.65","0.10","728.75","450.00","32.40","10.55","31-DEC-2999","-"
"HCC","11.65","11.70","11.30","11.55","-0.05","-0.43","40.50","8.51","-68.99","-0.43","20-NOV-2018","RIGHTS 49:100 @ PREMIUM RS 9/-"
"HCLTECH","984.50","1,005.90","963.00","997.05","18.00","1.84","1,125.05","824.85","18.39","4.78","30-OCT-2018","INTERIM DIVIDEND - RS 2 PER SH"
"HDFC","1,883.90","1,891.30","1,869.00","1,884.50","10.80","0.58","2,052.95","1,640.85","9.68","11.72","31-DEC-2999","-"
"HDFCBANK","2,013.90","2,052.00","2,012.05","2,050.00","44.50","2.22","2,220.00","1,799.00","10.50","3.28","31-DEC-2999","-"
"HEROMOTOCO","2,918.00","3,104.70","2,912.25","3,096.10","178.35","6.11","3,848.80","2,648.00","-15.44","13.65","31-DEC-2999","-"
