Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1575.50,1614.65,1570.10,1594.60,11.25,0.71,1723.40,1255.65,13.03,-6.37,05-MAR-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE
ADANIENT,117.75,120.55,116.10,118.70,-0.10,-0.08,236.65,100.85,-3.57,-17.02,31-DEC-2999,-
ADANIPORTS,368.80,372.80,362.00,367.00,-4.50,-1.21,409.75,292.10,-8.96,-7.24,31-DEC-2999,-
ADANIPOWER,40.50,41.25,38.70,40.70,0.40,0.99,58.35,15.15,86.70,-25.11,31-DEC-2999,-
AJANTPHARM,1040.00,1040.00,1015.10,1024.00,-12.40,-1.20,1294.00,895.85,-3.32,-0.83,31-DEC-2999,-
ALBK,42.75,42.85,41.70,42.55,0.10,0.24,59.00,33.15,9.24,-17.94,31-DEC-2999,-
AMARAJABAT,624.40,634.00,623.90,630.00,4.25,0.68,908.45,612.10,-26.87,-10.80,31-DEC-2999,-
AMBUJACEM,214.45,220.00,213.20,218.00,2.75,1.28,245.40,188.35,2.93,-6.03,27-FEB-2019,DIVIDEND - RS 1.50 PER SHARE
APOLLOHOSP,1136.45,1159.20,1132.30,1142.15,5.70,0.50,1387.25,910.10,10.95,-10.43,31-DEC-2999,-
APOLLOTYRE,176.45,178.85,175.15,177.60,1.55,0.88,299.50,174.00,-39.60,-17.91,31-DEC-2999,-
ARVIND,71.70,75.85,71.15,74.20,2.05,2.84,438.70,70.15,-82.44,-17.97,31-DEC-2999,-
ASHOKLEY,83.10,85.05,82.60,84.60,1.70,2.05,155.35,77.60,-44.60,-12.20,31-DEC-2999,-
ASIANPAINT,1305.00,1330.75,1301.00,1320.00,15.60,1.20,1529.85,1118.00,-0.28,-9.53,31-DEC-2999,-
AUROPHARMA,728.40,728.40,662.00,670.10,-56.20,-7.74,838.00,527.00,11.40,-14.35,31-DEC-2999,-
AXISBANK,731.80,752.15,727.20,750.30,18.45,2.52,787.65,498.75,36.42,-2.70,31-DEC-2999,-
BAJAJ-AUTO,2950.00,3149.95,2935.15,3046.90,104.25,3.54,3194.95,2420.00,8.36,-0.70,31-DEC-2999,-
BAJAJFINSV,7675.00,8029.75,7588.35,7979.00,361.55,4.75,8029.75,4955.00,50.00,5.28,31-DEC-2999,-
