Symbol, Open, High, Low, LTP, Change(InPts), Change(%), 52 Week High, 52 Week Low, Change in 365 days (%), Change in 30 days(%), Date, Announcement
ACC,1651.95,1709.35,1638.00,1706.00,66.20,4.04,1723.40,1255.65,29.86,2.67,05-MAR-2019,ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE
ADANIENT,162.35,163.75,151.85,159.15,-1.90,-1.18,236.65,100.85,35.56,20.11,31-DEC-2999,-
ADANIPORTS,408.45,414.85,399.50,409.30,1.75,0.43,430.60,292.10,9.37,4.71,31-DEC-2999,-
ADANIPOWER,46.80,47.30,45.05,47.00,0.35,0.75,58.35,15.15,133.83,-8.02,31-DEC-2999,-
AJANTPHARM,1009.15,1044.95,1007.15,1044.50,35.60,3.53,1294.00,895.85,5.83,1.60,31-DEC-2999,-
ALBK,45.85,47.60,45.60,47.40,1.80,3.95,59.00,33.15,17.04,-3.95,31-DEC-2999,-
AMARAJABAT,625.00,644.30,608.40,639.00,17.10,2.75,908.45,603.00,-18.32,-5.39,31-DEC-2999,-
AMBUJACEM,223.20,232.80,222.55,231.05,8.50,3.82,245.40,188.35,11.35,1.87,27-FEB-2019,DIVIDEND - RS 1.50 PER SHARE
APOLLOHOSP,1159.75,1188.50,1155.50,1171.00,20.90,1.82,1387.25,910.10,21.48,-5.78,31-DEC-2999,-
APOLLOTYRE,185.50,197.00,184.45,195.85,12.25,6.67,299.50,174.00,-28.76,-7.60,31-DEC-2999,-
ARVIND,74.50,78.50,74.30,78.45,3.55,4.74,438.70,70.15,-79.47,-9.04,31-DEC-2999,-
ASHOKLEY,88.85,95.00,88.85,94.25,5.40,6.08,152.00,77.60,-35.16,2.95,31-DEC-2999,-
ASIANPAINT,1392.00,1400.45,1376.15,1384.00,16.25,1.19,1529.85,1118.00,8.24,-3.28,31-DEC-2999,-
AUROPHARMA,675.00,684.55,671.75,679.80,7.65,1.14,838.00,527.00,18.45,-12.69,31-DEC-2999,-
AXISBANK,779.45,795.90,778.50,791.65,15.25,1.96,804.30,498.75,52.17,5.10,31-DEC-2999,-
BAJAJ-AUTO,3065.00,3098.90,3005.00,3079.35,14.35,0.47,3194.95,2420.00,10.97,1.32,31-DEC-2999,-
BAJAJFINSV,8013.00,8185.00,7998.30,8157.00,143.70,1.79,8335.00,4955.00,40.88,8.83,31-DEC-2999,-
BAJFINANCE,3400.00,3475.00,3391.30,3470.00,92.25,2.73,3518.00,1912.20,66.96,14.33,31-DEC-2999,-
BALKRISIND,783.50,808.70,775.95,805.20,28.70,3.70,1453.55,744.00,-27.09,-16.33,31-DEC-2999,-
BANKBARODA,129.40,138.40,128.65,137.50,9.95,7.80,157.50,91.00,0.66,11.70,31-DEC-2999,-
BANKINDIA,90.00,97.50,89.90,97.15,7.95,8.91,110.15,73.20,-1.52,6.00,31-DEC-2999,-
BATAINDIA,1374.90,1374.90,1329.00,1345.00,-20.50,-1.50,1479.95,739.20,77.07,-6.96,31-DEC-2999,-
BEL,103.10,112.50,103.00,111.60,8.95,8.72,125.40,72.50,-4.45,26.24,27-MAR-2019,INTERIM DIVIDEND - RE 0.70 PER SHARE
BEML,944.00,982.00,942.05,977.20,40.25,4.30,1034.90,521.25,4.88,8.39,28-MAR-2019,INTERIM DIVIDEND - RS 4.50 PER SHARE
BERGEPAINT,312.15,313.80,307.55,311.10,3.65,1.19,349.90,260.00,10.42,-2.19,31-DEC-2999,-
BHARATFIN,1008.70,1038.10,1003.50,1028.50,26.05,2.60,1234.80,823.75,-9.11,-0.33,31-DEC-2999,-
BHARATFORG,463.00,479.60,461.00,476.75,16.45,3.57,699.60,445.25,-30.51,-1.95,31-DEC-2999,-
BHARTIARTL,340.05,356.00,340.00,353.00,14.20,4.19,366.06,253.99,-1.07,11.53,23-APR-2019,RIGHTS 19:67 @ PREMIUM RS 215 PER SHARE
BHEL,66.80,69.45,66.75,69.10,2.55,3.83,86.85,56.20,-8.23,-5.99,31-DEC-2999,-
BIOCON,511.85,535.95,511.55,535.80,25.20,4.94,718.00,508.50,-16.05,-12.69,31-DEC-2999,-
BOSCHLTD,16954.00,17040.00,16764.30,16973.00,187.25,1.12,22400.00,16629.55,-5.74,-5.42,31-DEC-2999,-
BPCL,395.00,398.90,386.80,394.90,10.55,2.74,429.15,238.55,5.60,17.41,31-DEC-2999,-
BRITANNIA,2845.00,2867.00,2808.20,2857.90,19.20,0.68,3467.18,2615.85,-50.00,-4.45,31-DEC-2999,-
BSOFT,87.90,89.70,86.50,89.40,3.00,3.47,314.50,80.15,-,-,31-DEC-2999,-
CADILAHC,249.05,256.80,247.65,252.30,2.00,0.80,432.50,241.75,-27.21,-23.25,31-DEC-2999,-
CANBK,261.50,277.80,260.80,277.00,17.90,6.91,302.30,204.75,14.13,2.42,31-DEC-2999,-
CANFINHOME,340.45,359.35,340.45,357.55,17.10,5.02,406.85,216.50,0.27,12.69,31-DEC-2999,-
CASTROLIND,145.15,147.45,144.30,147.00,2.25,1.55,183.85,134.95,-11.87,-6.58,09-MAY-2019,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2.75 PER SHARE
CEATLTD,991.50,1052.10,980.00,1050.00,67.25,6.84,1455.00,935.50,-19.82,-3.58,31-DEC-2999,-
CENTURYTEX,997.50,1035.00,990.10,1033.20,41.70,4.21,1035.00,705.50,10.34,14.29,31-DEC-2999,-
CESC,724.35,745.00,724.35,745.00,18.45,2.54,1058.40,642.00,-26.21,8.10,31-DEC-2999,-
CGPOWER,38.30,39.50,37.65,39.25,1.10,2.88,80.00,20.25,-45.45,12.14,31-DEC-2999,-
